排名,会员简称,成交量,比上交易增减,date,contract,position_type,symbol
1,国泰君安,123009,-7601.0,2025-11-06,hc2601,成交量,HC
2,中信期货,95148,6591.0,2025-11-06,hc2601,成交量,HC
3,东证期货,85469,-487.0,2025-11-06,hc2601,成交量,HC
4,中泰期货,38981,16196.0,2025-11-06,hc2601,成交量,HC
5,华泰期货,37047,-8259.0,2025-11-06,hc2601,成交量,HC
6,银河期货,22658,-3942.0,2025-11-06,hc2601,成交量,HC
7,乾坤期货,19871,10092.0,2025-11-06,hc2601,成交量,HC
8,海通期货,19081,-1727.0,2025-11-06,hc2601,成交量,HC
9,永安期货,18323,-2427.0,2025-11-06,hc2601,成交量,HC
10,新湖期货,16382,-1213.0,2025-11-06,hc2601,成交量,HC
11,方正中期,16099,-7372.0,2025-11-06,hc2601,成交量,HC
12,五矿期货,15256,8328.0,2025-11-06,hc2601,成交量,HC
13,广发期货,15240,828.0,2025-11-06,hc2601,成交量,HC
14,浙商期货,15035,9401.0,2025-11-06,hc2601,成交量,HC
15,华闻期货,13893,3561.0,2025-11-06,hc2601,成交量,HC
16,东方财富,13592,1895.0,2025-11-06,hc2601,成交量,HC
17,瑞达期货,13229,-5798.0,2025-11-06,hc2601,成交量,HC
18,南华期货,13049,-3546.0,2025-11-06,hc2601,成交量,HC
19,中财期货,12715,6941.0,2025-11-06,hc2601,成交量,HC
20,中信建投,11828,2546.0,2025-11-06,hc2601,成交量,HC
1,国泰君安,98412,-24597.0,2025-11-07,hc2601,成交量,HC
2,中信期货,77273,-17875.0,2025-11-07,hc2601,成交量,HC
3,东证期货,75267,-10202.0,2025-11-07,hc2601,成交量,HC
4,华泰期货,31433,-5614.0,2025-11-07,hc2601,成交量,HC
5,中泰期货,23431,-15550.0,2025-11-07,hc2601,成交量,HC
6,永安期货,20245,1922.0,2025-11-07,hc2601,成交量,HC
7,银河期货,20170,-2488.0,2025-11-07,hc2601,成交量,HC
8,方正中期,17649,1550.0,2025-11-07,hc2601,成交量,HC
9,海通期货,17548,-1533.0,2025-11-07,hc2601,成交量,HC
10,物产中大,14838,4486.0,2025-11-07,hc2601,成交量,HC
11,乾坤期货,14575,-5296.0,2025-11-07,hc2601,成交量,HC
12,南华期货,14557,1508.0,2025-11-07,hc2601,成交量,HC
13,东方财富,14050,458.0,2025-11-07,hc2601,成交量,HC
14,五矿期货,13433,-1823.0,2025-11-07,hc2601,成交量,HC
15,新湖期货,13246,-3136.0,2025-11-07,hc2601,成交量,HC
16,财信期货,12692,9452.0,2025-11-07,hc2601,成交量,HC
17,光大期货,12295,922.0,2025-11-07,hc2601,成交量,HC
18,华闻期货,11851,-2042.0,2025-11-07,hc2601,成交量,HC
19,广发期货,11408,-3832.0,2025-11-07,hc2601,成交量,HC
20,浙商期货,11312,-3723.0,2025-11-07,hc2601,成交量,HC
1,国泰君安,102827,4415.0,2025-11-10,hc2601,成交量,HC
2,中信期货,88549,11276.0,2025-11-10,hc2601,成交量,HC
3,东证期货,63891,-11376.0,2025-11-10,hc2601,成交量,HC
4,华泰期货,33755,2322.0,2025-11-10,hc2601,成交量,HC
5,中泰期货,22553,-878.0,2025-11-10,hc2601,成交量,HC
6,新湖期货,19721,6475.0,2025-11-10,hc2601,成交量,HC
7,华闻期货,18465,6614.0,2025-11-10,hc2601,成交量,HC
8,方正中期,18109,460.0,2025-11-10,hc2601,成交量,HC
9,银河期货,15270,-4900.0,2025-11-10,hc2601,成交量,HC
10,海通期货,14165,-3383.0,2025-11-10,hc2601,成交量,HC
11,永安期货,14031,-6214.0,2025-11-10,hc2601,成交量,HC
12,浙商期货,13362,2050.0,2025-11-10,hc2601,成交量,HC
13,物产中大,11993,-2845.0,2025-11-10,hc2601,成交量,HC
14,南华期货,11753,-2804.0,2025-11-10,hc2601,成交量,HC
15,广发期货,10608,-800.0,2025-11-10,hc2601,成交量,HC
16,大地期货,10192,7245.0,2025-11-10,hc2601,成交量,HC
17,中信建投,9401,1850.0,2025-11-10,hc2601,成交量,HC
18,招商期货,8722,4430.0,2025-11-10,hc2601,成交量,HC
19,国投期货,8537,-588.0,2025-11-10,hc2601,成交量,HC
20,东方财富,8315,-5735.0,2025-11-10,hc2601,成交量,HC
1,中信期货,90703,2154.0,2025-11-11,hc2601,成交量,HC
2,国泰君安,86537,-16290.0,2025-11-11,hc2601,成交量,HC
3,东证期货,59653,-4238.0,2025-11-11,hc2601,成交量,HC
4,华泰期货,26930,-6825.0,2025-11-11,hc2601,成交量,HC
5,中泰期货,19578,-2975.0,2025-11-11,hc2601,成交量,HC
6,华闻期货,17101,-1364.0,2025-11-11,hc2601,成交量,HC
7,新湖期货,14569,-5152.0,2025-11-11,hc2601,成交量,HC
8,银河期货,14442,-828.0,2025-11-11,hc2601,成交量,HC
9,海通期货,13110,-1055.0,2025-11-11,hc2601,成交量,HC
10,永安期货,10618,-3413.0,2025-11-11,hc2601,成交量,HC
11,财信期货,10392,4282.0,2025-11-11,hc2601,成交量,HC
12,方正中期,10259,-7850.0,2025-11-11,hc2601,成交量,HC
13,国投期货,9694,1157.0,2025-11-11,hc2601,成交量,HC
14,广发期货,9248,-1360.0,2025-11-11,hc2601,成交量,HC
15,东方财富,8521,206.0,2025-11-11,hc2601,成交量,HC
16,宏源期货,8121,394.0,2025-11-11,hc2601,成交量,HC
17,南华期货,7603,-4150.0,2025-11-11,hc2601,成交量,HC
18,海证期货,7380,-516.0,2025-11-11,hc2601,成交量,HC
19,中辉期货,6832,-1328.0,2025-11-11,hc2601,成交量,HC
20,招商期货,6488,-2234.0,2025-11-11,hc2601,成交量,HC
1,国泰君安,103555,17018.0,2025-11-12,hc2601,成交量,HC
2,中信期货,80068,-10635.0,2025-11-12,hc2601,成交量,HC
3,东证期货,64175,4522.0,2025-11-12,hc2601,成交量,HC
4,华泰期货,32428,5498.0,2025-11-12,hc2601,成交量,HC
5,华闻期货,21984,4883.0,2025-11-12,hc2601,成交量,HC
6,银河期货,18580,4138.0,2025-11-12,hc2601,成交量,HC
7,海通期货,17753,4643.0,2025-11-12,hc2601,成交量,HC
8,中泰期货,17520,-2058.0,2025-11-12,hc2601,成交量,HC
9,方正中期,15642,5383.0,2025-11-12,hc2601,成交量,HC
10,新湖期货,12046,-2523.0,2025-11-12,hc2601,成交量,HC
11,宝城期货,9882,4710.0,2025-11-12,hc2601,成交量,HC
12,东方财富,9680,1159.0,2025-11-12,hc2601,成交量,HC
13,徽商期货,9075,3099.0,2025-11-12,hc2601,成交量,HC
14,浙商期货,8649,4038.0,2025-11-12,hc2601,成交量,HC
15,广发期货,8563,-685.0,2025-11-12,hc2601,成交量,HC
16,宏源期货,8372,251.0,2025-11-12,hc2601,成交量,HC
17,南华期货,8371,768.0,2025-11-12,hc2601,成交量,HC
18,永安期货,7557,-3061.0,2025-11-12,hc2601,成交量,HC
19,中财期货,6998,3082.0,2025-11-12,hc2601,成交量,HC
20,物产中大,6707,1179.0,2025-11-12,hc2601,成交量,HC
