排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,国泰君安,58666,5141.0,2026-06-22,i2609,空单持仓,I
2,永安期货,47696,2989.0,2026-06-22,i2609,空单持仓,I
3,东证期货,39360,-1859.0,2026-06-22,i2609,空单持仓,I
4,中信期货,35438,2079.0,2026-06-22,i2609,空单持仓,I
5,南华期货,28251,-31.0,2026-06-22,i2609,空单持仓,I
6,海通期货,21862,279.0,2026-06-22,i2609,空单持仓,I
7,华泰期货,17806,-2233.0,2026-06-22,i2609,空单持仓,I
8,国贸期货,16860,241.0,2026-06-22,i2609,空单持仓,I
9,一德期货,14430,-540.0,2026-06-22,i2609,空单持仓,I
10,国投期货,14067,-105.0,2026-06-22,i2609,空单持仓,I
11,高盛期货,13849,-407.0,2026-06-22,i2609,空单持仓,I
12,五矿期货,13598,-521.0,2026-06-22,i2609,空单持仓,I
13,瑞达期货,13313,125.0,2026-06-22,i2609,空单持仓,I
14,方正中期,12972,3392.0,2026-06-22,i2609,空单持仓,I
15,建信期货,12701,-3492.0,2026-06-22,i2609,空单持仓,I
16,大地期货,11305,2034.0,2026-06-22,i2609,空单持仓,I
17,光大期货,11158,50.0,2026-06-22,i2609,空单持仓,I
18,中金财富,11143,1051.0,2026-06-22,i2609,空单持仓,I
19,物产中大,10562,350.0,2026-06-22,i2609,空单持仓,I
20,广发期货,10320,830.0,2026-06-22,i2609,空单持仓,I
1,国泰君安,59605,939.0,2026-06-23,i2609,空单持仓,I
2,永安期货,44470,-3226.0,2026-06-23,i2609,空单持仓,I
3,东证期货,37637,-1723.0,2026-06-23,i2609,空单持仓,I
4,中信期货,36106,668.0,2026-06-23,i2609,空单持仓,I
5,南华期货,28081,-170.0,2026-06-23,i2609,空单持仓,I
6,海通期货,21440,-422.0,2026-06-23,i2609,空单持仓,I
7,华泰期货,17303,-503.0,2026-06-23,i2609,空单持仓,I
8,大地期货,15573,4268.0,2026-06-23,i2609,空单持仓,I
9,国贸期货,15292,-1568.0,2026-06-23,i2609,空单持仓,I
10,高盛期货,15006,1157.0,2026-06-23,i2609,空单持仓,I
11,一德期货,14261,-169.0,2026-06-23,i2609,空单持仓,I
12,国投期货,13292,-775.0,2026-06-23,i2609,空单持仓,I
13,瑞达期货,13259,-54.0,2026-06-23,i2609,空单持仓,I
14,光大期货,13053,1895.0,2026-06-23,i2609,空单持仓,I
15,方正中期,12761,-211.0,2026-06-23,i2609,空单持仓,I
16,五矿期货,12489,-1109.0,2026-06-23,i2609,空单持仓,I
17,建信期货,10941,-1760.0,2026-06-23,i2609,空单持仓,I
18,浙商期货,10598,853.0,2026-06-23,i2609,空单持仓,I
19,广发期货,10439,119.0,2026-06-23,i2609,空单持仓,I
20,中金财富,10104,-1039.0,2026-06-23,i2609,空单持仓,I
1,国泰君安,61387,1782.0,2026-06-24,i2609,空单持仓,I
2,永安期货,42592,-1878.0,2026-06-24,i2609,空单持仓,I
3,东证期货,40573,2936.0,2026-06-24,i2609,空单持仓,I
4,中信期货,36550,444.0,2026-06-24,i2609,空单持仓,I
5,南华期货,27699,-382.0,2026-06-24,i2609,空单持仓,I
6,海通期货,21271,-169.0,2026-06-24,i2609,空单持仓,I
7,大地期货,17398,1825.0,2026-06-24,i2609,空单持仓,I
8,华泰期货,17177,-126.0,2026-06-24,i2609,空单持仓,I
9,国贸期货,15545,253.0,2026-06-24,i2609,空单持仓,I
10,高盛期货,15325,319.0,2026-06-24,i2609,空单持仓,I
11,一德期货,14147,-114.0,2026-06-24,i2609,空单持仓,I
12,光大期货,13951,898.0,2026-06-24,i2609,空单持仓,I
13,五矿期货,12331,-158.0,2026-06-24,i2609,空单持仓,I
14,方正中期,12271,-490.0,2026-06-24,i2609,空单持仓,I
15,建信期货,12214,1273.0,2026-06-24,i2609,空单持仓,I
16,瑞达期货,11497,-1762.0,2026-06-24,i2609,空单持仓,I
17,国投期货,11170,-2122.0,2026-06-24,i2609,空单持仓,I
18,广发期货,10965,526.0,2026-06-24,i2609,空单持仓,I
19,中金财富,10172,68.0,2026-06-24,i2609,空单持仓,I
20,物产中大,10006,101.0,2026-06-24,i2609,空单持仓,I
