排名,会员简称,成交量,比上交易增减,date,contract,position_type,symbol,持仓量
1,国泰君安,82006.0,22187.0,2025-08-18,i2601,成交量,I,
2,中信期货,52218.0,10177.0,2025-08-18,i2601,成交量,I,
3,东证期货,32772.0,628.0,2025-08-18,i2601,成交量,I,
4,五矿期货,30387.0,9670.0,2025-08-18,i2601,成交量,I,
5,华闻期货,18510.0,8519.0,2025-08-18,i2601,成交量,I,
6,方正中期,17987.0,5054.0,2025-08-18,i2601,成交量,I,
7,华泰期货,16937.0,2238.0,2025-08-18,i2601,成交量,I,
8,中泰期货,15936.0,3070.0,2025-08-18,i2601,成交量,I,
9,广发期货,14119.0,1796.0,2025-08-18,i2601,成交量,I,
10,南华期货,12170.0,3036.0,2025-08-18,i2601,成交量,I,
11,光大期货,11165.0,1354.0,2025-08-18,i2601,成交量,I,
12,银河期货,11081.0,2756.0,2025-08-18,i2601,成交量,I,
13,海通期货,9831.0,2501.0,2025-08-18,i2601,成交量,I,
14,永安期货,9797.0,649.0,2025-08-18,i2601,成交量,I,
15,申银万国,9103.0,5297.0,2025-08-18,i2601,成交量,I,
16,中信建投,8787.0,482.0,2025-08-18,i2601,成交量,I,
17,中辉期货,7428.0,3790.0,2025-08-18,i2601,成交量,I,
18,徽商期货,7261.0,1595.0,2025-08-18,i2601,成交量,I,
19,国投期货,6788.0,2573.0,2025-08-18,i2601,成交量,I,
20,国联期货,6602.0,-739.0,2025-08-18,i2601,成交量,I,
1,国泰君安,48584.0,-33422.0,2025-08-19,i2601,成交量,I,
2,中信期货,27071.0,-25147.0,2025-08-19,i2601,成交量,I,
3,东证期货,22765.0,-10007.0,2025-08-19,i2601,成交量,I,
4,广发期货,12680.0,-1439.0,2025-08-19,i2601,成交量,I,
5,华闻期货,11992.0,-6518.0,2025-08-19,i2601,成交量,I,
6,中泰期货,11140.0,-4796.0,2025-08-19,i2601,成交量,I,
7,方正中期,8705.0,-9282.0,2025-08-19,i2601,成交量,I,
8,华泰期货,8548.0,-8389.0,2025-08-19,i2601,成交量,I,
9,光大期货,8344.0,-2821.0,2025-08-19,i2601,成交量,I,
10,南华期货,7839.0,-4331.0,2025-08-19,i2601,成交量,I,
11,国联期货,7230.0,628.0,2025-08-19,i2601,成交量,I,
12,五矿期货,6853.0,-23534.0,2025-08-19,i2601,成交量,I,
13,海通期货,6359.0,-3472.0,2025-08-19,i2601,成交量,I,
14,中信建投,5488.0,-3299.0,2025-08-19,i2601,成交量,I,
15,银河期货,5347.0,-5734.0,2025-08-19,i2601,成交量,I,
16,徽商期货,5284.0,-1977.0,2025-08-19,i2601,成交量,I,
17,永安期货,3979.0,-5818.0,2025-08-19,i2601,成交量,I,
18,乾坤期货,3628.0,807.0,2025-08-19,i2601,成交量,I,
19,东吴期货,3427.0,-2102.0,2025-08-19,i2601,成交量,I,
20,招商期货,3215.0,-3117.0,2025-08-19,i2601,成交量,I,
1,国泰君安,82421.0,33837.0,2025-08-20,i2601,成交量,I,
2,中信期货,52121.0,25050.0,2025-08-20,i2601,成交量,I,
3,东证期货,34803.0,12038.0,2025-08-20,i2601,成交量,I,
4,五矿期货,27533.0,20680.0,2025-08-20,i2601,成交量,I,
5,方正中期,21316.0,12611.0,2025-08-20,i2601,成交量,I,
6,华泰期货,18706.0,10158.0,2025-08-20,i2601,成交量,I,
7,中泰期货,16138.0,4998.0,2025-08-20,i2601,成交量,I,
8,南华期货,16033.0,8194.0,2025-08-20,i2601,成交量,I,
9,永安期货,14434.0,10455.0,2025-08-20,i2601,成交量,I,
10,华闻期货,13958.0,1966.0,2025-08-20,i2601,成交量,I,
11,广发期货,13274.0,594.0,2025-08-20,i2601,成交量,I,
