排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,中信期货,3412,28.0,2025-11-10,j2601,多单持仓,J
2,国泰君安,2518,-113.0,2025-11-10,j2601,多单持仓,J
3,东证期货,1858,-53.0,2025-11-10,j2601,多单持仓,J
4,弘业期货,1357,-100.0,2025-11-10,j2601,多单持仓,J
5,华泰期货,1244,-15.0,2025-11-10,j2601,多单持仓,J
6,浙商期货,1229,-41.0,2025-11-10,j2601,多单持仓,J
7,永安期货,1193,19.0,2025-11-10,j2601,多单持仓,J
8,申银万国,931,-16.0,2025-11-10,j2601,多单持仓,J
9,银河期货,887,101.0,2025-11-10,j2601,多单持仓,J
10,国投期货,825,0.0,2025-11-10,j2601,多单持仓,J
11,平安期货,793,-65.0,2025-11-10,j2601,多单持仓,J
12,方正中期,697,-73.0,2025-11-10,j2601,多单持仓,J
13,中信建投,644,-43.0,2025-11-10,j2601,多单持仓,J
14,冠通期货,623,48.0,2025-11-10,j2601,多单持仓,J
15,国联期货,556,-14.0,2025-11-10,j2601,多单持仓,J
16,五矿期货,555,16.0,2025-11-10,j2601,多单持仓,J
17,中财期货,515,6.0,2025-11-10,j2601,多单持仓,J
18,东海期货,513,-17.0,2025-11-10,j2601,多单持仓,J
19,广发期货,510,7.0,2025-11-10,j2601,多单持仓,J
20,宏源期货,505,-78.0,2025-11-10,j2601,多单持仓,J
1,中信期货,3580,168.0,2025-11-11,j2601,多单持仓,J
2,国泰君安,2786,268.0,2025-11-11,j2601,多单持仓,J
3,东证期货,1674,-184.0,2025-11-11,j2601,多单持仓,J
4,弘业期货,1400,43.0,2025-11-11,j2601,多单持仓,J
5,银河期货,1380,493.0,2025-11-11,j2601,多单持仓,J
6,浙商期货,1230,1.0,2025-11-11,j2601,多单持仓,J
7,永安期货,1209,16.0,2025-11-11,j2601,多单持仓,J
8,华泰期货,1111,-133.0,2025-11-11,j2601,多单持仓,J
9,申银万国,1029,98.0,2025-11-11,j2601,多单持仓,J
10,国投期货,889,64.0,2025-11-11,j2601,多单持仓,J
11,方正中期,775,78.0,2025-11-11,j2601,多单持仓,J
12,中信建投,699,55.0,2025-11-11,j2601,多单持仓,J
13,冠通期货,693,70.0,2025-11-11,j2601,多单持仓,J
14,平安期货,689,-104.0,2025-11-11,j2601,多单持仓,J
15,中泰期货,688,204.0,2025-11-11,j2601,多单持仓,J
16,五矿期货,588,33.0,2025-11-11,j2601,多单持仓,J
17,国联期货,544,-12.0,2025-11-11,j2601,多单持仓,J
18,国信期货,533,67.0,2025-11-11,j2601,多单持仓,J
19,东海期货,525,12.0,2025-11-11,j2601,多单持仓,J
20,中财期货,518,3.0,2025-11-11,j2601,多单持仓,J
1,中信期货,3421,-159.0,2025-11-12,j2601,多单持仓,J
2,国泰君安,2458,-328.0,2025-11-12,j2601,多单持仓,J
3,银河期货,1645,265.0,2025-11-12,j2601,多单持仓,J
4,东证期货,1637,-37.0,2025-11-12,j2601,多单持仓,J
5,弘业期货,1374,-26.0,2025-11-12,j2601,多单持仓,J
6,永安期货,1326,117.0,2025-11-12,j2601,多单持仓,J
7,浙商期货,1280,50.0,2025-11-12,j2601,多单持仓,J
8,申银万国,1039,10.0,2025-11-12,j2601,多单持仓,J
9,华泰期货,998,-113.0,2025-11-12,j2601,多单持仓,J
10,国投期货,901,12.0,2025-11-12,j2601,多单持仓,J
11,方正中期,795,20.0,2025-11-12,j2601,多单持仓,J
12,冠通期货,735,42.0,2025-11-12,j2601,多单持仓,J
13,中信建投,714,15.0,2025-11-12,j2601,多单持仓,J
14,中财期货,627,109.0,2025-11-12,j2601,多单持仓,J
15,中泰期货,622,-66.0,2025-11-12,j2601,多单持仓,J
16,五矿期货,619,31.0,2025-11-12,j2601,多单持仓,J
17,平安期货,590,-99.0,2025-11-12,j2601,多单持仓,J
18,东海期货,564,39.0,2025-11-12,j2601,多单持仓,J
19,海证期货,543,59.0,2025-11-12,j2601,多单持仓,J
20,国联期货,523,-21.0,2025-11-12,j2601,多单持仓,J
