排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,中信期货,4040,10.0,2025-08-18,J2601,空单持仓,J
2,物产中大,3259,2.0,2025-08-18,J2601,空单持仓,J
2,国泰君安,8892,-405.0,2025-08-18,j2509,空单持仓,J
3,华泰期货,2391,110.0,2025-08-18,J2601,空单持仓,J
4,国泰君安,1990,271.0,2025-08-18,J2601,空单持仓,J
4,银河期货,19205,111.0,2025-08-18,j2509,空单持仓,J
5,东证期货,1894,-49.0,2025-08-18,J2601,空单持仓,J
5,申银万国,8808,263.0,2025-08-18,j2509,空单持仓,J
6,浙商期货,1762,32.0,2025-08-18,J2601,空单持仓,J
6,招商期货,10932,355.0,2025-08-18,j2509,空单持仓,J
7,方正中期,1523,10.0,2025-08-18,J2601,空单持仓,J
7,光大期货,9760,487.0,2025-08-18,j2509,空单持仓,J
8,国投期货,1373,-83.0,2025-08-18,J2601,空单持仓,J
8,中粮期货,15893,-433.0,2025-08-18,j2509,空单持仓,J
9,银河期货,1299,-37.0,2025-08-18,J2601,空单持仓,J
9,东证期货,8698,69.0,2025-08-18,j2509,空单持仓,J
10,永安期货,1282,42.0,2025-08-18,J2601,空单持仓,J
10,海通期货,4454,-37.0,2025-08-18,j2509,空单持仓,J
11,兴证期货,1175,40.0,2025-08-18,J2601,空单持仓,J
12,一德期货,1158,-48.0,2025-08-18,J2601,空单持仓,J
13,海证期货,987,-8.0,2025-08-18,J2601,空单持仓,J
14,中信建投,826,62.0,2025-08-18,J2601,空单持仓,J
15,国贸期货,783,-136.0,2025-08-18,J2601,空单持仓,J
16,中泰期货,721,-41.0,2025-08-18,J2601,空单持仓,J
17,光大期货,660,-6.0,2025-08-18,J2601,空单持仓,J
18,海通期货,500,155.0,2025-08-18,J2601,空单持仓,J
19,创元期货,469,-4.0,2025-08-18,J2601,空单持仓,J
20,广发期货,429,-21.0,2025-08-18,J2601,空单持仓,J
1,中信期货,3991,-49.0,2025-08-19,J2601,空单持仓,J
2,物产中大,3283,24.0,2025-08-19,J2601,空单持仓,J
2,国泰君安,18999,291.0,2025-08-19,j2509,空单持仓,J
3,华泰期货,2241,-150.0,2025-08-19,J2601,空单持仓,J
4,东证期货,1941,47.0,2025-08-19,J2601,空单持仓,J
4,银河期货,6172,49.0,2025-08-19,j2509,空单持仓,J
5,国泰君安,1897,-93.0,2025-08-19,J2601,空单持仓,J
5,申银万国,7997,155.0,2025-08-19,j2509,空单持仓,J
6,方正中期,1880,357.0,2025-08-19,J2601,空单持仓,J
6,招商期货,16412,-394.0,2025-08-19,j2509,空单持仓,J
7,浙商期货,1866,104.0,2025-08-19,J2601,空单持仓,J
7,光大期货,18335,-106.0,2025-08-19,j2509,空单持仓,J
8,国投期货,1451,78.0,2025-08-19,J2601,空单持仓,J
8,中粮期货,17139,329.0,2025-08-19,j2509,空单持仓,J
9,永安期货,1324,42.0,2025-08-19,J2601,空单持仓,J
9,东证期货,18510,130.0,2025-08-19,j2509,空单持仓,J
10,一德期货,1183,25.0,2025-08-19,J2601,空单持仓,J
10,海通期货,12616,-39.0,2025-08-19,j2509,空单持仓,J
11,兴证期货,1171,-4.0,2025-08-19,J2601,空单持仓,J
12,银河期货,1137,-162.0,2025-08-19,J2601,空单持仓,J
13,海证期货,962,-25.0,2025-08-19,J2601,空单持仓,J
14,中信建投,835,9.0,2025-08-19,J2601,空单持仓,J
15,国贸期货,729,-54.0,2025-08-19,J2601,空单持仓,J
16,中泰期货,711,-10.0,2025-08-19,J2601,空单持仓,J
17,光大期货,601,-59.0,2025-08-19,J2601,空单持仓,J
18,创元期货,513,44.0,2025-08-19,J2601,空单持仓,J
19,海通期货,488,-12.0,2025-08-19,J2601,空单持仓,J
20,港信期货,437,59.0,2025-08-19,J2601,空单持仓,J
1,中信期货,3997,6.0,2025-08-20,J2601,空单持仓,J
2,物产中大,3292,9.0,2025-08-20,J2601,空单持仓,J
2,国泰君安,14275,135.0,2025-08-20,j2509,空单持仓,J
3,华泰期货,2307,66.0,2025-08-20,J2601,空单持仓,J
4,国泰君安,2173,276.0,2025-08-20,J2601,空单持仓,J
4,银河期货,11924,459.0,2025-08-20,j2509,空单持仓,J
5,东证期货,1988,47.0,2025-08-20,J2601,空单持仓,J
5,申银万国,18721,-59.0,2025-08-20,j2509,空单持仓,J
6,方正中期,1894,14.0,2025-08-20,J2601,空单持仓,J
6,招商期货,13447,195.0,2025-08-20,j2509,空单持仓,J
7,浙商期货,1573,-293.0,2025-08-20,J2601,空单持仓,J
