排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,国泰君安,18405,2645.0,2025-08-18,jd2510,多单持仓,JD
2,方正中期,16349,2087.0,2025-08-18,jd2510,多单持仓,JD
3,中信期货,15435,1413.0,2025-08-18,jd2510,多单持仓,JD
4,东方财富,15292,4713.0,2025-08-18,jd2510,多单持仓,JD
5,中信建投,14629,2008.0,2025-08-18,jd2510,多单持仓,JD
6,银河期货,12644,2635.0,2025-08-18,jd2510,多单持仓,JD
7,徽商期货,12271,2627.0,2025-08-18,jd2510,多单持仓,JD
8,东证期货,10599,2397.0,2025-08-18,jd2510,多单持仓,JD
9,招商期货,9485,607.0,2025-08-18,jd2510,多单持仓,JD
10,中泰期货,8285,1782.0,2025-08-18,jd2510,多单持仓,JD
11,广发期货,7835,1498.0,2025-08-18,jd2510,多单持仓,JD
12,平安期货,7665,2590.0,2025-08-18,jd2510,多单持仓,JD
13,中粮期货,6375,245.0,2025-08-18,jd2510,多单持仓,JD
14,东吴期货,6232,1030.0,2025-08-18,jd2510,多单持仓,JD
15,南华期货,6195,-176.0,2025-08-18,jd2510,多单持仓,JD
16,华安期货,5981,46.0,2025-08-18,jd2510,多单持仓,JD
17,光大期货,5856,1634.0,2025-08-18,jd2510,多单持仓,JD
18,永安期货,5553,1143.0,2025-08-18,jd2510,多单持仓,JD
19,华泰期货,5308,928.0,2025-08-18,jd2510,多单持仓,JD
20,国信期货,4846,352.0,2025-08-18,jd2510,多单持仓,JD
1,国泰君安,20130,1725.0,2025-08-19,jd2510,多单持仓,JD
2,方正中期,17563,1214.0,2025-08-19,jd2510,多单持仓,JD
3,东方财富,17315,2023.0,2025-08-19,jd2510,多单持仓,JD
4,中信期货,16240,805.0,2025-08-19,jd2510,多单持仓,JD
5,中信建投,15800,1171.0,2025-08-19,jd2510,多单持仓,JD
6,银河期货,13524,880.0,2025-08-19,jd2510,多单持仓,JD
7,徽商期货,12657,386.0,2025-08-19,jd2510,多单持仓,JD
8,东证期货,10873,274.0,2025-08-19,jd2510,多单持仓,JD
9,招商期货,10284,799.0,2025-08-19,jd2510,多单持仓,JD
10,中泰期货,8524,239.0,2025-08-19,jd2510,多单持仓,JD
11,广发期货,8440,605.0,2025-08-19,jd2510,多单持仓,JD
12,平安期货,7639,-26.0,2025-08-19,jd2510,多单持仓,JD
13,华安期货,7015,1034.0,2025-08-19,jd2510,多单持仓,JD
14,中粮期货,6850,475.0,2025-08-19,jd2510,多单持仓,JD
15,华泰期货,6617,1309.0,2025-08-19,jd2510,多单持仓,JD
16,南华期货,6377,182.0,2025-08-19,jd2510,多单持仓,JD
17,东吴期货,6342,110.0,2025-08-19,jd2510,多单持仓,JD
18,光大期货,6273,417.0,2025-08-19,jd2510,多单持仓,JD
19,永安期货,6033,480.0,2025-08-19,jd2510,多单持仓,JD
20,宏源期货,5184,699.0,2025-08-19,jd2510,多单持仓,JD
1,国泰君安,20921,-794.0,2025-08-21,jd2510,多单持仓,JD
2,东方财富,19653,3619.0,2025-08-21,jd2510,多单持仓,JD
3,中信期货,18890,2048.0,2025-08-21,jd2510,多单持仓,JD
4,方正中期,18374,1475.0,2025-08-21,jd2510,多单持仓,JD
5,中信建投,17039,1839.0,2025-08-21,jd2510,多单持仓,JD
6,徽商期货,15939,2993.0,2025-08-21,jd2510,多单持仓,JD
7,银河期货,13643,-592.0,2025-08-21,jd2510,多单持仓,JD
8,东证期货,11735,1054.0,2025-08-21,jd2510,多单持仓,JD
9,招商期货,10706,277.0,2025-08-21,jd2510,多单持仓,JD
10,中泰期货,10213,1416.0,2025-08-21,jd2510,多单持仓,JD
11,广发期货,8914,477.0,2025-08-21,jd2510,多单持仓,JD
12,平安期货,8909,1576.0,2025-08-21,jd2510,多单持仓,JD
13,华安期货,7181,558.0,2025-08-21,jd2510,多单持仓,JD
14,南华期货,7077,375.0,2025-08-21,jd2510,多单持仓,JD
15,中粮期货,6879,205.0,2025-08-21,jd2510,多单持仓,JD
16,光大期货,6865,474.0,2025-08-21,jd2510,多单持仓,JD
17,华泰期货,6784,-545.0,2025-08-21,jd2510,多单持仓,JD
18,永安期货,6591,629.0,2025-08-21,jd2510,多单持仓,JD
19,国信期货,6170,700.0,2025-08-21,jd2510,多单持仓,JD
20,民生期货,6130,1302.0,2025-08-21,jd2510,多单持仓,JD
1,国泰君安,22747,1826.0,20250822,jd2510,多单持仓,JD
2,中信期货,18216,-674.0,20250822,jd2510,多单持仓,JD
3,方正中期,17607,-767.0,20250822,jd2510,多单持仓,JD
4,东方财富,17162,-2491.0,20250822,jd2510,多单持仓,JD
5,中信建投,15589,-1450.0,20250822,jd2510,多单持仓,JD
6,徽商期货,14756,-1183.0,20250822,jd2510,多单持仓,JD
7,银河期货,13720,77.0,20250822,jd2510,多单持仓,JD
8,东证期货,11454,-281.0,20250822,jd2510,多单持仓,JD
9,招商期货,10656,-50.0,20250822,jd2510,多单持仓,JD
10,中泰期货,10374,161.0,20250822,jd2510,多单持仓,JD
11,广发期货,8888,-26.0,20250822,jd2510,多单持仓,JD
12,平安期货,7932,-977.0,20250822,jd2510,多单持仓,JD
13,南华期货,7041,-36.0,20250822,jd2510,多单持仓,JD
14,光大期货,6916,51.0,20250822,jd2510,多单持仓,JD
15,华泰期货,6861,77.0,20250822,jd2510,多单持仓,JD
16,中粮期货,6648,-231.0,20250822,jd2510,多单持仓,JD
17,华安期货,6510,-671.0,20250822,jd2510,多单持仓,JD
18,申银万国,6074,-17.0,20250822,jd2510,多单持仓,JD
