排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,国泰君安,13086,1375.0,2025-11-10,jd2601,空单持仓,JD
2,中泰期货,8295,-151.0,2025-11-10,jd2601,空单持仓,JD
3,浙商期货,7718,-62.0,2025-11-10,jd2601,空单持仓,JD
4,银河期货,7472,392.0,2025-11-10,jd2601,空单持仓,JD
5,中信期货,7347,188.0,2025-11-10,jd2601,空单持仓,JD
6,东证期货,6690,495.0,2025-11-10,jd2601,空单持仓,JD
7,中信建投,5767,390.0,2025-11-10,jd2601,空单持仓,JD
8,方正中期,4273,123.0,2025-11-10,jd2601,空单持仓,JD
9,齐盛期货,3875,319.0,2025-11-10,jd2601,空单持仓,JD
10,华泰期货,3822,-225.0,2025-11-10,jd2601,空单持仓,JD
11,徽商期货,3569,440.0,2025-11-10,jd2601,空单持仓,JD
12,申银万国,3470,-1093.0,2025-11-10,jd2601,空单持仓,JD
13,东吴期货,3430,540.0,2025-11-10,jd2601,空单持仓,JD
14,新湖期货,3239,244.0,2025-11-10,jd2601,空单持仓,JD
15,宏源期货,3211,627.0,2025-11-10,jd2601,空单持仓,JD
16,广发期货,2985,40.0,2025-11-10,jd2601,空单持仓,JD
17,创元期货,2969,224.0,2025-11-10,jd2601,空单持仓,JD
18,永安期货,2817,196.0,2025-11-10,jd2601,空单持仓,JD
19,国信期货,2674,98.0,2025-11-10,jd2601,空单持仓,JD
20,国联期货,2468,-246.0,2025-11-10,jd2601,空单持仓,JD
1,国泰君安,15019,1933.0,2025-11-11,jd2601,空单持仓,JD
2,中信期货,8540,1193.0,2025-11-11,jd2601,空单持仓,JD
3,中泰期货,8385,90.0,2025-11-11,jd2601,空单持仓,JD
4,银河期货,8232,760.0,2025-11-11,jd2601,空单持仓,JD
5,浙商期货,7435,-283.0,2025-11-11,jd2601,空单持仓,JD
6,东证期货,6404,-286.0,2025-11-11,jd2601,空单持仓,JD
7,中信建投,5024,-743.0,2025-11-11,jd2601,空单持仓,JD
8,方正中期,3997,-276.0,2025-11-11,jd2601,空单持仓,JD
9,齐盛期货,3833,-42.0,2025-11-11,jd2601,空单持仓,JD
10,徽商期货,3765,196.0,2025-11-11,jd2601,空单持仓,JD
11,东吴期货,3607,177.0,2025-11-11,jd2601,空单持仓,JD
12,华泰期货,3521,-301.0,2025-11-11,jd2601,空单持仓,JD
13,创元期货,3304,335.0,2025-11-11,jd2601,空单持仓,JD
14,宏源期货,3277,66.0,2025-11-11,jd2601,空单持仓,JD
15,新湖期货,3159,-80.0,2025-11-11,jd2601,空单持仓,JD
16,申银万国,3024,-446.0,2025-11-11,jd2601,空单持仓,JD
17,广发期货,2802,-183.0,2025-11-11,jd2601,空单持仓,JD
18,国信期货,2731,57.0,2025-11-11,jd2601,空单持仓,JD
19,国投期货,2660,802.0,2025-11-11,jd2601,空单持仓,JD
20,国联期货,2568,100.0,2025-11-11,jd2601,空单持仓,JD
1,国泰君安,18237,3218.0,2025-11-12,jd2601,空单持仓,JD
2,东证期货,10031,3627.0,2025-11-12,jd2601,空单持仓,JD
3,中信期货,9566,1026.0,2025-11-12,jd2601,空单持仓,JD
4,银河期货,9215,983.0,2025-11-12,jd2601,空单持仓,JD
5,浙商期货,7625,190.0,2025-11-12,jd2601,空单持仓,JD
6,中泰期货,7182,-1203.0,2025-11-12,jd2601,空单持仓,JD
7,中信建投,6603,1579.0,2025-11-12,jd2601,空单持仓,JD
8,东吴期货,5704,2097.0,2025-11-12,jd2601,空单持仓,JD
9,齐盛期货,4350,517.0,2025-11-12,jd2601,空单持仓,JD
10,方正中期,3712,-285.0,2025-11-12,jd2601,空单持仓,JD
11,华泰期货,3604,83.0,2025-11-12,jd2601,空单持仓,JD
12,宏源期货,3457,180.0,2025-11-12,jd2601,空单持仓,JD
13,徽商期货,3441,-324.0,2025-11-12,jd2601,空单持仓,JD
14,申银万国,3355,331.0,2025-11-12,jd2601,空单持仓,JD
15,广发期货,3286,484.0,2025-11-12,jd2601,空单持仓,JD
16,国联期货,3272,704.0,2025-11-12,jd2601,空单持仓,JD
17,创元期货,3024,-280.0,2025-11-12,jd2601,空单持仓,JD
18,国信期货,3009,278.0,2025-11-12,jd2601,空单持仓,JD
19,国投期货,2977,317.0,2025-11-12,jd2601,空单持仓,JD
20,海通期货,2843,331.0,2025-11-12,jd2601,空单持仓,JD
