排名,会员简称,成交量,比上交易增减,date,contract,position_type,symbol,持仓量
1,中信期货,92565.0,42236.0,2025-08-18,jd2510,成交量,JD,
2,东证期货,45611.0,11759.0,2025-08-18,jd2510,成交量,JD,
3,冠通期货,41042.0,39435.0,2025-08-18,jd2510,成交量,JD,
4,国泰君安,39040.0,10374.0,2025-08-18,jd2510,成交量,JD,
5,徽商期货,28733.0,13380.0,2025-08-18,jd2510,成交量,JD,
6,中信建投,28196.0,13083.0,2025-08-18,jd2510,成交量,JD,
7,海通期货,27607.0,11126.0,2025-08-18,jd2510,成交量,JD,
8,银河期货,27204.0,10851.0,2025-08-18,jd2510,成交量,JD,
9,南华期货,24507.0,10587.0,2025-08-18,jd2510,成交量,JD,
10,方正中期,21572.0,5518.0,2025-08-18,jd2510,成交量,JD,
11,中泰期货,18057.0,9640.0,2025-08-18,jd2510,成交量,JD,
12,东方财富,17831.0,7215.0,2025-08-18,jd2510,成交量,JD,
13,华闻期货,14920.0,6357.0,2025-08-18,jd2510,成交量,JD,
14,东吴期货,13799.0,5089.0,2025-08-18,jd2510,成交量,JD,
15,大地期货,13795.0,11735.0,2025-08-18,jd2510,成交量,JD,
16,华泰期货,13750.0,5914.0,2025-08-18,jd2510,成交量,JD,
17,安粮期货,13495.0,6434.0,2025-08-18,jd2510,成交量,JD,
18,招商期货,12234.0,5343.0,2025-08-18,jd2510,成交量,JD,
19,广发期货,11988.0,6883.0,2025-08-18,jd2510,成交量,JD,
20,华安期货,10860.0,4382.0,2025-08-18,jd2510,成交量,JD,
1,中信期货,86404.0,-6161.0,2025-08-19,jd2510,成交量,JD,
2,东证期货,59227.0,13616.0,2025-08-19,jd2510,成交量,JD,
3,国泰君安,38394.0,-646.0,2025-08-19,jd2510,成交量,JD,
4,徽商期货,27381.0,-1352.0,2025-08-19,jd2510,成交量,JD,
5,南华期货,27154.0,2647.0,2025-08-19,jd2510,成交量,JD,
6,中信建投,25598.0,-2598.0,2025-08-19,jd2510,成交量,JD,
7,银河期货,25337.0,-1867.0,2025-08-19,jd2510,成交量,JD,
8,中泰期货,24613.0,6556.0,2025-08-19,jd2510,成交量,JD,
9,海通期货,22774.0,-4833.0,2025-08-19,jd2510,成交量,JD,
10,方正中期,21157.0,-415.0,2025-08-19,jd2510,成交量,JD,
11,东方财富,20573.0,2742.0,2025-08-19,jd2510,成交量,JD,
12,华闻期货,17061.0,2141.0,2025-08-19,jd2510,成交量,JD,
13,冠通期货,16025.0,-25017.0,2025-08-19,jd2510,成交量,JD,
14,安粮期货,15301.0,1806.0,2025-08-19,jd2510,成交量,JD,
15,东吴期货,14553.0,754.0,2025-08-19,jd2510,成交量,JD,
16,招商期货,12414.0,180.0,2025-08-19,jd2510,成交量,JD,
17,华泰期货,12257.0,-1493.0,2025-08-19,jd2510,成交量,JD,
18,宏源期货,11969.0,3107.0,2025-08-19,jd2510,成交量,JD,
19,国信期货,10957.0,3493.0,2025-08-19,jd2510,成交量,JD,
20,广发期货,9799.0,-2189.0,2025-08-19,jd2510,成交量,JD,
1,中信期货,102645.0,16241.0,2025-08-20,jd2510,成交量,JD,
2,东证期货,71397.0,12170.0,2025-08-20,jd2510,成交量,JD,
3,国泰君安,48229.0,9835.0,2025-08-20,jd2510,成交量,JD,
4,南华期货,44571.0,17417.0,2025-08-20,jd2510,成交量,JD,
5,海通期货,40300.0,17526.0,2025-08-20,jd2510,成交量,JD,
6,徽商期货,33698.0,6317.0,2025-08-20,jd2510,成交量,JD,
7,中信建投,30592.0,4994.0,2025-08-20,jd2510,成交量,JD,
8,银河期货,27382.0,2045.0,2025-08-20,jd2510,成交量,JD,
9,中泰期货,26779.0,2166.0,2025-08-20,jd2510,成交量,JD,
10,东方财富,23768.0,3195.0,2025-08-20,jd2510,成交量,JD,
11,方正中期,21245.0,88.0,2025-08-20,jd2510,成交量,JD,
12,华闻期货,19029.0,1968.0,2025-08-20,jd2510,成交量,JD,
13,宏源期货,18919.0,6950.0,2025-08-20,jd2510,成交量,JD,
14,华泰期货,17756.0,5499.0,2025-08-20,jd2510,成交量,JD,
15,冠通期货,17274.0,1249.0,2025-08-20,jd2510,成交量,JD,
16,宝城期货,16232.0,7031.0,2025-08-20,jd2510,成交量,JD,
17,安粮期货,16027.0,726.0,2025-08-20,jd2510,成交量,JD,
18,东吴期货,15962.0,1409.0,2025-08-20,jd2510,成交量,JD,
19,广发期货,14136.0,4337.0,2025-08-20,jd2510,成交量,JD,
20,招商期货,13893.0,1479.0,2025-08-20,jd2510,成交量,JD,
1,中信期货,106219.0,3574.0,2025-08-21,jd2510,成交量,JD,
2,东证期货,75730.0,4333.0,2025-08-21,jd2510,成交量,JD,
3,国泰君安,55186.0,6957.0,2025-08-21,jd2510,成交量,JD,
