排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,东证期货,31534,5120.0,2026-06-22,jm2609,多单持仓,JM
2,中信期货,31239,390.0,2026-06-22,jm2609,多单持仓,JM
3,国泰君安,27792,184.0,2026-06-22,jm2609,多单持仓,JM
4,银河期货,25090,-638.0,2026-06-22,jm2609,多单持仓,JM
5,永安期货,21872,381.0,2026-06-22,jm2609,多单持仓,JM
6,一德期货,16520,-57.0,2026-06-22,jm2609,多单持仓,JM
7,华泰期货,12691,-1518.0,2026-06-22,jm2609,多单持仓,JM
8,中信建投,11849,508.0,2026-06-22,jm2609,多单持仓,JM
9,徽商期货,11682,369.0,2026-06-22,jm2609,多单持仓,JM
10,方正中期,11379,-1044.0,2026-06-22,jm2609,多单持仓,JM
11,中泰期货,10848,1256.0,2026-06-22,jm2609,多单持仓,JM
12,浙商期货,10825,-8.0,2026-06-22,jm2609,多单持仓,JM
13,广发期货,10763,760.0,2026-06-22,jm2609,多单持仓,JM
14,中辉期货,8154,912.0,2026-06-22,jm2609,多单持仓,JM
15,东吴期货,8086,258.0,2026-06-22,jm2609,多单持仓,JM
16,海通期货,7943,1040.0,2026-06-22,jm2609,多单持仓,JM
17,平安期货,7812,-1605.0,2026-06-22,jm2609,多单持仓,JM
18,申银万国,6845,250.0,2026-06-22,jm2609,多单持仓,JM
19,瑞达期货,6231,436.0,2026-06-22,jm2609,多单持仓,JM
20,国信期货,6143,-372.0,2026-06-22,jm2609,多单持仓,JM
1,东证期货,32065,531.0,2026-06-23,jm2609,多单持仓,JM
2,中信期货,32053,814.0,2026-06-23,jm2609,多单持仓,JM
3,银河期货,25742,652.0,2026-06-23,jm2609,多单持仓,JM
4,国泰君安,24224,-3568.0,2026-06-23,jm2609,多单持仓,JM
5,永安期货,21615,-257.0,2026-06-23,jm2609,多单持仓,JM
6,一德期货,16157,-363.0,2026-06-23,jm2609,多单持仓,JM
7,华泰期货,15870,3179.0,2026-06-23,jm2609,多单持仓,JM
8,中泰期货,12634,1786.0,2026-06-23,jm2609,多单持仓,JM
9,方正中期,12179,800.0,2026-06-23,jm2609,多单持仓,JM
10,徽商期货,11993,311.0,2026-06-23,jm2609,多单持仓,JM
11,中信建投,11387,-462.0,2026-06-23,jm2609,多单持仓,JM
12,浙商期货,10351,-474.0,2026-06-23,jm2609,多单持仓,JM
13,广发期货,9376,-1387.0,2026-06-23,jm2609,多单持仓,JM
14,海通期货,9022,1079.0,2026-06-23,jm2609,多单持仓,JM
15,东吴期货,9005,919.0,2026-06-23,jm2609,多单持仓,JM
16,平安期货,7490,-322.0,2026-06-23,jm2609,多单持仓,JM
17,中辉期货,7266,-888.0,2026-06-23,jm2609,多单持仓,JM
18,瑞达期货,6212,-19.0,2026-06-23,jm2609,多单持仓,JM
19,光大期货,6020,-28.0,2026-06-23,jm2609,多单持仓,JM
20,国信期货,5869,-274.0,2026-06-23,jm2609,多单持仓,JM
1,中信期货,34521,2468.0,2026-06-24,jm2609,多单持仓,JM
2,东证期货,29539,-2526.0,2026-06-24,jm2609,多单持仓,JM
3,银河期货,25866,124.0,2026-06-24,jm2609,多单持仓,JM
4,国泰君安,24910,686.0,2026-06-24,jm2609,多单持仓,JM
5,永安期货,23260,1645.0,2026-06-24,jm2609,多单持仓,JM
6,一德期货,15511,-646.0,2026-06-24,jm2609,多单持仓,JM
7,华泰期货,14579,-1291.0,2026-06-24,jm2609,多单持仓,JM
8,中泰期货,12196,-438.0,2026-06-24,jm2609,多单持仓,JM
9,徽商期货,12093,100.0,2026-06-24,jm2609,多单持仓,JM
10,方正中期,11244,-935.0,2026-06-24,jm2609,多单持仓,JM
11,中信建投,11218,-169.0,2026-06-24,jm2609,多单持仓,JM
12,浙商期货,10890,539.0,2026-06-24,jm2609,多单持仓,JM
13,广发期货,9655,279.0,2026-06-24,jm2609,多单持仓,JM
14,海通期货,8643,-379.0,2026-06-24,jm2609,多单持仓,JM
15,平安期货,8606,1116.0,2026-06-24,jm2609,多单持仓,JM
16,东吴期货,8203,-802.0,2026-06-24,jm2609,多单持仓,JM
17,中辉期货,8015,749.0,2026-06-24,jm2609,多单持仓,JM
18,国信期货,7091,1222.0,2026-06-24,jm2609,多单持仓,JM
19,瑞达期货,6579,367.0,2026-06-24,jm2609,多单持仓,JM
20,光大期货,5616,-404.0,2026-06-24,jm2609,多单持仓,JM
