排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,中信期货,68490,11660.0,2025-08-18,jm2601,空单持仓,JM
2,国泰君安,61619,5885.0,2025-08-18,jm2601,空单持仓,JM
3,银河期货,31045,2038.0,2025-08-18,jm2601,空单持仓,JM
4,永安期货,28035,205.0,2025-08-18,jm2601,空单持仓,JM
5,宝城期货,26506,998.0,2025-08-18,jm2601,空单持仓,JM
6,申银万国,26435,-1939.0,2025-08-18,jm2601,空单持仓,JM
7,东证期货,26198,4479.0,2025-08-18,jm2601,空单持仓,JM
8,一德期货,24758,-1425.0,2025-08-18,jm2601,空单持仓,JM
9,浙商期货,22850,-281.0,2025-08-18,jm2601,空单持仓,JM
10,广发期货,19777,4990.0,2025-08-18,jm2601,空单持仓,JM
11,华泰期货,18143,2720.0,2025-08-18,jm2601,空单持仓,JM
12,方正中期,15271,-898.0,2025-08-18,jm2601,空单持仓,JM
13,东海期货,14879,258.0,2025-08-18,jm2601,空单持仓,JM
14,中信建投,14374,368.0,2025-08-18,jm2601,空单持仓,JM
15,大地期货,13157,537.0,2025-08-18,jm2601,空单持仓,JM
16,金瑞期货,12505,438.0,2025-08-18,jm2601,空单持仓,JM
17,物产中大,12006,-311.0,2025-08-18,jm2601,空单持仓,JM
18,海通期货,11078,3503.0,2025-08-18,jm2601,空单持仓,JM
19,中泰期货,10595,1115.0,2025-08-18,jm2601,空单持仓,JM
20,国联期货,9464,1859.0,2025-08-18,jm2601,空单持仓,JM
1,中信期货,67125,-1365.0,2025-08-19,jm2601,空单持仓,JM
2,国泰君安,61478,-141.0,2025-08-19,jm2601,空单持仓,JM
3,银河期货,32114,1069.0,2025-08-19,jm2601,空单持仓,JM
4,永安期货,28776,741.0,2025-08-19,jm2601,空单持仓,JM
5,申银万国,27934,1499.0,2025-08-19,jm2601,空单持仓,JM
6,宝城期货,26421,-85.0,2025-08-19,jm2601,空单持仓,JM
7,一德期货,26027,1269.0,2025-08-19,jm2601,空单持仓,JM
8,浙商期货,23301,451.0,2025-08-19,jm2601,空单持仓,JM
9,广发期货,21478,1701.0,2025-08-19,jm2601,空单持仓,JM
10,东证期货,20768,-5430.0,2025-08-19,jm2601,空单持仓,JM
11,华泰期货,18602,459.0,2025-08-19,jm2601,空单持仓,JM
12,东海期货,15356,477.0,2025-08-19,jm2601,空单持仓,JM
13,方正中期,14998,-273.0,2025-08-19,jm2601,空单持仓,JM
14,中信建投,13708,-666.0,2025-08-19,jm2601,空单持仓,JM
15,大地期货,13231,74.0,2025-08-19,jm2601,空单持仓,JM
16,金瑞期货,12783,278.0,2025-08-19,jm2601,空单持仓,JM
17,物产中大,12536,530.0,2025-08-19,jm2601,空单持仓,JM
18,中泰期货,10984,389.0,2025-08-19,jm2601,空单持仓,JM
19,国联期货,9269,-195.0,2025-08-19,jm2601,空单持仓,JM
20,海通期货,9257,-1821.0,2025-08-19,jm2601,空单持仓,JM
1,中信期货,70866,3741.0,2025-08-20,jm2601,空单持仓,JM
2,国泰君安,61541,63.0,2025-08-20,jm2601,空单持仓,JM
3,银河期货,33389,1275.0,2025-08-20,jm2601,空单持仓,JM
4,永安期货,30350,1574.0,2025-08-20,jm2601,空单持仓,JM
5,宝城期货,26573,152.0,2025-08-20,jm2601,空单持仓,JM
6,申银万国,26367,-1567.0,2025-08-20,jm2601,空单持仓,JM
7,浙商期货,24139,838.0,2025-08-20,jm2601,空单持仓,JM
8,东证期货,22655,1887.0,2025-08-20,jm2601,空单持仓,JM
9,一德期货,21595,-4432.0,2025-08-20,jm2601,空单持仓,JM
10,广发期货,21525,47.0,2025-08-20,jm2601,空单持仓,JM
11,华泰期货,17636,-966.0,2025-08-20,jm2601,空单持仓,JM
12,方正中期,14782,-216.0,2025-08-20,jm2601,空单持仓,JM
13,东海期货,14656,-700.0,2025-08-20,jm2601,空单持仓,JM
14,大地期货,12742,-489.0,2025-08-20,jm2601,空单持仓,JM
15,金瑞期货,12544,-239.0,2025-08-20,jm2601,空单持仓,JM
16,物产中大,11979,-557.0,2025-08-20,jm2601,空单持仓,JM
17,海通期货,11443,2186.0,2025-08-20,jm2601,空单持仓,JM
18,中泰期货,10569,-415.0,2025-08-20,jm2601,空单持仓,JM
19,中信建投,9958,-3750.0,2025-08-20,jm2601,空单持仓,JM
20,国联期货,9265,-4.0,2025-08-20,jm2601,空单持仓,JM
1,中信期货,70260,-606.0,2025-08-21,jm2601,空单持仓,JM
2,国泰君安,62313,772.0,2025-08-21,jm2601,空单持仓,JM
3,银河期货,33189,-200.0,2025-08-21,jm2601,空单持仓,JM
4,永安期货,31353,1003.0,2025-08-21,jm2601,空单持仓,JM
5,宝城期货,26636,63.0,2025-08-21,jm2601,空单持仓,JM
6,申银万国,25664,-703.0,2025-08-21,jm2601,空单持仓,JM
7,浙商期货,23944,-195.0,2025-08-21,jm2601,空单持仓,JM
8,广发期货,22279,754.0,2025-08-21,jm2601,空单持仓,JM
9,一德期货,20769,-826.0,2025-08-21,jm2601,空单持仓,JM
10,东证期货,20211,-2444.0,2025-08-21,jm2601,空单持仓,JM
11,华泰期货,17445,-191.0,2025-08-21,jm2601,空单持仓,JM
12,方正中期,15541,759.0,2025-08-21,jm2601,空单持仓,JM
13,大地期货,13856,1114.0,2025-08-21,jm2601,空单持仓,JM
14,东海期货,13178,-1478.0,2025-08-21,jm2601,空单持仓,JM
15,金瑞期货,12377,-167.0,2025-08-21,jm2601,空单持仓,JM
16,物产中大,12148,169.0,2025-08-21,jm2601,空单持仓,JM
17,中泰期货,10403,-166.0,2025-08-21,jm2601,空单持仓,JM
18,海通期货,9932,-1511.0,2025-08-21,jm2601,空单持仓,JM
19,国联期货,9389,124.0,2025-08-21,jm2601,空单持仓,JM
20,中信建投,9368,-590.0,2025-08-21,jm2601,空单持仓,JM
1,中信期货,69661,-599.0,20250822,jm2601,空单持仓,JM
2,国泰君安,63143,830.0,20250822,jm2601,空单持仓,JM
3,银河期货,32571,-618.0,20250822,jm2601,空单持仓,JM
4,永安期货,31801,448.0,20250822,jm2601,空单持仓,JM
5,申银万国,26901,1237.0,20250822,jm2601,空单持仓,JM
6,宝城期货,26143,-493.0,20250822,jm2601,空单持仓,JM
7,浙商期货,23313,-631.0,20250822,jm2601,空单持仓,JM
8,广发期货,22581,302.0,20250822,jm2601,空单持仓,JM
9,一德期货,22495,1726.0,20250822,jm2601,空单持仓,JM
10,东证期货,20713,502.0,20250822,jm2601,空单持仓,JM
11,华泰期货,17284,-161.0,20250822,jm2601,空单持仓,JM
12,方正中期,15653,112.0,20250822,jm2601,空单持仓,JM
13,东海期货,13499,321.0,20250822,jm2601,空单持仓,JM
14,物产中大,12412,264.0,20250822,jm2601,空单持仓,JM
15,大地期货,12398,-1458.0,20250822,jm2601,空单持仓,JM
16,金瑞期货,12215,-162.0,20250822,jm2601,空单持仓,JM
17,海通期货,11112,1180.0,20250822,jm2601,空单持仓,JM
18,中泰期货,10926,523.0,20250822,jm2601,空单持仓,JM
19,中信建投,10178,810.0,20250822,jm2601,空单持仓,JM
20,国联期货,9665,276.0,20250822,jm2601,空单持仓,JM
1,中信期货,69387,-274.0,20250825,jm2601,空单持仓,JM
2,国泰君安,61862,-1281.0,20250825,jm2601,空单持仓,JM
3,银河期货,35120,2549.0,20250825,jm2601,空单持仓,JM
4,永安期货,31158,-643.0,20250825,jm2601,空单持仓,JM
5,申银万国,27907,1006.0,20250825,jm2601,空单持仓,JM
6,宝城期货,26275,132.0,20250825,jm2601,空单持仓,JM
7,浙商期货,24167,854.0,20250825,jm2601,空单持仓,JM
8,广发期货,22752,171.0,20250825,jm2601,空单持仓,JM
9,东证期货,22508,1795.0,20250825,jm2601,空单持仓,JM
10,一德期货,20918,-1577.0,20250825,jm2601,空单持仓,JM
11,华泰期货,18940,1656.0,20250825,jm2601,空单持仓,JM
12,方正中期,17504,1851.0,20250825,jm2601,空单持仓,JM
13,东海期货,14286,787.0,20250825,jm2601,空单持仓,JM
14,金瑞期货,12154,-61.0,20250825,jm2601,空单持仓,JM
15,物产中大,11955,-457.0,20250825,jm2601,空单持仓,JM
16,大地期货,11736,-662.0,20250825,jm2601,空单持仓,JM
17,海通期货,11396,284.0,20250825,jm2601,空单持仓,JM
18,国联期货,10544,879.0,20250825,jm2601,空单持仓,JM
19,中泰期货,10483,-443.0,20250825,jm2601,空单持仓,JM
20,中信建投,10244,66.0,20250825,jm2601,空单持仓,JM
1,中信期货,72575,3188.0,20250826,jm2601,空单持仓,JM
2,国泰君安,64691,2829.0,20250826,jm2601,空单持仓,JM
3,银河期货,35284,164.0,20250826,jm2601,空单持仓,JM
4,永安期货,31664,506.0,20250826,jm2601,空单持仓,JM
5,申银万国,27841,-66.0,20250826,jm2601,空单持仓,JM
6,宝城期货,27101,826.0,20250826,jm2601,空单持仓,JM
7,东证期货,24225,1717.0,20250826,jm2601,空单持仓,JM
8,浙商期货,24171,4.0,20250826,jm2601,空单持仓,JM
9,广发期货,22623,-129.0,20250826,jm2601,空单持仓,JM
10,一德期货,20284,-634.0,20250826,jm2601,空单持仓,JM
11,华泰期货,20181,1241.0,20250826,jm2601,空单持仓,JM
12,方正中期,15351,-2153.0,20250826,jm2601,空单持仓,JM
13,东海期货,14490,204.0,20250826,jm2601,空单持仓,JM
14,物产中大,12281,326.0,20250826,jm2601,空单持仓,JM
15,海通期货,12095,699.0,20250826,jm2601,空单持仓,JM
16,大地期货,11788,52.0,20250826,jm2601,空单持仓,JM
17,金瑞期货,11700,-454.0,20250826,jm2601,空单持仓,JM
18,渤海期货,10475,737.0,20250826,jm2601,空单持仓,JM
19,中泰期货,10088,-395.0,20250826,jm2601,空单持仓,JM
20,国联期货,10033,-511.0,20250826,jm2601,空单持仓,JM
1,中信期货,72836,261.0,20250827,JM2601,空单持仓,JM
2,国泰君安,63729,-962.0,20250827,JM2601,空单持仓,JM
3,银河期货,35165,-119.0,20250827,JM2601,空单持仓,JM
4,永安期货,29913,-1751.0,20250827,JM2601,空单持仓,JM
5,申银万国,28112,271.0,20250827,JM2601,空单持仓,JM
6,宝城期货,26967,-134.0,20250827,JM2601,空单持仓,JM
7,东证期货,25896,1671.0,20250827,JM2601,空单持仓,JM
8,浙商期货,24127,-44.0,20250827,JM2601,空单持仓,JM
9,广发期货,23840,1217.0,20250827,JM2601,空单持仓,JM
10,一德期货,19793,-491.0,20250827,JM2601,空单持仓,JM
11,华泰期货,19373,-808.0,20250827,JM2601,空单持仓,JM
12,方正中期,15611,260.0,20250827,JM2601,空单持仓,JM
13,东海期货,14697,207.0,20250827,JM2601,空单持仓,JM
14,物产中大,12314,33.0,20250827,JM2601,空单持仓,JM
15,大地期货,11818,30.0,20250827,JM2601,空单持仓,JM
16,金瑞期货,11794,94.0,20250827,JM2601,空单持仓,JM
17,海通期货,10455,-1640.0,20250827,JM2601,空单持仓,JM
18,国联期货,10395,362.0,20250827,JM2601,空单持仓,JM
19,渤海期货,10370,-105.0,20250827,JM2601,空单持仓,JM
20,中泰期货,9995,-93.0,20250827,JM2601,空单持仓,JM
1,中信期货,72505,-331.0,20250828,JM2601,空单持仓,JM
2,国泰君安,65687,1958.0,20250828,JM2601,空单持仓,JM
3,银河期货,36499,1334.0,20250828,JM2601,空单持仓,JM
4,永安期货,31579,1666.0,20250828,JM2601,空单持仓,JM
5,申银万国,28543,431.0,20250828,JM2601,空单持仓,JM
6,宝城期货,26653,-314.0,20250828,JM2601,空单持仓,JM
7,浙商期货,24214,87.0,20250828,JM2601,空单持仓,JM
8,东证期货,23696,-2200.0,20250828,JM2601,空单持仓,JM
9,广发期货,22965,-875.0,20250828,JM2601,空单持仓,JM
10,一德期货,19963,170.0,20250828,JM2601,空单持仓,JM
11,华泰期货,19338,-35.0,20250828,JM2601,空单持仓,JM
12,方正中期,14723,-888.0,20250828,JM2601,空单持仓,JM
13,东海期货,13998,-699.0,20250828,JM2601,空单持仓,JM
14,物产中大,12119,-195.0,20250828,JM2601,空单持仓,JM
15,大地期货,11972,154.0,20250828,JM2601,空单持仓,JM
16,金瑞期货,11881,87.0,20250828,JM2601,空单持仓,JM
17,渤海期货,11478,1108.0,20250828,JM2601,空单持仓,JM
18,国联期货,11035,640.0,20250828,JM2601,空单持仓,JM
19,海通期货,10653,198.0,20250828,JM2601,空单持仓,JM
20,中泰期货,9955,-40.0,20250828,JM2601,空单持仓,JM
1,中信期货,73007,502.0,20250829,JM2601,空单持仓,JM
2,国泰君安,66695,1008.0,20250829,JM2601,空单持仓,JM
3,银河期货,38701,2202.0,20250829,JM2601,空单持仓,JM
4,永安期货,32594,1015.0,20250829,JM2601,空单持仓,JM
5,申银万国,28129,-414.0,20250829,JM2601,空单持仓,JM
6,宝城期货,27194,541.0,20250829,JM2601,空单持仓,JM
7,东证期货,26759,3063.0,20250829,JM2601,空单持仓,JM
8,浙商期货,25088,874.0,20250829,JM2601,空单持仓,JM
9,广发期货,21774,-1191.0,20250829,JM2601,空单持仓,JM
10,华泰期货,20198,860.0,20250829,JM2601,空单持仓,JM
11,一德期货,19209,-754.0,20250829,JM2601,空单持仓,JM
12,东海期货,13648,-350.0,20250829,JM2601,空单持仓,JM
13,方正中期,13523,-1200.0,20250829,JM2601,空单持仓,JM
14,物产中大,12272,153.0,20250829,JM2601,空单持仓,JM
15,金瑞期货,12103,222.0,20250829,JM2601,空单持仓,JM
16,大地期货,11666,-306.0,20250829,JM2601,空单持仓,JM
17,海通期货,11444,791.0,20250829,JM2601,空单持仓,JM
18,国联期货,11162,127.0,20250829,JM2601,空单持仓,JM
19,渤海期货,10578,-900.0,20250829,JM2601,空单持仓,JM
20,中信建投,9812,480.0,20250829,JM2601,空单持仓,JM
1,中信期货,73633,626.0,20250901,JM2601,空单持仓,JM
2,国泰君安,69419,2724.0,20250901,JM2601,空单持仓,JM
3,银河期货,39288,587.0,20250901,JM2601,空单持仓,JM
4,永安期货,31253,-1341.0,20250901,JM2601,空单持仓,JM
5,东证期货,28971,2212.0,20250901,JM2601,空单持仓,JM
6,宝城期货,27366,172.0,20250901,JM2601,空单持仓,JM
7,申银万国,26250,-1879.0,20250901,JM2601,空单持仓,JM
8,浙商期货,25577,489.0,20250901,JM2601,空单持仓,JM
9,广发期货,24744,2970.0,20250901,JM2601,空单持仓,JM
10,华泰期货,20248,50.0,20250901,JM2601,空单持仓,JM
11,一德期货,19817,608.0,20250901,JM2601,空单持仓,JM
12,东海期货,13628,-20.0,20250901,JM2601,空单持仓,JM
13,方正中期,13529,6.0,20250901,JM2601,空单持仓,JM
14,大地期货,12027,361.0,20250901,JM2601,空单持仓,JM
