排名,会员简称,成交量,比上交易增减,date,contract,position_type,symbol
1,国泰君安,146368,-152816.0,2026-06-22,jm2609,成交量,JM
2,中信期货,131366,-157181.0,2026-06-22,jm2609,成交量,JM
3,东证期货,93853,-87395.0,2026-06-22,jm2609,成交量,JM
4,广发期货,60407,-87993.0,2026-06-22,jm2609,成交量,JM
5,华闻期货,39384,-56813.0,2026-06-22,jm2609,成交量,JM
6,银河期货,35538,-65422.0,2026-06-22,jm2609,成交量,JM
7,中信建投,25842,-59478.0,2026-06-22,jm2609,成交量,JM
8,华泰期货,24951,-54959.0,2026-06-22,jm2609,成交量,JM
9,中泰期货,24002,-52312.0,2026-06-22,jm2609,成交量,JM
10,徽商期货,21043,-46877.0,2026-06-22,jm2609,成交量,JM
11,海通期货,19511,-27188.0,2026-06-22,jm2609,成交量,JM
12,方正中期,19001,-43737.0,2026-06-22,jm2609,成交量,JM
13,光大期货,16720,-16567.0,2026-06-22,jm2609,成交量,JM
14,中辉期货,15612,-48476.0,2026-06-22,jm2609,成交量,JM
15,招商期货,14375,-32222.0,2026-06-22,jm2609,成交量,JM
16,渤海期货,14152,-56849.0,2026-06-22,jm2609,成交量,JM
17,宝城期货,14119,-42443.0,2026-06-22,jm2609,成交量,JM
18,平安期货,13158,-20209.0,2026-06-22,jm2609,成交量,JM
19,国信期货,13156,-25115.0,2026-06-22,jm2609,成交量,JM
20,浙商期货,11431,-27362.0,2026-06-22,jm2609,成交量,JM
1,中信期货,176603,45237.0,2026-06-23,jm2609,成交量,JM
2,国泰君安,165833,19465.0,2026-06-23,jm2609,成交量,JM
3,东证期货,120698,26845.0,2026-06-23,jm2609,成交量,JM
4,广发期货,80604,20197.0,2026-06-23,jm2609,成交量,JM
5,银河期货,45847,10309.0,2026-06-23,jm2609,成交量,JM
6,华闻期货,44416,5032.0,2026-06-23,jm2609,成交量,JM
7,华泰期货,38529,13578.0,2026-06-23,jm2609,成交量,JM
8,中信建投,37123,11281.0,2026-06-23,jm2609,成交量,JM
9,徽商期货,31029,9986.0,2026-06-23,jm2609,成交量,JM
10,中泰期货,30291,6289.0,2026-06-23,jm2609,成交量,JM
11,方正中期,28096,9095.0,2026-06-23,jm2609,成交量,JM
12,宝城期货,22055,7936.0,2026-06-23,jm2609,成交量,JM
13,光大期货,21095,4375.0,2026-06-23,jm2609,成交量,JM
14,中辉期货,20545,4933.0,2026-06-23,jm2609,成交量,JM
15,海通期货,20516,1005.0,2026-06-23,jm2609,成交量,JM
16,平安期货,20149,6991.0,2026-06-23,jm2609,成交量,JM
17,招商期货,17457,3082.0,2026-06-23,jm2609,成交量,JM
18,浙商期货,17429,5998.0,2026-06-23,jm2609,成交量,JM
19,东吴期货,17174,5783.0,2026-06-23,jm2609,成交量,JM
20,渤海期货,16922,2770.0,2026-06-23,jm2609,成交量,JM
1,中信期货,143409,-33194.0,2026-06-24,jm2609,成交量,JM
2,国泰君安,137362,-28471.0,2026-06-24,jm2609,成交量,JM
3,东证期货,88007,-32691.0,2026-06-24,jm2609,成交量,JM
4,广发期货,60634,-19970.0,2026-06-24,jm2609,成交量,JM
5,银河期货,37884,-7963.0,2026-06-24,jm2609,成交量,JM
6,华泰期货,35646,-2883.0,2026-06-24,jm2609,成交量,JM
7,中信建投,34940,-2183.0,2026-06-24,jm2609,成交量,JM
8,华闻期货,34738,-9678.0,2026-06-24,jm2609,成交量,JM
9,中泰期货,26403,-3888.0,2026-06-24,jm2609,成交量,JM
10,徽商期货,24247,-6782.0,2026-06-24,jm2609,成交量,JM
11,海通期货,21205,689.0,2026-06-24,jm2609,成交量,JM
12,方正中期,20332,-7764.0,2026-06-24,jm2609,成交量,JM
13,光大期货,18610,-2485.0,2026-06-24,jm2609,成交量,JM
14,招商期货,17740,283.0,2026-06-24,jm2609,成交量,JM
15,中辉期货,15774,-4771.0,2026-06-24,jm2609,成交量,JM
16,永安期货,15242,-783.0,2026-06-24,jm2609,成交量,JM
17,宝城期货,15142,-6913.0,2026-06-24,jm2609,成交量,JM
18,平安期货,15085,-5064.0,2026-06-24,jm2609,成交量,JM
19,渤海期货,14201,-2721.0,2026-06-24,jm2609,成交量,JM
20,国信期货,13267,-3531.0,2026-06-24,jm2609,成交量,JM
