排名,会员简称,成交量,比上交易增减,date,contract,position_type,symbol
1,东证期货,72412,6191.0,2025-11-10,l2601,成交量,L
2,国泰君安,65416,3916.0,2025-11-10,l2601,成交量,L
3,中信期货,39291,1540.0,2025-11-10,l2601,成交量,L
4,浙商期货,23354,3916.0,2025-11-10,l2601,成交量,L
5,广发期货,22221,-1276.0,2025-11-10,l2601,成交量,L
6,南华期货,14588,-820.0,2025-11-10,l2601,成交量,L
7,中泰期货,14308,4512.0,2025-11-10,l2601,成交量,L
8,银河期货,14248,-5860.0,2025-11-10,l2601,成交量,L
9,华泰期货,11846,123.0,2025-11-10,l2601,成交量,L
10,方正中期,10264,3659.0,2025-11-10,l2601,成交量,L
11,华闻期货,9845,196.0,2025-11-10,l2601,成交量,L
12,光大期货,8834,-825.0,2025-11-10,l2601,成交量,L
13,招商期货,8149,2195.0,2025-11-10,l2601,成交量,L
14,国信期货,8083,413.0,2025-11-10,l2601,成交量,L
15,海通期货,7543,2577.0,2025-11-10,l2601,成交量,L
16,徽商期货,7318,237.0,2025-11-10,l2601,成交量,L
17,中信建投,6396,-1967.0,2025-11-10,l2601,成交量,L
18,国贸期货,5446,621.0,2025-11-10,l2601,成交量,L
19,平安期货,4914,1960.0,2025-11-10,l2601,成交量,L
20,国投期货,4516,-846.0,2025-11-10,l2601,成交量,L
1,东证期货,63373,-9039.0,2025-11-11,l2601,成交量,L
2,国泰君安,37013,-28403.0,2025-11-11,l2601,成交量,L
3,中信期货,32010,-7281.0,2025-11-11,l2601,成交量,L
4,浙商期货,19193,-4161.0,2025-11-11,l2601,成交量,L
5,广发期货,17568,-4653.0,2025-11-11,l2601,成交量,L
6,华泰期货,13754,1908.0,2025-11-11,l2601,成交量,L
7,银河期货,11630,-2618.0,2025-11-11,l2601,成交量,L
8,中泰期货,9558,-4750.0,2025-11-11,l2601,成交量,L
9,南华期货,8921,-5667.0,2025-11-11,l2601,成交量,L
10,华闻期货,7878,-1967.0,2025-11-11,l2601,成交量,L
11,光大期货,7412,-1422.0,2025-11-11,l2601,成交量,L
12,国信期货,7354,-729.0,2025-11-11,l2601,成交量,L
13,方正中期,6464,-3800.0,2025-11-11,l2601,成交量,L
14,徽商期货,6428,-890.0,2025-11-11,l2601,成交量,L
15,中信建投,6090,-306.0,2025-11-11,l2601,成交量,L
16,招商期货,5990,-2159.0,2025-11-11,l2601,成交量,L
17,宝城期货,5484,1019.0,2025-11-11,l2601,成交量,L
18,国投期货,4381,-135.0,2025-11-11,l2601,成交量,L
19,申银万国,3531,437.0,2025-11-11,l2601,成交量,L
20,平安期货,3518,-1396.0,2025-11-11,l2601,成交量,L
1,东证期货,66740,3367.0,2025-11-12,l2601,成交量,L
2,国泰君安,37188,175.0,2025-11-12,l2601,成交量,L
3,中信期货,35133,3123.0,2025-11-12,l2601,成交量,L
4,广发期货,19178,1610.0,2025-11-12,l2601,成交量,L
5,浙商期货,12907,-6286.0,2025-11-12,l2601,成交量,L
6,华泰期货,11729,-2025.0,2025-11-12,l2601,成交量,L
7,南华期货,10335,1414.0,2025-11-12,l2601,成交量,L
8,中泰期货,10053,495.0,2025-11-12,l2601,成交量,L
9,银河期货,9659,-1971.0,2025-11-12,l2601,成交量,L
10,国贸期货,7610,5003.0,2025-11-12,l2601,成交量,L
11,国信期货,6819,-535.0,2025-11-12,l2601,成交量,L
12,中信建投,6517,427.0,2025-11-12,l2601,成交量,L
13,光大期货,6326,-1086.0,2025-11-12,l2601,成交量,L
14,招商期货,5537,-453.0,2025-11-12,l2601,成交量,L
15,华闻期货,5058,-2820.0,2025-11-12,l2601,成交量,L
16,徽商期货,5031,-1397.0,2025-11-12,l2601,成交量,L
17,永安期货,4539,1450.0,2025-11-12,l2601,成交量,L
18,申银万国,4513,982.0,2025-11-12,l2601,成交量,L
19,国投期货,4507,126.0,2025-11-12,l2601,成交量,L
20,海通期货,4169,841.0,2025-11-12,l2601,成交量,L
