排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,国泰君安,11730,340.0,2026-06-22,lh2609,多单持仓,LH
2,中信期货,11270,-587.0,2026-06-22,lh2609,多单持仓,LH
3,东证期货,9486,148.0,2026-06-22,lh2609,多单持仓,LH
4,中信建投,8604,223.0,2026-06-22,lh2609,多单持仓,LH
5,银河期货,8269,208.0,2026-06-22,lh2609,多单持仓,LH
6,东方财富,6947,-223.0,2026-06-22,lh2609,多单持仓,LH
7,广发期货,6616,364.0,2026-06-22,lh2609,多单持仓,LH
8,华泰期货,5952,473.0,2026-06-22,lh2609,多单持仓,LH
9,方正中期,5684,49.0,2026-06-22,lh2609,多单持仓,LH
10,光大期货,5239,-54.0,2026-06-22,lh2609,多单持仓,LH
11,中泰期货,5221,-14.0,2026-06-22,lh2609,多单持仓,LH
12,永安期货,4919,97.0,2026-06-22,lh2609,多单持仓,LH
13,南华期货,3989,83.0,2026-06-22,lh2609,多单持仓,LH
14,中粮期货,3852,220.0,2026-06-22,lh2609,多单持仓,LH
15,平安期货,3689,-34.0,2026-06-22,lh2609,多单持仓,LH
16,徽商期货,3445,9.0,2026-06-22,lh2609,多单持仓,LH
17,东吴期货,3309,457.0,2026-06-22,lh2609,多单持仓,LH
18,海通期货,3262,223.0,2026-06-22,lh2609,多单持仓,LH
19,国投期货,3081,431.0,2026-06-22,lh2609,多单持仓,LH
20,宏源期货,2950,392.0,2026-06-22,lh2609,多单持仓,LH
1,国泰君安,12680,950.0,2026-06-23,lh2609,多单持仓,LH
2,中信期货,11749,479.0,2026-06-23,lh2609,多单持仓,LH
3,东证期货,9315,-171.0,2026-06-23,lh2609,多单持仓,LH
4,中信建投,9038,434.0,2026-06-23,lh2609,多单持仓,LH
5,银河期货,8436,167.0,2026-06-23,lh2609,多单持仓,LH
6,广发期货,7500,884.0,2026-06-23,lh2609,多单持仓,LH
7,东方财富,6995,48.0,2026-06-23,lh2609,多单持仓,LH
8,华泰期货,5980,28.0,2026-06-23,lh2609,多单持仓,LH
9,方正中期,5603,-81.0,2026-06-23,lh2609,多单持仓,LH
10,永安期货,5305,386.0,2026-06-23,lh2609,多单持仓,LH
11,中泰期货,4951,-270.0,2026-06-23,lh2609,多单持仓,LH
12,光大期货,4743,-496.0,2026-06-23,lh2609,多单持仓,LH
13,南华期货,3852,-137.0,2026-06-23,lh2609,多单持仓,LH
14,中粮期货,3833,-19.0,2026-06-23,lh2609,多单持仓,LH
15,平安期货,3707,18.0,2026-06-23,lh2609,多单持仓,LH
16,徽商期货,3417,-28.0,2026-06-23,lh2609,多单持仓,LH
17,海通期货,3385,123.0,2026-06-23,lh2609,多单持仓,LH
18,东吴期货,3037,-272.0,2026-06-23,lh2609,多单持仓,LH
19,国投期货,2939,-142.0,2026-06-23,lh2609,多单持仓,LH
20,中辉期货,2880,292.0,2026-06-23,lh2609,多单持仓,LH
1,国泰君安,13784,1104.0,2026-06-24,lh2609,多单持仓,LH
2,东证期货,12156,2841.0,2026-06-24,lh2609,多单持仓,LH
3,中信期货,10725,-1024.0,2026-06-24,lh2609,多单持仓,LH
4,中信建投,8922,-116.0,2026-06-24,lh2609,多单持仓,LH
5,银河期货,7308,-1128.0,2026-06-24,lh2609,多单持仓,LH
6,广发期货,6529,-971.0,2026-06-24,lh2609,多单持仓,LH
7,华泰期货,6114,134.0,2026-06-24,lh2609,多单持仓,LH
8,东方财富,5767,-1228.0,2026-06-24,lh2609,多单持仓,LH
9,方正中期,5735,132.0,2026-06-24,lh2609,多单持仓,LH
10,永安期货,5723,418.0,2026-06-24,lh2609,多单持仓,LH
11,中泰期货,5015,64.0,2026-06-24,lh2609,多单持仓,LH
12,南华期货,4287,435.0,2026-06-24,lh2609,多单持仓,LH
13,光大期货,4180,-563.0,2026-06-24,lh2609,多单持仓,LH
14,中粮期货,3606,-227.0,2026-06-24,lh2609,多单持仓,LH
15,海通期货,3541,156.0,2026-06-24,lh2609,多单持仓,LH
16,徽商期货,3393,-24.0,2026-06-24,lh2609,多单持仓,LH
17,平安期货,3290,-417.0,2026-06-24,lh2609,多单持仓,LH
18,东吴期货,3031,-6.0,2026-06-24,lh2609,多单持仓,LH
19,国投期货,2880,-59.0,2026-06-24,lh2609,多单持仓,LH
20,宏源期货,2728,43.0,2026-06-24,lh2609,多单持仓,LH
