排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,国泰君安,6800,442.0,2025-08-18,lh2511,空单持仓,LH
2,中信期货,5140,778.0,2025-08-18,lh2511,空单持仓,LH
3,南华期货,3700,219.0,2025-08-18,lh2511,空单持仓,LH
4,中信建投,3318,440.0,2025-08-18,lh2511,空单持仓,LH
5,东证期货,3029,634.0,2025-08-18,lh2511,空单持仓,LH
6,瑞达期货,2631,94.0,2025-08-18,lh2511,空单持仓,LH
7,海通期货,2472,306.0,2025-08-18,lh2511,空单持仓,LH
8,永安期货,2217,-17.0,2025-08-18,lh2511,空单持仓,LH
9,招商期货,2056,114.0,2025-08-18,lh2511,空单持仓,LH
10,方正中期,2053,153.0,2025-08-18,lh2511,空单持仓,LH
11,格林大华,1905,33.0,2025-08-18,lh2511,空单持仓,LH
12,长江期货,1787,180.0,2025-08-18,lh2511,空单持仓,LH
13,华泰期货,1731,145.0,2025-08-18,lh2511,空单持仓,LH
14,光大期货,1684,434.0,2025-08-18,lh2511,空单持仓,LH
15,首创京都,1398,-43.0,2025-08-18,lh2511,空单持仓,LH
16,银河期货,1355,-75.0,2025-08-18,lh2511,空单持仓,LH
17,中财期货,1340,224.0,2025-08-18,lh2511,空单持仓,LH
18,中粮期货,1334,28.0,2025-08-18,lh2511,空单持仓,LH
19,创元期货,1327,48.0,2025-08-18,lh2511,空单持仓,LH
20,华闻期货,1280,454.0,2025-08-18,lh2511,空单持仓,LH
1,国泰君安,6251,-549.0,2025-08-19,lh2511,空单持仓,LH
2,中信期货,4398,-742.0,2025-08-19,lh2511,空单持仓,LH
3,南华期货,3604,-96.0,2025-08-19,lh2511,空单持仓,LH
4,中信建投,3245,-73.0,2025-08-19,lh2511,空单持仓,LH
5,东证期货,2938,-91.0,2025-08-19,lh2511,空单持仓,LH
6,瑞达期货,2652,21.0,2025-08-19,lh2511,空单持仓,LH
7,永安期货,2269,52.0,2025-08-19,lh2511,空单持仓,LH
8,方正中期,2202,149.0,2025-08-19,lh2511,空单持仓,LH
9,招商期货,2094,38.0,2025-08-19,lh2511,空单持仓,LH
10,海通期货,1961,-511.0,2025-08-19,lh2511,空单持仓,LH
11,长江期货,1794,7.0,2025-08-19,lh2511,空单持仓,LH
12,华泰期货,1729,-2.0,2025-08-19,lh2511,空单持仓,LH
13,格林大华,1508,-397.0,2025-08-19,lh2511,空单持仓,LH
14,银河期货,1494,139.0,2025-08-19,lh2511,空单持仓,LH
15,创元期货,1410,83.0,2025-08-19,lh2511,空单持仓,LH
16,光大期货,1357,-327.0,2025-08-19,lh2511,空单持仓,LH
17,首创京都,1324,-74.0,2025-08-19,lh2511,空单持仓,LH
18,中粮期货,1289,-45.0,2025-08-19,lh2511,空单持仓,LH
