排名,会员简称,成交量,比上交易增减,date,contract,position_type,symbol
1,中信期货,46077,5197.0,2026-06-22,lh2609,成交量,LH
2,国泰君安,37393,2011.0,2026-06-22,lh2609,成交量,LH
3,东证期货,24021,-4.0,2026-06-22,lh2609,成交量,LH
4,银河期货,13973,836.0,2026-06-22,lh2609,成交量,LH
5,中信建投,12584,449.0,2026-06-22,lh2609,成交量,LH
6,东方财富,11899,2188.0,2026-06-22,lh2609,成交量,LH
7,广发期货,10191,991.0,2026-06-22,lh2609,成交量,LH
8,南华期货,10024,105.0,2026-06-22,lh2609,成交量,LH
9,中泰期货,9878,2539.0,2026-06-22,lh2609,成交量,LH
10,华泰期货,9613,-226.0,2026-06-22,lh2609,成交量,LH
11,海通期货,8012,1093.0,2026-06-22,lh2609,成交量,LH
12,方正中期,7677,2499.0,2026-06-22,lh2609,成交量,LH
13,华闻期货,7020,43.0,2026-06-22,lh2609,成交量,LH
14,国信期货,6505,1242.0,2026-06-22,lh2609,成交量,LH
15,徽商期货,6010,-678.0,2026-06-22,lh2609,成交量,LH
16,光大期货,5440,-15.0,2026-06-22,lh2609,成交量,LH
17,东吴期货,5257,2081.0,2026-06-22,lh2609,成交量,LH
18,国投期货,4846,2140.0,2026-06-22,lh2609,成交量,LH
19,招商期货,4530,-129.0,2026-06-22,lh2609,成交量,LH
20,国金期货,4134,1388.0,2026-06-22,lh2609,成交量,LH
1,中信期货,34086,-11991.0,2026-06-23,lh2609,成交量,LH
2,国泰君安,31084,-6309.0,2026-06-23,lh2609,成交量,LH
3,东证期货,26154,2133.0,2026-06-23,lh2609,成交量,LH
4,广发期货,11970,1779.0,2026-06-23,lh2609,成交量,LH
5,银河期货,11810,-2163.0,2026-06-23,lh2609,成交量,LH
6,东方财富,10443,-1456.0,2026-06-23,lh2609,成交量,LH
7,中信建投,10234,-2350.0,2026-06-23,lh2609,成交量,LH
8,华泰期货,8790,-823.0,2026-06-23,lh2609,成交量,LH
9,中泰期货,7867,-2011.0,2026-06-23,lh2609,成交量,LH
10,南华期货,7827,-2197.0,2026-06-23,lh2609,成交量,LH
11,海通期货,7182,-830.0,2026-06-23,lh2609,成交量,LH
12,徽商期货,6062,52.0,2026-06-23,lh2609,成交量,LH
13,华闻期货,6029,-991.0,2026-06-23,lh2609,成交量,LH
14,方正中期,5648,-2029.0,2026-06-23,lh2609,成交量,LH
15,光大期货,5522,82.0,2026-06-23,lh2609,成交量,LH
16,东吴期货,4988,-269.0,2026-06-23,lh2609,成交量,LH
17,招商期货,4230,-300.0,2026-06-23,lh2609,成交量,LH
18,国信期货,4227,-2278.0,2026-06-23,lh2609,成交量,LH
19,首创京都,4041,1542.0,2026-06-23,lh2609,成交量,LH
20,瑞达期货,3929,205.0,2026-06-23,lh2609,成交量,LH
1,中信期货,39319,5233.0,2026-06-24,lh2609,成交量,LH
2,国泰君安,38974,7890.0,2026-06-24,lh2609,成交量,LH
3,东证期货,30648,4494.0,2026-06-24,lh2609,成交量,LH
4,银河期货,13561,1751.0,2026-06-24,lh2609,成交量,LH
5,广发期货,12960,990.0,2026-06-24,lh2609,成交量,LH
6,东方财富,11469,1026.0,2026-06-24,lh2609,成交量,LH
7,中信建投,11137,903.0,2026-06-24,lh2609,成交量,LH
8,中泰期货,9221,1354.0,2026-06-24,lh2609,成交量,LH
9,华泰期货,9198,408.0,2026-06-24,lh2609,成交量,LH
10,南华期货,8472,645.0,2026-06-24,lh2609,成交量,LH
11,海通期货,8277,1095.0,2026-06-24,lh2609,成交量,LH
12,方正中期,7615,1967.0,2026-06-24,lh2609,成交量,LH
13,华闻期货,7309,1280.0,2026-06-24,lh2609,成交量,LH
14,徽商期货,6949,887.0,2026-06-24,lh2609,成交量,LH
15,光大期货,6172,650.0,2026-06-24,lh2609,成交量,LH
16,招商期货,4944,714.0,2026-06-24,lh2609,成交量,LH
17,东吴期货,4842,-146.0,2026-06-24,lh2609,成交量,LH
18,瑞达期货,4495,566.0,2026-06-24,lh2609,成交量,LH
19,国信期货,4433,206.0,2026-06-24,lh2609,成交量,LH
20,创元期货,4200,603.0,2026-06-24,lh2609,成交量,LH
