排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol,成交量
1,中泰期货,36180.0,1449.0,2025-06-16,LU2508,成交量,LU,
2,东证期货,34849.0,-19756.0,2025-06-16,LU2508,成交量,LU,
3,国泰君安,31450.0,-23886.0,2025-06-16,LU2508,成交量,LU,
4,华泰期货,30180.0,-17027.0,2025-06-16,LU2508,成交量,LU,
5,中信期货,28794.0,-16181.0,2025-06-16,LU2508,成交量,LU,
6,南华期货,9311.0,1444.0,2025-06-16,LU2508,成交量,LU,
7,申万期货,5334.0,-20973.0,2025-06-16,LU2508,成交量,LU,
8,津投期货,5214.0,-12306.0,2025-06-16,LU2508,成交量,LU,
9,浙商期货,4854.0,-1077.0,2025-06-16,LU2508,成交量,LU,
10,海通期货,4139.0,-5476.0,2025-06-16,LU2508,成交量,LU,
11,银河期货,4004.0,-9210.0,2025-06-16,LU2508,成交量,LU,
12,华西期货,2880.0,-666.0,2025-06-16,LU2508,成交量,LU,
13,中信建投,2710.0,-1507.0,2025-06-16,LU2508,成交量,LU,
14,徽商期货,2550.0,-4215.0,2025-06-16,LU2508,成交量,LU,
15,宏源期货,2150.0,-794.0,2025-06-16,LU2508,成交量,LU,
16,中银期货,2048.0,-201.0,2025-06-16,LU2508,成交量,LU,
17,方正中期,2032.0,-1304.0,2025-06-16,LU2508,成交量,LU,
18,永安期货,2016.0,-1816.0,2025-06-16,LU2508,成交量,LU,
19,瑞达期货,1972.0,455.0,2025-06-16,LU2508,成交量,LU,
20,盛达期货,1946.0,-591.0,2025-06-16,LU2508,成交量,LU,
1,中泰期货,41386.0,5206.0,2025-06-17,LU2508,成交量,LU,
2,东证期货,40103.0,5254.0,2025-06-17,LU2508,成交量,LU,
3,华泰期货,37455.0,7275.0,2025-06-17,LU2508,成交量,LU,
4,中信期货,35235.0,6441.0,2025-06-17,LU2508,成交量,LU,
5,国泰君安,33419.0,1969.0,2025-06-17,LU2508,成交量,LU,
6,南华期货,10848.0,1537.0,2025-06-17,LU2508,成交量,LU,
7,申万期货,9960.0,4626.0,2025-06-17,LU2508,成交量,LU,
8,银河期货,6968.0,2964.0,2025-06-17,LU2508,成交量,LU,
9,津投期货,6837.0,1623.0,2025-06-17,LU2508,成交量,LU,
10,新湖期货,6682.0,6273.0,2025-06-17,LU2508,成交量,LU,
11,海通期货,6079.0,1940.0,2025-06-17,LU2508,成交量,LU,
12,徽商期货,3721.0,1171.0,2025-06-17,LU2508,成交量,LU,
13,浙商期货,3594.0,-1260.0,2025-06-17,LU2508,成交量,LU,
14,华闻期货,3374.0,1471.0,2025-06-17,LU2508,成交量,LU,
15,中银期货,3336.0,1288.0,2025-06-17,LU2508,成交量,LU,
16,华西期货,3216.0,336.0,2025-06-17,LU2508,成交量,LU,
17,方正中期,2985.0,953.0,2025-06-17,LU2508,成交量,LU,
18,东方财富,2965.0,1150.0,2025-06-17,LU2508,成交量,LU,
19,中信建投,2666.0,-44.0,2025-06-17,LU2508,成交量,LU,
20,国元期货,2362.0,627.0,2025-06-17,LU2508,成交量,LU,
1,东证期货,34719.0,-5384.0,2025-06-18,LU2508,成交量,LU,
2,国泰君安,28428.0,-4991.0,2025-06-18,LU2508,成交量,LU,
3,中信期货,19836.0,-15399.0,2025-06-18,LU2508,成交量,LU,
4,华泰期货,19142.0,-18313.0,2025-06-18,LU2508,成交量,LU,
5,中泰期货,18599.0,-22787.0,2025-06-18,LU2508,成交量,LU,
6,南华期货,7348.0,-3500.0,2025-06-18,LU2508,成交量,LU,
7,新湖期货,5942.0,-740.0,2025-06-18,LU2508,成交量,LU,
8,银河期货,5894.0,-1074.0,2025-06-18,LU2508,成交量,LU,
9,浙商期货,5378.0,1784.0,2025-06-18,LU2508,成交量,LU,
10,津投期货,4585.0,-2252.0,2025-06-18,LU2508,成交量,LU,
11,申万期货,3966.0,-5994.0,2025-06-18,LU2508,成交量,LU,
12,华闻期货,3780.0,406.0,2025-06-18,LU2508,成交量,LU,
13,海通期货,3660.0,-2419.0,2025-06-18,LU2508,成交量,LU,
14,徽商期货,3254.0,-467.0,2025-06-18,LU2508,成交量,LU,
15,中信建投,3019.0,353.0,2025-06-18,LU2508,成交量,LU,
16,盛达期货,2939.0,2740.0,2025-06-18,LU2508,成交量,LU,
17,华西期货,2631.0,-585.0,2025-06-18,LU2508,成交量,LU,
18,方正中期,2568.0,-417.0,2025-06-18,LU2508,成交量,LU,
19,平安期货,1879.0,-260.0,2025-06-18,LU2508,成交量,LU,
20,宏源期货,1688.0,-426.0,2025-06-18,LU2508,成交量,LU,
1,东证期货,42605.0,7886.0,2025-06-19,LU2508,成交量,LU,
2,中泰期货,29049.0,10450.0,2025-06-19,LU2508,成交量,LU,
3,中信期货,22317.0,2481.0,2025-06-19,LU2508,成交量,LU,
4,华泰期货,17390.0,-1752.0,2025-06-19,LU2508,成交量,LU,
5,国泰君安,14836.0,-13592.0,2025-06-19,LU2508,成交量,LU,
6,南华期货,9589.0,2241.0,2025-06-19,LU2508,成交量,LU,
7,津投期货,8860.0,4275.0,2025-06-19,LU2508,成交量,LU,
8,银河期货,8411.0,2517.0,2025-06-19,LU2508,成交量,LU,
9,新湖期货,6699.0,757.0,2025-06-19,LU2508,成交量,LU,
10,申万期货,6479.0,2513.0,2025-06-19,LU2508,成交量,LU,
11,海通期货,5098.0,1438.0,2025-06-19,LU2508,成交量,LU,
12,华闻期货,4833.0,1053.0,2025-06-19,LU2508,成交量,LU,
13,徽商期货,4761.0,1507.0,2025-06-19,LU2508,成交量,LU,
14,浙商期货,3883.0,-1495.0,2025-06-19,LU2508,成交量,LU,
15,方正中期,3568.0,1000.0,2025-06-19,LU2508,成交量,LU,
16,东方财富,3227.0,1717.0,2025-06-19,LU2508,成交量,LU,
17,宏源期货,3065.0,1377.0,2025-06-19,LU2508,成交量,LU,
18,东吴期货,2763.0,1929.0,2025-06-19,LU2508,成交量,LU,
19,西部期货,2489.0,1194.0,2025-06-19,LU2508,成交量,LU,
20,中信建投,2480.0,-539.0,2025-06-19,LU2508,成交量,LU,
1,东证期货,36889.0,-5716.0,2025-06-20,LU2508,成交量,LU,
2,华泰期货,21506.0,4116.0,2025-06-20,LU2508,成交量,LU,
3,中泰期货,18617.0,-10432.0,2025-06-20,LU2508,成交量,LU,
4,中信期货,17473.0,-4844.0,2025-06-20,LU2508,成交量,LU,
5,国泰君安,9760.0,-5076.0,2025-06-20,LU2508,成交量,LU,
6,南华期货,7532.0,-2057.0,2025-06-20,LU2508,成交量,LU,
7,银河期货,6379.0,-2032.0,2025-06-20,LU2508,成交量,LU,
8,新湖期货,5835.0,-864.0,2025-06-20,LU2508,成交量,LU,
9,华闻期货,4743.0,-90.0,2025-06-20,LU2508,成交量,LU,
10,徽商期货,4011.0,-750.0,2025-06-20,LU2508,成交量,LU,
11,海通期货,3910.0,-1188.0,2025-06-20,LU2508,成交量,LU,
12,津投期货,3888.0,-4972.0,2025-06-20,LU2508,成交量,LU,
13,浙商期货,3157.0,-726.0,2025-06-20,LU2508,成交量,LU,
14,方正中期,2826.0,-742.0,2025-06-20,LU2508,成交量,LU,
15,永安期货,2626.0,1271.0,2025-06-20,LU2508,成交量,LU,
16,西部期货,2546.0,57.0,2025-06-20,LU2508,成交量,LU,
17,中信建投,2331.0,-149.0,2025-06-20,LU2508,成交量,LU,
18,东方财富,2316.0,-911.0,2025-06-20,LU2508,成交量,LU,
19,东吴期货,2211.0,-552.0,2025-06-20,LU2508,成交量,LU,
20,国元期货,2040.0,42.0,2025-06-20,LU2508,成交量,LU,
1,东证期货,32360.0,3084.0,2025-06-23,LU2509,成交量,LU,
2,华泰期货,18359.0,2174.0,2025-06-23,LU2509,成交量,LU,
3,中信期货,12101.0,2156.0,2025-06-23,LU2509,成交量,LU,
4,国泰君安,11866.0,3103.0,2025-06-23,LU2509,成交量,LU,
5,中泰期货,8414.0,2962.0,2025-06-23,LU2509,成交量,LU,
6,南华期货,7347.0,5887.0,2025-06-23,LU2509,成交量,LU,
7,新湖期货,6827.0,2723.0,2025-06-23,LU2509,成交量,LU,
8,浙商期货,5850.0,447.0,2025-06-23,LU2509,成交量,LU,
9,银河期货,4465.0,2219.0,2025-06-23,LU2509,成交量,LU,
10,方正中期,4321.0,2442.0,2025-06-23,LU2509,成交量,LU,
11,永安期货,3912.0,1689.0,2025-06-23,LU2509,成交量,LU,
12,申万期货,3471.0,1377.0,2025-06-23,LU2509,成交量,LU,
13,海通期货,3005.0,-715.0,2025-06-23,LU2509,成交量,LU,
14,津投期货,2798.0,-88.0,2025-06-23,LU2509,成交量,LU,
15,摩根大通,2326.0,258.0,2025-06-23,LU2509,成交量,LU,
16,乾坤期货,2316.0,353.0,2025-06-23,LU2509,成交量,LU,
17,国元期货,2304.0,465.0,2025-06-23,LU2509,成交量,LU,
18,西部期货,2144.0,593.0,2025-06-23,LU2509,成交量,LU,
19,广发期货,2073.0,577.0,2025-06-23,LU2509,成交量,LU,
20,华闻期货,2040.0,820.0,2025-06-23,LU2509,成交量,LU,
1,东证期货,51257.0,18897.0,2025-06-24,LU2509,成交量,LU,
2,华泰期货,28272.0,9913.0,2025-06-24,LU2509,成交量,LU,
3,中信期货,17824.0,5723.0,2025-06-24,LU2509,成交量,LU,
4,国泰君安,16138.0,4272.0,2025-06-24,LU2509,成交量,LU,
5,银河期货,13247.0,8782.0,2025-06-24,LU2509,成交量,LU,
6,中泰期货,11418.0,3004.0,2025-06-24,LU2509,成交量,LU,
7,南华期货,10175.0,2828.0,2025-06-24,LU2509,成交量,LU,
8,申万期货,8836.0,5365.0,2025-06-24,LU2509,成交量,LU,
9,浙商期货,8171.0,2321.0,2025-06-24,LU2509,成交量,LU,
10,新湖期货,8083.0,1256.0,2025-06-24,LU2509,成交量,LU,
11,国投期货,6088.0,4980.0,2025-06-24,LU2509,成交量,LU,
12,海通期货,6000.0,2995.0,2025-06-24,LU2509,成交量,LU,
13,乾坤期货,4162.0,1846.0,2025-06-24,LU2509,成交量,LU,
14,津投期货,3632.0,834.0,2025-06-24,LU2509,成交量,LU,
15,永安期货,3579.0,-333.0,2025-06-24,LU2509,成交量,LU,
16,方正中期,3450.0,-871.0,2025-06-24,LU2509,成交量,LU,
17,国元期货,2525.0,221.0,2025-06-24,LU2509,成交量,LU,
18,平安期货,2410.0,924.0,2025-06-24,LU2509,成交量,LU,
