排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,东证期货,216376,11435.0,2026-06-22,m2609,多单持仓,M
2,国泰君安,201335,-5064.0,2026-06-22,m2609,多单持仓,M
3,永安期货,96106,-2017.0,2026-06-22,m2609,多单持仓,M
4,中信期货,84793,-1318.0,2026-06-22,m2609,多单持仓,M
5,银河期货,82088,-5111.0,2026-06-22,m2609,多单持仓,M
6,海通期货,79820,1744.0,2026-06-22,m2609,多单持仓,M
7,南华期货,79820,384.0,2026-06-22,m2609,多单持仓,M
8,中粮期货,69829,229.0,2026-06-22,m2609,多单持仓,M
9,华泰期货,66010,-808.0,2026-06-22,m2609,多单持仓,M
10,国投期货,63747,2047.0,2026-06-22,m2609,多单持仓,M
11,中信建投,58581,-2933.0,2026-06-22,m2609,多单持仓,M
12,高盛期货,50225,-6938.0,2026-06-22,m2609,多单持仓,M
13,东吴期货,40233,187.0,2026-06-22,m2609,多单持仓,M
14,广发期货,38168,384.0,2026-06-22,m2609,多单持仓,M
15,中泰期货,37073,449.0,2026-06-22,m2609,多单持仓,M
16,宏源期货,32028,793.0,2026-06-22,m2609,多单持仓,M
17,招商期货,26470,-350.0,2026-06-22,m2609,多单持仓,M
18,光大期货,22264,-60.0,2026-06-22,m2609,多单持仓,M
19,紫金天风,20399,-28.0,2026-06-22,m2609,多单持仓,M
20,中财期货,19622,-438.0,2026-06-22,m2609,多单持仓,M
1,东证期货,220738,4362.0,2026-06-23,m2609,多单持仓,M
2,国泰君安,195535,-5800.0,2026-06-23,m2609,多单持仓,M
3,永安期货,93987,-2119.0,2026-06-23,m2609,多单持仓,M
4,中信期货,90950,6157.0,2026-06-23,m2609,多单持仓,M
5,海通期货,80582,762.0,2026-06-23,m2609,多单持仓,M
6,银河期货,80091,-1997.0,2026-06-23,m2609,多单持仓,M
7,南华期货,79680,-140.0,2026-06-23,m2609,多单持仓,M
8,华泰期货,64668,-1342.0,2026-06-23,m2609,多单持仓,M
9,中粮期货,63940,-5889.0,2026-06-23,m2609,多单持仓,M
10,国投期货,63219,-528.0,2026-06-23,m2609,多单持仓,M
11,中信建投,60456,1875.0,2026-06-23,m2609,多单持仓,M
12,高盛期货,47940,-2285.0,2026-06-23,m2609,多单持仓,M
13,东吴期货,41365,1132.0,2026-06-23,m2609,多单持仓,M
14,广发期货,38857,689.0,2026-06-23,m2609,多单持仓,M
15,中泰期货,36607,-466.0,2026-06-23,m2609,多单持仓,M
16,宏源期货,32121,93.0,2026-06-23,m2609,多单持仓,M
17,招商期货,26157,-313.0,2026-06-23,m2609,多单持仓,M
18,光大期货,22205,-59.0,2026-06-23,m2609,多单持仓,M
19,摩根大通,21805,2329.0,2026-06-23,m2609,多单持仓,M
20,紫金天风,19874,-525.0,2026-06-23,m2609,多单持仓,M
1,东证期货,207657,-13081.0,2026-06-24,m2609,多单持仓,M
2,国泰君安,189219,-6316.0,2026-06-24,m2609,多单持仓,M
3,永安期货,93633,-354.0,2026-06-24,m2609,多单持仓,M
4,中信期货,88382,-2568.0,2026-06-24,m2609,多单持仓,M
5,海通期货,80473,-109.0,2026-06-24,m2609,多单持仓,M
6,银河期货,80300,209.0,2026-06-24,m2609,多单持仓,M
7,南华期货,78517,-1163.0,2026-06-24,m2609,多单持仓,M
8,华泰期货,65030,362.0,2026-06-24,m2609,多单持仓,M
9,国投期货,64555,1336.0,2026-06-24,m2609,多单持仓,M
10,中粮期货,61933,-2007.0,2026-06-24,m2609,多单持仓,M
11,高盛期货,61560,13620.0,2026-06-24,m2609,多单持仓,M
12,中信建投,58998,-1458.0,2026-06-24,m2609,多单持仓,M
13,东吴期货,40634,-731.0,2026-06-24,m2609,多单持仓,M
14,广发期货,40004,1147.0,2026-06-24,m2609,多单持仓,M
15,中泰期货,36429,-178.0,2026-06-24,m2609,多单持仓,M
16,宏源期货,31432,-689.0,2026-06-24,m2609,多单持仓,M
17,招商期货,26101,-56.0,2026-06-24,m2609,多单持仓,M
18,摩根大通,22983,1178.0,2026-06-24,m2609,多单持仓,M
19,光大期货,21853,-352.0,2026-06-24,m2609,多单持仓,M
20,方正中期,19479,565.0,2026-06-24,m2609,多单持仓,M
