排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,中粮期货,336468,-10162.0,2026-06-22,m2609,空单持仓,M
2,国投期货,208045,-942.0,2026-06-22,m2609,空单持仓,M
3,广发期货,132314,854.0,2026-06-22,m2609,空单持仓,M
4,东证期货,128172,-4958.0,2026-06-22,m2609,空单持仓,M
5,国泰君安,122925,4531.0,2026-06-22,m2609,空单持仓,M
6,中信期货,113689,-4542.0,2026-06-22,m2609,空单持仓,M
7,中金财富,88838,557.0,2026-06-22,m2609,空单持仓,M
8,永安期货,71836,406.0,2026-06-22,m2609,空单持仓,M
9,摩根大通,64110,-346.0,2026-06-22,m2609,空单持仓,M
10,华泰期货,52757,338.0,2026-06-22,m2609,空单持仓,M
11,银河期货,42000,-2743.0,2026-06-22,m2609,空单持仓,M
12,中泰期货,40635,-574.0,2026-06-22,m2609,空单持仓,M
13,西部期货,38650,153.0,2026-06-22,m2609,空单持仓,M
14,一德期货,37740,-1007.0,2026-06-22,m2609,空单持仓,M
15,新湖期货,31159,49.0,2026-06-22,m2609,空单持仓,M
16,宏源期货,29784,765.0,2026-06-22,m2609,空单持仓,M
17,海通期货,27353,767.0,2026-06-22,m2609,空单持仓,M
18,中信建投,21715,458.0,2026-06-22,m2609,空单持仓,M
19,北京首创,21323,32.0,2026-06-22,m2609,空单持仓,M
20,格林大华,18512,-715.0,2026-06-22,m2609,空单持仓,M
1,中粮期货,334855,-1613.0,2026-06-23,m2609,空单持仓,M
2,国投期货,207000,-1045.0,2026-06-23,m2609,空单持仓,M
3,广发期货,130142,-2172.0,2026-06-23,m2609,空单持仓,M
4,国泰君安,123403,478.0,2026-06-23,m2609,空单持仓,M
5,东证期货,121321,-6851.0,2026-06-23,m2609,空单持仓,M
6,中信期货,109543,-4146.0,2026-06-23,m2609,空单持仓,M
7,中金财富,87911,-927.0,2026-06-23,m2609,空单持仓,M
8,永安期货,71295,-541.0,2026-06-23,m2609,空单持仓,M
9,摩根大通,65020,910.0,2026-06-23,m2609,空单持仓,M
10,华泰期货,52117,-640.0,2026-06-23,m2609,空单持仓,M
11,一德期货,40464,2724.0,2026-06-23,m2609,空单持仓,M
12,银河期货,38663,-3337.0,2026-06-23,m2609,空单持仓,M
13,西部期货,38600,-50.0,2026-06-23,m2609,空单持仓,M
14,中泰期货,38584,-2051.0,2026-06-23,m2609,空单持仓,M
15,新湖期货,32289,1130.0,2026-06-23,m2609,空单持仓,M
16,宏源期货,29671,-113.0,2026-06-23,m2609,空单持仓,M
17,海通期货,27307,-46.0,2026-06-23,m2609,空单持仓,M
18,中信建投,24281,2566.0,2026-06-23,m2609,空单持仓,M
19,北京首创,21812,489.0,2026-06-23,m2609,空单持仓,M
20,五矿期货,20169,5470.0,2026-06-23,m2609,空单持仓,M
1,中粮期货,334074,-781.0,2026-06-24,m2609,空单持仓,M
2,国投期货,207969,969.0,2026-06-24,m2609,空单持仓,M
3,广发期货,128459,-1683.0,2026-06-24,m2609,空单持仓,M
4,国泰君安,117902,-5501.0,2026-06-24,m2609,空单持仓,M
5,东证期货,113749,-7572.0,2026-06-24,m2609,空单持仓,M
6,中信期货,110097,554.0,2026-06-24,m2609,空单持仓,M
7,中金财富,85664,-2247.0,2026-06-24,m2609,空单持仓,M
8,永安期货,69779,-1516.0,2026-06-24,m2609,空单持仓,M
9,摩根大通,63359,-1661.0,2026-06-24,m2609,空单持仓,M
10,华泰期货,51821,-296.0,2026-06-24,m2609,空单持仓,M
11,一德期货,41704,1240.0,2026-06-24,m2609,空单持仓,M
12,中泰期货,40164,1580.0,2026-06-24,m2609,空单持仓,M
13,银河期货,39064,401.0,2026-06-24,m2609,空单持仓,M
14,西部期货,38369,-231.0,2026-06-24,m2609,空单持仓,M
15,新湖期货,31394,-895.0,2026-06-24,m2609,空单持仓,M
16,宏源期货,28557,-1114.0,2026-06-24,m2609,空单持仓,M
17,海通期货,26125,-1182.0,2026-06-24,m2609,空单持仓,M
18,中信建投,25164,883.0,2026-06-24,m2609,空单持仓,M
19,北京首创,20948,-864.0,2026-06-24,m2609,空单持仓,M
20,五矿期货,20808,639.0,2026-06-24,m2609,空单持仓,M
