排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,国泰君安,67152,4096.0,2026-06-22,MA2609,空单持仓,MA
2,中信期货,65593,2921.0,2026-06-22,MA2609,空单持仓,MA
3,华泰期货,48112,-3413.0,2026-06-22,MA2609,空单持仓,MA
4,永安期货,32766,-771.0,2026-06-22,MA2609,空单持仓,MA
5,东证期货,28775,1226.0,2026-06-22,MA2609,空单持仓,MA
6,中信建投,22430,1057.0,2026-06-22,MA2609,空单持仓,MA
7,银河期货,20335,-1143.0,2026-06-22,MA2609,空单持仓,MA
8,广发期货,18383,663.0,2026-06-22,MA2609,空单持仓,MA
9,方正中期,14102,-3654.0,2026-06-22,MA2609,空单持仓,MA
10,南华期货,13702,890.0,2026-06-22,MA2609,空单持仓,MA
11,中泰期货,11598,-1.0,2026-06-22,MA2609,空单持仓,MA
12,五矿期货,11403,-25642.0,2026-06-22,MA2609,空单持仓,MA
13,建信期货,11118,-1634.0,2026-06-22,MA2609,空单持仓,MA
14,国投期货,10344,-2381.0,2026-06-22,MA2609,空单持仓,MA
15,浙商期货,10191,-26.0,2026-06-22,MA2609,空单持仓,MA
16,中金财富,9185,323.0,2026-06-22,MA2609,空单持仓,MA
17,平安期货,8972,-254.0,2026-06-22,MA2609,空单持仓,MA
18,徽商期货,8942,409.0,2026-06-22,MA2609,空单持仓,MA
19,海通期货,8850,837.0,2026-06-22,MA2609,空单持仓,MA
20,瑞达期货,8799,2909.0,2026-06-22,MA2609,空单持仓,MA
1,国泰君安,71898,4746.0,2026-06-23,MA2609,空单持仓,MA
2,中信期货,59797,-5796.0,2026-06-23,MA2609,空单持仓,MA
3,华泰期货,45626,-2486.0,2026-06-23,MA2609,空单持仓,MA
4,永安期货,39861,7095.0,2026-06-23,MA2609,空单持仓,MA
5,东证期货,25447,-3328.0,2026-06-23,MA2609,空单持仓,MA
6,中信建投,21883,-547.0,2026-06-23,MA2609,空单持仓,MA
7,银河期货,19148,-1187.0,2026-06-23,MA2609,空单持仓,MA
8,广发期货,17554,-829.0,2026-06-23,MA2609,空单持仓,MA
9,方正中期,14088,-14.0,2026-06-23,MA2609,空单持仓,MA
10,南华期货,12831,-871.0,2026-06-23,MA2609,空单持仓,MA
11,国投期货,11748,1404.0,2026-06-23,MA2609,空单持仓,MA
12,五矿期货,11674,271.0,2026-06-23,MA2609,空单持仓,MA
13,中金财富,11099,1914.0,2026-06-23,MA2609,空单持仓,MA
14,浙商期货,10620,429.0,2026-06-23,MA2609,空单持仓,MA
15,建信期货,10507,-611.0,2026-06-23,MA2609,空单持仓,MA
16,中泰期货,10431,-1167.0,2026-06-23,MA2609,空单持仓,MA
17,东海期货,9746,2096.0,2026-06-23,MA2609,空单持仓,MA
18,海通期货,9428,578.0,2026-06-23,MA2609,空单持仓,MA
19,中辉期货,9190,1899.0,2026-06-23,MA2609,空单持仓,MA
20,创元期货,9130,2917.0,2026-06-23,MA2609,空单持仓,MA
1,国泰君安,72266,368.0,2026-06-24,MA2609,空单持仓,MA
2,中信期货,65637,5840.0,2026-06-24,MA2609,空单持仓,MA
3,永安期货,44096,4235.0,2026-06-24,MA2609,空单持仓,MA
4,华泰期货,41357,-4269.0,2026-06-24,MA2609,空单持仓,MA
