排名,会员简称,成交量,比上交易增减,date,contract,position_type,symbol
1,中信期货,214192,-6183.0,2026-06-22,MA2609,成交量,MA
2,东证期货,193962,-20978.0,2026-06-22,MA2609,成交量,MA
3,国泰君安,155023,-63630.0,2026-06-22,MA2609,成交量,MA
4,广发期货,85188,-2016.0,2026-06-22,MA2609,成交量,MA
5,银河期货,70874,-3673.0,2026-06-22,MA2609,成交量,MA
6,中信建投,60857,-26217.0,2026-06-22,MA2609,成交量,MA
7,华泰期货,52019,4242.0,2026-06-22,MA2609,成交量,MA
8,永安期货,44474,-841.0,2026-06-22,MA2609,成交量,MA
9,五矿期货,39789,23627.0,2026-06-22,MA2609,成交量,MA
10,光大期货,38276,-17012.0,2026-06-22,MA2609,成交量,MA
11,国信期货,37138,5223.0,2026-06-22,MA2609,成交量,MA
12,申银万国,36801,4210.0,2026-06-22,MA2609,成交量,MA
13,浙商期货,36214,-35404.0,2026-06-22,MA2609,成交量,MA
14,海通期货,36194,1367.0,2026-06-22,MA2609,成交量,MA
15,华闻期货,34707,2988.0,2026-06-22,MA2609,成交量,MA
16,国投期货,28822,-3308.0,2026-06-22,MA2609,成交量,MA
17,中泰期货,26122,-1364.0,2026-06-22,MA2609,成交量,MA
18,徽商期货,25516,-14749.0,2026-06-22,MA2609,成交量,MA
19,方正中期,25383,-7830.0,2026-06-22,MA2609,成交量,MA
20,南华期货,24315,-576.0,2026-06-22,MA2609,成交量,MA
1,中信期货,258998,44806.0,2026-06-23,MA2609,成交量,MA
2,东证期货,194692,730.0,2026-06-23,MA2609,成交量,MA
3,国泰君安,190034,35011.0,2026-06-23,MA2609,成交量,MA
4,银河期货,82793,11919.0,2026-06-23,MA2609,成交量,MA
5,中信建投,74826,13969.0,2026-06-23,MA2609,成交量,MA
6,华闻期货,65772,31065.0,2026-06-23,MA2609,成交量,MA
7,永安期货,54527,10053.0,2026-06-23,MA2609,成交量,MA
8,广发期货,46676,-38512.0,2026-06-23,MA2609,成交量,MA
9,浙商期货,44192,7978.0,2026-06-23,MA2609,成交量,MA
10,华泰期货,40439,-11580.0,2026-06-23,MA2609,成交量,MA
11,光大期货,36403,-1873.0,2026-06-23,MA2609,成交量,MA
12,国投期货,35027,6205.0,2026-06-23,MA2609,成交量,MA
13,国信期货,34979,-2159.0,2026-06-23,MA2609,成交量,MA
14,申银万国,32474,-4327.0,2026-06-23,MA2609,成交量,MA
15,徽商期货,31261,5745.0,2026-06-23,MA2609,成交量,MA
16,海通期货,31222,-4972.0,2026-06-23,MA2609,成交量,MA
17,方正中期,30367,4984.0,2026-06-23,MA2609,成交量,MA
18,南华期货,29420,5105.0,2026-06-23,MA2609,成交量,MA
19,中泰期货,26786,664.0,2026-06-23,MA2609,成交量,MA
20,东吴期货,24636,6166.0,2026-06-23,MA2609,成交量,MA
1,中信期货,262478,3480.0,2026-06-24,MA2609,成交量,MA
2,国泰君安,215996,25962.0,2026-06-24,MA2609,成交量,MA
3,东证期货,190433,-4259.0,2026-06-24,MA2609,成交量,MA
4,银河期货,69333,-13460.0,2026-06-24,MA2609,成交量,MA
5,中信建投,58753,-16073.0,2026-06-24,MA2609,成交量,MA
6,华闻期货,52875,-12897.0,2026-06-24,MA2609,成交量,MA
7,浙商期货,52163,7971.0,2026-06-24,MA2609,成交量,MA
8,广发期货,48506,1830.0,2026-06-24,MA2609,成交量,MA
9,永安期货,47670,-6857.0,2026-06-24,MA2609,成交量,MA
10,华泰期货,43357,2918.0,2026-06-24,MA2609,成交量,MA
11,海通期货,42002,10780.0,2026-06-24,MA2609,成交量,MA
12,徽商期货,36164,4903.0,2026-06-24,MA2609,成交量,MA
13,国信期货,34839,-140.0,2026-06-24,MA2609,成交量,MA
14,光大期货,34422,-1981.0,2026-06-24,MA2609,成交量,MA
15,申银万国,32841,367.0,2026-06-24,MA2609,成交量,MA
16,国投期货,32390,-2637.0,2026-06-24,MA2609,成交量,MA
17,方正中期,32378,2011.0,2026-06-24,MA2609,成交量,MA
18,南华期货,29509,89.0,2026-06-24,MA2609,成交量,MA
19,东吴期货,24764,128.0,2026-06-24,MA2609,成交量,MA
20,东方财富,22948,3517.0,2026-06-24,MA2609,成交量,MA
1,中信期货,376481,114003.0,2026-06-25,MA2609,成交量,MA
2,东证期货,301549,111116.0,2026-06-25,MA2609,成交量,MA
3,国泰君安,289333,73337.0,2026-06-25,MA2609,成交量,MA
4,银河期货,113649,44316.0,2026-06-25,MA2609,成交量,MA
5,中信建投,80482,21729.0,2026-06-25,MA2609,成交量,MA
6,华闻期货,76253,23378.0,2026-06-25,MA2609,成交量,MA
7,永安期货,65651,17981.0,2026-06-25,MA2609,成交量,MA
8,华泰期货,63813,20456.0,2026-06-25,MA2609,成交量,MA
9,浙商期货,61989,9826.0,2026-06-25,MA2609,成交量,MA
10,广发期货,61456,12950.0,2026-06-25,MA2609,成交量,MA
11,海通期货,56049,14047.0,2026-06-25,MA2609,成交量,MA
12,方正中期,49087,16709.0,2026-06-25,MA2609,成交量,MA
13,国信期货,47862,13023.0,2026-06-25,MA2609,成交量,MA
14,徽商期货,47346,11182.0,2026-06-25,MA2609,成交量,MA
15,东吴期货,46533,21769.0,2026-06-25,MA2609,成交量,MA
16,申银万国,44121,11280.0,2026-06-25,MA2609,成交量,MA
17,光大期货,43094,8672.0,2026-06-25,MA2609,成交量,MA
18,国投期货,39358,6968.0,2026-06-25,MA2609,成交量,MA
