排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,国泰君安,7547,-235.0,2025-11-06,ni2512,多单持仓,NI
2,东证期货,6922,550.0,2025-11-06,ni2512,多单持仓,NI
3,中信期货,6670,268.0,2025-11-06,ni2512,多单持仓,NI
4,永安期货,4688,-99.0,2025-11-06,ni2512,多单持仓,NI
5,方正中期,4406,-66.0,2025-11-06,ni2512,多单持仓,NI
6,中财期货,4000,103.0,2025-11-06,ni2512,多单持仓,NI
7,光大期货,3969,-115.0,2025-11-06,ni2512,多单持仓,NI
8,银河期货,3736,-762.0,2025-11-06,ni2512,多单持仓,NI
9,广发期货,3629,116.0,2025-11-06,ni2512,多单持仓,NI
10,中信建投,3434,1438.0,2025-11-06,ni2512,多单持仓,NI
11,华泰期货,3154,-115.0,2025-11-06,ni2512,多单持仓,NI
12,金瑞期货,2668,81.0,2025-11-06,ni2512,多单持仓,NI
13,浙商期货,2251,46.0,2025-11-06,ni2512,多单持仓,NI
14,上海中期,1956,69.0,2025-11-06,ni2512,多单持仓,NI
15,国联期货,1939,-17.0,2025-11-06,ni2512,多单持仓,NI
16,申万期货,1800,-113.0,2025-11-06,ni2512,多单持仓,NI
17,南华期货,1755,36.0,2025-11-06,ni2512,多单持仓,NI
18,国投期货,1739,508.0,2025-11-06,ni2512,多单持仓,NI
19,国信期货,1711,301.0,2025-11-06,ni2512,多单持仓,NI
20,中粮期货,1688,-3.0,2025-11-06,ni2512,多单持仓,NI
1,国泰君安,7520,-27.0,2025-11-07,ni2512,多单持仓,NI
2,中信期货,7178,508.0,2025-11-07,ni2512,多单持仓,NI
3,东证期货,6529,-393.0,2025-11-07,ni2512,多单持仓,NI
4,方正中期,4636,230.0,2025-11-07,ni2512,多单持仓,NI
5,永安期货,4423,-265.0,2025-11-07,ni2512,多单持仓,NI
6,中财期货,4203,203.0,2025-11-07,ni2512,多单持仓,NI
7,光大期货,4158,189.0,2025-11-07,ni2512,多单持仓,NI
8,银河期货,3855,119.0,2025-11-07,ni2512,多单持仓,NI
9,广发期货,3646,17.0,2025-11-07,ni2512,多单持仓,NI
10,华泰期货,3564,410.0,2025-11-07,ni2512,多单持仓,NI
11,中信建投,3392,-42.0,2025-11-07,ni2512,多单持仓,NI
12,金瑞期货,2887,219.0,2025-11-07,ni2512,多单持仓,NI
13,浙商期货,2326,75.0,2025-11-07,ni2512,多单持仓,NI
14,国联期货,2109,170.0,2025-11-07,ni2512,多单持仓,NI
15,上海中期,2008,52.0,2025-11-07,ni2512,多单持仓,NI
16,申万期货,1936,136.0,2025-11-07,ni2512,多单持仓,NI
17,国投期货,1764,25.0,2025-11-07,ni2512,多单持仓,NI
18,南华期货,1749,-6.0,2025-11-07,ni2512,多单持仓,NI
19,国信期货,1740,29.0,2025-11-07,ni2512,多单持仓,NI
20,中粮期货,1678,-10.0,2025-11-07,ni2512,多单持仓,NI
1,国泰君安,7755,235.0,2025-11-10,ni2512,多单持仓,NI
2,东证期货,7249,720.0,2025-11-10,ni2512,多单持仓,NI
3,中信期货,7199,21.0,2025-11-10,ni2512,多单持仓,NI
4,方正中期,4625,-11.0,2025-11-10,ni2512,多单持仓,NI
5,中财期货,4238,35.0,2025-11-10,ni2512,多单持仓,NI
6,光大期货,4084,-74.0,2025-11-10,ni2512,多单持仓,NI
7,永安期货,4055,-368.0,2025-11-10,ni2512,多单持仓,NI
8,银河期货,3872,17.0,2025-11-10,ni2512,多单持仓,NI
