排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,永安期货,9079,69.0,2025-08-18,ni2510,空单持仓,NI
2,中粮期货,7382,89.0,2025-08-18,ni2510,空单持仓,NI
3,中信期货,7157,293.0,2025-08-18,ni2510,空单持仓,NI
4,国投期货,5067,97.0,2025-08-18,ni2510,空单持仓,NI
5,国泰君安,4796,640.0,2025-08-18,ni2510,空单持仓,NI
6,浙商期货,4318,176.0,2025-08-18,ni2510,空单持仓,NI
7,华泰期货,3791,178.0,2025-08-18,ni2510,空单持仓,NI
8,银河期货,3123,166.0,2025-08-18,ni2510,空单持仓,NI
9,方正中期,3072,365.0,2025-08-18,ni2510,空单持仓,NI
10,瑞达期货,2957,141.0,2025-08-18,ni2510,空单持仓,NI
11,新湖期货,2590,9.0,2025-08-18,ni2510,空单持仓,NI
12,平安期货,2226,993.0,2025-08-18,ni2510,空单持仓,NI
13,广发期货,1947,-57.0,2025-08-18,ni2510,空单持仓,NI
14,信达期货,1732,-282.0,2025-08-18,ni2510,空单持仓,NI
15,中泰期货,1563,58.0,2025-08-18,ni2510,空单持仓,NI
16,民生期货,1296,-6.0,2025-08-18,ni2510,空单持仓,NI
17,海通期货,1200,-108.0,2025-08-18,ni2510,空单持仓,NI
18,国海良时,1193,5.0,2025-08-18,ni2510,空单持仓,NI
19,东吴期货,1192,117.0,2025-08-18,ni2510,空单持仓,NI
20,中信建投,1187,-51.0,2025-08-18,ni2510,空单持仓,NI
1,永安期货,9134,55.0,2025-08-19,ni2510,空单持仓,NI
2,中信期货,8691,1534.0,2025-08-19,ni2510,空单持仓,NI
3,中粮期货,7387,5.0,2025-08-19,ni2510,空单持仓,NI
4,浙商期货,4621,303.0,2025-08-19,ni2510,空单持仓,NI
5,国泰君安,4266,-530.0,2025-08-19,ni2510,空单持仓,NI
6,华泰期货,4062,271.0,2025-08-19,ni2510,空单持仓,NI
7,国投期货,3804,-1263.0,2025-08-19,ni2510,空单持仓,NI
8,银河期货,3291,168.0,2025-08-19,ni2510,空单持仓,NI
9,方正中期,3187,115.0,2025-08-19,ni2510,空单持仓,NI
10,瑞达期货,3007,50.0,2025-08-19,ni2510,空单持仓,NI
11,新湖期货,2592,2.0,2025-08-19,ni2510,空单持仓,NI
12,广发期货,2014,67.0,2025-08-19,ni2510,空单持仓,NI
13,东证期货,1596,485.0,2025-08-19,ni2510,空单持仓,NI
14,信达期货,1539,-193.0,2025-08-19,ni2510,空单持仓,NI
15,平安期货,1526,-700.0,2025-08-19,ni2510,空单持仓,NI
16,民生期货,1404,108.0,2025-08-19,ni2510,空单持仓,NI
17,中信建投,1382,195.0,2025-08-19,ni2510,空单持仓,NI
18,中金财富,1293,212.0,2025-08-19,ni2510,空单持仓,NI
