排名,会员简称,成交量,比上交易增减,date,contract,position_type,symbol
1,中信期货,29725,-2610.0,2025-11-06,ni2512,成交量,NI
2,国泰君安,24085,-4689.0,2025-11-06,ni2512,成交量,NI
3,东证期货,23119,-1689.0,2025-11-06,ni2512,成交量,NI
4,海通期货,7680,-2064.0,2025-11-06,ni2512,成交量,NI
5,华泰期货,6566,662.0,2025-11-06,ni2512,成交量,NI
6,申万期货,6144,-2267.0,2025-11-06,ni2512,成交量,NI
7,中信建投,5362,541.0,2025-11-06,ni2512,成交量,NI
8,浙商期货,5139,978.0,2025-11-06,ni2512,成交量,NI
9,广发期货,5095,-308.0,2025-11-06,ni2512,成交量,NI
10,银河期货,4443,-937.0,2025-11-06,ni2512,成交量,NI
11,华闻期货,4296,-1080.0,2025-11-06,ni2512,成交量,NI
12,方正中期,4158,197.0,2025-11-06,ni2512,成交量,NI
13,瑞达期货,4087,157.0,2025-11-06,ni2512,成交量,NI
14,徽商期货,3613,450.0,2025-11-06,ni2512,成交量,NI
15,国信期货,3078,110.0,2025-11-06,ni2512,成交量,NI
16,国元期货,3056,-147.0,2025-11-06,ni2512,成交量,NI
17,中泰期货,2954,-3943.0,2025-11-06,ni2512,成交量,NI
18,渤海期货,2439,39.0,2025-11-06,ni2512,成交量,NI
19,国投期货,2419,-796.0,2025-11-06,ni2512,成交量,NI
20,永安期货,2379,701.0,2025-11-06,ni2512,成交量,NI
1,中信期货,21559,-8166.0,2025-11-07,ni2512,成交量,NI
2,东证期货,20989,-2130.0,2025-11-07,ni2512,成交量,NI
3,国泰君安,19718,-4367.0,2025-11-07,ni2512,成交量,NI
4,海通期货,7177,-503.0,2025-11-07,ni2512,成交量,NI
5,华泰期货,6273,-293.0,2025-11-07,ni2512,成交量,NI
6,广发期货,4107,-988.0,2025-11-07,ni2512,成交量,NI
7,银河期货,3941,-502.0,2025-11-07,ni2512,成交量,NI
8,国联期货,3897,1805.0,2025-11-07,ni2512,成交量,NI
9,华闻期货,3878,-418.0,2025-11-07,ni2512,成交量,NI
10,浙商期货,3876,-1263.0,2025-11-07,ni2512,成交量,NI
11,中信建投,3685,-1677.0,2025-11-07,ni2512,成交量,NI
12,申万期货,3527,-2617.0,2025-11-07,ni2512,成交量,NI
13,瑞达期货,3108,-979.0,2025-11-07,ni2512,成交量,NI
14,国元期货,2773,-283.0,2025-11-07,ni2512,成交量,NI
15,方正中期,2670,-1488.0,2025-11-07,ni2512,成交量,NI
16,徽商期货,2539,-1074.0,2025-11-07,ni2512,成交量,NI
17,中泰期货,2307,-647.0,2025-11-07,ni2512,成交量,NI
18,宏源期货,2061,638.0,2025-11-07,ni2512,成交量,NI
19,信达期货,1970,782.0,2025-11-07,ni2512,成交量,NI
20,永安期货,1938,-441.0,2025-11-07,ni2512,成交量,NI
1,中信期货,20082,-1477.0,2025-11-10,ni2512,成交量,NI
2,国泰君安,19187,-531.0,2025-11-10,ni2512,成交量,NI
3,东证期货,18771,-2218.0,2025-11-10,ni2512,成交量,NI
4,海通期货,7064,-113.0,2025-11-10,ni2512,成交量,NI
5,华泰期货,5472,-801.0,2025-11-10,ni2512,成交量,NI
6,浙商期货,4236,360.0,2025-11-10,ni2512,成交量,NI
7,申万期货,3955,428.0,2025-11-10,ni2512,成交量,NI
8,国联期货,3730,-167.0,2025-11-10,ni2512,成交量,NI
9,广发期货,3404,-703.0,2025-11-10,ni2512,成交量,NI
10,华闻期货,3335,-543.0,2025-11-10,ni2512,成交量,NI
11,中信建投,3282,-403.0,2025-11-10,ni2512,成交量,NI
12,银河期货,2742,-1199.0,2025-11-10,ni2512,成交量,NI
13,瑞达期货,2721,-387.0,2025-11-10,ni2512,成交量,NI
14,中泰期货,2650,343.0,2025-11-10,ni2512,成交量,NI
15,国元期货,2475,-298.0,2025-11-10,ni2512,成交量,NI
16,方正中期,2393,-277.0,2025-11-10,ni2512,成交量,NI
17,徽商期货,2332,-207.0,2025-11-10,ni2512,成交量,NI
18,东吴期货,2048,538.0,2025-11-10,ni2512,成交量,NI
19,海证期货,1767,333.0,2025-11-10,ni2512,成交量,NI
20,信达期货,1684,-286.0,2025-11-10,ni2512,成交量,NI
1,中信期货,17781,-2301.0,2025-11-11,ni2512,成交量,NI
2,东证期货,16624,-2147.0,2025-11-11,ni2512,成交量,NI
3,国泰君安,15253,-3934.0,2025-11-11,ni2512,成交量,NI
4,海通期货,5475,-1589.0,2025-11-11,ni2512,成交量,NI
5,华泰期货,4370,-1102.0,2025-11-11,ni2512,成交量,NI
6,申万期货,3263,-692.0,2025-11-11,ni2512,成交量,NI
7,广发期货,3086,-318.0,2025-11-11,ni2512,成交量,NI
8,银河期货,2684,-58.0,2025-11-11,ni2512,成交量,NI
9,华闻期货,2595,-740.0,2025-11-11,ni2512,成交量,NI
10,中信建投,2563,-719.0,2025-11-11,ni2512,成交量,NI
11,方正中期,2343,-50.0,2025-11-11,ni2512,成交量,NI
12,瑞达期货,2230,-491.0,2025-11-11,ni2512,成交量,NI
13,国投期货,2119,668.0,2025-11-11,ni2512,成交量,NI
14,国元期货,2066,-409.0,2025-11-11,ni2512,成交量,NI
15,中泰期货,2023,-627.0,2025-11-11,ni2512,成交量,NI
16,东吴期货,1947,-101.0,2025-11-11,ni2512,成交量,NI
17,徽商期货,1909,-423.0,2025-11-11,ni2512,成交量,NI
18,永安期货,1907,593.0,2025-11-11,ni2512,成交量,NI
19,浙商期货,1812,-2424.0,2025-11-11,ni2512,成交量,NI
20,国信期货,1719,239.0,2025-11-11,ni2512,成交量,NI
1,中信期货,25274,7493.0,2025-11-12,ni2512,成交量,NI
2,东证期货,22445,5821.0,2025-11-12,ni2512,成交量,NI
3,国泰君安,19703,4450.0,2025-11-12,ni2512,成交量,NI
4,海通期货,6660,1185.0,2025-11-12,ni2512,成交量,NI
5,华泰期货,6445,2075.0,2025-11-12,ni2512,成交量,NI
6,浙商期货,5708,3896.0,2025-11-12,ni2512,成交量,NI
7,广发期货,4772,1686.0,2025-11-12,ni2512,成交量,NI
8,申万期货,4049,786.0,2025-11-12,ni2512,成交量,NI
9,华闻期货,3993,1398.0,2025-11-12,ni2512,成交量,NI
10,国信期货,3537,1818.0,2025-11-12,ni2512,成交量,NI
11,银河期货,3534,850.0,2025-11-12,ni2512,成交量,NI
