排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,中信期货,3061,-305.0,2025-06-16,NR2507,空单持仓,NR
2,国泰君安,2382,363.0,2025-06-16,NR2507,空单持仓,NR
3,东证期货,1818,-415.0,2025-06-16,NR2507,空单持仓,NR
4,永安期货,1759,-83.0,2025-06-16,NR2507,空单持仓,NR
5,银河期货,1452,464.0,2025-06-16,NR2507,空单持仓,NR
6,海通期货,1072,397.0,2025-06-16,NR2507,空单持仓,NR
7,华泰期货,991,1.0,2025-06-16,NR2507,空单持仓,NR
8,中泰期货,926,-7.0,2025-06-16,NR2507,空单持仓,NR
9,大地期货,695,-126.0,2025-06-16,NR2507,空单持仓,NR
10,中粮期货,685,63.0,2025-06-16,NR2507,空单持仓,NR
11,中信建投,677,74.0,2025-06-16,NR2507,空单持仓,NR
12,宝城期货,621,6.0,2025-06-16,NR2507,空单持仓,NR
13,紫金天风,588,-21.0,2025-06-16,NR2507,空单持仓,NR
14,物产中大,584,69.0,2025-06-16,NR2507,空单持仓,NR
15,南华期货,508,-230.0,2025-06-16,NR2507,空单持仓,NR
16,国投期货,460,-51.0,2025-06-16,NR2507,空单持仓,NR
17,东方财富,452,200.0,2025-06-16,NR2507,空单持仓,NR
18,国贸期货,427,-68.0,2025-06-16,NR2507,空单持仓,NR
19,东吴期货,396,150.0,2025-06-16,NR2507,空单持仓,NR
20,新湖期货,350,-679.0,2025-06-16,NR2507,空单持仓,NR
1,中信期货,2928,-133.0,2025-06-17,NR2507,空单持仓,NR
2,国泰君安,2029,-353.0,2025-06-17,NR2507,空单持仓,NR
3,永安期货,1751,-8.0,2025-06-17,NR2507,空单持仓,NR
4,东证期货,1743,-75.0,2025-06-17,NR2507,空单持仓,NR
5,银河期货,1347,-105.0,2025-06-17,NR2507,空单持仓,NR
6,华泰期货,931,-60.0,2025-06-17,NR2507,空单持仓,NR
7,海通期货,783,-289.0,2025-06-17,NR2507,空单持仓,NR
8,中泰期货,759,-167.0,2025-06-17,NR2507,空单持仓,NR
9,大地期货,686,-9.0,2025-06-17,NR2507,空单持仓,NR
10,中信建投,649,-28.0,2025-06-17,NR2507,空单持仓,NR
11,南华期货,613,105.0,2025-06-17,NR2507,空单持仓,NR
12,宝城期货,606,-15.0,2025-06-17,NR2507,空单持仓,NR
13,中粮期货,590,-95.0,2025-06-17,NR2507,空单持仓,NR
14,紫金天风,558,-30.0,2025-06-17,NR2507,空单持仓,NR
15,国投期货,437,-23.0,2025-06-17,NR2507,空单持仓,NR
16,国贸期货,397,-30.0,2025-06-17,NR2507,空单持仓,NR
17,东吴期货,383,-13.0,2025-06-17,NR2507,空单持仓,NR
18,物产中大,373,-211.0,2025-06-17,NR2507,空单持仓,NR
19,广发期货,365,16.0,2025-06-17,NR2507,空单持仓,NR
20,新湖期货,352,2.0,2025-06-17,NR2507,空单持仓,NR
1,国泰君安,5656,-357.0,2025-06-18,NR2508,空单持仓,NR
2,摩根大通,3303,-1033.0,2025-06-18,NR2508,空单持仓,NR
3,永安期货,2549,58.0,2025-06-18,NR2508,空单持仓,NR
4,中信期货,2545,0.0,2025-06-18,NR2508,空单持仓,NR
5,中泰期货,2358,402.0,2025-06-18,NR2508,空单持仓,NR
6,东证期货,2155,107.0,2025-06-18,NR2508,空单持仓,NR
7,中粮期货,2055,155.0,2025-06-18,NR2508,空单持仓,NR
8,新湖期货,2043,-15.0,2025-06-18,NR2508,空单持仓,NR
9,物产中大,1939,919.0,2025-06-18,NR2508,空单持仓,NR
10,银河期货,1836,193.0,2025-06-18,NR2508,空单持仓,NR
11,海证期货,1352,28.0,2025-06-18,NR2508,空单持仓,NR
12,宝城期货,1341,-247.0,2025-06-18,NR2508,空单持仓,NR
13,广发期货,1190,132.0,2025-06-18,NR2508,空单持仓,NR
14,南华期货,1124,318.0,2025-06-18,NR2508,空单持仓,NR
15,五矿期货,1044,389.0,2025-06-18,NR2508,空单持仓,NR
16,华泰期货,969,-74.0,2025-06-18,NR2508,空单持仓,NR
17,海通期货,958,-844.0,2025-06-18,NR2508,空单持仓,NR
18,东吴期货,956,240.0,2025-06-18,NR2508,空单持仓,NR
19,申万期货,896,119.0,2025-06-18,NR2508,空单持仓,NR
20,方正中期,777,59.0,2025-06-18,NR2508,空单持仓,NR
1,国泰君安,5638,-18.0,2025-06-19,NR2508,空单持仓,NR
2,摩根大通,2986,-317.0,2025-06-19,NR2508,空单持仓,NR
3,永安期货,2535,-14.0,2025-06-19,NR2508,空单持仓,NR
4,中信期货,2529,-16.0,2025-06-19,NR2508,空单持仓,NR
5,东证期货,2207,52.0,2025-06-19,NR2508,空单持仓,NR
6,新湖期货,2049,6.0,2025-06-19,NR2508,空单持仓,NR
7,中泰期货,2010,-348.0,2025-06-19,NR2508,空单持仓,NR
8,银河期货,1892,56.0,2025-06-19,NR2508,空单持仓,NR
9,中粮期货,1884,-171.0,2025-06-19,NR2508,空单持仓,NR
10,物产中大,1352,-587.0,2025-06-19,NR2508,空单持仓,NR
11,宝城期货,1334,-7.0,2025-06-19,NR2508,空单持仓,NR
12,海通期货,1209,251.0,2025-06-19,NR2508,空单持仓,NR
13,海证期货,1143,-209.0,2025-06-19,NR2508,空单持仓,NR
14,五矿期货,1117,73.0,2025-06-19,NR2508,空单持仓,NR
15,南华期货,1112,-12.0,2025-06-19,NR2508,空单持仓,NR
16,广发期货,1050,-140.0,2025-06-19,NR2508,空单持仓,NR
17,华泰期货,1030,61.0,2025-06-19,NR2508,空单持仓,NR
18,东吴期货,1008,52.0,2025-06-19,NR2508,空单持仓,NR
19,申万期货,836,-60.0,2025-06-19,NR2508,空单持仓,NR
20,中辉期货,740,-27.0,2025-06-19,NR2508,空单持仓,NR
1,国泰君安,5791,153.0,2025-06-20,NR2508,空单持仓,NR
2,摩根大通,5132,2146.0,2025-06-20,NR2508,空单持仓,NR
3,永安期货,2833,298.0,2025-06-20,NR2508,空单持仓,NR
4,中信期货,2672,143.0,2025-06-20,NR2508,空单持仓,NR
5,中粮期货,2351,467.0,2025-06-20,NR2508,空单持仓,NR
6,东证期货,2202,-5.0,2025-06-20,NR2508,空单持仓,NR
7,宝城期货,2094,760.0,2025-06-20,NR2508,空单持仓,NR
8,中泰期货,1949,-61.0,2025-06-20,NR2508,空单持仓,NR
9,银河期货,1923,31.0,2025-06-20,NR2508,空单持仓,NR
10,新湖期货,1814,-235.0,2025-06-20,NR2508,空单持仓,NR
11,海通期货,1812,603.0,2025-06-20,NR2508,空单持仓,NR
12,海证期货,1171,28.0,2025-06-20,NR2508,空单持仓,NR
13,华泰期货,1088,58.0,2025-06-20,NR2508,空单持仓,NR
14,中辉期货,903,163.0,2025-06-20,NR2508,空单持仓,NR
15,广发期货,781,-269.0,2025-06-20,NR2508,空单持仓,NR
16,浙商期货,772,175.0,2025-06-20,NR2508,空单持仓,NR
17,国贸期货,760,102.0,2025-06-20,NR2508,空单持仓,NR
18,东吴期货,750,-258.0,2025-06-20,NR2508,空单持仓,NR
19,方正中期,748,54.0,2025-06-20,NR2508,空单持仓,NR
20,申万期货,703,-133.0,2025-06-20,NR2508,空单持仓,NR
1,国泰君安,5950,159.0,2025-06-23,NR2508,空单持仓,NR
2,摩根大通,5096,-36.0,2025-06-23,NR2508,空单持仓,NR
3,永安期货,3025,192.0,2025-06-23,NR2508,空单持仓,NR
4,中信期货,2763,91.0,2025-06-23,NR2508,空单持仓,NR
5,海通期货,2668,856.0,2025-06-23,NR2508,空单持仓,NR
6,中粮期货,2278,-73.0,2025-06-23,NR2508,空单持仓,NR
7,宝城期货,2272,178.0,2025-06-23,NR2508,空单持仓,NR
8,中泰期货,1976,27.0,2025-06-23,NR2508,空单持仓,NR
9,新湖期货,1935,121.0,2025-06-23,NR2508,空单持仓,NR
10,银河期货,1831,-92.0,2025-06-23,NR2508,空单持仓,NR
11,东证期货,1786,-416.0,2025-06-23,NR2508,空单持仓,NR
12,华泰期货,1186,98.0,2025-06-23,NR2508,空单持仓,NR
13,海证期货,1075,-96.0,2025-06-23,NR2508,空单持仓,NR
14,中辉期货,1001,98.0,2025-06-23,NR2508,空单持仓,NR
15,国投期货,896,233.0,2025-06-23,NR2508,空单持仓,NR
16,国贸期货,853,93.0,2025-06-23,NR2508,空单持仓,NR
17,南华期货,831,168.0,2025-06-23,NR2508,空单持仓,NR
18,广发期货,815,34.0,2025-06-23,NR2508,空单持仓,NR
19,东吴期货,744,-6.0,2025-06-23,NR2508,空单持仓,NR
20,方正中期,677,-71.0,2025-06-23,NR2508,空单持仓,NR
1,国泰君安,5963,13.0,2025-06-24,NR2508,空单持仓,NR
2,摩根大通,4748,-348.0,2025-06-24,NR2508,空单持仓,NR
3,中信期货,3343,580.0,2025-06-24,NR2508,空单持仓,NR
4,东证期货,2858,1072.0,2025-06-24,NR2508,空单持仓,NR
5,宝城期货,2480,208.0,2025-06-24,NR2508,空单持仓,NR
6,永安期货,2437,-588.0,2025-06-24,NR2508,空单持仓,NR
7,海通期货,2230,-438.0,2025-06-24,NR2508,空单持仓,NR
8,中泰期货,2021,45.0,2025-06-24,NR2508,空单持仓,NR
9,中粮期货,1992,-286.0,2025-06-24,NR2508,空单持仓,NR
10,新湖期货,1957,22.0,2025-06-24,NR2508,空单持仓,NR
11,华泰期货,1617,431.0,2025-06-24,NR2508,空单持仓,NR
12,银河期货,1342,-489.0,2025-06-24,NR2508,空单持仓,NR
13,海证期货,1217,142.0,2025-06-24,NR2508,空单持仓,NR
14,东吴期货,1009,265.0,2025-06-24,NR2508,空单持仓,NR
15,国贸期货,906,53.0,2025-06-24,NR2508,空单持仓,NR
16,广发期货,892,77.0,2025-06-24,NR2508,空单持仓,NR
17,国投期货,869,-27.0,2025-06-24,NR2508,空单持仓,NR
18,中辉期货,822,-179.0,2025-06-24,NR2508,空单持仓,NR
19,南华期货,792,-39.0,2025-06-24,NR2508,空单持仓,NR
20,大地期货,742,99.0,2025-06-24,NR2508,空单持仓,NR
1,国泰君安,5709,-254.0,2025-06-25,NR2508,空单持仓,NR
2,摩根大通,4715,-33.0,2025-06-25,NR2508,空单持仓,NR
3,东证期货,3400,542.0,2025-06-25,NR2508,空单持仓,NR
4,宝城期货,2701,221.0,2025-06-25,NR2508,空单持仓,NR
5,永安期货,2398,-39.0,2025-06-25,NR2508,空单持仓,NR
6,新湖期货,2125,168.0,2025-06-25,NR2508,空单持仓,NR
7,中信期货,2108,-1235.0,2025-06-25,NR2508,空单持仓,NR
8,中泰期货,2079,58.0,2025-06-25,NR2508,空单持仓,NR
9,海通期货,1792,-438.0,2025-06-25,NR2508,空单持仓,NR
10,华泰期货,1751,134.0,2025-06-25,NR2508,空单持仓,NR
11,银河期货,1533,191.0,2025-06-25,NR2508,空单持仓,NR
12,中粮期货,1425,-567.0,2025-06-25,NR2508,空单持仓,NR
13,东吴期货,1267,258.0,2025-06-25,NR2508,空单持仓,NR
14,海证期货,1205,-12.0,2025-06-25,NR2508,空单持仓,NR
15,南华期货,1057,265.0,2025-06-25,NR2508,空单持仓,NR
16,国海良时,1043,484.0,2025-06-25,NR2508,空单持仓,NR
17,国投期货,874,5.0,2025-06-25,NR2508,空单持仓,NR
18,国贸期货,861,-45.0,2025-06-25,NR2508,空单持仓,NR
19,广发期货,838,-54.0,2025-06-25,NR2508,空单持仓,NR
20,中辉期货,829,7.0,2025-06-25,NR2508,空单持仓,NR
1,国泰君安,5210,-499.0,2025-06-26,NR2508,空单持仓,NR
2,东证期货,3143,-257.0,2025-06-26,NR2508,空单持仓,NR
3,宝城期货,2824,123.0,2025-06-26,NR2508,空单持仓,NR
4,新湖期货,2317,192.0,2025-06-26,NR2508,空单持仓,NR
5,摩根大通,2198,-2517.0,2025-06-26,NR2508,空单持仓,NR
6,中泰期货,2083,4.0,2025-06-26,NR2508,空单持仓,NR
7,中信期货,1993,-115.0,2025-06-26,NR2508,空单持仓,NR
8,华泰期货,1839,88.0,2025-06-26,NR2508,空单持仓,NR
9,东吴期货,1624,357.0,2025-06-26,NR2508,空单持仓,NR
10,永安期货,1553,-845.0,2025-06-26,NR2508,空单持仓,NR
11,银河期货,1551,18.0,2025-06-26,NR2508,空单持仓,NR
12,物产中大,1379,840.0,2025-06-26,NR2508,空单持仓,NR
13,海通期货,1364,-428.0,2025-06-26,NR2508,空单持仓,NR
14,广发期货,1333,495.0,2025-06-26,NR2508,空单持仓,NR
15,中粮期货,1319,-106.0,2025-06-26,NR2508,空单持仓,NR
16,中信建投,1301,704.0,2025-06-26,NR2508,空单持仓,NR
17,国贸期货,926,65.0,2025-06-26,NR2508,空单持仓,NR
18,南华期货,786,-271.0,2025-06-26,NR2508,空单持仓,NR
19,申万期货,771,73.0,2025-06-26,NR2508,空单持仓,NR
20,国海良时,765,-278.0,2025-06-26,NR2508,空单持仓,NR
1,国泰君安,4371,-839.0,2025-06-27,NR2508,空单持仓,NR
2,东证期货,3715,572.0,2025-06-27,NR2508,空单持仓,NR
3,新湖期货,2318,1.0,2025-06-27,NR2508,空单持仓,NR
4,中信期货,2280,287.0,2025-06-27,NR2508,空单持仓,NR
5,中泰期货,2110,27.0,2025-06-27,NR2508,空单持仓,NR
6,华泰期货,2082,243.0,2025-06-27,NR2508,空单持仓,NR
7,宝城期货,1912,-912.0,2025-06-27,NR2508,空单持仓,NR
8,永安期货,1501,-52.0,2025-06-27,NR2508,空单持仓,NR
9,广发期货,1442,109.0,2025-06-27,NR2508,空单持仓,NR
10,银河期货,1332,-219.0,2025-06-27,NR2508,空单持仓,NR
11,物产中大,1272,-107.0,2025-06-27,NR2508,空单持仓,NR
12,中粮期货,1086,-233.0,2025-06-27,NR2508,空单持仓,NR
13,东吴期货,1034,-590.0,2025-06-27,NR2508,空单持仓,NR
14,海通期货,984,-380.0,2025-06-27,NR2508,空单持仓,NR
15,南华期货,959,173.0,2025-06-27,NR2508,空单持仓,NR
16,国海良时,942,177.0,2025-06-27,NR2508,空单持仓,NR
17,中信建投,928,-373.0,2025-06-27,NR2508,空单持仓,NR
18,国贸期货,923,-3.0,2025-06-27,NR2508,空单持仓,NR
19,大地期货,900,148.0,2025-06-27,NR2508,空单持仓,NR
20,五矿期货,834,310.0,2025-06-27,NR2508,空单持仓,NR
1,国泰君安,4150,-221.0,2025-06-30,NR2508,空单持仓,NR
2,东证期货,3059,-656.0,2025-06-30,NR2508,空单持仓,NR
3,新湖期货,2333,15.0,2025-06-30,NR2508,空单持仓,NR
4,中信期货,2173,-107.0,2025-06-30,NR2508,空单持仓,NR
5,华泰期货,2102,20.0,2025-06-30,NR2508,空单持仓,NR
6,宝城期货,1800,-112.0,2025-06-30,NR2508,空单持仓,NR
7,中泰期货,1752,-358.0,2025-06-30,NR2508,空单持仓,NR
8,永安期货,1490,-11.0,2025-06-30,NR2508,空单持仓,NR
9,物产中大,1263,-9.0,2025-06-30,NR2508,空单持仓,NR
10,广发期货,1090,-352.0,2025-06-30,NR2508,空单持仓,NR
11,银河期货,1084,-248.0,2025-06-30,NR2508,空单持仓,NR
12,浙商期货,945,240.0,2025-06-30,NR2508,空单持仓,NR
13,南华期货,932,-27.0,2025-06-30,NR2508,空单持仓,NR
14,国海良时,858,-84.0,2025-06-30,NR2508,空单持仓,NR
15,中粮期货,834,-252.0,2025-06-30,NR2508,空单持仓,NR
16,大地期货,822,-78.0,2025-06-30,NR2508,空单持仓,NR
17,五矿期货,793,-41.0,2025-06-30,NR2508,空单持仓,NR
18,国贸期货,775,-148.0,2025-06-30,NR2508,空单持仓,NR
19,中信建投,726,-202.0,2025-06-30,NR2508,空单持仓,NR
20,申万期货,697,-12.0,2025-06-30,NR2508,空单持仓,NR
1,国泰君安,3553,-597.0,2025-07-01,NR2508,空单持仓,NR
2,东证期货,2627,-432.0,2025-07-01,NR2508,空单持仓,NR
3,中信期货,2348,175.0,2025-07-01,NR2508,空单持仓,NR
4,新湖期货,2216,-117.0,2025-07-01,NR2508,空单持仓,NR
5,华泰期货,1972,-130.0,2025-07-01,NR2508,空单持仓,NR
6,中泰期货,1758,6.0,2025-07-01,NR2508,空单持仓,NR
7,永安期货,1527,37.0,2025-07-01,NR2508,空单持仓,NR
8,宝城期货,1383,-417.0,2025-07-01,NR2508,空单持仓,NR
9,物产中大,1277,14.0,2025-07-01,NR2508,空单持仓,NR
10,广发期货,1225,135.0,2025-07-01,NR2508,空单持仓,NR
11,银河期货,1087,3.0,2025-07-01,NR2508,空单持仓,NR
12,中粮期货,871,37.0,2025-07-01,NR2508,空单持仓,NR
13,国贸期货,843,68.0,2025-07-01,NR2508,空单持仓,NR
14,中信建投,791,65.0,2025-07-01,NR2508,空单持仓,NR
15,南华期货,777,-155.0,2025-07-01,NR2508,空单持仓,NR
16,浙商期货,767,-178.0,2025-07-01,NR2508,空单持仓,NR
17,申万期货,739,42.0,2025-07-01,NR2508,空单持仓,NR
18,五矿期货,737,-56.0,2025-07-01,NR2508,空单持仓,NR
19,东吴期货,732,123.0,2025-07-01,NR2508,空单持仓,NR
20,海通期货,725,55.0,2025-07-01,NR2508,空单持仓,NR
1,国泰君安,3479,-74.0,2025-07-02,NR2508,空单持仓,NR
2,东证期货,2668,41.0,2025-07-02,NR2508,空单持仓,NR
3,中信期货,2302,-46.0,2025-07-02,NR2508,空单持仓,NR
4,新湖期货,2277,61.0,2025-07-02,NR2508,空单持仓,NR
5,华泰期货,2008,36.0,2025-07-02,NR2508,空单持仓,NR
6,中泰期货,1709,-49.0,2025-07-02,NR2508,空单持仓,NR
7,永安期货,1557,30.0,2025-07-02,NR2508,空单持仓,NR
8,广发期货,1168,-57.0,2025-07-02,NR2508,空单持仓,NR
9,银河期货,1135,48.0,2025-07-02,NR2508,空单持仓,NR
10,物产中大,1064,-213.0,2025-07-02,NR2508,空单持仓,NR
11,南华期货,834,57.0,2025-07-02,NR2508,空单持仓,NR
12,国贸期货,818,-25.0,2025-07-02,NR2508,空单持仓,NR
13,中粮期货,790,-81.0,2025-07-02,NR2508,空单持仓,NR
14,中信建投,763,-28.0,2025-07-02,NR2508,空单持仓,NR
15,东吴期货,756,24.0,2025-07-02,NR2508,空单持仓,NR
16,浙商期货,736,-31.0,2025-07-02,NR2508,空单持仓,NR
17,国海良时,706,7.0,2025-07-02,NR2508,空单持仓,NR
18,申万期货,691,-48.0,2025-07-02,NR2508,空单持仓,NR
19,宝城期货,600,-783.0,2025-07-02,NR2508,空单持仓,NR
20,大地期货,597,-94.0,2025-07-02,NR2508,空单持仓,NR
1,国泰君安,3444,-35.0,2025-07-03,NR2508,空单持仓,NR
2,东证期货,2702,34.0,2025-07-03,NR2508,空单持仓,NR
3,中信期货,2236,-66.0,2025-07-03,NR2508,空单持仓,NR
4,新湖期货,2118,-159.0,2025-07-03,NR2508,空单持仓,NR
5,华泰期货,1832,-176.0,2025-07-03,NR2508,空单持仓,NR
6,中泰期货,1574,-135.0,2025-07-03,NR2508,空单持仓,NR
7,永安期货,1451,-106.0,2025-07-03,NR2508,空单持仓,NR
8,银河期货,1374,239.0,2025-07-03,NR2508,空单持仓,NR
9,宝城期货,1118,518.0,2025-07-03,NR2508,空单持仓,NR
10,中粮期货,852,62.0,2025-07-03,NR2508,空单持仓,NR
11,南华期货,777,-57.0,2025-07-03,NR2508,空单持仓,NR
12,国海良时,776,70.0,2025-07-03,NR2508,空单持仓,NR
13,浙商期货,713,-23.0,2025-07-03,NR2508,空单持仓,NR
14,国贸期货,684,-134.0,2025-07-03,NR2508,空单持仓,NR
15,海通期货,678,178.0,2025-07-03,NR2508,空单持仓,NR
16,广发期货,674,-494.0,2025-07-03,NR2508,空单持仓,NR
17,中信建投,659,-104.0,2025-07-03,NR2508,空单持仓,NR
18,东吴期货,627,-129.0,2025-07-03,NR2508,空单持仓,NR
19,申万期货,598,-93.0,2025-07-03,NR2508,空单持仓,NR
20,物产中大,577,-487.0,2025-07-03,NR2508,空单持仓,NR
1,国泰君安,2981,-463.0,2025-07-04,NR2508,空单持仓,NR
2,东证期货,2290,-412.0,2025-07-04,NR2508,空单持仓,NR
3,中信期货,2183,-53.0,2025-07-04,NR2508,空单持仓,NR
4,新湖期货,1998,-120.0,2025-07-04,NR2508,空单持仓,NR
5,华泰期货,1845,13.0,2025-07-04,NR2508,空单持仓,NR
6,中泰期货,1514,-60.0,2025-07-04,NR2508,空单持仓,NR
7,永安期货,1291,-160.0,2025-07-04,NR2508,空单持仓,NR
8,银河期货,1231,-143.0,2025-07-04,NR2508,空单持仓,NR
9,宝城期货,1178,60.0,2025-07-04,NR2508,空单持仓,NR
10,中粮期货,822,-30.0,2025-07-04,NR2508,空单持仓,NR
11,南华期货,703,-74.0,2025-07-04,NR2508,空单持仓,NR
12,浙商期货,687,-26.0,2025-07-04,NR2508,空单持仓,NR
13,国贸期货,661,-23.0,2025-07-04,NR2508,空单持仓,NR
14,东吴期货,643,16.0,2025-07-04,NR2508,空单持仓,NR
15,广发期货,629,-45.0,2025-07-04,NR2508,空单持仓,NR
16,国海良时,609,-167.0,2025-07-04,NR2508,空单持仓,NR
17,中信建投,609,-50.0,2025-07-04,NR2508,空单持仓,NR
18,申万期货,579,-19.0,2025-07-04,NR2508,空单持仓,NR
19,大地期货,510,8.0,2025-07-04,NR2508,空单持仓,NR
20,物产中大,492,-85.0,2025-07-04,NR2508,空单持仓,NR
1,国泰君安,2976,-5.0,2025-07-07,NR2508,空单持仓,NR
2,东证期货,2207,-83.0,2025-07-07,NR2508,空单持仓,NR
3,中信期货,2029,-154.0,2025-07-07,NR2508,空单持仓,NR
4,新湖期货,1791,-207.0,2025-07-07,NR2508,空单持仓,NR
5,华泰期货,1767,-78.0,2025-07-07,NR2508,空单持仓,NR
6,中泰期货,1467,-47.0,2025-07-07,NR2508,空单持仓,NR
7,永安期货,1359,68.0,2025-07-07,NR2508,空单持仓,NR
8,银河期货,1352,121.0,2025-07-07,NR2508,空单持仓,NR
9,宝城期货,1272,94.0,2025-07-07,NR2508,空单持仓,NR
