排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol,成交量
1,东证期货,42356.0,917.0,2025-06-16,NR2507,成交量,NR,
2,国泰君安,34880.0,9379.0,2025-06-16,NR2507,成交量,NR,
3,中信期货,25219.0,2262.0,2025-06-16,NR2507,成交量,NR,
4,中泰期货,15845.0,794.0,2025-06-16,NR2507,成交量,NR,
5,海通期货,13579.0,1707.0,2025-06-16,NR2507,成交量,NR,
6,新湖期货,11857.0,3018.0,2025-06-16,NR2507,成交量,NR,
7,华泰期货,11417.0,-1270.0,2025-06-16,NR2507,成交量,NR,
8,光大期货,10351.0,4343.0,2025-06-16,NR2507,成交量,NR,
9,南华期货,10042.0,1113.0,2025-06-16,NR2507,成交量,NR,
10,东方财富,4532.0,359.0,2025-06-16,NR2507,成交量,NR,
11,国联期货,4449.0,1640.0,2025-06-16,NR2507,成交量,NR,
12,徽商期货,4440.0,412.0,2025-06-16,NR2507,成交量,NR,
13,民生期货,3711.0,-2548.0,2025-06-16,NR2507,成交量,NR,
14,华闻期货,3484.0,865.0,2025-06-16,NR2507,成交量,NR,
15,银河期货,3370.0,662.0,2025-06-16,NR2507,成交量,NR,
16,东吴期货,3184.0,398.0,2025-06-16,NR2507,成交量,NR,
17,宝城期货,3120.0,1083.0,2025-06-16,NR2507,成交量,NR,
18,中信建投,2745.0,-834.0,2025-06-16,NR2507,成交量,NR,
19,广发期货,2694.0,-1420.0,2025-06-16,NR2507,成交量,NR,
20,创元期货,2288.0,457.0,2025-06-16,NR2507,成交量,NR,
1,东证期货,22707.0,-19649.0,2025-06-17,NR2507,成交量,NR,
2,中泰期货,13128.0,-2717.0,2025-06-17,NR2507,成交量,NR,
3,中信期货,12365.0,-12854.0,2025-06-17,NR2507,成交量,NR,
4,南华期货,8391.0,-1651.0,2025-06-17,NR2507,成交量,NR,
5,华泰期货,7653.0,-3764.0,2025-06-17,NR2507,成交量,NR,
6,国泰君安,7256.0,-27624.0,2025-06-17,NR2507,成交量,NR,
7,海通期货,7142.0,-6437.0,2025-06-17,NR2507,成交量,NR,
8,新湖期货,5315.0,-6542.0,2025-06-17,NR2507,成交量,NR,
9,光大期货,4162.0,-6189.0,2025-06-17,NR2507,成交量,NR,
10,东方财富,2802.0,-1730.0,2025-06-17,NR2507,成交量,NR,
11,银河期货,2423.0,-947.0,2025-06-17,NR2507,成交量,NR,
12,徽商期货,2329.0,-2111.0,2025-06-17,NR2507,成交量,NR,
13,浙商期货,1822.0,149.0,2025-06-17,NR2507,成交量,NR,
14,中信建投,1716.0,-1029.0,2025-06-17,NR2507,成交量,NR,
15,广发期货,1607.0,-1087.0,2025-06-17,NR2507,成交量,NR,
16,天富期货,1466.0,-694.0,2025-06-17,NR2507,成交量,NR,
17,东吴期货,1443.0,-1741.0,2025-06-17,NR2507,成交量,NR,
18,中粮期货,1431.0,49.0,2025-06-17,NR2507,成交量,NR,
19,创元期货,1362.0,-926.0,2025-06-17,NR2507,成交量,NR,
20,国联期货,1319.0,-3130.0,2025-06-17,NR2507,成交量,NR,
1,东证期货,16837.0,1204.0,2025-06-18,NR2508,成交量,NR,
2,国泰君安,13584.0,2643.0,2025-06-18,NR2508,成交量,NR,
3,华泰期货,9057.0,-809.0,2025-06-18,NR2508,成交量,NR,
4,中泰期货,7409.0,-864.0,2025-06-18,NR2508,成交量,NR,
5,中信期货,6707.0,1724.0,2025-06-18,NR2508,成交量,NR,
6,浙商期货,5682.0,4449.0,2025-06-18,NR2508,成交量,NR,
7,海通期货,5159.0,1929.0,2025-06-18,NR2508,成交量,NR,
8,新湖期货,4739.0,652.0,2025-06-18,NR2508,成交量,NR,
9,华闻期货,3600.0,1460.0,2025-06-18,NR2508,成交量,NR,
10,摩根大通,2008.0,816.0,2025-06-18,NR2508,成交量,NR,
11,银河期货,1963.0,506.0,2025-06-18,NR2508,成交量,NR,
12,广发期货,1915.0,716.0,2025-06-18,NR2508,成交量,NR,
13,光大期货,1704.0,-355.0,2025-06-18,NR2508,成交量,NR,
14,中信建投,1640.0,556.0,2025-06-18,NR2508,成交量,NR,
15,国信期货,1484.0,-13.0,2025-06-18,NR2508,成交量,NR,
16,宝城期货,1393.0,891.0,2025-06-18,NR2508,成交量,NR,
17,中辉期货,1269.0,770.0,2025-06-18,NR2508,成交量,NR,
18,五矿期货,1203.0,605.0,2025-06-18,NR2508,成交量,NR,
19,物产中大,1097.0,521.0,2025-06-18,NR2508,成交量,NR,
20,徽商期货,1059.0,205.0,2025-06-18,NR2508,成交量,NR,
1,东证期货,17131.0,294.0,2025-06-19,NR2508,成交量,NR,
2,华泰期货,8475.0,-582.0,2025-06-19,NR2508,成交量,NR,
3,国泰君安,6686.0,-6898.0,2025-06-19,NR2508,成交量,NR,
4,中泰期货,4338.0,-3071.0,2025-06-19,NR2508,成交量,NR,
5,中信期货,3663.0,-3044.0,2025-06-19,NR2508,成交量,NR,
6,海通期货,3621.0,-1538.0,2025-06-19,NR2508,成交量,NR,
7,新湖期货,3402.0,-1337.0,2025-06-19,NR2508,成交量,NR,
8,浙商期货,3346.0,-2336.0,2025-06-19,NR2508,成交量,NR,
9,华闻期货,2055.0,-1545.0,2025-06-19,NR2508,成交量,NR,
10,东海期货,1946.0,1083.0,2025-06-19,NR2508,成交量,NR,
11,广发期货,1777.0,-138.0,2025-06-19,NR2508,成交量,NR,
12,光大期货,1662.0,-42.0,2025-06-19,NR2508,成交量,NR,
13,国信期货,1237.0,-247.0,2025-06-19,NR2508,成交量,NR,
14,银河期货,1181.0,-782.0,2025-06-19,NR2508,成交量,NR,
15,徽商期货,1115.0,56.0,2025-06-19,NR2508,成交量,NR,
16,摩根大通,1062.0,-946.0,2025-06-19,NR2508,成交量,NR,
17,中信建投,1018.0,-622.0,2025-06-19,NR2508,成交量,NR,
18,东方财富,945.0,-111.0,2025-06-19,NR2508,成交量,NR,
19,物产中大,791.0,-306.0,2025-06-19,NR2508,成交量,NR,
20,国联期货,692.0,-114.0,2025-06-19,NR2508,成交量,NR,
1,东证期货,33339.0,16208.0,2025-06-20,NR2508,成交量,NR,
2,华泰期货,15175.0,6700.0,2025-06-20,NR2508,成交量,NR,
3,国泰君安,14298.0,7612.0,2025-06-20,NR2508,成交量,NR,
4,中泰期货,12422.0,8084.0,2025-06-20,NR2508,成交量,NR,
5,中信期货,12180.0,8517.0,2025-06-20,NR2508,成交量,NR,
6,南华期货,7651.0,7432.0,2025-06-20,NR2508,成交量,NR,
7,新湖期货,6585.0,3183.0,2025-06-20,NR2508,成交量,NR,
8,浙商期货,5841.0,2495.0,2025-06-20,NR2508,成交量,NR,
9,海通期货,5450.0,1829.0,2025-06-20,NR2508,成交量,NR,
10,申万期货,4179.0,3735.0,2025-06-20,NR2508,成交量,NR,
11,华闻期货,3451.0,1396.0,2025-06-20,NR2508,成交量,NR,
12,广发期货,3249.0,1472.0,2025-06-20,NR2508,成交量,NR,
13,天富期货,3035.0,2974.0,2025-06-20,NR2508,成交量,NR,
