排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,中信期货,13381,-268.0,2025-08-18,oi2509,空单持仓,OI
2,国泰君安,11793,-74.0,2025-08-18,oi2509,空单持仓,OI
3,华泰期货,19658,-478.0,2025-08-18,oi2509,空单持仓,OI
4,银河期货,8615,-434.0,2025-08-18,oi2509,空单持仓,OI
5,申银万国,17861,-308.0,2025-08-18,oi2509,空单持仓,OI
6,招商期货,13583,-499.0,2025-08-18,oi2509,空单持仓,OI
7,光大期货,12448,-402.0,2025-08-18,oi2509,空单持仓,OI
8,中粮期货,4781,64.0,2025-08-18,oi2509,空单持仓,OI
9,东证期货,11665,-158.0,2025-08-18,oi2509,空单持仓,OI
10,海通期货,13185,-470.0,2025-08-18,oi2509,空单持仓,OI
1,中信期货,11045,-100.0,2025-08-19,oi2509,空单持仓,OI
2,国泰君安,9547,-356.0,2025-08-19,oi2509,空单持仓,OI
3,华泰期货,4272,22.0,2025-08-19,oi2509,空单持仓,OI
4,银河期货,20553,-35.0,2025-08-19,oi2509,空单持仓,OI
5,申银万国,14202,-64.0,2025-08-19,oi2509,空单持仓,OI
6,招商期货,13765,333.0,2025-08-19,oi2509,空单持仓,OI
7,光大期货,10521,23.0,2025-08-19,oi2509,空单持仓,OI
8,中粮期货,10836,237.0,2025-08-19,oi2509,空单持仓,OI
9,东证期货,6540,-400.0,2025-08-19,oi2509,空单持仓,OI
10,海通期货,10244,-347.0,2025-08-19,oi2509,空单持仓,OI
1,中信期货,14350,374.0,2025-08-20,oi2509,空单持仓,OI
2,国泰君安,17409,-327.0,2025-08-20,oi2509,空单持仓,OI
3,华泰期货,5518,146.0,2025-08-20,oi2509,空单持仓,OI
4,银河期货,18845,245.0,2025-08-20,oi2509,空单持仓,OI
5,申银万国,9460,-161.0,2025-08-20,oi2509,空单持仓,OI
6,招商期货,8060,-320.0,2025-08-20,oi2509,空单持仓,OI
7,光大期货,6564,227.0,2025-08-20,oi2509,空单持仓,OI
8,中粮期货,7631,-263.0,2025-08-20,oi2509,空单持仓,OI
9,东证期货,18503,-307.0,2025-08-20,oi2509,空单持仓,OI
10,海通期货,10901,11.0,2025-08-20,oi2509,空单持仓,OI
1,中信期货,7765,-463.0,2025-08-21,oi2509,空单持仓,OI
2,国泰君安,10095,-297.0,2025-08-21,oi2509,空单持仓,OI
3,华泰期货,18745,33.0,2025-08-21,oi2509,空单持仓,OI
4,银河期货,10849,-399.0,2025-08-21,oi2509,空单持仓,OI
5,申银万国,5964,358.0,2025-08-21,oi2509,空单持仓,OI
6,招商期货,7621,-266.0,2025-08-21,oi2509,空单持仓,OI
7,光大期货,19808,220.0,2025-08-21,oi2509,空单持仓,OI
8,中粮期货,19921,-356.0,2025-08-21,oi2509,空单持仓,OI
9,东证期货,6673,8.0,2025-08-21,oi2509,空单持仓,OI
10,海通期货,9744,52.0,2025-08-21,oi2509,空单持仓,OI
1,中信期货,6998,264.0,2025-08-22,oi2509,空单持仓,OI
2,国泰君安,14595,188.0,2025-08-22,oi2509,空单持仓,OI
3,华泰期货,20030,-182.0,2025-08-22,oi2509,空单持仓,OI
4,银河期货,13145,22.0,2025-08-22,oi2509,空单持仓,OI
5,申银万国,9530,317.0,2025-08-22,oi2509,空单持仓,OI
6,招商期货,7653,112.0,2025-08-22,oi2509,空单持仓,OI
7,光大期货,13799,203.0,2025-08-22,oi2509,空单持仓,OI
8,中粮期货,10655,-418.0,2025-08-22,oi2509,空单持仓,OI
9,东证期货,8014,397.0,2025-08-22,oi2509,空单持仓,OI
10,海通期货,6853,-256.0,2025-08-22,oi2509,空单持仓,OI
1,国投期货,32165,2114.0,20250822,OI2601,空单持仓,OI
2,中粮期货,19608,312.0,20250822,OI2601,空单持仓,OI
3,格林大华期货,17908,537.0,20250822,OI2601,空单持仓,OI
4,国富期货,16203,73.0,20250822,OI2601,空单持仓,OI
5,华泰期货,13413,1661.0,20250822,OI2601,空单持仓,OI
6,中信期货,13290,139.0,20250822,OI2601,空单持仓,OI
7,国泰君安,11860,658.0,20250822,OI2601,空单持仓,OI
8,中天期货,9640,268.0,20250822,OI2601,空单持仓,OI
9,东证期货,8895,710.0,20250822,OI2601,空单持仓,OI
10,浙商期货,8017,1486.0,20250822,OI2601,空单持仓,OI
11,银河期货,7867,-122.0,20250822,OI2601,空单持仓,OI
12,建信期货,6124,-309.0,20250822,OI2601,空单持仓,OI
13,一德期货,5660,425.0,20250822,OI2601,空单持仓,OI
14,永安期货,5326,425.0,20250822,OI2601,空单持仓,OI
15,广发期货,5167,237.0,20250822,OI2601,空单持仓,OI
16,海通期货,5099,191.0,20250822,OI2601,空单持仓,OI
17,新湖期货,4894,310.0,20250822,OI2601,空单持仓,OI
18,申银万国,4612,-171.0,20250822,OI2601,空单持仓,OI
19,中国国际,4401,221.0,20250822,OI2601,空单持仓,OI
20,中泰期货,4048,338.0,20250822,OI2601,空单持仓,OI
1,国投期货,38551,6386.0,20250825,OI2601,空单持仓,OI
2,中粮期货,19946,338.0,20250825,OI2601,空单持仓,OI
3,格林大华期货,17081,-827.0,20250825,OI2601,空单持仓,OI
4,国富期货,16134,-69.0,20250825,OI2601,空单持仓,OI
5,华泰期货,13974,561.0,20250825,OI2601,空单持仓,OI
6,中信期货,12205,-1085.0,20250825,OI2601,空单持仓,OI
7,国泰君安,11619,-241.0,20250825,OI2601,空单持仓,OI
8,中天期货,9734,94.0,20250825,OI2601,空单持仓,OI
9,东证期货,9502,607.0,20250825,OI2601,空单持仓,OI
10,浙商期货,9371,1354.0,20250825,OI2601,空单持仓,OI
11,银河期货,7792,-75.0,20250825,OI2601,空单持仓,OI
12,一德期货,5742,82.0,20250825,OI2601,空单持仓,OI
13,申银万国,5649,1037.0,20250825,OI2601,空单持仓,OI
14,建信期货,5598,-526.0,20250825,OI2601,空单持仓,OI
15,广发期货,5242,75.0,20250825,OI2601,空单持仓,OI
16,永安期货,5239,-87.0,20250825,OI2601,空单持仓,OI
17,海通期货,5208,109.0,20250825,OI2601,空单持仓,OI
18,新湖期货,4980,86.0,20250825,OI2601,空单持仓,OI
19,中国国际,4467,66.0,20250825,OI2601,空单持仓,OI
20,乾坤期货,3959,660.0,20250825,OI2601,空单持仓,OI
1,国投期货,40317,1766.0,20250826,OI2601,空单持仓,OI
2,中粮期货,22026,2080.0,20250826,OI2601,空单持仓,OI
3,国富期货,15930,-204.0,20250826,OI2601,空单持仓,OI
4,格林大华期货,14187,-2894.0,20250826,OI2601,空单持仓,OI
5,华泰期货,13620,-354.0,20250826,OI2601,空单持仓,OI
6,中信期货,12797,592.0,20250826,OI2601,空单持仓,OI
7,国泰君安,11506,-113.0,20250826,OI2601,空单持仓,OI
8,浙商期货,10265,894.0,20250826,OI2601,空单持仓,OI
9,东证期货,10126,624.0,20250826,OI2601,空单持仓,OI
10,中天期货,9726,-8.0,20250826,OI2601,空单持仓,OI
11,银河期货,7716,-76.0,20250826,OI2601,空单持仓,OI
12,广发期货,5663,421.0,20250826,OI2601,空单持仓,OI
13,建信期货,5458,-140.0,20250826,OI2601,空单持仓,OI
14,乾坤期货,5379,1420.0,20250826,OI2601,空单持仓,OI
15,永安期货,5119,-120.0,20250826,OI2601,空单持仓,OI
16,一德期货,5070,-672.0,20250826,OI2601,空单持仓,OI
17,新湖期货,4905,-75.0,20250826,OI2601,空单持仓,OI
18,海通期货,4787,-421.0,20250826,OI2601,空单持仓,OI
19,中国国际,4385,-82.0,20250826,OI2601,空单持仓,OI
20,弘业期货,4057,345.0,20250826,OI2601,空单持仓,OI
1,国投期货,39548,-769.0,20250827,OI2601,空单持仓,OI
2,中粮期货,20632,-1394.0,20250827,OI2601,空单持仓,OI
3,国富期货,16160,230.0,20250827,OI2601,空单持仓,OI
4,格林大华期货,13223,-964.0,20250827,OI2601,空单持仓,OI
5,华泰期货,13145,-475.0,20250827,OI2601,空单持仓,OI
6,国泰君安,12049,543.0,20250827,OI2601,空单持仓,OI
7,中信期货,11795,-1002.0,20250827,OI2601,空单持仓,OI
8,浙商期货,9748,-517.0,20250827,OI2601,空单持仓,OI
9,中天期货,9735,9.0,20250827,OI2601,空单持仓,OI
10,东证期货,8988,-1138.0,20250827,OI2601,空单持仓,OI
11,银河期货,7539,-177.0,20250827,OI2601,空单持仓,OI
12,广发期货,5529,-134.0,20250827,OI2601,空单持仓,OI
13,乾坤期货,5420,41.0,20250827,OI2601,空单持仓,OI
14,建信期货,5176,-282.0,20250827,OI2601,空单持仓,OI
15,永安期货,5033,-86.0,20250827,OI2601,空单持仓,OI
16,一德期货,4763,-307.0,20250827,OI2601,空单持仓,OI
17,新湖期货,4406,-499.0,20250827,OI2601,空单持仓,OI
18,海通期货,4359,-428.0,20250827,OI2601,空单持仓,OI
19,中国国际,4349,-36.0,20250827,OI2601,空单持仓,OI
20,弘业期货,4068,11.0,20250827,OI2601,空单持仓,OI
1,国投期货,34850,-4698.0,20250828,OI2601,空单持仓,OI
2,中粮期货,19306,-1326.0,20250828,OI2601,空单持仓,OI
3,国富期货,15804,-356.0,20250828,OI2601,空单持仓,OI
4,国泰君安,13486,1437.0,20250828,OI2601,空单持仓,OI
5,格林大华期货,12977,-246.0,20250828,OI2601,空单持仓,OI
6,中信期货,12004,209.0,20250828,OI2601,空单持仓,OI
7,华泰期货,11969,-1176.0,20250828,OI2601,空单持仓,OI
8,东证期货,9639,651.0,20250828,OI2601,空单持仓,OI
9,中天期货,9072,-663.0,20250828,OI2601,空单持仓,OI
10,浙商期货,8082,-1666.0,20250828,OI2601,空单持仓,OI
11,银河期货,7396,-143.0,20250828,OI2601,空单持仓,OI
12,一德期货,5936,1173.0,20250828,OI2601,空单持仓,OI
13,广发期货,5082,-447.0,20250828,OI2601,空单持仓,OI
14,乾坤期货,4951,-469.0,20250828,OI2601,空单持仓,OI
