排名,会员简称,成交量,比上交易增减,date,contract,position_type,symbol
1,东证期货,59372,18825.0,2025-11-06,OI2601,成交量,OI
2,中信期货,33563,6022.0,2025-11-06,OI2601,成交量,OI
3,国泰君安,18455,5825.0,2025-11-06,OI2601,成交量,OI
4,中信建投,12055,4488.0,2025-11-06,OI2601,成交量,OI
5,华闻期货,11413,2717.0,2025-11-06,OI2601,成交量,OI
6,银河期货,10217,3648.0,2025-11-06,OI2601,成交量,OI
7,中泰期货,9606,2687.0,2025-11-06,OI2601,成交量,OI
8,广发期货,9513,3685.0,2025-11-06,OI2601,成交量,OI
9,徽商期货,9127,2728.0,2025-11-06,OI2601,成交量,OI
10,浙商期货,9085,2880.0,2025-11-06,OI2601,成交量,OI
11,华泰期货,8512,2930.0,2025-11-06,OI2601,成交量,OI
12,国信期货,7916,2661.0,2025-11-06,OI2601,成交量,OI
13,南华期货,7642,557.0,2025-11-06,OI2601,成交量,OI
14,海通期货,7479,1329.0,2025-11-06,OI2601,成交量,OI
15,国投期货,7469,1977.0,2025-11-06,OI2601,成交量,OI
16,五矿期货,7204,3427.0,2025-11-06,OI2601,成交量,OI
17,瑞达期货,7113,1057.0,2025-11-06,OI2601,成交量,OI
18,摩根大通,6100,1816.0,2025-11-06,OI2601,成交量,OI
19,东吴期货,5752,3066.0,2025-11-06,OI2601,成交量,OI
20,中粮期货,5161,1021.0,2025-11-06,OI2601,成交量,OI
1,东证期货,44801,-14571.0,2025-11-07,OI2601,成交量,OI
2,中信期货,30761,-2802.0,2025-11-07,OI2601,成交量,OI
3,国泰君安,15013,-3442.0,2025-11-07,OI2601,成交量,OI
4,广发期货,11101,1588.0,2025-11-07,OI2601,成交量,OI
5,中泰期货,9860,254.0,2025-11-07,OI2601,成交量,OI
6,银河期货,9106,-1111.0,2025-11-07,OI2601,成交量,OI
7,华闻期货,8228,-3185.0,2025-11-07,OI2601,成交量,OI
8,中信建投,8130,-3925.0,2025-11-07,OI2601,成交量,OI
9,徽商期货,7981,-1146.0,2025-11-07,OI2601,成交量,OI
10,华泰期货,6413,-2099.0,2025-11-07,OI2601,成交量,OI
11,南华期货,6376,-1266.0,2025-11-07,OI2601,成交量,OI
12,海通期货,6305,-1174.0,2025-11-07,OI2601,成交量,OI
13,国信期货,5650,-2266.0,2025-11-07,OI2601,成交量,OI
14,五矿期货,5441,-1763.0,2025-11-07,OI2601,成交量,OI
15,摩根大通,5184,-916.0,2025-11-07,OI2601,成交量,OI
16,瑞达期货,5113,-2000.0,2025-11-07,OI2601,成交量,OI
17,浙商期货,5092,-3993.0,2025-11-07,OI2601,成交量,OI
18,平安期货,4662,571.0,2025-11-07,OI2601,成交量,OI
19,国投期货,4611,-2858.0,2025-11-07,OI2601,成交量,OI
20,光大期货,4475,-212.0,2025-11-07,OI2601,成交量,OI
1,东证期货,47225,2424.0,2025-11-10,OI2601,成交量,OI
2,中信期货,35875,5114.0,2025-11-10,OI2601,成交量,OI
3,国泰君安,12765,-2248.0,2025-11-10,OI2601,成交量,OI
4,中泰期货,9480,-380.0,2025-11-10,OI2601,成交量,OI
5,华闻期货,8387,159.0,2025-11-10,OI2601,成交量,OI
6,中信建投,8040,-90.0,2025-11-10,OI2601,成交量,OI
7,海通期货,7422,1117.0,2025-11-10,OI2601,成交量,OI
8,广发期货,7190,-3911.0,2025-11-10,OI2601,成交量,OI
9,华泰期货,6469,56.0,2025-11-10,OI2601,成交量,OI
10,银河期货,6431,-2675.0,2025-11-10,OI2601,成交量,OI
11,五矿期货,6330,889.0,2025-11-10,OI2601,成交量,OI
12,徽商期货,6313,-1668.0,2025-11-10,OI2601,成交量,OI
13,南华期货,6079,-297.0,2025-11-10,OI2601,成交量,OI
14,国信期货,5794,144.0,2025-11-10,OI2601,成交量,OI
15,浙商期货,4912,-180.0,2025-11-10,OI2601,成交量,OI
16,瑞达期货,4607,-506.0,2025-11-10,OI2601,成交量,OI
17,招商期货,4500,398.0,2025-11-10,OI2601,成交量,OI
18,中粮期货,4189,795.0,2025-11-10,OI2601,成交量,OI
19,乾坤期货,4164,1036.0,2025-11-10,OI2601,成交量,OI
20,光大期货,3839,-636.0,2025-11-10,OI2601,成交量,OI
1,东证期货,62021,14796.0,2025-11-11,OI2601,成交量,OI
2,中信期货,53062,17187.0,2025-11-11,OI2601,成交量,OI
3,国泰君安,21724,8959.0,2025-11-11,OI2601,成交量,OI
4,中信建投,16105,8065.0,2025-11-11,OI2601,成交量,OI
5,华闻期货,14010,5623.0,2025-11-11,OI2601,成交量,OI
6,广发期货,12735,5545.0,2025-11-11,OI2601,成交量,OI
7,中泰期货,11998,2518.0,2025-11-11,OI2601,成交量,OI
8,浙商期货,11481,6569.0,2025-11-11,OI2601,成交量,OI
9,五矿期货,11201,4871.0,2025-11-11,OI2601,成交量,OI
10,银河期货,11087,4656.0,2025-11-11,OI2601,成交量,OI
11,徽商期货,11058,4745.0,2025-11-11,OI2601,成交量,OI
12,国投期货,10893,8523.0,2025-11-11,OI2601,成交量,OI
13,海通期货,10831,3409.0,2025-11-11,OI2601,成交量,OI
14,光大期货,10200,6361.0,2025-11-11,OI2601,成交量,OI
15,南华期货,9329,3250.0,2025-11-11,OI2601,成交量,OI
16,摩根大通,8633,5528.0,2025-11-11,OI2601,成交量,OI
17,华泰期货,8465,1996.0,2025-11-11,OI2601,成交量,OI
18,瑞达期货,7950,3343.0,2025-11-11,OI2601,成交量,OI
19,国信期货,7510,1716.0,2025-11-11,OI2601,成交量,OI
20,中粮期货,7278,3089.0,2025-11-11,OI2601,成交量,OI
1,东证期货,52415,-9606.0,2025-11-12,OI2601,成交量,OI
2,中信期货,38006,-15056.0,2025-11-12,OI2601,成交量,OI
3,国泰君安,16506,-5218.0,2025-11-12,OI2601,成交量,OI
4,中信建投,15369,-736.0,2025-11-12,OI2601,成交量,OI
5,华闻期货,12732,-1278.0,2025-11-12,OI2601,成交量,OI
6,广发期货,9763,-2972.0,2025-11-12,OI2601,成交量,OI
7,中泰期货,9675,-2323.0,2025-11-12,OI2601,成交量,OI
8,徽商期货,9317,-1741.0,2025-11-12,OI2601,成交量,OI
9,华泰期货,9125,660.0,2025-11-12,OI2601,成交量,OI
10,银河期货,9064,-2023.0,2025-11-12,OI2601,成交量,OI
11,南华期货,8591,-738.0,2025-11-12,OI2601,成交量,OI
12,海通期货,8145,-2686.0,2025-11-12,OI2601,成交量,OI
13,国投期货,6673,-4220.0,2025-11-12,OI2601,成交量,OI
14,光大期货,6673,-3527.0,2025-11-12,OI2601,成交量,OI
15,五矿期货,6607,-4594.0,2025-11-12,OI2601,成交量,OI
16,摩根大通,6361,-2272.0,2025-11-12,OI2601,成交量,OI
17,国信期货,6135,-1375.0,2025-11-12,OI2601,成交量,OI
18,浙商期货,5506,-5975.0,2025-11-12,OI2601,成交量,OI
19,华安期货,5028,262.0,2025-11-12,OI2601,成交量,OI
20,瑞达期货,5014,-2936.0,2025-11-12,OI2601,成交量,OI
