排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,一德期货,35171,-277.0,2026-06-22,p2609,多单持仓,P
2,国泰君安,32826,-395.0,2026-06-22,p2609,多单持仓,P
3,东证期货,32714,-52.0,2026-06-22,p2609,多单持仓,P
4,国投期货,23998,-1986.0,2026-06-22,p2609,多单持仓,P
5,华泰期货,19037,-220.0,2026-06-22,p2609,多单持仓,P
6,中粮期货,15309,-3344.0,2026-06-22,p2609,多单持仓,P
7,西部期货,15005,2.0,2026-06-22,p2609,多单持仓,P
8,中信期货,14766,529.0,2026-06-22,p2609,多单持仓,P
9,永安期货,14088,49.0,2026-06-22,p2609,多单持仓,P
10,宏源期货,13318,300.0,2026-06-22,p2609,多单持仓,P
11,广发期货,12704,78.0,2026-06-22,p2609,多单持仓,P
12,高盛期货,11625,1631.0,2026-06-22,p2609,多单持仓,P
13,海通期货,11319,-848.0,2026-06-22,p2609,多单持仓,P
14,物产中大,11281,-124.0,2026-06-22,p2609,多单持仓,P
15,五矿期货,11138,122.0,2026-06-22,p2609,多单持仓,P
16,银河期货,10205,-1742.0,2026-06-22,p2609,多单持仓,P
17,申银万国,9282,-166.0,2026-06-22,p2609,多单持仓,P
18,中信建投,8645,-37.0,2026-06-22,p2609,多单持仓,P
19,新湖期货,8637,-582.0,2026-06-22,p2609,多单持仓,P
20,南华期货,7232,-151.0,2026-06-22,p2609,多单持仓,P
1,国泰君安,35671,2845.0,2026-06-23,p2609,多单持仓,P
2,一德期货,34564,-607.0,2026-06-23,p2609,多单持仓,P
3,东证期货,30517,-2197.0,2026-06-23,p2609,多单持仓,P
4,国投期货,23278,-720.0,2026-06-23,p2609,多单持仓,P
5,华泰期货,20272,1235.0,2026-06-23,p2609,多单持仓,P
6,中粮期货,18092,2783.0,2026-06-23,p2609,多单持仓,P
7,西部期货,14959,-46.0,2026-06-23,p2609,多单持仓,P
8,永安期货,13284,-804.0,2026-06-23,p2609,多单持仓,P
9,中信期货,13143,-1623.0,2026-06-23,p2609,多单持仓,P
10,宏源期货,12979,-339.0,2026-06-23,p2609,多单持仓,P
11,海通期货,11719,400.0,2026-06-23,p2609,多单持仓,P
12,物产中大,11277,-4.0,2026-06-23,p2609,多单持仓,P
13,广发期货,10543,-2161.0,2026-06-23,p2609,多单持仓,P
14,五矿期货,10469,-669.0,2026-06-23,p2609,多单持仓,P
15,申银万国,9526,244.0,2026-06-23,p2609,多单持仓,P
16,中信建投,8821,176.0,2026-06-23,p2609,多单持仓,P
17,新湖期货,8633,-4.0,2026-06-23,p2609,多单持仓,P
18,银河期货,8455,-1750.0,2026-06-23,p2609,多单持仓,P
19,高盛期货,8344,-3281.0,2026-06-23,p2609,多单持仓,P
20,国富期货,7912,723.0,2026-06-23,p2609,多单持仓,P
1,国泰君安,35659,-12.0,2026-06-24,p2609,多单持仓,P
2,一德期货,33157,-1407.0,2026-06-24,p2609,多单持仓,P
3,东证期货,32020,1503.0,2026-06-24,p2609,多单持仓,P
4,国投期货,23501,223.0,2026-06-24,p2609,多单持仓,P
5,华泰期货,19909,-363.0,2026-06-24,p2609,多单持仓,P
6,中粮期货,16752,-1340.0,2026-06-24,p2609,多单持仓,P
7,西部期货,14951,-8.0,2026-06-24,p2609,多单持仓,P
8,中信期货,13612,469.0,2026-06-24,p2609,多单持仓,P
9,永安期货,13230,-54.0,2026-06-24,p2609,多单持仓,P
10,宏源期货,12967,-12.0,2026-06-24,p2609,多单持仓,P
11,海通期货,12084,365.0,2026-06-24,p2609,多单持仓,P
12,物产中大,11128,-149.0,2026-06-24,p2609,多单持仓,P
13,广发期货,11044,501.0,2026-06-24,p2609,多单持仓,P
14,五矿期货,10744,275.0,2026-06-24,p2609,多单持仓,P
15,申银万国,9571,45.0,2026-06-24,p2609,多单持仓,P
16,银河期货,8898,443.0,2026-06-24,p2609,多单持仓,P
17,中信建投,8824,3.0,2026-06-24,p2609,多单持仓,P
18,新湖期货,8783,150.0,2026-06-24,p2609,多单持仓,P
19,摩根大通,7982,2592.0,2026-06-24,p2609,多单持仓,P
20,国富期货,7781,-131.0,2026-06-24,p2609,多单持仓,P
