排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,中信期货,53859,1737.0,2026-06-22,p2609,空单持仓,P
2,国泰君安,41742,-465.0,2026-06-22,p2609,空单持仓,P
3,东证期货,35041,-899.0,2026-06-22,p2609,空单持仓,P
4,高盛期货,33378,-5315.0,2026-06-22,p2609,空单持仓,P
5,海通期货,24464,-1174.0,2026-06-22,p2609,空单持仓,P
6,一德期货,21799,1759.0,2026-06-22,p2609,空单持仓,P
7,浙商期货,17371,657.0,2026-06-22,p2609,空单持仓,P
8,摩根大通,15343,-6271.0,2026-06-22,p2609,空单持仓,P
9,中信建投,15228,55.0,2026-06-22,p2609,空单持仓,P
10,华泰期货,13315,-1063.0,2026-06-22,p2609,空单持仓,P
11,国富期货,13286,1565.0,2026-06-22,p2609,空单持仓,P
12,永安期货,12631,-536.0,2026-06-22,p2609,空单持仓,P
13,中金财富,12596,-1119.0,2026-06-22,p2609,空单持仓,P
14,银河期货,12552,653.0,2026-06-22,p2609,空单持仓,P
15,中粮期货,11958,1904.0,2026-06-22,p2609,空单持仓,P
16,国贸期货,11382,-382.0,2026-06-22,p2609,空单持仓,P
17,广发期货,8084,-762.0,2026-06-22,p2609,空单持仓,P
18,瑞达期货,7085,79.0,2026-06-22,p2609,空单持仓,P
19,平安期货,6258,143.0,2026-06-22,p2609,空单持仓,P
20,建信期货,5958,88.0,2026-06-22,p2609,空单持仓,P
1,中信期货,51632,-2227.0,2026-06-23,p2609,空单持仓,P
2,国泰君安,42327,585.0,2026-06-23,p2609,空单持仓,P
3,高盛期货,31442,-1936.0,2026-06-23,p2609,空单持仓,P
4,东证期货,31387,-3654.0,2026-06-23,p2609,空单持仓,P
5,海通期货,24451,-13.0,2026-06-23,p2609,空单持仓,P
6,摩根大通,24101,8758.0,2026-06-23,p2609,空单持仓,P
7,一德期货,20715,-1084.0,2026-06-23,p2609,空单持仓,P
8,浙商期货,17326,-45.0,2026-06-23,p2609,空单持仓,P
9,中信建投,13715,-1513.0,2026-06-23,p2609,空单持仓,P
10,国富期货,13445,159.0,2026-06-23,p2609,空单持仓,P
11,银河期货,13055,503.0,2026-06-23,p2609,空单持仓,P
12,华泰期货,12430,-885.0,2026-06-23,p2609,空单持仓,P
13,永安期货,12200,-431.0,2026-06-23,p2609,空单持仓,P
14,中金财富,11816,-780.0,2026-06-23,p2609,空单持仓,P
15,国贸期货,11328,-54.0,2026-06-23,p2609,空单持仓,P
16,中粮期货,9851,-2107.0,2026-06-23,p2609,空单持仓,P
17,广发期货,9002,918.0,2026-06-23,p2609,空单持仓,P
18,瑞达期货,6436,-649.0,2026-06-23,p2609,空单持仓,P
19,平安期货,5651,-607.0,2026-06-23,p2609,空单持仓,P
20,光大期货,5634,141.0,2026-06-23,p2609,空单持仓,P
1,中信期货,52176,544.0,2026-06-24,p2609,空单持仓,P
2,国泰君安,42637,310.0,2026-06-24,p2609,空单持仓,P
3,东证期货,34484,3097.0,2026-06-24,p2609,空单持仓,P
4,高盛期货,28024,-3418.0,2026-06-24,p2609,空单持仓,P
5,海通期货,23899,-552.0,2026-06-24,p2609,空单持仓,P
6,摩根大通,22194,-1907.0,2026-06-24,p2609,空单持仓,P
7,一德期货,21834,1119.0,2026-06-24,p2609,空单持仓,P
8,浙商期货,17249,-77.0,2026-06-24,p2609,空单持仓,P
9,中信建投,13735,20.0,2026-06-24,p2609,空单持仓,P
10,国富期货,13485,40.0,2026-06-24,p2609,空单持仓,P
11,中金财富,12477,661.0,2026-06-24,p2609,空单持仓,P
12,银河期货,12202,-853.0,2026-06-24,p2609,空单持仓,P
13,永安期货,11910,-290.0,2026-06-24,p2609,空单持仓,P
14,华泰期货,11724,-706.0,2026-06-24,p2609,空单持仓,P
15,广发期货,10265,1263.0,2026-06-24,p2609,空单持仓,P
16,中粮期货,9211,-640.0,2026-06-24,p2609,空单持仓,P
17,国贸期货,8902,-2426.0,2026-06-24,p2609,空单持仓,P
18,瑞达期货,6582,146.0,2026-06-24,p2609,空单持仓,P
19,光大期货,5972,338.0,2026-06-24,p2609,空单持仓,P
20,建信期货,5918,1116.0,2026-06-24,p2609,空单持仓,P
