排名,会员简称,成交量,比上交易增减,date,contract,position_type,symbol,持仓量
1,国泰君安,239954.0,59537.0,2025-08-18,p2601,成交量,P,
2,中信期货,143507.0,39593.0,2025-08-18,p2601,成交量,P,
3,东证期货,123362.0,21455.0,2025-08-18,p2601,成交量,P,
4,广发期货,82332.0,25164.0,2025-08-18,p2601,成交量,P,
5,海通期货,61632.0,25538.0,2025-08-18,p2601,成交量,P,
6,华闻期货,59240.0,26403.0,2025-08-18,p2601,成交量,P,
7,华泰期货,52210.0,13994.0,2025-08-18,p2601,成交量,P,
8,徽商期货,38975.0,14033.0,2025-08-18,p2601,成交量,P,
9,银河期货,36309.0,10978.0,2025-08-18,p2601,成交量,P,
10,浙商期货,30652.0,15715.0,2025-08-18,p2601,成交量,P,
11,中信建投,28924.0,9027.0,2025-08-18,p2601,成交量,P,
12,光大期货,28189.0,4120.0,2025-08-18,p2601,成交量,P,
13,永安期货,24753.0,16426.0,2025-08-18,p2601,成交量,P,
14,方正中期,24577.0,9658.0,2025-08-18,p2601,成交量,P,
15,中粮期货,22434.0,3622.0,2025-08-18,p2601,成交量,P,
16,国信期货,22156.0,6582.0,2025-08-18,p2601,成交量,P,
17,国投期货,20502.0,686.0,2025-08-18,p2601,成交量,P,
18,中泰期货,18455.0,2920.0,2025-08-18,p2601,成交量,P,
19,东方财富,17731.0,6351.0,2025-08-18,p2601,成交量,P,
20,安粮期货,16982.0,6793.0,2025-08-18,p2601,成交量,P,
1,国泰君安,240283.0,329.0,2025-08-19,p2601,成交量,P,
2,中信期货,122324.0,-21183.0,2025-08-19,p2601,成交量,P,
3,东证期货,120091.0,-3271.0,2025-08-19,p2601,成交量,P,
4,广发期货,81679.0,-653.0,2025-08-19,p2601,成交量,P,
5,华闻期货,55041.0,-4199.0,2025-08-19,p2601,成交量,P,
6,海通期货,47353.0,-14279.0,2025-08-19,p2601,成交量,P,
7,徽商期货,38573.0,-402.0,2025-08-19,p2601,成交量,P,
8,华泰期货,37715.0,-14495.0,2025-08-19,p2601,成交量,P,
9,银河期货,35137.0,-1172.0,2025-08-19,p2601,成交量,P,
10,国联期货,30477.0,20207.0,2025-08-19,p2601,成交量,P,
11,光大期货,29291.0,1102.0,2025-08-19,p2601,成交量,P,
12,永安期货,26484.0,1731.0,2025-08-19,p2601,成交量,P,
13,中粮期货,24915.0,2481.0,2025-08-19,p2601,成交量,P,
14,中信建投,24606.0,-4318.0,2025-08-19,p2601,成交量,P,
15,中辉期货,23929.0,10925.0,2025-08-19,p2601,成交量,P,
16,瑞达期货,20583.0,10938.0,2025-08-19,p2601,成交量,P,
17,方正中期,19754.0,-4823.0,2025-08-19,p2601,成交量,P,
18,国投期货,19562.0,-940.0,2025-08-19,p2601,成交量,P,
19,国信期货,19369.0,-2787.0,2025-08-19,p2601,成交量,P,
20,浙商期货,19126.0,-11526.0,2025-08-19,p2601,成交量,P,
1,国泰君安,254780.0,14497.0,2025-08-20,p2601,成交量,P,
2,中信期货,136346.0,14022.0,2025-08-20,p2601,成交量,P,
3,东证期货,133651.0,13560.0,2025-08-20,p2601,成交量,P,
4,广发期货,68192.0,-13487.0,2025-08-20,p2601,成交量,P,
5,华闻期货,58565.0,3524.0,2025-08-20,p2601,成交量,P,
6,海通期货,56322.0,8969.0,2025-08-20,p2601,成交量,P,
7,华泰期货,54311.0,16596.0,2025-08-20,p2601,成交量,P,
8,徽商期货,33792.0,-4781.0,2025-08-20,p2601,成交量,P,
9,中信建投,32196.0,7590.0,2025-08-20,p2601,成交量,P,
10,银河期货,29639.0,-5498.0,2025-08-20,p2601,成交量,P,
11,光大期货,29093.0,-198.0,2025-08-20,p2601,成交量,P,
12,永安期货,27992.0,1508.0,2025-08-20,p2601,成交量,P,
13,国联期货,26914.0,-3563.0,2025-08-20,p2601,成交量,P,
14,瑞达期货,22085.0,1502.0,2025-08-20,p2601,成交量,P,
15,方正中期,20994.0,1240.0,2025-08-20,p2601,成交量,P,
16,国投期货,20559.0,997.0,2025-08-20,p2601,成交量,P,
17,南华期货,20202.0,4663.0,2025-08-20,p2601,成交量,P,
18,申银万国,18603.0,4118.0,2025-08-20,p2601,成交量,P,
19,中粮期货,17583.0,-7332.0,2025-08-20,p2601,成交量,P,
20,东方财富,17353.0,-711.0,2025-08-20,p2601,成交量,P,
1,国泰君安,235335.0,-19445.0,2025-08-21,p2601,成交量,P,
2,东证期货,125103.0,-8548.0,2025-08-21,p2601,成交量,P,
3,中信期货,117218.0,-19128.0,2025-08-21,p2601,成交量,P,
4,广发期货,72805.0,4613.0,2025-08-21,p2601,成交量,P,
5,华泰期货,53386.0,-925.0,2025-08-21,p2601,成交量,P,
6,海通期货,49374.0,-6948.0,2025-08-21,p2601,成交量,P,
7,徽商期货,32396.0,-1396.0,2025-08-21,p2601,成交量,P,
8,国联期货,31714.0,4800.0,2025-08-21,p2601,成交量,P,
9,光大期货,28129.0,-964.0,2025-08-21,p2601,成交量,P,
10,华闻期货,27626.0,-30939.0,2025-08-21,p2601,成交量,P,
11,瑞达期货,27574.0,5489.0,2025-08-21,p2601,成交量,P,
12,中信建投,26564.0,-5632.0,2025-08-21,p2601,成交量,P,
13,银河期货,24308.0,-5331.0,2025-08-21,p2601,成交量,P,
14,永安期货,22070.0,-5922.0,2025-08-21,p2601,成交量,P,
15,中辉期货,19275.0,4154.0,2025-08-21,p2601,成交量,P,
16,中粮期货,18860.0,1277.0,2025-08-21,p2601,成交量,P,
17,国投期货,18842.0,-1717.0,2025-08-21,p2601,成交量,P,
18,方正中期,18185.0,-2809.0,2025-08-21,p2601,成交量,P,
19,中泰期货,16395.0,2110.0,2025-08-21,p2601,成交量,P,
20,国信期货,14946.0,-658.0,2025-08-21,p2601,成交量,P,
1,国泰君安,,2235.0,20250822,p2601,成交量,P,237570.0
2,中信期货,,15061.0,20250822,p2601,成交量,P,132279.0
3,东证期货,,-5243.0,20250822,p2601,成交量,P,119860.0
4,广发期货,,-2703.0,20250822,p2601,成交量,P,70102.0
5,海通期货,,2054.0,20250822,p2601,成交量,P,51428.0
6,华闻期货,,14742.0,20250822,p2601,成交量,P,42368.0
7,华泰期货,,-14340.0,20250822,p2601,成交量,P,39046.0
