排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,高盛期货,8565,50.0,2026-06-22,pb2608,空单持仓,PB
2,中信期货,6373,-506.0,2026-06-22,pb2608,空单持仓,PB
3,东证期货,5687,-389.0,2026-06-22,pb2608,空单持仓,PB
4,国泰君安,4710,467.0,2026-06-22,pb2608,空单持仓,PB
5,浙商期货,3680,132.0,2026-06-22,pb2608,空单持仓,PB
6,华泰期货,3194,520.0,2026-06-22,pb2608,空单持仓,PB
7,中金财富,3116,-1216.0,2026-06-22,pb2608,空单持仓,PB
8,银河期货,2808,-383.0,2026-06-22,pb2608,空单持仓,PB
9,金瑞期货,1934,-31.0,2026-06-22,pb2608,空单持仓,PB
10,国信期货,1767,327.0,2026-06-22,pb2608,空单持仓,PB
11,海通期货,1760,467.0,2026-06-22,pb2608,空单持仓,PB
12,申万期货,1715,59.0,2026-06-22,pb2608,空单持仓,PB
13,光大期货,1580,21.0,2026-06-22,pb2608,空单持仓,PB
14,瑞银期货,1469,0.0,2026-06-22,pb2608,空单持仓,PB
15,永安期货,1288,215.0,2026-06-22,pb2608,空单持仓,PB
16,广发期货,952,35.0,2026-06-22,pb2608,空单持仓,PB
17,国投期货,928,328.0,2026-06-22,pb2608,空单持仓,PB
18,南华期货,866,-266.0,2026-06-22,pb2608,空单持仓,PB
19,中信建投,841,252.0,2026-06-22,pb2608,空单持仓,PB
20,平安期货,797,336.0,2026-06-22,pb2608,空单持仓,PB
1,东证期货,9349,3662.0,2026-06-23,pb2608,空单持仓,PB
2,中信期货,7855,1482.0,2026-06-23,pb2608,空单持仓,PB
3,高盛期货,7350,-1215.0,2026-06-23,pb2608,空单持仓,PB
4,国泰君安,5620,910.0,2026-06-23,pb2608,空单持仓,PB
5,华泰期货,3710,516.0,2026-06-23,pb2608,空单持仓,PB
6,银河期货,3663,855.0,2026-06-23,pb2608,空单持仓,PB
7,浙商期货,3508,-172.0,2026-06-23,pb2608,空单持仓,PB
8,中金财富,2910,-206.0,2026-06-23,pb2608,空单持仓,PB
9,海通期货,2079,319.0,2026-06-23,pb2608,空单持仓,PB
10,金瑞期货,1815,-119.0,2026-06-23,pb2608,空单持仓,PB
11,光大期货,1568,-12.0,2026-06-23,pb2608,空单持仓,PB
12,国信期货,1566,-201.0,2026-06-23,pb2608,空单持仓,PB
13,瑞银期货,1469,0.0,2026-06-23,pb2608,空单持仓,PB
14,永安期货,1409,121.0,2026-06-23,pb2608,空单持仓,PB
15,国投期货,1139,211.0,2026-06-23,pb2608,空单持仓,PB
16,广发期货,1105,153.0,2026-06-23,pb2608,空单持仓,PB
17,中信建投,985,144.0,2026-06-23,pb2608,空单持仓,PB
18,海证期货,975,550.0,2026-06-23,pb2608,空单持仓,PB
19,平安期货,936,139.0,2026-06-23,pb2608,空单持仓,PB
20,南华期货,891,25.0,2026-06-23,pb2608,空单持仓,PB
1,东证期货,9689,340.0,2026-06-24,pb2608,空单持仓,PB
2,中信期货,8513,658.0,2026-06-24,pb2608,空单持仓,PB
3,高盛期货,6794,-556.0,2026-06-24,pb2608,空单持仓,PB
4,国泰君安,6591,971.0,2026-06-24,pb2608,空单持仓,PB
5,华泰期货,3534,-176.0,2026-06-24,pb2608,空单持仓,PB
6,银河期货,3516,-147.0,2026-06-24,pb2608,空单持仓,PB
7,浙商期货,2858,-650.0,2026-06-24,pb2608,空单持仓,PB
8,中金财富,2844,-66.0,2026-06-24,pb2608,空单持仓,PB
9,海通期货,2259,180.0,2026-06-24,pb2608,空单持仓,PB
10,金瑞期货,1780,-35.0,2026-06-24,pb2608,空单持仓,PB
11,国信期货,1772,206.0,2026-06-24,pb2608,空单持仓,PB
12,光大期货,1620,52.0,2026-06-24,pb2608,空单持仓,PB
13,瑞银期货,1469,0.0,2026-06-24,pb2608,空单持仓,PB
14,永安期货,1467,58.0,2026-06-24,pb2608,空单持仓,PB
15,国投期货,1271,132.0,2026-06-24,pb2608,空单持仓,PB
16,广发期货,1125,20.0,2026-06-24,pb2608,空单持仓,PB
17,中信建投,994,9.0,2026-06-24,pb2608,空单持仓,PB
18,海证期货,954,-21.0,2026-06-24,pb2608,空单持仓,PB
19,平安期货,894,-42.0,2026-06-24,pb2608,空单持仓,PB
20,南华期货,883,-8.0,2026-06-24,pb2608,空单持仓,PB
1,东证期货,10852,1163.0,2026-06-25,pb2608,空单持仓,PB
2,中信期货,7846,-667.0,2026-06-25,pb2608,空单持仓,PB
3,国泰君安,7030,439.0,2026-06-25,pb2608,空单持仓,PB
4,高盛期货,4433,-2361.0,2026-06-25,pb2608,空单持仓,PB
5,华泰期货,4083,549.0,2026-06-25,pb2608,空单持仓,PB
6,银河期货,3875,359.0,2026-06-25,pb2608,空单持仓,PB
7,中金财富,3057,213.0,2026-06-25,pb2608,空单持仓,PB
8,海通期货,2596,337.0,2026-06-25,pb2608,空单持仓,PB
9,浙商期货,2435,-423.0,2026-06-25,pb2608,空单持仓,PB
10,国信期货,1986,214.0,2026-06-25,pb2608,空单持仓,PB
11,金瑞期货,1729,-51.0,2026-06-25,pb2608,空单持仓,PB
12,中辉期货,1612,729.0,2026-06-25,pb2608,空单持仓,PB
13,光大期货,1470,-150.0,2026-06-25,pb2608,空单持仓,PB
14,瑞银期货,1469,0.0,2026-06-25,pb2608,空单持仓,PB
15,永安期货,1425,-42.0,2026-06-25,pb2608,空单持仓,PB
16,国投期货,1329,58.0,2026-06-25,pb2608,空单持仓,PB
17,海证期货,1245,291.0,2026-06-25,pb2608,空单持仓,PB
18,平安期货,1024,130.0,2026-06-25,pb2608,空单持仓,PB
19,中信建投,999,5.0,2026-06-25,pb2608,空单持仓,PB
20,方正中期,977,429.0,2026-06-25,pb2608,空单持仓,PB
1,中信期货,7671,-175.0,2026-06-26,pb2608,空单持仓,PB
