排名,会员简称,成交量,比上交易增减,date,contract,position_type,symbol
1,东证期货,11378,364.0,2025-11-06,pb2512,成交量,PB
2,中信期货,9867,-228.0,2025-11-06,pb2512,成交量,PB
3,华泰期货,9427,34.0,2025-11-06,pb2512,成交量,PB
4,海通期货,8113,984.0,2025-11-06,pb2512,成交量,PB
5,国泰君安,6201,64.0,2025-11-06,pb2512,成交量,PB
6,浙商期货,3895,-3523.0,2025-11-06,pb2512,成交量,PB
7,中泰期货,3137,416.0,2025-11-06,pb2512,成交量,PB
8,华闻期货,3104,-494.0,2025-11-06,pb2512,成交量,PB
9,银河期货,2491,379.0,2025-11-06,pb2512,成交量,PB
10,国元期货,1542,174.0,2025-11-06,pb2512,成交量,PB
11,方正中期,1516,18.0,2025-11-06,pb2512,成交量,PB
12,申万期货,1464,64.0,2025-11-06,pb2512,成交量,PB
13,中信建投,1425,217.0,2025-11-06,pb2512,成交量,PB
14,新湖期货,1137,930.0,2025-11-06,pb2512,成交量,PB
15,华金期货,1073,407.0,2025-11-06,pb2512,成交量,PB
16,广发期货,1070,86.0,2025-11-06,pb2512,成交量,PB
17,广州金控,887,3.0,2025-11-06,pb2512,成交量,PB
18,南华期货,866,437.0,2025-11-06,pb2512,成交量,PB
19,中金财富,743,338.0,2025-11-06,pb2512,成交量,PB
20,金瑞期货,733,103.0,2025-11-06,pb2512,成交量,PB
1,东证期货,7830,-3548.0,2025-11-07,pb2512,成交量,PB
2,中信期货,6404,-3463.0,2025-11-07,pb2512,成交量,PB
3,华泰期货,6391,-3036.0,2025-11-07,pb2512,成交量,PB
4,海通期货,5154,-2959.0,2025-11-07,pb2512,成交量,PB
5,国泰君安,4379,-1822.0,2025-11-07,pb2512,成交量,PB
6,华闻期货,2445,-659.0,2025-11-07,pb2512,成交量,PB
7,银河期货,1592,-899.0,2025-11-07,pb2512,成交量,PB
8,方正中期,1229,-287.0,2025-11-07,pb2512,成交量,PB
9,中泰期货,1040,-2097.0,2025-11-07,pb2512,成交量,PB
10,招商期货,785,116.0,2025-11-07,pb2512,成交量,PB
11,华鑫期货,682,-41.0,2025-11-07,pb2512,成交量,PB
12,广发期货,631,-439.0,2025-11-07,pb2512,成交量,PB
13,中信建投,625,-800.0,2025-11-07,pb2512,成交量,PB
14,申万期货,603,-861.0,2025-11-07,pb2512,成交量,PB
15,国元期货,581,-961.0,2025-11-07,pb2512,成交量,PB
16,海证期货,570,-156.0,2025-11-07,pb2512,成交量,PB
17,光大期货,566,-78.0,2025-11-07,pb2512,成交量,PB
18,平安期货,531,218.0,2025-11-07,pb2512,成交量,PB
19,浙商期货,505,-3390.0,2025-11-07,pb2512,成交量,PB
20,广州金控,453,-434.0,2025-11-07,pb2512,成交量,PB
1,华泰期货,8305,1914.0,2025-11-10,pb2512,成交量,PB
2,东证期货,8151,321.0,2025-11-10,pb2512,成交量,PB
3,中信期货,7400,996.0,2025-11-10,pb2512,成交量,PB
4,国泰君安,5018,639.0,2025-11-10,pb2512,成交量,PB
5,海通期货,4578,-576.0,2025-11-10,pb2512,成交量,PB
6,华闻期货,2529,84.0,2025-11-10,pb2512,成交量,PB
7,银河期货,2423,831.0,2025-11-10,pb2512,成交量,PB
8,华鑫期货,1063,381.0,2025-11-10,pb2512,成交量,PB
9,方正中期,961,-268.0,2025-11-10,pb2512,成交量,PB
10,金瑞期货,945,639.0,2025-11-10,pb2512,成交量,PB
11,中泰期货,836,-204.0,2025-11-10,pb2512,成交量,PB
12,申万期货,823,220.0,2025-11-10,pb2512,成交量,PB
13,国元期货,814,233.0,2025-11-10,pb2512,成交量,PB
14,中信建投,725,100.0,2025-11-10,pb2512,成交量,PB
15,宏源期货,704,413.0,2025-11-10,pb2512,成交量,PB
16,广发期货,610,-21.0,2025-11-10,pb2512,成交量,PB
17,国信期货,566,218.0,2025-11-10,pb2512,成交量,PB
18,永安期货,552,290.0,2025-11-10,pb2512,成交量,PB
19,国投期货,542,114.0,2025-11-10,pb2512,成交量,PB
20,浙商期货,516,11.0,2025-11-10,pb2512,成交量,PB
1,中信期货,4991,117.0,2025-11-11,pb2601,成交量,PB
2,华泰期货,3535,-343.0,2025-11-11,pb2601,成交量,PB
3,东证期货,2930,257.0,2025-11-11,pb2601,成交量,PB
4,国泰君安,2746,760.0,2025-11-11,pb2601,成交量,PB
5,中泰期货,1721,-630.0,2025-11-11,pb2601,成交量,PB
6,南华期货,1664,-270.0,2025-11-11,pb2601,成交量,PB
7,华闻期货,1128,108.0,2025-11-11,pb2601,成交量,PB
8,海通期货,1034,-932.0,2025-11-11,pb2601,成交量,PB
9,申万期货,825,211.0,2025-11-11,pb2601,成交量,PB
10,银河期货,748,-169.0,2025-11-11,pb2601,成交量,PB
11,海证期货,717,676.0,2025-11-11,pb2601,成交量,PB
12,国元期货,673,-145.0,2025-11-11,pb2601,成交量,PB
13,中辉期货,635,204.0,2025-11-11,pb2601,成交量,PB
14,金瑞期货,591,-696.0,2025-11-11,pb2601,成交量,PB
15,渤海期货,575,292.0,2025-11-11,pb2601,成交量,PB
16,中信建投,554,471.0,2025-11-11,pb2601,成交量,PB
17,广发期货,483,188.0,2025-11-11,pb2601,成交量,PB
18,大有期货,480,349.0,2025-11-11,pb2601,成交量,PB
19,中财期货,442,-349.0,2025-11-11,pb2601,成交量,PB
20,平安期货,400,227.0,2025-11-11,pb2601,成交量,PB
1,东证期货,9720,6790.0,2025-11-12,pb2601,成交量,PB
2,中信期货,8997,4006.0,2025-11-12,pb2601,成交量,PB
3,华泰期货,8619,5084.0,2025-11-12,pb2601,成交量,PB
4,国泰君安,6430,3684.0,2025-11-12,pb2601,成交量,PB
5,海通期货,5457,4423.0,2025-11-12,pb2601,成交量,PB
6,中泰期货,4756,3035.0,2025-11-12,pb2601,成交量,PB
7,南华期货,4106,2442.0,2025-11-12,pb2601,成交量,PB
8,华闻期货,3233,2105.0,2025-11-12,pb2601,成交量,PB
9,银河期货,2400,1652.0,2025-11-12,pb2601,成交量,PB
10,浙商期货,2037,1943.0,2025-11-12,pb2601,成交量,PB
11,新湖期货,1881,1720.0,2025-11-12,pb2601,成交量,PB
12,渤海期货,1833,1258.0,2025-11-12,pb2601,成交量,PB
13,广发期货,1744,1261.0,2025-11-12,pb2601,成交量,PB
14,中辉期货,1526,891.0,2025-11-12,pb2601,成交量,PB
15,金瑞期货,1515,924.0,2025-11-12,pb2601,成交量,PB
16,方正中期,1451,1222.0,2025-11-12,pb2601,成交量,PB
17,中信建投,1425,871.0,2025-11-12,pb2601,成交量,PB
18,华金期货,1334,1312.0,2025-11-12,pb2601,成交量,PB
19,申万期货,1279,454.0,2025-11-12,pb2601,成交量,PB
20,国元期货,1194,521.0,2025-11-12,pb2601,成交量,PB
