排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,中信期货,18588,428.0,2025-08-18,pf2509,空单持仓,PF
2,国泰君安,8903,-17.0,2025-08-18,pf2509,空单持仓,PF
3,华泰期货,11344,-288.0,2025-08-18,pf2509,空单持仓,PF
4,银河期货,14117,457.0,2025-08-18,pf2509,空单持仓,PF
5,申银万国,13671,315.0,2025-08-18,pf2509,空单持仓,PF
6,招商期货,15441,-354.0,2025-08-18,pf2509,空单持仓,PF
7,光大期货,15903,-35.0,2025-08-18,pf2509,空单持仓,PF
8,中粮期货,11482,-131.0,2025-08-18,pf2509,空单持仓,PF
9,东证期货,17872,242.0,2025-08-18,pf2509,空单持仓,PF
10,海通期货,4975,-177.0,2025-08-18,pf2509,空单持仓,PF
1,中信期货,6307,-50.0,2025-08-19,pf2509,空单持仓,PF
2,国泰君安,8049,-2.0,2025-08-19,pf2509,空单持仓,PF
3,华泰期货,7172,-432.0,2025-08-19,pf2509,空单持仓,PF
4,银河期货,19736,473.0,2025-08-19,pf2509,空单持仓,PF
5,申银万国,14133,-48.0,2025-08-19,pf2509,空单持仓,PF
6,招商期货,17243,318.0,2025-08-19,pf2509,空单持仓,PF
7,光大期货,16075,397.0,2025-08-19,pf2509,空单持仓,PF
8,中粮期货,10870,315.0,2025-08-19,pf2509,空单持仓,PF
9,东证期货,9799,390.0,2025-08-19,pf2509,空单持仓,PF
10,海通期货,20196,220.0,2025-08-19,pf2509,空单持仓,PF
1,中信期货,10081,-440.0,2025-08-20,pf2509,空单持仓,PF
2,国泰君安,19082,-24.0,2025-08-20,pf2509,空单持仓,PF
3,华泰期货,19598,17.0,2025-08-20,pf2509,空单持仓,PF
4,银河期货,12810,-116.0,2025-08-20,pf2509,空单持仓,PF
5,申银万国,15047,31.0,2025-08-20,pf2509,空单持仓,PF
6,招商期货,7182,-381.0,2025-08-20,pf2509,空单持仓,PF
7,光大期货,12464,-265.0,2025-08-20,pf2509,空单持仓,PF
8,中粮期货,16948,50.0,2025-08-20,pf2509,空单持仓,PF
9,东证期货,13272,-215.0,2025-08-20,pf2509,空单持仓,PF
10,海通期货,13128,-213.0,2025-08-20,pf2509,空单持仓,PF
1,中信期货,12684,-127.0,2025-08-21,pf2509,空单持仓,PF
2,国泰君安,12120,-361.0,2025-08-21,pf2509,空单持仓,PF
3,华泰期货,7722,-98.0,2025-08-21,pf2509,空单持仓,PF
4,银河期货,17236,275.0,2025-08-21,pf2509,空单持仓,PF
5,申银万国,18312,53.0,2025-08-21,pf2509,空单持仓,PF
6,招商期货,6962,-119.0,2025-08-21,pf2509,空单持仓,PF
7,光大期货,6010,-366.0,2025-08-21,pf2509,空单持仓,PF
8,中粮期货,10225,-264.0,2025-08-21,pf2509,空单持仓,PF
9,东证期货,8524,17.0,2025-08-21,pf2509,空单持仓,PF
10,海通期货,7014,-434.0,2025-08-21,pf2509,空单持仓,PF
