排名,会员简称,成交量,比上交易增减,date,contract,position_type,symbol
1,中信期货,60063,-19137.0,2026-06-22,PF2608,成交量,PF
2,东证期货,52342,-6446.0,2026-06-22,PF2608,成交量,PF
3,长江期货,25767,-7150.0,2026-06-22,PF2608,成交量,PF
4,国投期货,23806,-1099.0,2026-06-22,PF2608,成交量,PF
5,浙商期货,23688,-4762.0,2026-06-22,PF2608,成交量,PF
6,国泰君安,15737,-4928.0,2026-06-22,PF2608,成交量,PF
7,广发期货,15466,-7033.0,2026-06-22,PF2608,成交量,PF
8,方正中期,11798,-1883.0,2026-06-22,PF2608,成交量,PF
9,中信建投,9206,-5174.0,2026-06-22,PF2608,成交量,PF
10,申银万国,8270,-8929.0,2026-06-22,PF2608,成交量,PF
11,渤海期货,7556,6722.0,2026-06-22,PF2608,成交量,PF
12,永安期货,7486,74.0,2026-06-22,PF2608,成交量,PF
13,五矿期货,7182,-7737.0,2026-06-22,PF2608,成交量,PF
14,银河期货,6472,-607.0,2026-06-22,PF2608,成交量,PF
15,国信期货,3795,-732.0,2026-06-22,PF2608,成交量,PF
16,招商期货,3748,141.0,2026-06-22,PF2608,成交量,PF
17,华泰期货,3584,-1606.0,2026-06-22,PF2608,成交量,PF
18,中泰期货,3429,186.0,2026-06-22,PF2608,成交量,PF
19,海通期货,2696,-6581.0,2026-06-22,PF2608,成交量,PF
20,光大期货,2607,-789.0,2026-06-22,PF2608,成交量,PF
1,东证期货,66853,14511.0,2026-06-23,PF2608,成交量,PF
2,中信期货,58659,-1404.0,2026-06-23,PF2608,成交量,PF
3,国泰君安,23740,8003.0,2026-06-23,PF2608,成交量,PF
4,浙商期货,20314,-3374.0,2026-06-23,PF2608,成交量,PF
5,国投期货,20093,-3713.0,2026-06-23,PF2608,成交量,PF
6,长江期货,19581,-6186.0,2026-06-23,PF2608,成交量,PF
7,广发期货,17663,2197.0,2026-06-23,PF2608,成交量,PF
8,中信建投,14514,5308.0,2026-06-23,PF2608,成交量,PF
9,方正中期,14270,2472.0,2026-06-23,PF2608,成交量,PF
10,申银万国,11638,3368.0,2026-06-23,PF2608,成交量,PF
11,五矿期货,10038,2856.0,2026-06-23,PF2608,成交量,PF
12,永安期货,9325,1839.0,2026-06-23,PF2608,成交量,PF
13,银河期货,8981,2509.0,2026-06-23,PF2608,成交量,PF
