排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,国泰君安,12090,-3027.0,2025-08-18,pg2510,空单持仓,PG
2,中信期货,11431,558.0,2025-08-18,pg2510,空单持仓,PG
3,东证期货,9711,31.0,2025-08-18,pg2510,空单持仓,PG
4,乾坤期货,9191,88.0,2025-08-18,pg2510,空单持仓,PG
5,浙商期货,6029,105.0,2025-08-18,pg2510,空单持仓,PG
6,华泰期货,5299,179.0,2025-08-18,pg2510,空单持仓,PG
7,中信建投,3696,552.0,2025-08-18,pg2510,空单持仓,PG
8,中金财富,3231,408.0,2025-08-18,pg2510,空单持仓,PG
9,海通期货,2833,35.0,2025-08-18,pg2510,空单持仓,PG
10,长江期货,2687,28.0,2025-08-18,pg2510,空单持仓,PG
11,国投期货,2464,56.0,2025-08-18,pg2510,空单持仓,PG
12,永安期货,1630,103.0,2025-08-18,pg2510,空单持仓,PG
13,银河期货,1566,87.0,2025-08-18,pg2510,空单持仓,PG
14,平安期货,1423,-199.0,2025-08-18,pg2510,空单持仓,PG
15,光大期货,1311,408.0,2025-08-18,pg2510,空单持仓,PG
16,南华期货,1250,24.0,2025-08-18,pg2510,空单持仓,PG
17,锦泰期货,1090,-238.0,2025-08-18,pg2510,空单持仓,PG
18,中泰期货,1031,39.0,2025-08-18,pg2510,空单持仓,PG
19,华闻期货,931,80.0,2025-08-18,pg2510,空单持仓,PG
20,海证期货,910,77.0,2025-08-18,pg2510,空单持仓,PG
1,国泰君安,12433,343.0,2025-08-19,pg2510,空单持仓,PG
2,中信期货,12148,717.0,2025-08-19,pg2510,空单持仓,PG
3,东证期货,9780,69.0,2025-08-19,pg2510,空单持仓,PG
4,乾坤期货,8867,-324.0,2025-08-19,pg2510,空单持仓,PG
5,浙商期货,5966,-63.0,2025-08-19,pg2510,空单持仓,PG
6,华泰期货,5512,213.0,2025-08-19,pg2510,空单持仓,PG
7,中信建投,3506,-190.0,2025-08-19,pg2510,空单持仓,PG
8,中金财富,3108,-123.0,2025-08-19,pg2510,空单持仓,PG
9,海通期货,2777,-56.0,2025-08-19,pg2510,空单持仓,PG
10,长江期货,2697,10.0,2025-08-19,pg2510,空单持仓,PG
11,国投期货,2442,-22.0,2025-08-19,pg2510,空单持仓,PG
12,银河期货,1854,288.0,2025-08-19,pg2510,空单持仓,PG
13,永安期货,1678,48.0,2025-08-19,pg2510,空单持仓,PG
14,平安期货,1524,101.0,2025-08-19,pg2510,空单持仓,PG
15,南华期货,1232,-18.0,2025-08-19,pg2510,空单持仓,PG
16,光大期货,1203,-108.0,2025-08-19,pg2510,空单持仓,PG
17,锦泰期货,1090,0.0,2025-08-19,pg2510,空单持仓,PG
18,广发期货,1028,190.0,2025-08-19,pg2510,空单持仓,PG
19,华闻期货,981,50.0,2025-08-19,pg2510,空单持仓,PG
20,瑞达期货,950,656.0,2025-08-19,pg2510,空单持仓,PG
1,中信期货,12676,528.0,2025-08-20,pg2510,空单持仓,PG
2,国泰君安,11099,-1334.0,2025-08-20,pg2510,空单持仓,PG
3,东证期货,10474,694.0,2025-08-20,pg2510,空单持仓,PG
4,乾坤期货,7986,-881.0,2025-08-20,pg2510,空单持仓,PG
5,浙商期货,6021,55.0,2025-08-20,pg2510,空单持仓,PG
6,华泰期货,5510,-2.0,2025-08-20,pg2510,空单持仓,PG
7,中信建投,3646,140.0,2025-08-20,pg2510,空单持仓,PG
8,中金财富,3318,210.0,2025-08-20,pg2510,空单持仓,PG
9,海通期货,2961,184.0,2025-08-20,pg2510,空单持仓,PG
10,长江期货,2760,63.0,2025-08-20,pg2510,空单持仓,PG
11,国投期货,2441,-1.0,2025-08-20,pg2510,空单持仓,PG
12,银河期货,2169,315.0,2025-08-20,pg2510,空单持仓,PG
13,永安期货,1896,218.0,2025-08-20,pg2510,空单持仓,PG
14,平安期货,1593,69.0,2025-08-20,pg2510,空单持仓,PG
15,瑞银期货,1348,528.0,2025-08-20,pg2510,空单持仓,PG
16,光大期货,1336,133.0,2025-08-20,pg2510,空单持仓,PG
17,广发期货,1163,135.0,2025-08-20,pg2510,空单持仓,PG
18,华闻期货,1135,154.0,2025-08-20,pg2510,空单持仓,PG
19,南华期货,1124,-108.0,2025-08-20,pg2510,空单持仓,PG
20,中泰期货,1098,230.0,2025-08-20,pg2510,空单持仓,PG
1,中信期货,13099,423.0,2025-08-21,pg2510,空单持仓,PG
2,国泰君安,11868,769.0,2025-08-21,pg2510,空单持仓,PG
3,东证期货,10516,42.0,2025-08-21,pg2510,空单持仓,PG
4,乾坤期货,7962,-24.0,2025-08-21,pg2510,空单持仓,PG
5,浙商期货,5956,-65.0,2025-08-21,pg2510,空单持仓,PG
6,华泰期货,5562,52.0,2025-08-21,pg2510,空单持仓,PG
7,中信建投,3445,-201.0,2025-08-21,pg2510,空单持仓,PG
8,中金财富,3182,-136.0,2025-08-21,pg2510,空单持仓,PG
9,海通期货,3008,47.0,2025-08-21,pg2510,空单持仓,PG
10,长江期货,2830,70.0,2025-08-21,pg2510,空单持仓,PG
11,永安期货,2491,595.0,2025-08-21,pg2510,空单持仓,PG
12,国投期货,2490,49.0,2025-08-21,pg2510,空单持仓,PG
13,银河期货,1470,-699.0,2025-08-21,pg2510,空单持仓,PG
14,平安期货,1402,-191.0,2025-08-21,pg2510,空单持仓,PG
15,广发期货,1355,192.0,2025-08-21,pg2510,空单持仓,PG
16,光大期货,1315,-21.0,2025-08-21,pg2510,空单持仓,PG
17,瑞银期货,1247,-101.0,2025-08-21,pg2510,空单持仓,PG
18,海证期货,1171,158.0,2025-08-21,pg2510,空单持仓,PG
19,南华期货,1143,19.0,2025-08-21,pg2510,空单持仓,PG
20,中泰期货,1136,38.0,2025-08-21,pg2510,空单持仓,PG
1,中信期货,13107,8.0,20250822,pg2510,空单持仓,PG
2,国泰君安,11751,-117.0,20250822,pg2510,空单持仓,PG
3,东证期货,11025,509.0,20250822,pg2510,空单持仓,PG
4,乾坤期货,6647,-1315.0,20250822,pg2510,空单持仓,PG
5,浙商期货,5681,-275.0,20250822,pg2510,空单持仓,PG
6,华泰期货,5316,-246.0,20250822,pg2510,空单持仓,PG
7,中信建投,3284,-161.0,20250822,pg2510,空单持仓,PG
8,海通期货,2973,-35.0,20250822,pg2510,空单持仓,PG
9,中金财富,2969,-213.0,20250822,pg2510,空单持仓,PG
10,长江期货,2815,-15.0,20250822,pg2510,空单持仓,PG
11,永安期货,2538,47.0,20250822,pg2510,空单持仓,PG
12,国投期货,2359,-131.0,20250822,pg2510,空单持仓,PG
13,平安期货,1646,244.0,20250822,pg2510,空单持仓,PG
14,银河期货,1526,56.0,20250822,pg2510,空单持仓,PG
15,光大期货,1373,58.0,20250822,pg2510,空单持仓,PG
16,中泰期货,1131,-5.0,20250822,pg2510,空单持仓,PG
17,瑞银期货,1126,-121.0,20250822,pg2510,空单持仓,PG
18,锦泰期货,1091,1.0,20250822,pg2510,空单持仓,PG
19,海证期货,1072,-99.0,20250822,pg2510,空单持仓,PG
20,国信期货,1061,40.0,20250822,pg2510,空单持仓,PG
1,东证期货,13136,2111.0,20250825,pg2510,空单持仓,PG
2,中信期货,13078,-29.0,20250825,pg2510,空单持仓,PG
3,国泰君安,12854,1103.0,20250825,pg2510,空单持仓,PG
4,浙商期货,5235,-446.0,20250825,pg2510,空单持仓,PG
5,乾坤期货,4808,-1839.0,20250825,pg2510,空单持仓,PG
6,华泰期货,4494,-822.0,20250825,pg2510,空单持仓,PG
7,海通期货,3395,422.0,20250825,pg2510,空单持仓,PG
8,中信建投,3216,-68.0,20250825,pg2510,空单持仓,PG
9,长江期货,2768,-47.0,20250825,pg2510,空单持仓,PG
10,中金财富,2487,-482.0,20250825,pg2510,空单持仓,PG
