排名,会员简称,成交量,比上交易增减,date,contract,position_type,symbol
1,国泰君安,13156,-1608.0,2026-06-22,pg2608,成交量,PG
2,中信期货,9308,-2012.0,2026-06-22,pg2608,成交量,PG
3,东证期货,7411,-1939.0,2026-06-22,pg2608,成交量,PG
4,海通期货,6871,896.0,2026-06-22,pg2608,成交量,PG
5,广发期货,5816,-688.0,2026-06-22,pg2608,成交量,PG
6,中信建投,5667,-1001.0,2026-06-22,pg2608,成交量,PG
7,光大期货,3556,-979.0,2026-06-22,pg2608,成交量,PG
8,银河期货,1828,-616.0,2026-06-22,pg2608,成交量,PG
9,中泰期货,1580,-241.0,2026-06-22,pg2608,成交量,PG
10,国投期货,1471,905.0,2026-06-22,pg2608,成交量,PG
11,方正中期,1323,-745.0,2026-06-22,pg2608,成交量,PG
12,华泰期货,1219,-841.0,2026-06-22,pg2608,成交量,PG
13,中金财富,1157,51.0,2026-06-22,pg2608,成交量,PG
14,高盛期货,1092,-606.0,2026-06-22,pg2608,成交量,PG
15,华闻期货,1017,-476.0,2026-06-22,pg2608,成交量,PG
16,国信期货,991,-958.0,2026-06-22,pg2608,成交量,PG
17,徽商期货,951,-413.0,2026-06-22,pg2608,成交量,PG
18,兴证期货,909,424.0,2026-06-22,pg2608,成交量,PG
19,中辉期货,899,-59.0,2026-06-22,pg2608,成交量,PG
20,宏源期货,856,-148.0,2026-06-22,pg2608,成交量,PG
1,国泰君安,19835,6679.0,2026-06-23,pg2608,成交量,PG
2,中信期货,16633,7325.0,2026-06-23,pg2608,成交量,PG
3,东证期货,14034,6623.0,2026-06-23,pg2608,成交量,PG
4,广发期货,10294,4478.0,2026-06-23,pg2608,成交量,PG
5,海通期货,9809,2938.0,2026-06-23,pg2608,成交量,PG
6,中信建投,5794,127.0,2026-06-23,pg2608,成交量,PG
7,光大期货,5315,1759.0,2026-06-23,pg2608,成交量,PG
8,银河期货,3506,1678.0,2026-06-23,pg2608,成交量,PG
9,中泰期货,2605,1025.0,2026-06-23,pg2608,成交量,PG
10,长江期货,2302,1501.0,2026-06-23,pg2608,成交量,PG
11,华泰期货,2192,973.0,2026-06-23,pg2608,成交量,PG
12,国盛期货,2136,2012.0,2026-06-23,pg2608,成交量,PG
13,国信期货,1938,947.0,2026-06-23,pg2608,成交量,PG
14,徽商期货,1630,679.0,2026-06-23,pg2608,成交量,PG
15,兴证期货,1567,658.0,2026-06-23,pg2608,成交量,PG
16,方正中期,1480,157.0,2026-06-23,pg2608,成交量,PG
17,高盛期货,1417,325.0,2026-06-23,pg2608,成交量,PG
18,宏源期货,1341,485.0,2026-06-23,pg2608,成交量,PG
19,宝城期货,1161,427.0,2026-06-23,pg2608,成交量,PG
20,中辉期货,1126,227.0,2026-06-23,pg2608,成交量,PG
1,中信期货,21346,4713.0,2026-06-24,pg2608,成交量,PG
2,国泰君安,19265,-570.0,2026-06-24,pg2608,成交量,PG
3,东证期货,17969,3935.0,2026-06-24,pg2608,成交量,PG
4,海通期货,10723,914.0,2026-06-24,pg2608,成交量,PG
5,广发期货,9681,-613.0,2026-06-24,pg2608,成交量,PG
6,中信建投,6085,291.0,2026-06-24,pg2608,成交量,PG
7,华泰期货,5229,3037.0,2026-06-24,pg2608,成交量,PG
8,银河期货,4633,1127.0,2026-06-24,pg2608,成交量,PG
9,国信期货,3241,1303.0,2026-06-24,pg2608,成交量,PG
10,徽商期货,3181,1551.0,2026-06-24,pg2608,成交量,PG
11,中泰期货,3097,492.0,2026-06-24,pg2608,成交量,PG
12,国盛期货,3053,917.0,2026-06-24,pg2608,成交量,PG
13,方正中期,2781,1301.0,2026-06-24,pg2608,成交量,PG
14,国联期货,2516,1711.0,2026-06-24,pg2608,成交量,PG
15,光大期货,2368,-2947.0,2026-06-24,pg2608,成交量,PG
16,长江期货,2130,-172.0,2026-06-24,pg2608,成交量,PG
17,宏源期货,2087,746.0,2026-06-24,pg2608,成交量,PG
18,五矿期货,2070,992.0,2026-06-24,pg2608,成交量,PG
19,华闻期货,2044,1170.0,2026-06-24,pg2608,成交量,PG
20,平安期货,2043,1114.0,2026-06-24,pg2608,成交量,PG
