排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,东证期货,13211,-610.0,2025-06-16,PK2510,空单持仓,PK
2,中信期货,12016,-906.0,2025-06-16,PK2510,空单持仓,PK
3,国泰君安,6320,-1193.0,2025-06-16,PK2510,空单持仓,PK
4,中泰期货,5557,146.0,2025-06-16,PK2510,空单持仓,PK
5,中电投先融,4367,-925.0,2025-06-16,PK2510,空单持仓,PK
6,浙商期货,4265,-742.0,2025-06-16,PK2510,空单持仓,PK
7,创元期货,4193,187.0,2025-06-16,PK2510,空单持仓,PK
8,摩根大通,4123,489.0,2025-06-16,PK2510,空单持仓,PK
9,乾坤期货,3595,344.0,2025-06-16,PK2510,空单持仓,PK
10,弘业期货,3207,25.0,2025-06-16,PK2510,空单持仓,PK
11,东吴期货,2882,487.0,2025-06-16,PK2510,空单持仓,PK
12,中财期货,2370,57.0,2025-06-16,PK2510,空单持仓,PK
13,正信期货,2333,128.0,2025-06-16,PK2510,空单持仓,PK
14,长江期货,2144,-25.0,2025-06-16,PK2510,空单持仓,PK
15,国投期货,2135,-177.0,2025-06-16,PK2510,空单持仓,PK
16,华泰期货,2123,-956.0,2025-06-16,PK2510,空单持仓,PK
17,银河期货,1841,-504.0,2025-06-16,PK2510,空单持仓,PK
18,申银万国,1773,-145.0,2025-06-16,PK2510,空单持仓,PK
19,海证期货,1581,-97.0,2025-06-16,PK2510,空单持仓,PK
20,金瑞期货,1576,630.0,2025-06-16,PK2510,空单持仓,PK
1,东证期货,13251,40.0,2025-06-17,PK2510,空单持仓,PK
2,中信期货,12328,312.0,2025-06-17,PK2510,空单持仓,PK
3,国泰君安,7171,851.0,2025-06-17,PK2510,空单持仓,PK
4,摩根大通,5907,1784.0,2025-06-17,PK2510,空单持仓,PK
5,中泰期货,5441,-116.0,2025-06-17,PK2510,空单持仓,PK
6,中电投先融,4314,-53.0,2025-06-17,PK2510,空单持仓,PK
7,创元期货,4277,84.0,2025-06-17,PK2510,空单持仓,PK
8,乾坤期货,4228,633.0,2025-06-17,PK2510,空单持仓,PK
9,浙商期货,4166,-99.0,2025-06-17,PK2510,空单持仓,PK
10,弘业期货,3208,1.0,2025-06-17,PK2510,空单持仓,PK
11,东吴期货,2982,100.0,2025-06-17,PK2510,空单持仓,PK
12,正信期货,2540,207.0,2025-06-17,PK2510,空单持仓,PK
13,中财期货,2306,-64.0,2025-06-17,PK2510,空单持仓,PK
14,长江期货,2153,9.0,2025-06-17,PK2510,空单持仓,PK
15,国投期货,2087,-48.0,2025-06-17,PK2510,空单持仓,PK
16,申银万国,2024,251.0,2025-06-17,PK2510,空单持仓,PK
17,银河期货,1970,129.0,2025-06-17,PK2510,空单持仓,PK
18,华泰期货,1935,-188.0,2025-06-17,PK2510,空单持仓,PK
19,中融汇信,1682,588.0,2025-06-17,PK2510,空单持仓,PK
20,方正中期,1598,43.0,2025-06-17,PK2510,空单持仓,PK
1,中信期货,11379,-949.0,2025-06-18,PK2510,空单持仓,PK
2,东证期货,11064,-2187.0,2025-06-18,PK2510,空单持仓,PK
3,国泰君安,6711,-460.0,2025-06-18,PK2510,空单持仓,PK
4,摩根大通,6226,319.0,2025-06-18,PK2510,空单持仓,PK
5,乾坤期货,4941,713.0,2025-06-18,PK2510,空单持仓,PK
6,中泰期货,4881,-560.0,2025-06-18,PK2510,空单持仓,PK
7,中电投先融,4281,-33.0,2025-06-18,PK2510,空单持仓,PK
8,创元期货,4169,-108.0,2025-06-18,PK2510,空单持仓,PK
9,浙商期货,4015,-151.0,2025-06-18,PK2510,空单持仓,PK
10,弘业期货,3219,11.0,2025-06-18,PK2510,空单持仓,PK
11,东吴期货,3095,113.0,2025-06-18,PK2510,空单持仓,PK
12,正信期货,2507,-33.0,2025-06-18,PK2510,空单持仓,PK
13,中财期货,2364,58.0,2025-06-18,PK2510,空单持仓,PK
14,长江期货,2183,30.0,2025-06-18,PK2510,空单持仓,PK
15,银河期货,2157,187.0,2025-06-18,PK2510,空单持仓,PK
16,国投期货,2112,25.0,2025-06-18,PK2510,空单持仓,PK
17,申银万国,1975,-49.0,2025-06-18,PK2510,空单持仓,PK
18,中融汇信,1692,10.0,2025-06-18,PK2510,空单持仓,PK
19,海证期货,1568,9.0,2025-06-18,PK2510,空单持仓,PK
20,方正中期,1518,-80.0,2025-06-18,PK2510,空单持仓,PK
1,中信期货,11167,-212.0,2025-06-19,PK2510,空单持仓,PK
2,东证期货,10389,-675.0,2025-06-19,PK2510,空单持仓,PK
3,摩根大通,6762,536.0,2025-06-19,PK2510,空单持仓,PK
4,国泰君安,6618,-93.0,2025-06-19,PK2510,空单持仓,PK
5,乾坤期货,5403,462.0,2025-06-19,PK2510,空单持仓,PK
6,中泰期货,4943,62.0,2025-06-19,PK2510,空单持仓,PK
7,创元期货,4350,181.0,2025-06-19,PK2510,空单持仓,PK
8,中电投先融,4244,-37.0,2025-06-19,PK2510,空单持仓,PK
9,浙商期货,3750,-265.0,2025-06-19,PK2510,空单持仓,PK
10,东吴期货,3649,554.0,2025-06-19,PK2510,空单持仓,PK
11,弘业期货,3171,-48.0,2025-06-19,PK2510,空单持仓,PK
12,正信期货,2517,10.0,2025-06-19,PK2510,空单持仓,PK
13,中财期货,2203,-161.0,2025-06-19,PK2510,空单持仓,PK
14,长江期货,2153,-30.0,2025-06-19,PK2510,空单持仓,PK
15,国投期货,2039,-73.0,2025-06-19,PK2510,空单持仓,PK
16,申银万国,1952,-23.0,2025-06-19,PK2510,空单持仓,PK
17,银河期货,1805,-352.0,2025-06-19,PK2510,空单持仓,PK
18,中融汇信,1709,17.0,2025-06-19,PK2510,空单持仓,PK
19,方正中期,1622,104.0,2025-06-19,PK2510,空单持仓,PK
20,海证期货,1585,17.0,2025-06-19,PK2510,空单持仓,PK
1,中信期货,11685,518.0,2025-06-20,PK2510,空单持仓,PK
2,东证期货,10728,339.0,2025-06-20,PK2510,空单持仓,PK
3,摩根大通,7956,1194.0,2025-06-20,PK2510,空单持仓,PK
4,国泰君安,6507,-111.0,2025-06-20,PK2510,空单持仓,PK
5,乾坤期货,6107,704.0,2025-06-20,PK2510,空单持仓,PK
6,创元期货,4476,126.0,2025-06-20,PK2510,空单持仓,PK
7,中电投先融,4244,0.0,2025-06-20,PK2510,空单持仓,PK
8,中泰期货,4140,-803.0,2025-06-20,PK2510,空单持仓,PK
9,东吴期货,3967,318.0,2025-06-20,PK2510,空单持仓,PK
10,浙商期货,3843,93.0,2025-06-20,PK2510,空单持仓,PK
11,正信期货,2550,33.0,2025-06-20,PK2510,空单持仓,PK
12,弘业期货,2540,-631.0,2025-06-20,PK2510,空单持仓,PK
13,长江期货,2168,15.0,2025-06-20,PK2510,空单持仓,PK
14,中财期货,2057,-146.0,2025-06-20,PK2510,空单持仓,PK
15,申银万国,2007,55.0,2025-06-20,PK2510,空单持仓,PK
16,国投期货,1920,-119.0,2025-06-20,PK2510,空单持仓,PK
17,银河期货,1815,10.0,2025-06-20,PK2510,空单持仓,PK
18,方正中期,1707,85.0,2025-06-20,PK2510,空单持仓,PK
19,海证期货,1619,34.0,2025-06-20,PK2510,空单持仓,PK
20,广发期货,1537,129.0,2025-06-20,PK2510,空单持仓,PK
1,中信期货,11531,-154.0,2025-06-23,PK2510,空单持仓,PK
2,东证期货,11127,399.0,2025-06-23,PK2510,空单持仓,PK
3,摩根大通,9137,1181.0,2025-06-23,PK2510,空单持仓,PK
4,乾坤期货,6857,750.0,2025-06-23,PK2510,空单持仓,PK
5,国泰君安,6420,-87.0,2025-06-23,PK2510,空单持仓,PK
6,创元期货,4536,60.0,2025-06-23,PK2510,空单持仓,PK
7,中电投先融,4190,-54.0,2025-06-23,PK2510,空单持仓,PK
8,中泰期货,4010,-130.0,2025-06-23,PK2510,空单持仓,PK
9,浙商期货,3880,37.0,2025-06-23,PK2510,空单持仓,PK
10,东吴期货,3291,-676.0,2025-06-23,PK2510,空单持仓,PK
11,长江期货,2171,3.0,2025-06-23,PK2510,空单持仓,PK
12,中财期货,2048,-9.0,2025-06-23,PK2510,空单持仓,PK
13,银河期货,2047,232.0,2025-06-23,PK2510,空单持仓,PK
14,弘业期货,1953,-587.0,2025-06-23,PK2510,空单持仓,PK
15,国投期货,1894,-26.0,2025-06-23,PK2510,空单持仓,PK
16,方正中期,1712,5.0,2025-06-23,PK2510,空单持仓,PK
17,申银万国,1662,-345.0,2025-06-23,PK2510,空单持仓,PK
18,海证期货,1619,0.0,2025-06-23,PK2510,空单持仓,PK
19,广发期货,1549,12.0,2025-06-23,PK2510,空单持仓,PK
20,恒银期货,1502,1498.0,2025-06-23,PK2510,空单持仓,PK
1,东证期货,11404,277.0,2025-06-24,PK2510,空单持仓,PK
2,中信期货,11344,-187.0,2025-06-24,PK2510,空单持仓,PK
3,摩根大通,9810,673.0,2025-06-24,PK2510,空单持仓,PK
4,乾坤期货,7127,270.0,2025-06-24,PK2510,空单持仓,PK
5,国泰君安,5519,-901.0,2025-06-24,PK2510,空单持仓,PK
6,创元期货,4874,338.0,2025-06-24,PK2510,空单持仓,PK
7,中泰期货,4227,217.0,2025-06-24,PK2510,空单持仓,PK
8,中电投先融,4152,-38.0,2025-06-24,PK2510,空单持仓,PK
9,浙商期货,3639,-241.0,2025-06-24,PK2510,空单持仓,PK
10,东吴期货,3415,124.0,2025-06-24,PK2510,空单持仓,PK
11,长江期货,2192,21.0,2025-06-24,PK2510,空单持仓,PK
12,银河期货,2029,-18.0,2025-06-24,PK2510,空单持仓,PK
13,国投期货,2006,112.0,2025-06-24,PK2510,空单持仓,PK
14,弘业期货,2006,53.0,2025-06-24,PK2510,空单持仓,PK
