排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,国泰君安,89436,2689.0,2025-11-06,pp2601,多单持仓,PP
2,中信期货,43308,2554.0,2025-11-06,pp2601,多单持仓,PP
3,东证期货,27119,2276.0,2025-11-06,pp2601,多单持仓,PP
4,永安期货,24904,-555.0,2025-11-06,pp2601,多单持仓,PP
5,紫金天风,21775,338.0,2025-11-06,pp2601,多单持仓,PP
6,盛达期货,21528,281.0,2025-11-06,pp2601,多单持仓,PP
7,浙商期货,19451,102.0,2025-11-06,pp2601,多单持仓,PP
8,华泰期货,18339,115.0,2025-11-06,pp2601,多单持仓,PP
9,国投期货,16182,872.0,2025-11-06,pp2601,多单持仓,PP
10,银河期货,13824,-1813.0,2025-11-06,pp2601,多单持仓,PP
11,中信建投,13795,851.0,2025-11-06,pp2601,多单持仓,PP
12,国贸期货,13529,-165.0,2025-11-06,pp2601,多单持仓,PP
13,中财期货,13385,88.0,2025-11-06,pp2601,多单持仓,PP
14,南华期货,12855,-157.0,2025-11-06,pp2601,多单持仓,PP
15,方正中期,12840,-602.0,2025-11-06,pp2601,多单持仓,PP
16,申银万国,11327,1299.0,2025-11-06,pp2601,多单持仓,PP
17,光大期货,11041,0.0,2025-11-06,pp2601,多单持仓,PP
18,首创京都,10427,1.0,2025-11-06,pp2601,多单持仓,PP
19,瑞达期货,10337,690.0,2025-11-06,pp2601,多单持仓,PP
20,财达期货,10124,-753.0,2025-11-06,pp2601,多单持仓,PP
1,国泰君安,87734,-2197.0,2025-11-10,pp2601,多单持仓,PP
2,中信期货,41626,-351.0,2025-11-10,pp2601,多单持仓,PP
3,东证期货,28583,-1137.0,2025-11-10,pp2601,多单持仓,PP
4,永安期货,24080,-778.0,2025-11-10,pp2601,多单持仓,PP
5,盛达期货,21965,-15.0,2025-11-10,pp2601,多单持仓,PP
6,紫金天风,21037,-233.0,2025-11-10,pp2601,多单持仓,PP
7,浙商期货,18167,-1150.0,2025-11-10,pp2601,多单持仓,PP
8,华泰期货,17441,-306.0,2025-11-10,pp2601,多单持仓,PP
9,国投期货,16306,9.0,2025-11-10,pp2601,多单持仓,PP
10,银河期货,14324,250.0,2025-11-10,pp2601,多单持仓,PP
11,国贸期货,14044,-360.0,2025-11-10,pp2601,多单持仓,PP
12,中财期货,13318,-1.0,2025-11-10,pp2601,多单持仓,PP
13,中信建投,13026,-951.0,2025-11-10,pp2601,多单持仓,PP
14,方正中期,12809,-416.0,2025-11-10,pp2601,多单持仓,PP
15,南华期货,12401,-574.0,2025-11-10,pp2601,多单持仓,PP
16,申银万国,11426,-755.0,2025-11-10,pp2601,多单持仓,PP
17,光大期货,10646,-193.0,2025-11-10,pp2601,多单持仓,PP
18,首创京都,10426,0.0,2025-11-10,pp2601,多单持仓,PP
19,财达期货,10197,41.0,2025-11-10,pp2601,多单持仓,PP
20,瑞达期货,10053,-286.0,2025-11-10,pp2601,多单持仓,PP
1,国泰君安,86681,-1053.0,2025-11-11,pp2601,多单持仓,PP
2,中信期货,41694,68.0,2025-11-11,pp2601,多单持仓,PP
3,东证期货,25715,-2868.0,2025-11-11,pp2601,多单持仓,PP
4,永安期货,23899,-181.0,2025-11-11,pp2601,多单持仓,PP
5,盛达期货,21882,-83.0,2025-11-11,pp2601,多单持仓,PP
6,紫金天风,21160,123.0,2025-11-11,pp2601,多单持仓,PP
7,浙商期货,16970,-1197.0,2025-11-11,pp2601,多单持仓,PP
8,华泰期货,16730,-711.0,2025-11-11,pp2601,多单持仓,PP
9,国投期货,16448,142.0,2025-11-11,pp2601,多单持仓,PP
10,国贸期货,15713,1669.0,2025-11-11,pp2601,多单持仓,PP
11,银河期货,14623,299.0,2025-11-11,pp2601,多单持仓,PP
12,南华期货,14147,1746.0,2025-11-11,pp2601,多单持仓,PP
13,方正中期,13668,859.0,2025-11-11,pp2601,多单持仓,PP
14,中信建投,13641,615.0,2025-11-11,pp2601,多单持仓,PP
15,中财期货,12745,-573.0,2025-11-11,pp2601,多单持仓,PP
16,光大期货,11039,393.0,2025-11-11,pp2601,多单持仓,PP
17,首创京都,10427,1.0,2025-11-11,pp2601,多单持仓,PP
18,申银万国,10421,-1005.0,2025-11-11,pp2601,多单持仓,PP
19,瑞达期货,10178,125.0,2025-11-11,pp2601,多单持仓,PP
20,财达期货,10155,-42.0,2025-11-11,pp2601,多单持仓,PP
1,国泰君安,85810,-871.0,2025-11-12,pp2601,多单持仓,PP
2,中信期货,42062,368.0,2025-11-12,pp2601,多单持仓,PP
3,东证期货,25208,-507.0,2025-11-12,pp2601,多单持仓,PP
4,永安期货,22173,-1726.0,2025-11-12,pp2601,多单持仓,PP
5,盛达期货,21727,-155.0,2025-11-12,pp2601,多单持仓,PP
6,紫金天风,21179,19.0,2025-11-12,pp2601,多单持仓,PP
7,华泰期货,16509,-221.0,2025-11-12,pp2601,多单持仓,PP
8,浙商期货,16453,-517.0,2025-11-12,pp2601,多单持仓,PP
9,国投期货,16174,-274.0,2025-11-12,pp2601,多单持仓,PP
10,国贸期货,15701,-12.0,2025-11-12,pp2601,多单持仓,PP
11,银河期货,14873,250.0,2025-11-12,pp2601,多单持仓,PP
12,中信建投,13962,321.0,2025-11-12,pp2601,多单持仓,PP
13,南华期货,13943,-204.0,2025-11-12,pp2601,多单持仓,PP
14,方正中期,13281,-387.0,2025-11-12,pp2601,多单持仓,PP
15,中财期货,12617,-128.0,2025-11-12,pp2601,多单持仓,PP
16,光大期货,11108,69.0,2025-11-12,pp2601,多单持仓,PP
17,首创京都,10428,1.0,2025-11-12,pp2601,多单持仓,PP
18,财达期货,10386,231.0,2025-11-12,pp2601,多单持仓,PP
19,瑞达期货,10270,92.0,2025-11-12,pp2601,多单持仓,PP
20,申银万国,9410,-1011.0,2025-11-12,pp2601,多单持仓,PP
