排名,会员简称,成交量,比上交易增减,date,contract,position_type,symbol
1,国泰君安,95576,-1645.0,2025-11-06,pp2601,成交量,PP
2,东证期货,95165,3508.0,2025-11-06,pp2601,成交量,PP
3,中信期货,58335,5942.0,2025-11-06,pp2601,成交量,PP
4,海通期货,45188,7433.0,2025-11-06,pp2601,成交量,PP
5,浙商期货,31804,11506.0,2025-11-06,pp2601,成交量,PP
6,南华期货,28941,8484.0,2025-11-06,pp2601,成交量,PP
7,华闻期货,26839,6498.0,2025-11-06,pp2601,成交量,PP
8,华泰期货,24564,359.0,2025-11-06,pp2601,成交量,PP
9,广发期货,21996,-1650.0,2025-11-06,pp2601,成交量,PP
10,永安期货,20932,9151.0,2025-11-06,pp2601,成交量,PP
11,银河期货,20579,4126.0,2025-11-06,pp2601,成交量,PP
12,中泰期货,14580,4312.0,2025-11-06,pp2601,成交量,PP
13,国信期货,14523,2125.0,2025-11-06,pp2601,成交量,PP
14,申银万国,14357,4806.0,2025-11-06,pp2601,成交量,PP
15,国联期货,13395,940.0,2025-11-06,pp2601,成交量,PP
16,中信建投,12339,1667.0,2025-11-06,pp2601,成交量,PP
17,光大期货,11679,242.0,2025-11-06,pp2601,成交量,PP
18,徽商期货,10225,2076.0,2025-11-06,pp2601,成交量,PP
19,国投期货,8974,-502.0,2025-11-06,pp2601,成交量,PP
20,招商期货,8668,1584.0,2025-11-06,pp2601,成交量,PP
1,东证期货,70663,-2437.0,2025-11-10,pp2601,成交量,PP
2,国泰君安,66609,9984.0,2025-11-10,pp2601,成交量,PP
3,中信期货,51847,2953.0,2025-11-10,pp2601,成交量,PP
4,海通期货,31117,-4114.0,2025-11-10,pp2601,成交量,PP
5,浙商期货,29438,2044.0,2025-11-10,pp2601,成交量,PP
6,南华期货,22315,-166.0,2025-11-10,pp2601,成交量,PP
7,华泰期货,15838,-1462.0,2025-11-10,pp2601,成交量,PP
8,广发期货,14444,569.0,2025-11-10,pp2601,成交量,PP
9,华闻期货,11338,-967.0,2025-11-10,pp2601,成交量,PP
10,银河期货,10003,1592.0,2025-11-10,pp2601,成交量,PP
11,中泰期货,9999,2269.0,2025-11-10,pp2601,成交量,PP
12,国联期货,9670,-525.0,2025-11-10,pp2601,成交量,PP
13,东吴期货,9229,2554.0,2025-11-10,pp2601,成交量,PP
14,永安期货,8734,-868.0,2025-11-10,pp2601,成交量,PP
15,国信期货,8318,319.0,2025-11-10,pp2601,成交量,PP
16,光大期货,7613,247.0,2025-11-10,pp2601,成交量,PP
17,方正中期,7476,1420.0,2025-11-10,pp2601,成交量,PP
18,申银万国,7412,-2426.0,2025-11-10,pp2601,成交量,PP
19,中信建投,7032,926.0,2025-11-10,pp2601,成交量,PP
20,国投期货,7032,1662.0,2025-11-10,pp2601,成交量,PP
1,东证期货,60928,-9735.0,2025-11-11,pp2601,成交量,PP
2,国泰君安,54672,-11937.0,2025-11-11,pp2601,成交量,PP
3,中信期货,41311,-10536.0,2025-11-11,pp2601,成交量,PP
4,浙商期货,28559,-879.0,2025-11-11,pp2601,成交量,PP
5,海通期货,18631,-12486.0,2025-11-11,pp2601,成交量,PP
6,南华期货,14717,-7598.0,2025-11-11,pp2601,成交量,PP
7,华泰期货,12220,-3618.0,2025-11-11,pp2601,成交量,PP
8,广发期货,11057,-3387.0,2025-11-11,pp2601,成交量,PP
9,银河期货,9610,-393.0,2025-11-11,pp2601,成交量,PP
10,华闻期货,7977,-3361.0,2025-11-11,pp2601,成交量,PP
11,国信期货,7638,-680.0,2025-11-11,pp2601,成交量,PP
12,永安期货,7529,-1205.0,2025-11-11,pp2601,成交量,PP
13,国联期货,7074,-2596.0,2025-11-11,pp2601,成交量,PP
14,光大期货,6799,-814.0,2025-11-11,pp2601,成交量,PP
15,申银万国,5614,-1798.0,2025-11-11,pp2601,成交量,PP
16,中泰期货,5610,-4389.0,2025-11-11,pp2601,成交量,PP
17,徽商期货,5395,-1329.0,2025-11-11,pp2601,成交量,PP
18,招商期货,5345,-985.0,2025-11-11,pp2601,成交量,PP
19,国投期货,5121,-1911.0,2025-11-11,pp2601,成交量,PP
20,东吴期货,5108,-4121.0,2025-11-11,pp2601,成交量,PP
1,东证期货,63988,3060.0,2025-11-12,pp2601,成交量,PP
2,国泰君安,46964,-7708.0,2025-11-12,pp2601,成交量,PP
3,中信期货,37418,-3893.0,2025-11-12,pp2601,成交量,PP
4,南华期货,24975,10258.0,2025-11-12,pp2601,成交量,PP
5,海通期货,24013,5382.0,2025-11-12,pp2601,成交量,PP
6,浙商期货,18893,-9666.0,2025-11-12,pp2601,成交量,PP
7,华泰期货,13401,1181.0,2025-11-12,pp2601,成交量,PP
8,永安期货,12549,5020.0,2025-11-12,pp2601,成交量,PP
9,广发期货,11342,285.0,2025-11-12,pp2601,成交量,PP
10,中泰期货,8564,2954.0,2025-11-12,pp2601,成交量,PP
11,申银万国,8395,2781.0,2025-11-12,pp2601,成交量,PP
12,华闻期货,8082,105.0,2025-11-12,pp2601,成交量,PP
13,国联期货,7947,873.0,2025-11-12,pp2601,成交量,PP
14,银河期货,7316,-2294.0,2025-11-12,pp2601,成交量,PP
15,国信期货,6769,-869.0,2025-11-12,pp2601,成交量,PP
16,东吴期货,6627,1519.0,2025-11-12,pp2601,成交量,PP
17,国投期货,6085,964.0,2025-11-12,pp2601,成交量,PP
18,方正中期,6007,1182.0,2025-11-12,pp2601,成交量,PP
19,光大期货,5593,-1206.0,2025-11-12,pp2601,成交量,PP
20,徽商期货,5085,-310.0,2025-11-12,pp2601,成交量,PP
