排名,会员简称,成交量,比上交易增减,date,contract,position_type,symbol
1,东证期货,14384,2553.0,2025-11-06,PR2601,成交量,PR
2,中信期货,9195,4223.0,2025-11-06,PR2601,成交量,PR
3,中信建投,6821,646.0,2025-11-06,PR2601,成交量,PR
4,华泰期货,5853,838.0,2025-11-06,PR2601,成交量,PR
5,南华期货,5330,1255.0,2025-11-06,PR2601,成交量,PR
6,光大期货,4907,174.0,2025-11-06,PR2601,成交量,PR
7,申银万国,4633,3012.0,2025-11-06,PR2601,成交量,PR
8,招商期货,4517,2419.0,2025-11-06,PR2601,成交量,PR
9,浙商期货,3000,-105.0,2025-11-06,PR2601,成交量,PR
10,广发期货,2964,948.0,2025-11-06,PR2601,成交量,PR
11,国信期货,2107,301.0,2025-11-06,PR2601,成交量,PR
12,国泰君安,1994,411.0,2025-11-06,PR2601,成交量,PR
13,瑞达期货,1911,285.0,2025-11-06,PR2601,成交量,PR
14,银河期货,1749,-71.0,2025-11-06,PR2601,成交量,PR
15,永安期货,1343,1.0,2025-11-06,PR2601,成交量,PR
16,中泰期货,1226,-290.0,2025-11-06,PR2601,成交量,PR
17,徽商期货,922,-52.0,2025-11-06,PR2601,成交量,PR
18,国投期货,888,-1351.0,2025-11-06,PR2601,成交量,PR
19,五矿期货,569,-53.0,2025-11-06,PR2601,成交量,PR
20,华闻期货,565,153.0,2025-11-06,PR2601,成交量,PR
1,东证期货,13675,-709.0,2025-11-07,PR2601,成交量,PR
2,中信期货,5397,-3798.0,2025-11-07,PR2601,成交量,PR
3,中信建投,4908,-1913.0,2025-11-07,PR2601,成交量,PR
4,南华期货,4670,-660.0,2025-11-07,PR2601,成交量,PR
5,光大期货,4606,-301.0,2025-11-07,PR2601,成交量,PR
6,华泰期货,3825,-2028.0,2025-11-07,PR2601,成交量,PR
7,招商期货,3465,-1052.0,2025-11-07,PR2601,成交量,PR
8,申银万国,3094,-1539.0,2025-11-07,PR2601,成交量,PR
9,国泰君安,3037,1043.0,2025-11-07,PR2601,成交量,PR
10,国信期货,1924,-183.0,2025-11-07,PR2601,成交量,PR
11,瑞达期货,1838,-73.0,2025-11-07,PR2601,成交量,PR
12,银河期货,1784,35.0,2025-11-07,PR2601,成交量,PR
13,浙商期货,1605,-1395.0,2025-11-07,PR2601,成交量,PR
14,广发期货,1455,-1509.0,2025-11-07,PR2601,成交量,PR
15,华西期货,1191,1187.0,2025-11-07,PR2601,成交量,PR
16,兴证期货,889,452.0,2025-11-07,PR2601,成交量,PR
17,国投期货,821,-67.0,2025-11-07,PR2601,成交量,PR
18,徽商期货,804,-118.0,2025-11-07,PR2601,成交量,PR
19,方正中期,736,202.0,2025-11-07,PR2601,成交量,PR
20,华闻期货,681,116.0,2025-11-07,PR2601,成交量,PR
1,东证期货,11806,-1869.0,2025-11-10,PR2601,成交量,PR
2,中信期货,7233,1836.0,2025-11-10,PR2601,成交量,PR
3,中信建投,7123,2215.0,2025-11-10,PR2601,成交量,PR
4,南华期货,6015,1345.0,2025-11-10,PR2601,成交量,PR
5,申银万国,5099,2005.0,2025-11-10,PR2601,成交量,PR
6,华泰期货,4921,1096.0,2025-11-10,PR2601,成交量,PR
7,光大期货,4514,-92.0,2025-11-10,PR2601,成交量,PR
8,招商期货,3258,-207.0,2025-11-10,PR2601,成交量,PR
9,浙商期货,3171,1566.0,2025-11-10,PR2601,成交量,PR
10,国投期货,2620,1799.0,2025-11-10,PR2601,成交量,PR
11,国泰君安,2166,-871.0,2025-11-10,PR2601,成交量,PR
12,广发期货,1692,237.0,2025-11-10,PR2601,成交量,PR
13,瑞达期货,1512,-326.0,2025-11-10,PR2601,成交量,PR
14,银河期货,1250,-534.0,2025-11-10,PR2601,成交量,PR
15,国信期货,1055,-869.0,2025-11-10,PR2601,成交量,PR
16,中泰期货,1034,650.0,2025-11-10,PR2601,成交量,PR
17,永安期货,1006,689.0,2025-11-10,PR2601,成交量,PR
18,五矿期货,955,486.0,2025-11-10,PR2601,成交量,PR
19,华闻期货,924,243.0,2025-11-10,PR2601,成交量,PR
20,方正中期,804,68.0,2025-11-10,PR2601,成交量,PR
1,东证期货,10816,-990.0,2025-11-11,PR2601,成交量,PR
2,中信期货,5508,-1725.0,2025-11-11,PR2601,成交量,PR
3,中信建投,4114,-3009.0,2025-11-11,PR2601,成交量,PR
4,光大期货,4055,-459.0,2025-11-11,PR2601,成交量,PR
5,华泰期货,3877,-1044.0,2025-11-11,PR2601,成交量,PR
6,招商期货,3475,217.0,2025-11-11,PR2601,成交量,PR
7,申银万国,3025,-2074.0,2025-11-11,PR2601,成交量,PR
8,浙商期货,2880,-291.0,2025-11-11,PR2601,成交量,PR
9,广发期货,2163,471.0,2025-11-11,PR2601,成交量,PR
10,国泰君安,2100,-66.0,2025-11-11,PR2601,成交量,PR
11,国投期货,1643,-977.0,2025-11-11,PR2601,成交量,PR
12,中泰期货,1487,453.0,2025-11-11,PR2601,成交量,PR
13,瑞达期货,1082,-430.0,2025-11-11,PR2601,成交量,PR
14,银河期货,1080,-170.0,2025-11-11,PR2601,成交量,PR
15,南华期货,877,-5138.0,2025-11-11,PR2601,成交量,PR
16,国信期货,840,-215.0,2025-11-11,PR2601,成交量,PR
17,兴证期货,831,191.0,2025-11-11,PR2601,成交量,PR
18,华闻期货,807,-117.0,2025-11-11,PR2601,成交量,PR
19,海通期货,655,134.0,2025-11-11,PR2601,成交量,PR
20,乾坤期货,595,65.0,2025-11-11,PR2601,成交量,PR
1,东证期货,11139,323.0,2025-11-12,PR2601,成交量,PR
2,中信期货,7505,1997.0,2025-11-12,PR2601,成交量,PR
3,南华期货,6256,5379.0,2025-11-12,PR2601,成交量,PR
4,中信建投,5820,1706.0,2025-11-12,PR2601,成交量,PR
5,浙商期货,5612,2732.0,2025-11-12,PR2601,成交量,PR
6,国投期货,5298,3655.0,2025-11-12,PR2601,成交量,PR
7,申银万国,4690,1665.0,2025-11-12,PR2601,成交量,PR
8,华泰期货,4394,517.0,2025-11-12,PR2601,成交量,PR
9,招商期货,4216,741.0,2025-11-12,PR2601,成交量,PR
10,广发期货,3955,1792.0,2025-11-12,PR2601,成交量,PR
11,光大期货,3009,-1046.0,2025-11-12,PR2601,成交量,PR
12,国泰君安,1679,-421.0,2025-11-12,PR2601,成交量,PR
13,中泰期货,1158,-329.0,2025-11-12,PR2601,成交量,PR
14,瑞达期货,966,-116.0,2025-11-12,PR2601,成交量,PR
15,徽商期货,932,596.0,2025-11-12,PR2601,成交量,PR
16,海证期货,885,600.0,2025-11-12,PR2601,成交量,PR
17,银河期货,767,-313.0,2025-11-12,PR2601,成交量,PR
18,兴证期货,732,-99.0,2025-11-12,PR2601,成交量,PR
19,华闻期货,711,-96.0,2025-11-12,PR2601,成交量,PR
20,乾坤期货,643,48.0,2025-11-12,PR2601,成交量,PR
