排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,国泰君安期货,17803,1809.0,2025-11-06,PS2601,多单持仓,PS
2,中信期货,8299,1088.0,2025-11-06,PS2601,多单持仓,PS
3,永安期货,7942,107.0,2025-11-06,PS2601,多单持仓,PS
4,招商期货,7646,609.0,2025-11-06,PS2601,多单持仓,PS
5,新湖期货,5862,211.0,2025-11-06,PS2601,多单持仓,PS
6,中信建投,5773,-627.0,2025-11-06,PS2601,多单持仓,PS
7,光大期货,4573,452.0,2025-11-06,PS2601,多单持仓,PS
8,广发期货,4174,593.0,2025-11-06,PS2601,多单持仓,PS
9,浙商期货,3440,-7323.0,2025-11-06,PS2601,多单持仓,PS
10,东证期货,3081,-293.0,2025-11-06,PS2601,多单持仓,PS
11,东方财富期货,3064,71.0,2025-11-06,PS2601,多单持仓,PS
12,国投期货,2927,-121.0,2025-11-06,PS2601,多单持仓,PS
13,银河期货,2924,585.0,2025-11-06,PS2601,多单持仓,PS
14,方正中期,2859,55.0,2025-11-06,PS2601,多单持仓,PS
15,海通期货,2679,327.0,2025-11-06,PS2601,多单持仓,PS
16,五矿期货,2518,-437.0,2025-11-06,PS2601,多单持仓,PS
17,华泰期货,2130,-399.0,2025-11-06,PS2601,多单持仓,PS
18,南华期货,1288,100.0,2025-11-06,PS2601,多单持仓,PS
19,广州期货,1251,-162.0,2025-11-06,PS2601,多单持仓,PS
20,中财期货,1160,162.0,2025-11-06,PS2601,多单持仓,PS
1,国泰君安期货,18914,1111.0,2025-11-07,PS2601,多单持仓,PS
2,中信期货,8765,466.0,2025-11-07,PS2601,多单持仓,PS
3,永安期货,8236,294.0,2025-11-07,PS2601,多单持仓,PS
4,招商期货,7365,-281.0,2025-11-07,PS2601,多单持仓,PS
5,中信建投,6205,432.0,2025-11-07,PS2601,多单持仓,PS
6,新湖期货,5777,-85.0,2025-11-07,PS2601,多单持仓,PS
7,光大期货,4724,151.0,2025-11-07,PS2601,多单持仓,PS
8,广发期货,4299,125.0,2025-11-07,PS2601,多单持仓,PS
9,东证期货,3575,494.0,2025-11-07,PS2601,多单持仓,PS
10,国投期货,3302,375.0,2025-11-07,PS2601,多单持仓,PS
11,东方财富期货,2946,-118.0,2025-11-07,PS2601,多单持仓,PS
12,五矿期货,2943,425.0,2025-11-07,PS2601,多单持仓,PS
13,方正中期,2911,52.0,2025-11-07,PS2601,多单持仓,PS
14,银河期货,2697,-227.0,2025-11-07,PS2601,多单持仓,PS
15,华泰期货,2545,415.0,2025-11-07,PS2601,多单持仓,PS
16,浙商期货,2248,-1192.0,2025-11-07,PS2601,多单持仓,PS
17,海通期货,2096,-583.0,2025-11-07,PS2601,多单持仓,PS
18,广州期货,1402,151.0,2025-11-07,PS2601,多单持仓,PS
19,华闻期货,1395,376.0,2025-11-07,PS2601,多单持仓,PS
20,国信期货,1363,355.0,2025-11-07,PS2601,多单持仓,PS
1,国泰君安期货,18840,-74.0,2025-11-10,PS2601,多单持仓,PS
2,中信期货,8478,-287.0,2025-11-10,PS2601,多单持仓,PS
3,永安期货,8153,-83.0,2025-11-10,PS2601,多单持仓,PS
4,招商期货,7328,-37.0,2025-11-10,PS2601,多单持仓,PS
5,中信建投,6592,387.0,2025-11-10,PS2601,多单持仓,PS
6,新湖期货,5835,58.0,2025-11-10,PS2601,多单持仓,PS
7,光大期货,4654,-70.0,2025-11-10,PS2601,多单持仓,PS
8,广发期货,4191,-108.0,2025-11-10,PS2601,多单持仓,PS
9,东证期货,3930,355.0,2025-11-10,PS2601,多单持仓,PS
10,国投期货,3214,-88.0,2025-11-10,PS2601,多单持仓,PS
11,浙商期货,3065,817.0,2025-11-10,PS2601,多单持仓,PS
12,五矿期货,3001,58.0,2025-11-10,PS2601,多单持仓,PS
13,方正中期,2927,16.0,2025-11-10,PS2601,多单持仓,PS
14,东方财富期货,2913,-33.0,2025-11-10,PS2601,多单持仓,PS
15,银河期货,2248,-449.0,2025-11-10,PS2601,多单持仓,PS
16,海通期货,1971,-125.0,2025-11-10,PS2601,多单持仓,PS
17,华泰期货,1931,-614.0,2025-11-10,PS2601,多单持仓,PS
18,海证期货,1431,236.0,2025-11-10,PS2601,多单持仓,PS
19,南华期货,1357,220.0,2025-11-10,PS2601,多单持仓,PS
20,广州期货,1259,-143.0,2025-11-10,PS2601,多单持仓,PS
1,国泰君安期货,18459,-381.0,2025-11-11,PS2601,多单持仓,PS
2,永安期货,8482,329.0,2025-11-11,PS2601,多单持仓,PS
3,中信期货,8316,-162.0,2025-11-11,PS2601,多单持仓,PS
4,招商期货,7498,170.0,2025-11-11,PS2601,多单持仓,PS
5,中信建投,7079,487.0,2025-11-11,PS2601,多单持仓,PS
6,新湖期货,5699,-136.0,2025-11-11,PS2601,多单持仓,PS
7,光大期货,4772,118.0,2025-11-11,PS2601,多单持仓,PS
8,广发期货,4750,559.0,2025-11-11,PS2601,多单持仓,PS
9,方正中期,4383,1456.0,2025-11-11,PS2601,多单持仓,PS
