排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,国泰君安期货,15130,1106.0,2026-06-22,PS2609,空单持仓,PS
2,中信期货,8678,49.0,2026-06-22,PS2609,空单持仓,PS
3,广发期货,6315,111.0,2026-06-22,PS2609,空单持仓,PS
4,东证期货,4735,768.0,2026-06-22,PS2609,空单持仓,PS
5,方正中期,4115,139.0,2026-06-22,PS2609,空单持仓,PS
6,浙商期货,4016,-70.0,2026-06-22,PS2609,空单持仓,PS
7,银河期货,3638,245.0,2026-06-22,PS2609,空单持仓,PS
8,永安期货,3061,97.0,2026-06-22,PS2609,空单持仓,PS
9,中信建投,3030,128.0,2026-06-22,PS2609,空单持仓,PS
10,海证期货,2924,121.0,2026-06-22,PS2609,空单持仓,PS
11,申银万国,2685,-34.0,2026-06-22,PS2609,空单持仓,PS
12,大地期货,2469,17.0,2026-06-22,PS2609,空单持仓,PS
13,信达期货,2378,-34.0,2026-06-22,PS2609,空单持仓,PS
14,光大期货,2219,-18.0,2026-06-22,PS2609,空单持仓,PS
15,创元期货,2160,323.0,2026-06-22,PS2609,空单持仓,PS
16,华泰期货,2021,31.0,2026-06-22,PS2609,空单持仓,PS
17,瑞达期货,1926,69.0,2026-06-22,PS2609,空单持仓,PS
18,财信期货,1878,4.0,2026-06-22,PS2609,空单持仓,PS
19,中泰期货,1638,132.0,2026-06-22,PS2609,空单持仓,PS
20,金瑞期货,1421,-24.0,2026-06-22,PS2609,空单持仓,PS
1,国泰君安期货,15357,227.0,2026-06-23,PS2609,空单持仓,PS
2,中信期货,9127,449.0,2026-06-23,PS2609,空单持仓,PS
3,广发期货,6006,-309.0,2026-06-23,PS2609,空单持仓,PS
4,东证期货,5337,602.0,2026-06-23,PS2609,空单持仓,PS
5,方正中期,4057,-58.0,2026-06-23,PS2609,空单持仓,PS
6,浙商期货,4004,-12.0,2026-06-23,PS2609,空单持仓,PS
7,银河期货,3966,328.0,2026-06-23,PS2609,空单持仓,PS
8,永安期货,2911,-150.0,2026-06-23,PS2609,空单持仓,PS
9,中信建投,2848,-182.0,2026-06-23,PS2609,空单持仓,PS
10,海证期货,2831,-93.0,2026-06-23,PS2609,空单持仓,PS
11,申银万国,2789,104.0,2026-06-23,PS2609,空单持仓,PS
12,光大期货,2408,189.0,2026-06-23,PS2609,空单持仓,PS
13,信达期货,2353,-25.0,2026-06-23,PS2609,空单持仓,PS
14,大地期货,2275,-194.0,2026-06-23,PS2609,空单持仓,PS
15,华泰期货,2072,51.0,2026-06-23,PS2609,空单持仓,PS
16,创元期货,1956,-204.0,2026-06-23,PS2609,空单持仓,PS
17,瑞达期货,1928,2.0,2026-06-23,PS2609,空单持仓,PS
18,中泰期货,1918,280.0,2026-06-23,PS2609,空单持仓,PS
19,财信期货,1871,-7.0,2026-06-23,PS2609,空单持仓,PS
20,国信期货,1425,152.0,2026-06-23,PS2609,空单持仓,PS
1,国泰君安期货,16968,1611.0,2026-06-24,PS2609,空单持仓,PS
2,中信期货,8814,-313.0,2026-06-24,PS2609,空单持仓,PS
3,广发期货,6090,84.0,2026-06-24,PS2609,空单持仓,PS
4,东证期货,4852,-485.0,2026-06-24,PS2609,空单持仓,PS
5,方正中期,4055,-2.0,2026-06-24,PS2609,空单持仓,PS
6,浙商期货,4048,44.0,2026-06-24,PS2609,空单持仓,PS
7,银河期货,4028,62.0,2026-06-24,PS2609,空单持仓,PS
8,永安期货,2990,79.0,2026-06-24,PS2609,空单持仓,PS
9,中信建投,2912,64.0,2026-06-24,PS2609,空单持仓,PS
10,海证期货,2830,-1.0,2026-06-24,PS2609,空单持仓,PS
11,申银万国,2778,-11.0,2026-06-24,PS2609,空单持仓,PS
12,光大期货,2466,58.0,2026-06-24,PS2609,空单持仓,PS
13,信达期货,2316,-37.0,2026-06-24,PS2609,空单持仓,PS
14,华泰期货,2250,178.0,2026-06-24,PS2609,空单持仓,PS
15,中泰期货,2199,281.0,2026-06-24,PS2609,空单持仓,PS
16,大地期货,2184,-91.0,2026-06-24,PS2609,空单持仓,PS
17,创元期货,2112,156.0,2026-06-24,PS2609,空单持仓,PS
18,财信期货,1893,22.0,2026-06-24,PS2609,空单持仓,PS
19,瑞达期货,1794,-134.0,2026-06-24,PS2609,空单持仓,PS
20,五矿期货,1768,509.0,2026-06-24,PS2609,空单持仓,PS
1,国泰君安期货,17174,206.0,2026-06-25,PS2609,空单持仓,PS
2,中信期货,8808,-6.0,2026-06-25,PS2609,空单持仓,PS
3,广发期货,6019,-71.0,2026-06-25,PS2609,空单持仓,PS
4,东证期货,5144,292.0,2026-06-25,PS2609,空单持仓,PS
5,银河期货,4013,-15.0,2026-06-25,PS2609,空单持仓,PS
6,方正中期,3846,-209.0,2026-06-25,PS2609,空单持仓,PS
7,浙商期货,3745,-303.0,2026-06-25,PS2609,空单持仓,PS
8,永安期货,3209,219.0,2026-06-25,PS2609,空单持仓,PS
9,海证期货,3024,194.0,2026-06-25,PS2609,空单持仓,PS
10,申银万国,2939,161.0,2026-06-25,PS2609,空单持仓,PS
11,中信建投,2615,-297.0,2026-06-25,PS2609,空单持仓,PS
12,华泰期货,2554,304.0,2026-06-25,PS2609,空单持仓,PS
13,大地期货,2479,295.0,2026-06-25,PS2609,空单持仓,PS
14,中泰期货,2420,221.0,2026-06-25,PS2609,空单持仓,PS
15,光大期货,2399,-67.0,2026-06-25,PS2609,空单持仓,PS
16,信达期货,2282,-34.0,2026-06-25,PS2609,空单持仓,PS
17,瑞达期货,2061,267.0,2026-06-25,PS2609,空单持仓,PS
18,创元期货,1895,-217.0,2026-06-25,PS2609,空单持仓,PS
19,财信期货,1828,-65.0,2026-06-25,PS2609,空单持仓,PS
20,五矿期货,1783,15.0,2026-06-25,PS2609,空单持仓,PS
