排名,会员简称,成交量,比上交易增减,date,contract,position_type,symbol,持仓量
1,中信期货,116113.0,-23756.0,2025-08-18,PS2511,成交量,PS,
2,国泰君安期货,71383.0,-32923.0,2025-08-18,PS2511,成交量,PS,
3,广发期货,52593.0,-8773.0,2025-08-18,PS2511,成交量,PS,
4,东证期货,38315.0,-15744.0,2025-08-18,PS2511,成交量,PS,
5,华闻期货,28585.0,-10578.0,2025-08-18,PS2511,成交量,PS,
6,华泰期货,28079.0,-286.0,2025-08-18,PS2511,成交量,PS,
7,徽商期货,24095.0,-10506.0,2025-08-18,PS2511,成交量,PS,
8,中信建投,20044.0,-12926.0,2025-08-18,PS2511,成交量,PS,
9,中泰期货,18599.0,-7271.0,2025-08-18,PS2511,成交量,PS,
10,方正中期,18231.0,-3243.0,2025-08-18,PS2511,成交量,PS,
11,银河期货,17943.0,-9970.0,2025-08-18,PS2511,成交量,PS,
12,国信期货,16084.0,-8468.0,2025-08-18,PS2511,成交量,PS,
13,五矿期货,15762.0,-3635.0,2025-08-18,PS2511,成交量,PS,
14,宝城期货,15491.0,-14113.0,2025-08-18,PS2511,成交量,PS,
15,海通期货,15431.0,-2719.0,2025-08-18,PS2511,成交量,PS,
16,东吴期货,12553.0,-9897.0,2025-08-18,PS2511,成交量,PS,
17,永安期货,12340.0,-257.0,2025-08-18,PS2511,成交量,PS,
18,东方财富期货,12103.0,-13411.0,2025-08-18,PS2511,成交量,PS,
19,渤海期货,11748.0,-11234.0,2025-08-18,PS2511,成交量,PS,
20,光大期货,11600.0,-4196.0,2025-08-18,PS2511,成交量,PS,
1,中信期货,137172.0,21059.0,2025-08-19,PS2511,成交量,PS,
2,国泰君安期货,100519.0,29136.0,2025-08-19,PS2511,成交量,PS,
3,广发期货,59419.0,6826.0,2025-08-19,PS2511,成交量,PS,
4,东证期货,42290.0,3975.0,2025-08-19,PS2511,成交量,PS,
5,华闻期货,37009.0,8424.0,2025-08-19,PS2511,成交量,PS,
6,中信建投,36350.0,16306.0,2025-08-19,PS2511,成交量,PS,
7,徽商期货,35854.0,11759.0,2025-08-19,PS2511,成交量,PS,
8,银河期货,28129.0,10186.0,2025-08-19,PS2511,成交量,PS,
9,华泰期货,27840.0,-239.0,2025-08-19,PS2511,成交量,PS,
10,中泰期货,25809.0,7210.0,2025-08-19,PS2511,成交量,PS,
11,宝城期货,25494.0,10003.0,2025-08-19,PS2511,成交量,PS,
12,国信期货,23049.0,6965.0,2025-08-19,PS2511,成交量,PS,
13,东方财富期货,22274.0,10171.0,2025-08-19,PS2511,成交量,PS,
14,方正中期,20521.0,2290.0,2025-08-19,PS2511,成交量,PS,
15,东吴期货,19601.0,7048.0,2025-08-19,PS2511,成交量,PS,
16,五矿期货,19560.0,3798.0,2025-08-19,PS2511,成交量,PS,
17,渤海期货,19220.0,7472.0,2025-08-19,PS2511,成交量,PS,
18,中辉期货,18902.0,9671.0,2025-08-19,PS2511,成交量,PS,
19,海通期货,17083.0,1652.0,2025-08-19,PS2511,成交量,PS,
20,民生期货,15533.0,6988.0,2025-08-19,PS2511,成交量,PS,
1,中信期货,169435.0,32263.0,2025-08-20,PS2511,成交量,PS,
2,国泰君安期货,128683.0,28164.0,2025-08-20,PS2511,成交量,PS,
3,华闻期货,61936.0,24927.0,2025-08-20,PS2511,成交量,PS,
4,广发期货,60744.0,1325.0,2025-08-20,PS2511,成交量,PS,
5,东证期货,54375.0,12085.0,2025-08-20,PS2511,成交量,PS,
6,中信建投,46110.0,9760.0,2025-08-20,PS2511,成交量,PS,
7,徽商期货,44177.0,8323.0,2025-08-20,PS2511,成交量,PS,
8,华泰期货,36813.0,8973.0,2025-08-20,PS2511,成交量,PS,
9,银河期货,33756.0,5627.0,2025-08-20,PS2511,成交量,PS,
10,方正中期,31042.0,10521.0,2025-08-20,PS2511,成交量,PS,
11,宝城期货,28805.0,3311.0,2025-08-20,PS2511,成交量,PS,
12,国信期货,28667.0,5618.0,2025-08-20,PS2511,成交量,PS,
13,东方财富期货,27544.0,5270.0,2025-08-20,PS2511,成交量,PS,
14,渤海期货,27163.0,7943.0,2025-08-20,PS2511,成交量,PS,
15,中泰期货,24780.0,-1029.0,2025-08-20,PS2511,成交量,PS,
16,东吴期货,23380.0,3779.0,2025-08-20,PS2511,成交量,PS,
17,海通期货,22244.0,5161.0,2025-08-20,PS2511,成交量,PS,
18,中辉期货,21358.0,2456.0,2025-08-20,PS2511,成交量,PS,
19,五矿期货,20749.0,1189.0,2025-08-20,PS2511,成交量,PS,
20,民生期货,19118.0,3585.0,2025-08-20,PS2511,成交量,PS,
1,中信期货,123668.0,-45767.0,2025-08-21,PS2511,成交量,PS,
2,国泰君安期货,72703.0,-55980.0,2025-08-21,PS2511,成交量,PS,
3,广发期货,38782.0,-21962.0,2025-08-21,PS2511,成交量,PS,
4,东证期货,34693.0,-19682.0,2025-08-21,PS2511,成交量,PS,
5,中信建投,32006.0,-14104.0,2025-08-21,PS2511,成交量,PS,
