排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,国泰君安,22644,709.0,2026-06-22,PX2609,多单持仓,PX
2,东证期货,16142,555.0,2026-06-22,PX2609,多单持仓,PX
3,中信期货,14857,1777.0,2026-06-22,PX2609,多单持仓,PX
4,永安期货,9041,299.0,2026-06-22,PX2609,多单持仓,PX
5,申银万国,8473,-162.0,2026-06-22,PX2609,多单持仓,PX
6,银河期货,6616,-3659.0,2026-06-22,PX2609,多单持仓,PX
7,东吴期货,6158,337.0,2026-06-22,PX2609,多单持仓,PX
8,高盛期货,4523,-21.0,2026-06-22,PX2609,多单持仓,PX
9,招商期货,4387,103.0,2026-06-22,PX2609,多单持仓,PX
10,广发期货,4036,108.0,2026-06-22,PX2609,多单持仓,PX
11,浙商期货,3957,-72.0,2026-06-22,PX2609,多单持仓,PX
12,紫金天风,3830,-13.0,2026-06-22,PX2609,多单持仓,PX
13,华泰期货,3620,114.0,2026-06-22,PX2609,多单持仓,PX
14,中信建投,3336,169.0,2026-06-22,PX2609,多单持仓,PX
15,海证期货,3097,-343.0,2026-06-22,PX2609,多单持仓,PX
16,中泰期货,2941,177.0,2026-06-22,PX2609,多单持仓,PX
17,中财期货,2785,-499.0,2026-06-22,PX2609,多单持仓,PX
18,国盛期货,2272,172.0,2026-06-22,PX2609,多单持仓,PX
19,东海期货,2264,-3.0,2026-06-22,PX2609,多单持仓,PX
20,兴证期货,2257,171.0,2026-06-22,PX2609,多单持仓,PX
1,国泰君安,21664,-980.0,2026-06-23,PX2609,多单持仓,PX
2,东证期货,15659,-483.0,2026-06-23,PX2609,多单持仓,PX
3,中信期货,15618,761.0,2026-06-23,PX2609,多单持仓,PX
4,永安期货,9074,33.0,2026-06-23,PX2609,多单持仓,PX
5,申银万国,8540,67.0,2026-06-23,PX2609,多单持仓,PX
6,银河期货,6488,-128.0,2026-06-23,PX2609,多单持仓,PX
7,东吴期货,6200,42.0,2026-06-23,PX2609,多单持仓,PX
8,紫金天风,5072,1242.0,2026-06-23,PX2609,多单持仓,PX
9,高盛期货,4515,-8.0,2026-06-23,PX2609,多单持仓,PX
10,广发期货,4261,225.0,2026-06-23,PX2609,多单持仓,PX
11,浙商期货,4208,251.0,2026-06-23,PX2609,多单持仓,PX
12,华泰期货,3916,296.0,2026-06-23,PX2609,多单持仓,PX
13,招商期货,3815,-572.0,2026-06-23,PX2609,多单持仓,PX
14,中信建投,3638,302.0,2026-06-23,PX2609,多单持仓,PX
15,海证期货,3076,-21.0,2026-06-23,PX2609,多单持仓,PX
16,中泰期货,2918,-23.0,2026-06-23,PX2609,多单持仓,PX
17,中财期货,2649,-136.0,2026-06-23,PX2609,多单持仓,PX
18,国盛期货,2395,123.0,2026-06-23,PX2609,多单持仓,PX
19,恒力期货,2369,120.0,2026-06-23,PX2609,多单持仓,PX
20,南华期货,2366,215.0,2026-06-23,PX2609,多单持仓,PX
1,国泰君安,21883,219.0,2026-06-24,PX2609,多单持仓,PX
2,中信期货,15885,267.0,2026-06-24,PX2609,多单持仓,PX
3,东证期货,14371,-1288.0,2026-06-24,PX2609,多单持仓,PX
4,永安期货,9944,870.0,2026-06-24,PX2609,多单持仓,PX
