排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,国泰君安,45772,5198.0,2025-11-06,PX2601,空单持仓,PX
2,中信期货,14621,3088.0,2025-11-06,PX2601,空单持仓,PX
3,银河期货,12141,4096.0,2025-11-06,PX2601,空单持仓,PX
4,华泰期货,11367,4514.0,2025-11-06,PX2601,空单持仓,PX
5,东证期货,7814,697.0,2025-11-06,PX2601,空单持仓,PX
6,紫金天风,6692,566.0,2025-11-06,PX2601,空单持仓,PX
7,永安期货,6177,1748.0,2025-11-06,PX2601,空单持仓,PX
8,东海期货,5923,3224.0,2025-11-06,PX2601,空单持仓,PX
9,浙商期货,4853,701.0,2025-11-06,PX2601,空单持仓,PX
10,福能期货,4643,73.0,2025-11-06,PX2601,空单持仓,PX
11,国贸期货,3544,862.0,2025-11-06,PX2601,空单持仓,PX
12,南华期货,3190,1295.0,2025-11-06,PX2601,空单持仓,PX
13,中信建投,3184,1006.0,2025-11-06,PX2601,空单持仓,PX
14,新湖期货,3172,41.0,2025-11-06,PX2601,空单持仓,PX
15,平安期货,2980,1142.0,2025-11-06,PX2601,空单持仓,PX
16,宏源期货,2945,1556.0,2025-11-06,PX2601,空单持仓,PX
17,创元期货,2818,1356.0,2025-11-06,PX2601,空单持仓,PX
18,华闻期货,2684,-6.0,2025-11-06,PX2601,空单持仓,PX
19,国信期货,2583,872.0,2025-11-06,PX2601,空单持仓,PX
20,徽商期货,2413,843.0,2025-11-06,PX2601,空单持仓,PX
1,国泰君安,47836,2064.0,2025-11-07,PX2601,空单持仓,PX
2,中信期货,20491,5870.0,2025-11-07,PX2601,空单持仓,PX
3,银河期货,12583,442.0,2025-11-07,PX2601,空单持仓,PX
4,华泰期货,9828,-1539.0,2025-11-07,PX2601,空单持仓,PX
5,东证期货,9356,1542.0,2025-11-07,PX2601,空单持仓,PX
6,紫金天风,7075,383.0,2025-11-07,PX2601,空单持仓,PX
7,东海期货,6477,554.0,2025-11-07,PX2601,空单持仓,PX
8,永安期货,6192,15.0,2025-11-07,PX2601,空单持仓,PX
9,福能期货,4611,-32.0,2025-11-07,PX2601,空单持仓,PX
10,乾坤期货,3961,1809.0,2025-11-07,PX2601,空单持仓,PX
11,新湖期货,3448,276.0,2025-11-07,PX2601,空单持仓,PX
12,国贸期货,3285,-259.0,2025-11-07,PX2601,空单持仓,PX
13,物产中大,3179,1369.0,2025-11-07,PX2601,空单持仓,PX
14,创元期货,3153,335.0,2025-11-07,PX2601,空单持仓,PX
15,平安期货,3005,25.0,2025-11-07,PX2601,空单持仓,PX
16,浙商期货,2808,-2045.0,2025-11-07,PX2601,空单持仓,PX
17,中信建投,2773,-411.0,2025-11-07,PX2601,空单持仓,PX
18,南华期货,2407,-783.0,2025-11-07,PX2601,空单持仓,PX
19,一德期货,2359,29.0,2025-11-07,PX2601,空单持仓,PX
20,徽商期货,2304,-109.0,2025-11-07,PX2601,空单持仓,PX
1,国泰君安,52378,4542.0,2025-11-10,PX2601,空单持仓,PX
2,中信期货,23007,2516.0,2025-11-10,PX2601,空单持仓,PX
3,银河期货,13252,669.0,2025-11-10,PX2601,空单持仓,PX
4,华泰期货,10570,742.0,2025-11-10,PX2601,空单持仓,PX
5,东证期货,8988,-368.0,2025-11-10,PX2601,空单持仓,PX
6,永安期货,7278,1086.0,2025-11-10,PX2601,空单持仓,PX
7,东海期货,6920,443.0,2025-11-10,PX2601,空单持仓,PX
8,紫金天风,6753,-322.0,2025-11-10,PX2601,空单持仓,PX
