排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,中信期货,238857,2230.0,2025-11-06,rb2601,多单持仓,RB
2,国泰君安,105686,2048.0,2025-11-06,rb2601,多单持仓,RB
3,永安期货,83699,1092.0,2025-11-06,rb2601,多单持仓,RB
4,华泰期货,80614,2479.0,2025-11-06,rb2601,多单持仓,RB
5,银河期货,72856,-3579.0,2025-11-06,rb2601,多单持仓,RB
6,方正中期,71514,2243.0,2025-11-06,rb2601,多单持仓,RB
7,东证期货,63629,3022.0,2025-11-06,rb2601,多单持仓,RB
8,中泰期货,43128,-852.0,2025-11-06,rb2601,多单持仓,RB
9,徽商期货,40268,-1600.0,2025-11-06,rb2601,多单持仓,RB
10,浙商期货,39449,292.0,2025-11-06,rb2601,多单持仓,RB
11,中信建投,33040,-461.0,2025-11-06,rb2601,多单持仓,RB
12,瑞达期货,31932,-730.0,2025-11-06,rb2601,多单持仓,RB
13,五矿期货,31924,-30.0,2025-11-06,rb2601,多单持仓,RB
14,国投期货,31463,1783.0,2025-11-06,rb2601,多单持仓,RB
15,国贸期货,31023,705.0,2025-11-06,rb2601,多单持仓,RB
16,兴证期货,30347,-2057.0,2025-11-06,rb2601,多单持仓,RB
17,申万期货,29004,-288.0,2025-11-06,rb2601,多单持仓,RB
18,中辉期货,28223,-1734.0,2025-11-06,rb2601,多单持仓,RB
19,海证期货,27805,-917.0,2025-11-06,rb2601,多单持仓,RB
20,平安期货,27726,-872.0,2025-11-06,rb2601,多单持仓,RB
1,中信期货,240240,1383.0,2025-11-07,rb2601,多单持仓,RB
2,国泰君安,104596,-1090.0,2025-11-07,rb2601,多单持仓,RB
3,永安期货,89713,6014.0,2025-11-07,rb2601,多单持仓,RB
4,华泰期货,77870,-2744.0,2025-11-07,rb2601,多单持仓,RB
5,方正中期,70955,-559.0,2025-11-07,rb2601,多单持仓,RB
6,银河期货,66761,-6095.0,2025-11-07,rb2601,多单持仓,RB
7,东证期货,59404,-4225.0,2025-11-07,rb2601,多单持仓,RB
8,中泰期货,41397,-1731.0,2025-11-07,rb2601,多单持仓,RB
9,徽商期货,39956,-312.0,2025-11-07,rb2601,多单持仓,RB
10,浙商期货,36835,-2614.0,2025-11-07,rb2601,多单持仓,RB
11,瑞达期货,30480,-1452.0,2025-11-07,rb2601,多单持仓,RB
12,国贸期货,30087,-936.0,2025-11-07,rb2601,多单持仓,RB
13,国投期货,29931,-1532.0,2025-11-07,rb2601,多单持仓,RB
14,五矿期货,29847,-2077.0,2025-11-07,rb2601,多单持仓,RB
15,申万期货,28765,-239.0,2025-11-07,rb2601,多单持仓,RB
16,海证期货,28010,205.0,2025-11-07,rb2601,多单持仓,RB
17,平安期货,27000,-726.0,2025-11-07,rb2601,多单持仓,RB
18,中信建投,26667,-6373.0,2025-11-07,rb2601,多单持仓,RB
19,南华期货,26212,-953.0,2025-11-07,rb2601,多单持仓,RB
20,渤海期货,25993,-1098.0,2025-11-07,rb2601,多单持仓,RB
1,中信期货,256997,16757.0,2025-11-10,rb2601,多单持仓,RB
2,国泰君安,100016,-4580.0,2025-11-10,rb2601,多单持仓,RB
3,永安期货,89789,76.0,2025-11-10,rb2601,多单持仓,RB
4,华泰期货,77261,-609.0,2025-11-10,rb2601,多单持仓,RB
