排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,乾坤期货,52191,7105.0,2025-11-06,RM2601,多单持仓,RM
2,摩根大通,43470,7903.0,2025-11-06,RM2601,多单持仓,RM
3,东证期货,39190,2875.0,2025-11-06,RM2601,多单持仓,RM
4,中信期货,38487,4813.0,2025-11-06,RM2601,多单持仓,RM
5,国泰君安,27247,3290.0,2025-11-06,RM2601,多单持仓,RM
6,华泰期货,13235,344.0,2025-11-06,RM2601,多单持仓,RM
7,中金财富,11542,1181.0,2025-11-06,RM2601,多单持仓,RM
8,银河期货,8405,520.0,2025-11-06,RM2601,多单持仓,RM
9,方正中期,8354,66.0,2025-11-06,RM2601,多单持仓,RM
10,广发期货,8353,-329.0,2025-11-06,RM2601,多单持仓,RM
11,国贸期货,8343,195.0,2025-11-06,RM2601,多单持仓,RM
12,浙商期货,7552,-178.0,2025-11-06,RM2601,多单持仓,RM
13,徽商期货,6648,-173.0,2025-11-06,RM2601,多单持仓,RM
14,海通期货,6530,171.0,2025-11-06,RM2601,多单持仓,RM
15,海证期货,5538,-260.0,2025-11-06,RM2601,多单持仓,RM
16,招商期货,5356,694.0,2025-11-06,RM2601,多单持仓,RM
17,国信期货,5256,132.0,2025-11-06,RM2601,多单持仓,RM
18,平安期货,5109,864.0,2025-11-06,RM2601,多单持仓,RM
19,东吴期货,5084,-257.0,2025-11-06,RM2601,多单持仓,RM
20,光大期货,4888,-78.0,2025-11-06,RM2601,多单持仓,RM
1,乾坤期货,58342,6151.0,2025-11-07,RM2601,多单持仓,RM
2,摩根大通,50390,6920.0,2025-11-07,RM2601,多单持仓,RM
3,中信期货,41037,2550.0,2025-11-07,RM2601,多单持仓,RM
4,东证期货,40018,828.0,2025-11-07,RM2601,多单持仓,RM
5,国泰君安,29630,2383.0,2025-11-07,RM2601,多单持仓,RM
6,华泰期货,13996,761.0,2025-11-07,RM2601,多单持仓,RM
7,中金财富,12816,1274.0,2025-11-07,RM2601,多单持仓,RM
8,银河期货,8557,152.0,2025-11-07,RM2601,多单持仓,RM
9,广发期货,8269,-84.0,2025-11-07,RM2601,多单持仓,RM
10,国贸期货,8250,-93.0,2025-11-07,RM2601,多单持仓,RM
11,方正中期,8008,-346.0,2025-11-07,RM2601,多单持仓,RM
12,平安期货,7427,2318.0,2025-11-07,RM2601,多单持仓,RM
13,浙商期货,7420,-132.0,2025-11-07,RM2601,多单持仓,RM
14,海通期货,6669,139.0,2025-11-07,RM2601,多单持仓,RM
15,徽商期货,6587,-61.0,2025-11-07,RM2601,多单持仓,RM
16,民生期货,6426,2850.0,2025-11-07,RM2601,多单持仓,RM
17,东吴期货,6011,927.0,2025-11-07,RM2601,多单持仓,RM
18,国信期货,5185,-71.0,2025-11-07,RM2601,多单持仓,RM
19,国投期货,5085,293.0,2025-11-07,RM2601,多单持仓,RM
20,光大期货,5027,139.0,2025-11-07,RM2601,多单持仓,RM
1,乾坤期货,64393,6051.0,2025-11-10,RM2601,多单持仓,RM
2,摩根大通,52435,2045.0,2025-11-10,RM2601,多单持仓,RM
3,中信期货,42240,1203.0,2025-11-10,RM2601,多单持仓,RM
4,东证期货,38112,-1906.0,2025-11-10,RM2601,多单持仓,RM
5,国泰君安,27724,-1906.0,2025-11-10,RM2601,多单持仓,RM
6,中金财富,13321,505.0,2025-11-10,RM2601,多单持仓,RM
7,华泰期货,10449,-3547.0,2025-11-10,RM2601,多单持仓,RM
8,国贸期货,8225,-25.0,2025-11-10,RM2601,多单持仓,RM
9,银河期货,8182,-375.0,2025-11-10,RM2601,多单持仓,RM
10,广发期货,7908,-361.0,2025-11-10,RM2601,多单持仓,RM
11,方正中期,7762,-246.0,2025-11-10,RM2601,多单持仓,RM
12,浙商期货,7075,-345.0,2025-11-10,RM2601,多单持仓,RM
13,徽商期货,6409,-178.0,2025-11-10,RM2601,多单持仓,RM
14,平安期货,6299,-1128.0,2025-11-10,RM2601,多单持仓,RM
15,海通期货,6112,-557.0,2025-11-10,RM2601,多单持仓,RM
16,光大期货,5628,601.0,2025-11-10,RM2601,多单持仓,RM
17,国投期货,5325,240.0,2025-11-10,RM2601,多单持仓,RM
18,国信期货,4881,-304.0,2025-11-10,RM2601,多单持仓,RM
19,中信建投,4814,117.0,2025-11-10,RM2601,多单持仓,RM
20,海证期货,4238,-279.0,2025-11-10,RM2601,多单持仓,RM
1,乾坤期货,69938,5545.0,2025-11-11,RM2601,多单持仓,RM
2,摩根大通,54516,2081.0,2025-11-11,RM2601,多单持仓,RM
