排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,东证期货,42513,2741.0,2025-11-06,RM2601,空单持仓,RM
2,中信期货,39069,1441.0,2025-11-06,RM2601,空单持仓,RM
3,国泰君安,29762,3459.0,2025-11-06,RM2601,空单持仓,RM
4,中粮期货,18359,3684.0,2025-11-06,RM2601,空单持仓,RM
5,中泰期货,17589,4587.0,2025-11-06,RM2601,空单持仓,RM
6,广发期货,14053,2357.0,2025-11-06,RM2601,空单持仓,RM
7,瑞银期货,11450,-1221.0,2025-11-06,RM2601,空单持仓,RM
8,中信建投,11252,1750.0,2025-11-06,RM2601,空单持仓,RM
9,徽商期货,9933,933.0,2025-11-06,RM2601,空单持仓,RM
10,平安期货,7878,-640.0,2025-11-06,RM2601,空单持仓,RM
11,乾坤期货,7595,-6188.0,2025-11-06,RM2601,空单持仓,RM
12,摩根大通,6809,-372.0,2025-11-06,RM2601,空单持仓,RM
13,华泰期货,6759,945.0,2025-11-06,RM2601,空单持仓,RM
14,国信期货,6523,666.0,2025-11-06,RM2601,空单持仓,RM
15,中财期货,6338,825.0,2025-11-06,RM2601,空单持仓,RM
16,南华期货,5820,517.0,2025-11-06,RM2601,空单持仓,RM
17,银河期货,5751,653.0,2025-11-06,RM2601,空单持仓,RM
18,方正中期,5710,699.0,2025-11-06,RM2601,空单持仓,RM
19,浙商期货,5576,1352.0,2025-11-06,RM2601,空单持仓,RM
20,东吴期货,5486,201.0,2025-11-06,RM2601,空单持仓,RM
1,东证期货,45810,3297.0,2025-11-07,RM2601,空单持仓,RM
2,中信期货,40195,1126.0,2025-11-07,RM2601,空单持仓,RM
3,国泰君安,33163,3401.0,2025-11-07,RM2601,空单持仓,RM
4,中粮期货,22539,4180.0,2025-11-07,RM2601,空单持仓,RM
5,中泰期货,19155,1566.0,2025-11-07,RM2601,空单持仓,RM
6,广发期货,14669,616.0,2025-11-07,RM2601,空单持仓,RM
7,中信建投,11039,-213.0,2025-11-07,RM2601,空单持仓,RM
8,瑞银期货,10594,-856.0,2025-11-07,RM2601,空单持仓,RM
9,徽商期货,9672,-261.0,2025-11-07,RM2601,空单持仓,RM
10,平安期货,8962,1084.0,2025-11-07,RM2601,空单持仓,RM
11,华泰期货,7464,705.0,2025-11-07,RM2601,空单持仓,RM
12,中财期货,7161,823.0,2025-11-07,RM2601,空单持仓,RM
13,摩根大通,6809,0.0,2025-11-07,RM2601,空单持仓,RM
14,乾坤期货,6685,-910.0,2025-11-07,RM2601,空单持仓,RM
15,南华期货,6355,535.0,2025-11-07,RM2601,空单持仓,RM
16,浙商期货,5818,242.0,2025-11-07,RM2601,空单持仓,RM
17,大地期货,5662,1641.0,2025-11-07,RM2601,空单持仓,RM
18,银河期货,5539,-212.0,2025-11-07,RM2601,空单持仓,RM
19,方正中期,5518,-192.0,2025-11-07,RM2601,空单持仓,RM
20,永安期货,5477,300.0,2025-11-07,RM2601,空单持仓,RM
