排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol,成交量
1,中信期货,,-44.0,2025-08-18,rm2509,,RM,48795.0
2,国泰君安,,-384.0,2025-08-18,rm2509,,RM,22569.0
3,华泰期货,,333.0,2025-08-18,rm2509,,RM,15373.0
4,银河期货,,-547.0,2025-08-18,rm2509,,RM,39902.0
5,申银万国,,350.0,2025-08-18,rm2509,,RM,44676.0
6,招商期货,,187.0,2025-08-18,rm2509,,RM,24227.0
7,光大期货,,330.0,2025-08-18,rm2509,,RM,33085.0
8,中粮期货,,-310.0,2025-08-18,rm2509,,RM,32504.0
9,东证期货,,-692.0,2025-08-18,rm2509,,RM,34401.0
10,海通期货,,-625.0,2025-08-18,rm2509,,RM,28171.0
1,中信期货,,-609.0,2025-08-19,rm2509,,RM,14976.0
2,国泰君安,,360.0,2025-08-19,rm2509,,RM,45432.0
3,华泰期货,,-471.0,2025-08-19,rm2509,,RM,24298.0
4,银河期货,,468.0,2025-08-19,rm2509,,RM,33346.0
5,申银万国,,274.0,2025-08-19,rm2509,,RM,19977.0
6,招商期货,,-426.0,2025-08-19,rm2509,,RM,42297.0
7,光大期货,,872.0,2025-08-19,rm2509,,RM,47622.0
8,中粮期货,,512.0,2025-08-19,rm2509,,RM,31615.0
9,东证期货,,-746.0,2025-08-19,rm2509,,RM,55046.0
10,海通期货,,145.0,2025-08-19,rm2509,,RM,38185.0
1,中信期货,,-410.0,2025-08-20,rm2509,,RM,21003.0
2,国泰君安,,-800.0,2025-08-20,rm2509,,RM,59778.0
3,华泰期货,,23.0,2025-08-20,rm2509,,RM,37837.0
4,银河期货,,195.0,2025-08-20,rm2509,,RM,32464.0
5,申银万国,,661.0,2025-08-20,rm2509,,RM,23331.0
6,招商期货,,597.0,2025-08-20,rm2509,,RM,28611.0
7,光大期货,,66.0,2025-08-20,rm2509,,RM,49232.0
8,中粮期货,,-664.0,2025-08-20,rm2509,,RM,20787.0
9,东证期货,,-320.0,2025-08-20,rm2509,,RM,33975.0
10,海通期货,,-328.0,2025-08-20,rm2509,,RM,55929.0
1,中信期货,,-735.0,2025-08-21,rm2509,,RM,19543.0
2,国泰君安,,661.0,2025-08-21,rm2509,,RM,40459.0
3,华泰期货,,-371.0,2025-08-21,rm2509,,RM,39477.0
4,银河期货,,284.0,2025-08-21,rm2509,,RM,40200.0
5,申银万国,,-973.0,2025-08-21,rm2509,,RM,42016.0
6,招商期货,,382.0,2025-08-21,rm2509,,RM,53850.0
7,光大期货,,-556.0,2025-08-21,rm2509,,RM,29783.0
8,中粮期货,,-319.0,2025-08-21,rm2509,,RM,25431.0
9,东证期货,,315.0,2025-08-21,rm2509,,RM,18134.0
10,海通期货,,284.0,2025-08-21,rm2509,,RM,40128.0
1,中信期货,,101.0,2025-08-22,rm2509,,RM,39080.0
2,国泰君安,,-431.0,2025-08-22,rm2509,,RM,57888.0
3,华泰期货,,-832.0,2025-08-22,rm2509,,RM,27412.0
4,银河期货,,0.0,2025-08-22,rm2509,,RM,33013.0
5,申银万国,,193.0,2025-08-22,rm2509,,RM,48241.0
6,招商期货,,-544.0,2025-08-22,rm2509,,RM,18723.0
7,光大期货,,-114.0,2025-08-22,rm2509,,RM,22123.0
8,中粮期货,,-522.0,2025-08-22,rm2509,,RM,33366.0
9,东证期货,,559.0,2025-08-22,rm2509,,RM,51809.0
10,海通期货,,-682.0,2025-08-22,rm2509,,RM,17288.0
1,中信期货,66317.0,-32881.0,20250822,RM2601,成交量,RM,
2,东证期货,55779.0,-38632.0,20250822,RM2601,成交量,RM,
3,华闻期货,41442.0,-24864.0,20250822,RM2601,成交量,RM,
4,国泰君安,28908.0,-22847.0,20250822,RM2601,成交量,RM,
5,广发期货,26176.0,-18176.0,20250822,RM2601,成交量,RM,
6,光大期货,22816.0,-8091.0,20250822,RM2601,成交量,RM,
7,南华期货,18479.0,-2088.0,20250822,RM2601,成交量,RM,
8,海通期货,13124.0,-8225.0,20250822,RM2601,成交量,RM,
9,银河期货,12908.0,-7420.0,20250822,RM2601,成交量,RM,
10,徽商期货,11152.0,-8467.0,20250822,RM2601,成交量,RM,
11,五矿期货,8620.0,-3251.0,20250822,RM2601,成交量,RM,
12,宝城期货,8512.0,-1193.0,20250822,RM2601,成交量,RM,
13,华泰期货,8406.0,-3563.0,20250822,RM2601,成交量,RM,
14,宏源期货,7981.0,1112.0,20250822,RM2601,成交量,RM,
