排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol,成交量
1,上海大陆,19.0,17.0,2025-06-16,RS2507,成交量,RS,
2,方正中期,7.0,7.0,2025-06-16,RS2507,成交量,RS,
3,银河期货,5.0,5.0,2025-06-16,RS2507,成交量,RS,
4,中辉期货,5.0,2.0,2025-06-16,RS2507,成交量,RS,
5,宝城期货,4.0,4.0,2025-06-16,RS2507,成交量,RS,
6,中泰期货,4.0,4.0,2025-06-16,RS2507,成交量,RS,
7,华金期货,4.0,2.0,2025-06-16,RS2507,成交量,RS,
8,华泰期货,2.0,2.0,2025-06-16,RS2507,成交量,RS,
9,国投期货,2.0,2.0,2025-06-16,RS2507,成交量,RS,
10,五矿期货,2.0,2.0,2025-06-16,RS2507,成交量,RS,
11,中信建投,2.0,2.0,2025-06-16,RS2507,成交量,RS,
12,国信期货,1.0,1.0,2025-06-16,RS2507,成交量,RS,
13,徽商期货,1.0,1.0,2025-06-16,RS2507,成交量,RS,
14,申银万国,1.0,1.0,2025-06-16,RS2507,成交量,RS,
15,冠通期货,1.0,1.0,2025-06-16,RS2507,成交量,RS,
16,华安期货,1.0,1.0,2025-06-16,RS2507,成交量,RS,
17,建信期货,1.0,1.0,2025-06-16,RS2507,成交量,RS,
18,-,0.0,0.0,2025-06-16,RS2507,成交量,RS,
19,-,0.0,0.0,2025-06-16,RS2507,成交量,RS,
20,-,0.0,0.0,2025-06-16,RS2507,成交量,RS,
1,中辉期货,31.0,28.0,2025-06-18,RS2507,成交量,RS,
2,财达期货,23.0,23.0,2025-06-18,RS2507,成交量,RS,
3,弘业期货,18.0,16.0,2025-06-18,RS2507,成交量,RS,
4,五矿期货,12.0,10.0,2025-06-18,RS2507,成交量,RS,
5,正信期货,10.0,10.0,2025-06-18,RS2507,成交量,RS,
6,上海中期,10.0,8.0,2025-06-18,RS2507,成交量,RS,
7,中泰期货,8.0,8.0,2025-06-18,RS2507,成交量,RS,
8,创元期货,8.0,7.0,2025-06-18,RS2507,成交量,RS,
9,华泰期货,7.0,5.0,2025-06-18,RS2507,成交量,RS,
10,上海大陆,7.0,1.0,2025-06-18,RS2507,成交量,RS,
11,东证期货,7.0,7.0,2025-06-18,RS2507,成交量,RS,
12,广发期货,7.0,6.0,2025-06-18,RS2507,成交量,RS,
13,方正中期,6.0,-5.0,2025-06-18,RS2507,成交量,RS,
14,银河期货,6.0,6.0,2025-06-18,RS2507,成交量,RS,
15,申银万国,5.0,5.0,2025-06-18,RS2507,成交量,RS,
16,华金期货,5.0,3.0,2025-06-18,RS2507,成交量,RS,
17,宏源期货,4.0,4.0,2025-06-18,RS2507,成交量,RS,
18,新湖期货,4.0,4.0,2025-06-18,RS2507,成交量,RS,
19,格林大华期货,3.0,3.0,2025-06-18,RS2507,成交量,RS,
20,国信期货,3.0,3.0,2025-06-18,RS2507,成交量,RS,
1,紫金天风,13.0,13.0,2025-06-19,RS2507,成交量,RS,
2,中辉期货,12.0,-19.0,2025-06-19,RS2507,成交量,RS,
