排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,国泰君安,16147,399.0,2025-11-06,ru2601,多单持仓,RU
2,中信期货,8728,78.0,2025-11-06,ru2601,多单持仓,RU
3,东证期货,5867,466.0,2025-11-06,ru2601,多单持仓,RU
4,浙商期货,4545,-652.0,2025-11-06,ru2601,多单持仓,RU
5,银河期货,4400,-27.0,2025-11-06,ru2601,多单持仓,RU
6,广发期货,3417,-89.0,2025-11-06,ru2601,多单持仓,RU
7,创元期货,3258,115.0,2025-11-06,ru2601,多单持仓,RU
8,永安期货,3157,100.0,2025-11-06,ru2601,多单持仓,RU
9,方正中期,3023,-305.0,2025-11-06,ru2601,多单持仓,RU
10,中泰期货,2901,-246.0,2025-11-06,ru2601,多单持仓,RU
11,南华期货,2845,177.0,2025-11-06,ru2601,多单持仓,RU
12,东吴期货,2796,-272.0,2025-11-06,ru2601,多单持仓,RU
13,国贸期货,2673,-153.0,2025-11-06,ru2601,多单持仓,RU
14,华泰期货,2602,131.0,2025-11-06,ru2601,多单持仓,RU
15,大地期货,2316,49.0,2025-11-06,ru2601,多单持仓,RU
16,国投期货,2288,331.0,2025-11-06,ru2601,多单持仓,RU
17,中粮期货,2206,-158.0,2025-11-06,ru2601,多单持仓,RU
18,新湖期货,2176,92.0,2025-11-06,ru2601,多单持仓,RU
19,中信建投,2075,230.0,2025-11-06,ru2601,多单持仓,RU
20,宝城期货,1985,-212.0,2025-11-06,ru2601,多单持仓,RU
1,国泰君安,15741,-406.0,2025-11-07,ru2601,多单持仓,RU
2,中信期货,8236,-492.0,2025-11-07,ru2601,多单持仓,RU
3,东证期货,5479,-388.0,2025-11-07,ru2601,多单持仓,RU
4,银河期货,4799,399.0,2025-11-07,ru2601,多单持仓,RU
5,浙商期货,4678,133.0,2025-11-07,ru2601,多单持仓,RU
6,创元期货,3374,116.0,2025-11-07,ru2601,多单持仓,RU
7,广发期货,3339,-78.0,2025-11-07,ru2601,多单持仓,RU
8,永安期货,3122,-35.0,2025-11-07,ru2601,多单持仓,RU
9,中泰期货,2991,90.0,2025-11-07,ru2601,多单持仓,RU
10,方正中期,2980,-43.0,2025-11-07,ru2601,多单持仓,RU
11,东吴期货,2856,60.0,2025-11-07,ru2601,多单持仓,RU
12,南华期货,2780,-65.0,2025-11-07,ru2601,多单持仓,RU
13,国贸期货,2628,-45.0,2025-11-07,ru2601,多单持仓,RU
14,华泰期货,2617,15.0,2025-11-07,ru2601,多单持仓,RU
15,大地期货,2268,-48.0,2025-11-07,ru2601,多单持仓,RU
16,国投期货,2148,-140.0,2025-11-07,ru2601,多单持仓,RU
17,新湖期货,2142,-34.0,2025-11-07,ru2601,多单持仓,RU
18,中粮期货,2110,-96.0,2025-11-07,ru2601,多单持仓,RU
19,宝城期货,2017,32.0,2025-11-07,ru2601,多单持仓,RU
20,中信建投,1995,-80.0,2025-11-07,ru2601,多单持仓,RU
1,国泰君安,15948,207.0,2025-11-10,ru2601,多单持仓,RU
2,中信期货,8488,252.0,2025-11-10,ru2601,多单持仓,RU
3,东证期货,5468,-11.0,2025-11-10,ru2601,多单持仓,RU
4,浙商期货,4581,-97.0,2025-11-10,ru2601,多单持仓,RU
5,银河期货,4542,-257.0,2025-11-10,ru2601,多单持仓,RU
6,永安期货,3353,231.0,2025-11-10,ru2601,多单持仓,RU
7,中泰期货,3315,324.0,2025-11-10,ru2601,多单持仓,RU
8,广发期货,3249,-90.0,2025-11-10,ru2601,多单持仓,RU
9,创元期货,3196,-178.0,2025-11-10,ru2601,多单持仓,RU
10,方正中期,2973,-7.0,2025-11-10,ru2601,多单持仓,RU
11,南华期货,2847,67.0,2025-11-10,ru2601,多单持仓,RU
12,东吴期货,2841,-15.0,2025-11-10,ru2601,多单持仓,RU
13,华泰期货,2542,-75.0,2025-11-10,ru2601,多单持仓,RU
14,大地期货,2371,103.0,2025-11-10,ru2601,多单持仓,RU
15,国贸期货,2283,-345.0,2025-11-10,ru2601,多单持仓,RU
16,新湖期货,2241,99.0,2025-11-10,ru2601,多单持仓,RU
17,国投期货,2132,-16.0,2025-11-10,ru2601,多单持仓,RU
18,宝城期货,2030,13.0,2025-11-10,ru2601,多单持仓,RU
19,中信建投,1959,-36.0,2025-11-10,ru2601,多单持仓,RU
20,国联期货,1925,6.0,2025-11-10,ru2601,多单持仓,RU
1,国泰君安,15156,-792.0,2025-11-11,ru2601,多单持仓,RU
2,中信期货,8475,-13.0,2025-11-11,ru2601,多单持仓,RU
3,东证期货,5213,-255.0,2025-11-11,ru2601,多单持仓,RU
4,浙商期货,4333,-248.0,2025-11-11,ru2601,多单持仓,RU
5,永安期货,3999,646.0,2025-11-11,ru2601,多单持仓,RU
6,银河期货,3827,-715.0,2025-11-11,ru2601,多单持仓,RU
7,中泰期货,3443,128.0,2025-11-11,ru2601,多单持仓,RU
8,创元期货,3332,136.0,2025-11-11,ru2601,多单持仓,RU
9,华泰期货,3243,701.0,2025-11-11,ru2601,多单持仓,RU
10,广发期货,3216,-33.0,2025-11-11,ru2601,多单持仓,RU
11,方正中期,3134,161.0,2025-11-11,ru2601,多单持仓,RU
12,东吴期货,2976,135.0,2025-11-11,ru2601,多单持仓,RU
13,南华期货,2789,-58.0,2025-11-11,ru2601,多单持仓,RU
14,大地期货,2498,127.0,2025-11-11,ru2601,多单持仓,RU
15,东海期货,2350,432.0,2025-11-11,ru2601,多单持仓,RU
16,宝城期货,2200,170.0,2025-11-11,ru2601,多单持仓,RU
17,新湖期货,2197,-44.0,2025-11-11,ru2601,多单持仓,RU
18,国投期货,2140,8.0,2025-11-11,ru2601,多单持仓,RU
19,国贸期货,2113,-170.0,2025-11-11,ru2601,多单持仓,RU
20,中辉期货,2112,245.0,2025-11-11,ru2601,多单持仓,RU
1,国泰君安,15205,49.0,2025-11-12,ru2601,多单持仓,RU
2,中信期货,8683,208.0,2025-11-12,ru2601,多单持仓,RU
3,东证期货,4782,-431.0,2025-11-12,ru2601,多单持仓,RU
4,浙商期货,4285,-48.0,2025-11-12,ru2601,多单持仓,RU
5,永安期货,3881,-118.0,2025-11-12,ru2601,多单持仓,RU
