排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,国泰君安,20452,-1118.0,2025-11-06,ru2601,空单持仓,RU
2,国投期货,10743,-431.0,2025-11-06,ru2601,空单持仓,RU
3,中银期货,9026,46.0,2025-11-06,ru2601,空单持仓,RU
4,中信期货,8683,284.0,2025-11-06,ru2601,空单持仓,RU
5,华泰期货,6317,466.0,2025-11-06,ru2601,空单持仓,RU
6,银河期货,6310,-299.0,2025-11-06,ru2601,空单持仓,RU
7,永安期货,5418,452.0,2025-11-06,ru2601,空单持仓,RU
8,东证期货,5081,204.0,2025-11-06,ru2601,空单持仓,RU
9,中泰期货,3712,201.0,2025-11-06,ru2601,空单持仓,RU
10,广发期货,3123,23.0,2025-11-06,ru2601,空单持仓,RU
11,浙商期货,2905,374.0,2025-11-06,ru2601,空单持仓,RU
12,瑞达期货,2880,-1032.0,2025-11-06,ru2601,空单持仓,RU
13,南华期货,2763,-202.0,2025-11-06,ru2601,空单持仓,RU
14,中信建投,2509,189.0,2025-11-06,ru2601,空单持仓,RU
15,国信期货,2006,303.0,2025-11-06,ru2601,空单持仓,RU
16,宝城期货,1920,137.0,2025-11-06,ru2601,空单持仓,RU
17,大地期货,1898,-434.0,2025-11-06,ru2601,空单持仓,RU
18,物产中大,1894,52.0,2025-11-06,ru2601,空单持仓,RU
19,申万期货,1779,-303.0,2025-11-06,ru2601,空单持仓,RU
20,新湖期货,1755,86.0,2025-11-06,ru2601,空单持仓,RU
1,国泰君安,20374,-78.0,2025-11-07,ru2601,空单持仓,RU
2,国投期货,10747,4.0,2025-11-07,ru2601,空单持仓,RU
3,中银期货,9068,42.0,2025-11-07,ru2601,空单持仓,RU
4,中信期货,8389,-294.0,2025-11-07,ru2601,空单持仓,RU
5,银河期货,6358,48.0,2025-11-07,ru2601,空单持仓,RU
6,华泰期货,6255,-62.0,2025-11-07,ru2601,空单持仓,RU
7,永安期货,5500,82.0,2025-11-07,ru2601,空单持仓,RU
8,东证期货,4075,-1006.0,2025-11-07,ru2601,空单持仓,RU
9,瑞达期货,3661,781.0,2025-11-07,ru2601,空单持仓,RU
10,中泰期货,3652,-60.0,2025-11-07,ru2601,空单持仓,RU
11,广发期货,3100,-23.0,2025-11-07,ru2601,空单持仓,RU
12,南华期货,3054,291.0,2025-11-07,ru2601,空单持仓,RU
13,浙商期货,2907,2.0,2025-11-07,ru2601,空单持仓,RU
