排名,会员简称,成交量,比上交易增减,date,contract,position_type,symbol
1,国泰君安,79579,-1839.0,2025-11-06,ru2601,成交量,RU
2,中信期货,48840,6264.0,2025-11-06,ru2601,成交量,RU
3,东证期货,28710,525.0,2025-11-06,ru2601,成交量,RU
4,华闻期货,22791,8489.0,2025-11-06,ru2601,成交量,RU
5,中泰期货,17357,6570.0,2025-11-06,ru2601,成交量,RU
6,海通期货,16371,2613.0,2025-11-06,ru2601,成交量,RU
7,广发期货,13878,656.0,2025-11-06,ru2601,成交量,RU
8,新湖期货,13246,453.0,2025-11-06,ru2601,成交量,RU
9,华泰期货,9191,2592.0,2025-11-06,ru2601,成交量,RU
10,银河期货,7330,2109.0,2025-11-06,ru2601,成交量,RU
11,国投期货,6860,1754.0,2025-11-06,ru2601,成交量,RU
12,东航期货,5730,2327.0,2025-11-06,ru2601,成交量,RU
13,南华期货,5605,1614.0,2025-11-06,ru2601,成交量,RU
14,徽商期货,5254,324.0,2025-11-06,ru2601,成交量,RU
15,浙商期货,4966,-10083.0,2025-11-06,ru2601,成交量,RU
16,申万期货,4638,652.0,2025-11-06,ru2601,成交量,RU
17,方正中期,4459,1605.0,2025-11-06,ru2601,成交量,RU
18,兴证期货,4358,148.0,2025-11-06,ru2601,成交量,RU
19,中辉期货,4257,1449.0,2025-11-06,ru2601,成交量,RU
20,东亚期货,3570,-1187.0,2025-11-06,ru2601,成交量,RU
1,国泰君安,59110,-20469.0,2025-11-07,ru2601,成交量,RU
2,中信期货,35612,-13228.0,2025-11-07,ru2601,成交量,RU
3,东证期货,20026,-8684.0,2025-11-07,ru2601,成交量,RU
4,中泰期货,14406,-2951.0,2025-11-07,ru2601,成交量,RU
5,华闻期货,13141,-9650.0,2025-11-07,ru2601,成交量,RU
6,新湖期货,12855,-391.0,2025-11-07,ru2601,成交量,RU
7,海通期货,11415,-4956.0,2025-11-07,ru2601,成交量,RU
8,浙商期货,10007,5041.0,2025-11-07,ru2601,成交量,RU
9,广发期货,7393,-6485.0,2025-11-07,ru2601,成交量,RU
10,华泰期货,6405,-2786.0,2025-11-07,ru2601,成交量,RU
11,兴证期货,4955,597.0,2025-11-07,ru2601,成交量,RU
12,银河期货,4651,-2679.0,2025-11-07,ru2601,成交量,RU
13,国投期货,3900,-2960.0,2025-11-07,ru2601,成交量,RU
14,南华期货,3734,-1871.0,2025-11-07,ru2601,成交量,RU
15,东亚期货,3733,163.0,2025-11-07,ru2601,成交量,RU
16,徽商期货,3703,-1551.0,2025-11-07,ru2601,成交量,RU
17,中辉期货,3380,-877.0,2025-11-07,ru2601,成交量,RU
18,东航期货,3130,-2600.0,2025-11-07,ru2601,成交量,RU
19,瑞达期货,2824,-427.0,2025-11-07,ru2601,成交量,RU
20,宏源期货,2576,38.0,2025-11-07,ru2601,成交量,RU
1,国泰君安,67299,8189.0,2025-11-10,ru2601,成交量,RU
2,中信期货,45707,10095.0,2025-11-10,ru2601,成交量,RU
3,东证期货,25473,5447.0,2025-11-10,ru2601,成交量,RU
4,中泰期货,15534,1128.0,2025-11-10,ru2601,成交量,RU
5,华闻期货,15479,2338.0,2025-11-10,ru2601,成交量,RU
6,海通期货,13184,1769.0,2025-11-10,ru2601,成交量,RU
7,新湖期货,12514,-341.0,2025-11-10,ru2601,成交量,RU
8,广发期货,12117,4724.0,2025-11-10,ru2601,成交量,RU
9,华泰期货,10687,4282.0,2025-11-10,ru2601,成交量,RU
10,浙商期货,9120,-887.0,2025-11-10,ru2601,成交量,RU
11,国投期货,7150,3250.0,2025-11-10,ru2601,成交量,RU
12,银河期货,6250,1599.0,2025-11-10,ru2601,成交量,RU
13,东亚期货,5892,2159.0,2025-11-10,ru2601,成交量,RU
14,中辉期货,5656,2276.0,2025-11-10,ru2601,成交量,RU
15,南华期货,5054,1320.0,2025-11-10,ru2601,成交量,RU
16,徽商期货,4439,736.0,2025-11-10,ru2601,成交量,RU
17,兴证期货,4152,-803.0,2025-11-10,ru2601,成交量,RU
18,宏源期货,3930,1354.0,2025-11-10,ru2601,成交量,RU
19,方正中期,3611,1316.0,2025-11-10,ru2601,成交量,RU
20,申万期货,3514,1048.0,2025-11-10,ru2601,成交量,RU
1,国泰君安,71758,4459.0,2025-11-11,ru2601,成交量,RU
2,中信期货,45590,-117.0,2025-11-11,ru2601,成交量,RU
3,东证期货,23254,-2219.0,2025-11-11,ru2601,成交量,RU
4,华闻期货,18471,2992.0,2025-11-11,ru2601,成交量,RU
5,中泰期货,15706,172.0,2025-11-11,ru2601,成交量,RU
6,浙商期货,14264,5144.0,2025-11-11,ru2601,成交量,RU
7,新湖期货,12491,-23.0,2025-11-11,ru2601,成交量,RU
8,海通期货,12184,-1000.0,2025-11-11,ru2601,成交量,RU
9,广发期货,11693,-424.0,2025-11-11,ru2601,成交量,RU
10,华泰期货,6788,-3899.0,2025-11-11,ru2601,成交量,RU
11,银河期货,6436,186.0,2025-11-11,ru2601,成交量,RU
12,兴证期货,5713,1561.0,2025-11-11,ru2601,成交量,RU
13,国投期货,5502,-1648.0,2025-11-11,ru2601,成交量,RU
14,东亚期货,4752,-1140.0,2025-11-11,ru2601,成交量,RU
15,徽商期货,4491,52.0,2025-11-11,ru2601,成交量,RU
16,中辉期货,4296,-1360.0,2025-11-11,ru2601,成交量,RU
17,东吴期货,4077,1540.0,2025-11-11,ru2601,成交量,RU
18,方正中期,4063,452.0,2025-11-11,ru2601,成交量,RU
19,南华期货,3525,-1529.0,2025-11-11,ru2601,成交量,RU
20,宏源期货,3276,-654.0,2025-11-11,ru2601,成交量,RU
1,国泰君安,65653,-6105.0,2025-11-12,ru2601,成交量,RU
2,中信期货,37895,-7695.0,2025-11-12,ru2601,成交量,RU
3,东证期货,21141,-2113.0,2025-11-12,ru2601,成交量,RU
4,中泰期货,16317,611.0,2025-11-12,ru2601,成交量,RU
5,新湖期货,12891,400.0,2025-11-12,ru2601,成交量,RU
6,华闻期货,11963,-6508.0,2025-11-12,ru2601,成交量,RU
7,海通期货,11912,-272.0,2025-11-12,ru2601,成交量,RU
8,广发期货,10113,-1580.0,2025-11-12,ru2601,成交量,RU
9,浙商期货,8598,-5666.0,2025-11-12,ru2601,成交量,RU
10,华泰期货,7688,900.0,2025-11-12,ru2601,成交量,RU
11,国投期货,5755,253.0,2025-11-12,ru2601,成交量,RU
12,徽商期货,4961,470.0,2025-11-12,ru2601,成交量,RU
13,银河期货,4811,-1625.0,2025-11-12,ru2601,成交量,RU
14,东亚期货,4758,6.0,2025-11-12,ru2601,成交量,RU
15,中辉期货,4328,32.0,2025-11-12,ru2601,成交量,RU
16,兴证期货,4267,-1446.0,2025-11-12,ru2601,成交量,RU
17,南华期货,3579,54.0,2025-11-12,ru2601,成交量,RU
18,瑞达期货,3491,259.0,2025-11-12,ru2601,成交量,RU
19,东吴期货,3159,-918.0,2025-11-12,ru2601,成交量,RU
20,中信建投,3149,-28.0,2025-11-12,ru2601,成交量,RU
