排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,中信期货,13815,229.0,2025-08-18,sa2509,空单持仓,SA
2,国泰君安,4802,-310.0,2025-08-18,sa2509,空单持仓,SA
3,华泰期货,17136,-346.0,2025-08-18,sa2509,空单持仓,SA
4,银河期货,5889,-39.0,2025-08-18,sa2509,空单持仓,SA
5,申银万国,17365,497.0,2025-08-18,sa2509,空单持仓,SA
6,招商期货,16811,-382.0,2025-08-18,sa2509,空单持仓,SA
7,光大期货,6509,-343.0,2025-08-18,sa2509,空单持仓,SA
8,中粮期货,8999,-244.0,2025-08-18,sa2509,空单持仓,SA
9,东证期货,15303,431.0,2025-08-18,sa2509,空单持仓,SA
10,海通期货,12945,-356.0,2025-08-18,sa2509,空单持仓,SA
1,中信期货,8730,-346.0,2025-08-19,sa2509,空单持仓,SA
2,国泰君安,9187,-192.0,2025-08-19,sa2509,空单持仓,SA
3,华泰期货,12722,-311.0,2025-08-19,sa2509,空单持仓,SA
4,银河期货,16084,297.0,2025-08-19,sa2509,空单持仓,SA
5,申银万国,8647,104.0,2025-08-19,sa2509,空单持仓,SA
6,招商期货,10853,216.0,2025-08-19,sa2509,空单持仓,SA
7,光大期货,9023,484.0,2025-08-19,sa2509,空单持仓,SA
8,中粮期货,6898,276.0,2025-08-19,sa2509,空单持仓,SA
9,东证期货,13641,377.0,2025-08-19,sa2509,空单持仓,SA
10,海通期货,14551,190.0,2025-08-19,sa2509,空单持仓,SA
1,中信期货,7493,-250.0,2025-08-20,sa2509,空单持仓,SA
2,国泰君安,7801,-103.0,2025-08-20,sa2509,空单持仓,SA
3,华泰期货,8401,-187.0,2025-08-20,sa2509,空单持仓,SA
4,银河期货,5830,-398.0,2025-08-20,sa2509,空单持仓,SA
5,申银万国,7516,395.0,2025-08-20,sa2509,空单持仓,SA
6,招商期货,12411,-448.0,2025-08-20,sa2509,空单持仓,SA
7,光大期货,10758,-58.0,2025-08-20,sa2509,空单持仓,SA
8,中粮期货,11883,211.0,2025-08-20,sa2509,空单持仓,SA
9,东证期货,16994,361.0,2025-08-20,sa2509,空单持仓,SA
10,海通期货,15659,483.0,2025-08-20,sa2509,空单持仓,SA
1,中信期货,13666,232.0,2025-08-21,sa2509,空单持仓,SA
2,国泰君安,10519,-481.0,2025-08-21,sa2509,空单持仓,SA
3,华泰期货,4557,170.0,2025-08-21,sa2509,空单持仓,SA
4,银河期货,18029,427.0,2025-08-21,sa2509,空单持仓,SA
5,申银万国,8783,-186.0,2025-08-21,sa2509,空单持仓,SA
6,招商期货,6963,56.0,2025-08-21,sa2509,空单持仓,SA
7,光大期货,10319,121.0,2025-08-21,sa2509,空单持仓,SA
8,中粮期货,15476,270.0,2025-08-21,sa2509,空单持仓,SA
9,东证期货,7656,278.0,2025-08-21,sa2509,空单持仓,SA
10,海通期货,6382,-471.0,2025-08-21,sa2509,空单持仓,SA
1,中信期货,12638,470.0,2025-08-22,sa2509,空单持仓,SA
2,国泰君安,7076,358.0,2025-08-22,sa2509,空单持仓,SA
3,华泰期货,12125,348.0,2025-08-22,sa2509,空单持仓,SA
4,银河期货,7973,462.0,2025-08-22,sa2509,空单持仓,SA
5,申银万国,9971,293.0,2025-08-22,sa2509,空单持仓,SA
6,招商期货,8521,-390.0,2025-08-22,sa2509,空单持仓,SA
7,光大期货,13813,168.0,2025-08-22,sa2509,空单持仓,SA
8,中粮期货,9759,437.0,2025-08-22,sa2509,空单持仓,SA
9,东证期货,18234,-58.0,2025-08-22,sa2509,空单持仓,SA
10,海通期货,17831,-336.0,2025-08-22,sa2509,空单持仓,SA
1,国泰君安,149871,-10833.0,20250822,SA2601,空单持仓,SA
2,中信期货,114906,-809.0,20250822,SA2601,空单持仓,SA
3,永安期货,104459,-7206.0,20250822,SA2601,空单持仓,SA
4,东证期货,74261,-14712.0,20250822,SA2601,空单持仓,SA
5,华泰期货,50959,8150.0,20250822,SA2601,空单持仓,SA
6,浙商期货,46280,-427.0,20250822,SA2601,空单持仓,SA
7,申银万国,36200,-6690.0,20250822,SA2601,空单持仓,SA
8,银河期货,35713,1547.0,20250822,SA2601,空单持仓,SA
9,方正中期,32497,1875.0,20250822,SA2601,空单持仓,SA
10,中泰期货,31032,3259.0,20250822,SA2601,空单持仓,SA
11,浙江新世纪,28612,3966.0,20250822,SA2601,空单持仓,SA
12,中信建投,28305,3149.0,20250822,SA2601,空单持仓,SA
13,瑞达期货,25466,-2458.0,20250822,SA2601,空单持仓,SA
14,五矿期货,24147,-806.0,20250822,SA2601,空单持仓,SA
15,光大期货,22853,448.0,20250822,SA2601,空单持仓,SA
16,乾坤期货,22393,1242.0,20250822,SA2601,空单持仓,SA
17,海通期货,20748,-7004.0,20250822,SA2601,空单持仓,SA
18,融达期货,16769,3886.0,20250822,SA2601,空单持仓,SA
19,中金财富,16583,-495.0,20250822,SA2601,空单持仓,SA
20,海证期货,16517,2000.0,20250822,SA2601,空单持仓,SA
1,国泰君安,159050,9179.0,20250825,SA2601,空单持仓,SA
2,中信期货,113526,-1380.0,20250825,SA2601,空单持仓,SA
3,永安期货,108476,4017.0,20250825,SA2601,空单持仓,SA
4,东证期货,78157,3896.0,20250825,SA2601,空单持仓,SA
5,华泰期货,45605,-5354.0,20250825,SA2601,空单持仓,SA
6,浙商期货,44112,-2168.0,20250825,SA2601,空单持仓,SA
7,申银万国,39135,2935.0,20250825,SA2601,空单持仓,SA
8,银河期货,37113,1400.0,20250825,SA2601,空单持仓,SA
9,海通期货,32567,11819.0,20250825,SA2601,空单持仓,SA
10,中泰期货,31651,619.0,20250825,SA2601,空单持仓,SA
11,中信建投,28200,-105.0,20250825,SA2601,空单持仓,SA
12,瑞达期货,27935,2469.0,20250825,SA2601,空单持仓,SA
13,方正中期,27846,-4651.0,20250825,SA2601,空单持仓,SA
14,浙江新世纪,27749,-863.0,20250825,SA2601,空单持仓,SA
15,光大期货,24237,1384.0,20250825,SA2601,空单持仓,SA
16,乾坤期货,22899,506.0,20250825,SA2601,空单持仓,SA
17,五矿期货,22218,-1929.0,20250825,SA2601,空单持仓,SA
18,中财期货,19305,3519.0,20250825,SA2601,空单持仓,SA
19,一德期货,19147,4389.0,20250825,SA2601,空单持仓,SA
20,中金财富,17207,624.0,20250825,SA2601,空单持仓,SA
1,国泰君安,159848,798.0,20250826,SA2601,空单持仓,SA
2,中信期货,108746,-4780.0,20250826,SA2601,空单持仓,SA
3,永安期货,106885,-1591.0,20250826,SA2601,空单持仓,SA
4,东证期货,81663,3506.0,20250826,SA2601,空单持仓,SA
5,华泰期货,47997,2392.0,20250826,SA2601,空单持仓,SA
6,浙商期货,45838,1726.0,20250826,SA2601,空单持仓,SA
7,申银万国,41961,2826.0,20250826,SA2601,空单持仓,SA
8,银河期货,35992,-1121.0,20250826,SA2601,空单持仓,SA
9,中泰期货,29013,-2638.0,20250826,SA2601,空单持仓,SA
10,海通期货,28648,-3919.0,20250826,SA2601,空单持仓,SA
11,浙江新世纪,28506,757.0,20250826,SA2601,空单持仓,SA
12,瑞达期货,27558,-377.0,20250826,SA2601,空单持仓,SA
13,中信建投,26671,-1529.0,20250826,SA2601,空单持仓,SA
14,光大期货,25766,1529.0,20250826,SA2601,空单持仓,SA
15,五矿期货,23643,1425.0,20250826,SA2601,空单持仓,SA
16,乾坤期货,23124,225.0,20250826,SA2601,空单持仓,SA
17,方正中期,22573,-5273.0,20250826,SA2601,空单持仓,SA
18,中金财富,17324,117.0,20250826,SA2601,空单持仓,SA
19,海证期货,17069,270.0,20250826,SA2601,空单持仓,SA
20,宏源期货,16544,7668.0,20250826,SA2601,空单持仓,SA
1,国泰君安,160144,296.0,20250827,SA2601,空单持仓,SA
2,中信期货,110873,2127.0,20250827,SA2601,空单持仓,SA
3,永安期货,108579,1694.0,20250827,SA2601,空单持仓,SA
4,东证期货,74095,-7568.0,20250827,SA2601,空单持仓,SA
5,华泰期货,48676,679.0,20250827,SA2601,空单持仓,SA
6,浙商期货,46774,936.0,20250827,SA2601,空单持仓,SA
7,申银万国,44777,2816.0,20250827,SA2601,空单持仓,SA
8,银河期货,35131,-861.0,20250827,SA2601,空单持仓,SA
9,中泰期货,30709,1696.0,20250827,SA2601,空单持仓,SA
10,瑞达期货,30063,2505.0,20250827,SA2601,空单持仓,SA
11,浙江新世纪,27926,-580.0,20250827,SA2601,空单持仓,SA
12,五矿期货,27177,3534.0,20250827,SA2601,空单持仓,SA
13,中信建投,25612,-1059.0,20250827,SA2601,空单持仓,SA
14,方正中期,25552,2979.0,20250827,SA2601,空单持仓,SA
15,光大期货,25146,-620.0,20250827,SA2601,空单持仓,SA
16,乾坤期货,23100,-24.0,20250827,SA2601,空单持仓,SA
17,海通期货,23029,-5619.0,20250827,SA2601,空单持仓,SA
18,中金财富,18206,882.0,20250827,SA2601,空单持仓,SA
19,融达期货,17691,1986.0,20250827,SA2601,空单持仓,SA
20,宏源期货,16844,300.0,20250827,SA2601,空单持仓,SA
1,国泰君安,138831,-21313.0,20250828,SA2601,空单持仓,SA
2,永安期货,108466,-113.0,20250828,SA2601,空单持仓,SA
3,中信期货,103222,-7651.0,20250828,SA2601,空单持仓,SA
4,东证期货,69099,-4996.0,20250828,SA2601,空单持仓,SA
5,华泰期货,50796,2120.0,20250828,SA2601,空单持仓,SA
6,浙商期货,44832,-1942.0,20250828,SA2601,空单持仓,SA
7,申银万国,44231,-546.0,20250828,SA2601,空单持仓,SA
8,银河期货,36512,1381.0,20250828,SA2601,空单持仓,SA
9,中泰期货,31444,735.0,20250828,SA2601,空单持仓,SA
10,浙江新世纪,29494,1568.0,20250828,SA2601,空单持仓,SA
11,五矿期货,27769,592.0,20250828,SA2601,空单持仓,SA
12,中信建投,27732,2120.0,20250828,SA2601,空单持仓,SA
13,瑞达期货,26967,-3096.0,20250828,SA2601,空单持仓,SA
14,方正中期,26497,945.0,20250828,SA2601,空单持仓,SA
15,光大期货,26202,1056.0,20250828,SA2601,空单持仓,SA
16,乾坤期货,22479,-621.0,20250828,SA2601,空单持仓,SA
17,海通期货,19353,-3676.0,20250828,SA2601,空单持仓,SA
18,中金财富,18091,-115.0,20250828,SA2601,空单持仓,SA
19,南华期货,18010,5822.0,20250828,SA2601,空单持仓,SA
20,融达期货,18002,311.0,20250828,SA2601,空单持仓,SA
1,国泰君安,144309,5478.0,20250829,SA2601,空单持仓,SA
2,永安期货,118505,10039.0,20250829,SA2601,空单持仓,SA
3,中信期货,117231,14009.0,20250829,SA2601,空单持仓,SA
4,东证期货,89842,20743.0,20250829,SA2601,空单持仓,SA
5,华泰期货,57519,6723.0,20250829,SA2601,空单持仓,SA
6,浙商期货,45021,189.0,20250829,SA2601,空单持仓,SA
7,申银万国,44133,-98.0,20250829,SA2601,空单持仓,SA
8,银河期货,35789,-723.0,20250829,SA2601,空单持仓,SA
9,中泰期货,30830,-614.0,20250829,SA2601,空单持仓,SA
10,浙江新世纪,30479,985.0,20250829,SA2601,空单持仓,SA
11,瑞达期货,30350,3383.0,20250829,SA2601,空单持仓,SA
12,光大期货,27901,1699.0,20250829,SA2601,空单持仓,SA
13,五矿期货,27312,-457.0,20250829,SA2601,空单持仓,SA
14,中信建投,26220,-1512.0,20250829,SA2601,空单持仓,SA
15,方正中期,25872,-625.0,20250829,SA2601,空单持仓,SA
16,海通期货,23475,4122.0,20250829,SA2601,空单持仓,SA
17,乾坤期货,21813,-666.0,20250829,SA2601,空单持仓,SA
18,中金财富,19657,1566.0,20250829,SA2601,空单持仓,SA
19,南华期货,18640,630.0,20250829,SA2601,空单持仓,SA
20,招商期货,18362,1240.0,20250829,SA2601,空单持仓,SA
1,国泰君安,149964,5655.0,20250901,SA2601,空单持仓,SA
2,中信期货,112620,-4611.0,20250901,SA2601,空单持仓,SA
3,永安期货,102806,-15699.0,20250901,SA2601,空单持仓,SA
4,东证期货,76435,-13407.0,20250901,SA2601,空单持仓,SA
5,华泰期货,53345,-4174.0,20250901,SA2601,空单持仓,SA
6,浙商期货,45826,805.0,20250901,SA2601,空单持仓,SA
7,申银万国,41095,-3038.0,20250901,SA2601,空单持仓,SA
8,银河期货,35863,74.0,20250901,SA2601,空单持仓,SA
9,浙江新世纪,31470,991.0,20250901,SA2601,空单持仓,SA
10,中泰期货,31121,291.0,20250901,SA2601,空单持仓,SA
11,瑞达期货,29928,-422.0,20250901,SA2601,空单持仓,SA
12,方正中期,29279,3407.0,20250901,SA2601,空单持仓,SA
13,光大期货,28332,431.0,20250901,SA2601,空单持仓,SA
14,五矿期货,27609,297.0,20250901,SA2601,空单持仓,SA
15,中信建投,27034,814.0,20250901,SA2601,空单持仓,SA
16,海通期货,26235,2760.0,20250901,SA2601,空单持仓,SA
17,乾坤期货,23835,2022.0,20250901,SA2601,空单持仓,SA
18,中金财富,20254,597.0,20250901,SA2601,空单持仓,SA
19,南华期货,17213,-1427.0,20250901,SA2601,空单持仓,SA
20,广发期货,17053,3058.0,20250901,SA2601,空单持仓,SA
1,国泰君安,143905,-6059.0,20250902,SA2601,空单持仓,SA
2,中信期货,107061,-5559.0,20250902,SA2601,空单持仓,SA
3,永安期货,92930,-9876.0,20250902,SA2601,空单持仓,SA
4,东证期货,80504,4069.0,20250902,SA2601,空单持仓,SA
5,华泰期货,55672,2327.0,20250902,SA2601,空单持仓,SA
6,浙商期货,46007,181.0,20250902,SA2601,空单持仓,SA
7,申银万国,39414,-1681.0,20250902,SA2601,空单持仓,SA
8,银河期货,34976,-887.0,20250902,SA2601,空单持仓,SA
9,中泰期货,33729,2608.0,20250902,SA2601,空单持仓,SA
10,浙江新世纪,31251,-219.0,20250902,SA2601,空单持仓,SA
11,方正中期,31156,1877.0,20250902,SA2601,空单持仓,SA
12,乾坤期货,31109,7274.0,20250902,SA2601,空单持仓,SA
13,瑞达期货,28355,-1573.0,20250902,SA2601,空单持仓,SA
14,中信建投,28132,1098.0,20250902,SA2601,空单持仓,SA
15,光大期货,28127,-205.0,20250902,SA2601,空单持仓,SA
16,五矿期货,26128,-1481.0,20250902,SA2601,空单持仓,SA
17,海通期货,21153,-5082.0,20250902,SA2601,空单持仓,SA
18,中金财富,20050,-204.0,20250902,SA2601,空单持仓,SA
19,南华期货,19141,1928.0,20250902,SA2601,空单持仓,SA
20,一德期货,18579,3870.0,20250902,SA2601,空单持仓,SA
1,国泰君安,141049,-2856.0,20250903,SA2601,空单持仓,SA
2,中信期货,111570,4509.0,20250903,SA2601,空单持仓,SA
3,永安期货,91546,-1384.0,20250903,SA2601,空单持仓,SA
4,东证期货,83747,3243.0,20250903,SA2601,空单持仓,SA
5,华泰期货,54814,-858.0,20250903,SA2601,空单持仓,SA
6,浙商期货,46763,756.0,20250903,SA2601,空单持仓,SA
7,申银万国,38223,-1191.0,20250903,SA2601,空单持仓,SA
8,银河期货,35191,215.0,20250903,SA2601,空单持仓,SA
9,中泰期货,32325,-1404.0,20250903,SA2601,空单持仓,SA
10,乾坤期货,31888,779.0,20250903,SA2601,空单持仓,SA
11,浙江新世纪,30252,-999.0,20250903,SA2601,空单持仓,SA
12,中信建投,28612,480.0,20250903,SA2601,空单持仓,SA
13,瑞达期货,26719,-1636.0,20250903,SA2601,空单持仓,SA
14,光大期货,26599,-1528.0,20250903,SA2601,空单持仓,SA
15,五矿期货,26087,-41.0,20250903,SA2601,空单持仓,SA
16,方正中期,24574,-6582.0,20250903,SA2601,空单持仓,SA
17,中金财富,20879,829.0,20250903,SA2601,空单持仓,SA
18,南华期货,18865,-276.0,20250903,SA2601,空单持仓,SA
19,一德期货,18511,-68.0,20250903,SA2601,空单持仓,SA
20,海通期货,17176,-3977.0,20250903,SA2601,空单持仓,SA
1,国泰君安,140444,-605.0,20250904,SA2601,空单持仓,SA
2,永安期货,96405,4859.0,20250904,SA2601,空单持仓,SA
3,中信期货,94001,-17569.0,20250904,SA2601,空单持仓,SA
