排名,会员简称,成交量,比上交易增减,date,contract,position_type,symbol
1,国泰君安,178557,-32431.0,2025-11-06,SA2601,成交量,SA
2,中信期货,95467,-8417.0,2025-11-06,SA2601,成交量,SA
3,东证期货,92333,-25294.0,2025-11-06,SA2601,成交量,SA
4,华闻期货,52404,-16643.0,2025-11-06,SA2601,成交量,SA
5,海通期货,47290,-16490.0,2025-11-06,SA2601,成交量,SA
6,银河期货,42257,-781.0,2025-11-06,SA2601,成交量,SA
7,华泰期货,39328,1635.0,2025-11-06,SA2601,成交量,SA
8,中泰期货,38071,754.0,2025-11-06,SA2601,成交量,SA
9,申银万国,35789,12219.0,2025-11-06,SA2601,成交量,SA
10,方正中期,33184,-630.0,2025-11-06,SA2601,成交量,SA
11,南华期货,32581,-3055.0,2025-11-06,SA2601,成交量,SA
12,中信建投,29965,-6984.0,2025-11-06,SA2601,成交量,SA
13,招商期货,29826,4864.0,2025-11-06,SA2601,成交量,SA
14,东吴期货,29095,2825.0,2025-11-06,SA2601,成交量,SA
15,广发期货,28723,-2438.0,2025-11-06,SA2601,成交量,SA
16,新湖期货,28444,5512.0,2025-11-06,SA2601,成交量,SA
17,瑞达期货,25051,429.0,2025-11-06,SA2601,成交量,SA
18,国信期货,24037,-118.0,2025-11-06,SA2601,成交量,SA
19,徽商期货,22932,-10299.0,2025-11-06,SA2601,成交量,SA
20,中粮期货,22913,5957.0,2025-11-06,SA2601,成交量,SA
1,国泰君安,151361,-27196.0,2025-11-07,SA2601,成交量,SA
2,东证期货,83425,-8908.0,2025-11-07,SA2601,成交量,SA
3,中信期货,74032,-21435.0,2025-11-07,SA2601,成交量,SA
4,华闻期货,50430,-1974.0,2025-11-07,SA2601,成交量,SA
5,海通期货,46017,-1273.0,2025-11-07,SA2601,成交量,SA
6,永安期货,32585,20003.0,2025-11-07,SA2601,成交量,SA
7,华泰期货,32438,-6890.0,2025-11-07,SA2601,成交量,SA
8,银河期货,30951,-11306.0,2025-11-07,SA2601,成交量,SA
9,南华期货,29758,-2823.0,2025-11-07,SA2601,成交量,SA
10,中泰期货,29602,-8469.0,2025-11-07,SA2601,成交量,SA
11,新湖期货,28162,-282.0,2025-11-07,SA2601,成交量,SA
12,招商期货,26924,-2902.0,2025-11-07,SA2601,成交量,SA
13,方正中期,25938,-7246.0,2025-11-07,SA2601,成交量,SA
14,东吴期货,25885,-3210.0,2025-11-07,SA2601,成交量,SA
15,瑞达期货,23548,-1503.0,2025-11-07,SA2601,成交量,SA
16,中信建投,22015,-7950.0,2025-11-07,SA2601,成交量,SA
17,广发期货,19611,-9112.0,2025-11-07,SA2601,成交量,SA
18,徽商期货,18668,-4264.0,2025-11-07,SA2601,成交量,SA
19,中辉期货,17046,1872.0,2025-11-07,SA2601,成交量,SA
20,国信期货,16828,-7209.0,2025-11-07,SA2601,成交量,SA
1,国泰君安,372167,220806.0,2025-11-10,SA2601,成交量,SA
2,东证期货,211431,128006.0,2025-11-10,SA2601,成交量,SA
3,中信期货,182362,108330.0,2025-11-10,SA2601,成交量,SA
4,华闻期货,107484,57054.0,2025-11-10,SA2601,成交量,SA
5,海通期货,89832,43815.0,2025-11-10,SA2601,成交量,SA
6,中泰期货,83709,54107.0,2025-11-10,SA2601,成交量,SA
7,东吴期货,71864,45979.0,2025-11-10,SA2601,成交量,SA
8,银河期货,71405,40454.0,2025-11-10,SA2601,成交量,SA
9,招商期货,71075,44151.0,2025-11-10,SA2601,成交量,SA
10,华泰期货,69602,37164.0,2025-11-10,SA2601,成交量,SA
11,广发期货,69407,49796.0,2025-11-10,SA2601,成交量,SA
12,渤海期货,63885,49857.0,2025-11-10,SA2601,成交量,SA
13,方正中期,58696,32758.0,2025-11-10,SA2601,成交量,SA
14,大地期货,57744,54021.0,2025-11-10,SA2601,成交量,SA
15,中信建投,57555,35540.0,2025-11-10,SA2601,成交量,SA
16,南华期货,56350,26592.0,2025-11-10,SA2601,成交量,SA
17,新湖期货,54123,25961.0,2025-11-10,SA2601,成交量,SA
18,瑞达期货,53148,29600.0,2025-11-10,SA2601,成交量,SA
19,徽商期货,52289,33621.0,2025-11-10,SA2601,成交量,SA
20,冠通期货,51847,46224.0,2025-11-10,SA2601,成交量,SA
1,国泰君安,300029,-72138.0,2025-11-11,SA2601,成交量,SA
2,东证期货,167230,-44201.0,2025-11-11,SA2601,成交量,SA
3,中信期货,166488,-15874.0,2025-11-11,SA2601,成交量,SA
