排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,东证期货,16716,-1066.0,2025-11-06,SF2601,多单持仓,SF
2,中信期货,12497,10.0,2025-11-06,SF2601,多单持仓,SF
3,国泰君安,12115,511.0,2025-11-06,SF2601,多单持仓,SF
4,浙商期货,7513,-290.0,2025-11-06,SF2601,多单持仓,SF
5,南华期货,5695,53.0,2025-11-06,SF2601,多单持仓,SF
6,银河期货,5647,-69.0,2025-11-06,SF2601,多单持仓,SF
7,中财期货,4932,740.0,2025-11-06,SF2601,多单持仓,SF
8,新湖期货,4291,71.0,2025-11-06,SF2601,多单持仓,SF
9,金元期货,3867,-210.0,2025-11-06,SF2601,多单持仓,SF
10,英大期货,3773,10.0,2025-11-06,SF2601,多单持仓,SF
11,大地期货,3743,287.0,2025-11-06,SF2601,多单持仓,SF
12,中原期货,3544,144.0,2025-11-06,SF2601,多单持仓,SF
13,广发期货,3412,35.0,2025-11-06,SF2601,多单持仓,SF
14,华泰期货,3281,-212.0,2025-11-06,SF2601,多单持仓,SF
15,永安期货,3004,47.0,2025-11-06,SF2601,多单持仓,SF
16,徽商期货,2868,155.0,2025-11-06,SF2601,多单持仓,SF
17,弘业期货,2738,-47.0,2025-11-06,SF2601,多单持仓,SF
18,国投期货,2412,166.0,2025-11-06,SF2601,多单持仓,SF
19,乾坤期货,2412,1002.0,2025-11-06,SF2601,多单持仓,SF
20,创元期货,2284,742.0,2025-11-06,SF2601,多单持仓,SF
1,东证期货,16388,-328.0,2025-11-07,SF2601,多单持仓,SF
2,国泰君安,11186,-929.0,2025-11-07,SF2601,多单持仓,SF
3,中信期货,11141,-1356.0,2025-11-07,SF2601,多单持仓,SF
4,浙商期货,7583,70.0,2025-11-07,SF2601,多单持仓,SF
5,南华期货,5700,5.0,2025-11-07,SF2601,多单持仓,SF
6,中财期货,5102,170.0,2025-11-07,SF2601,多单持仓,SF
7,银河期货,4728,-919.0,2025-11-07,SF2601,多单持仓,SF
