排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,中信期货,5881,246.0,2025-08-18,sf2509,空单持仓,SF
2,国泰君安,8576,-166.0,2025-08-18,sf2509,空单持仓,SF
3,华泰期货,11245,-291.0,2025-08-18,sf2509,空单持仓,SF
4,银河期货,13317,16.0,2025-08-18,sf2509,空单持仓,SF
5,申银万国,13313,-486.0,2025-08-18,sf2509,空单持仓,SF
6,招商期货,17141,10.0,2025-08-18,sf2509,空单持仓,SF
7,光大期货,10959,-279.0,2025-08-18,sf2509,空单持仓,SF
8,中粮期货,8987,-415.0,2025-08-18,sf2509,空单持仓,SF
9,东证期货,20320,482.0,2025-08-18,sf2509,空单持仓,SF
10,海通期货,14949,209.0,2025-08-18,sf2509,空单持仓,SF
1,中信期货,13277,-105.0,2025-08-19,sf2509,空单持仓,SF
2,国泰君安,9242,192.0,2025-08-19,sf2509,空单持仓,SF
3,华泰期货,8088,446.0,2025-08-19,sf2509,空单持仓,SF
4,银河期货,17456,199.0,2025-08-19,sf2509,空单持仓,SF
5,申银万国,7407,-159.0,2025-08-19,sf2509,空单持仓,SF
6,招商期货,15385,61.0,2025-08-19,sf2509,空单持仓,SF
7,光大期货,4895,11.0,2025-08-19,sf2509,空单持仓,SF
8,中粮期货,19950,-469.0,2025-08-19,sf2509,空单持仓,SF
9,东证期货,7181,-293.0,2025-08-19,sf2509,空单持仓,SF
10,海通期货,18650,-157.0,2025-08-19,sf2509,空单持仓,SF
1,中信期货,12752,248.0,2025-08-20,sf2509,空单持仓,SF
2,国泰君安,13156,46.0,2025-08-20,sf2509,空单持仓,SF
3,华泰期货,18811,-46.0,2025-08-20,sf2509,空单持仓,SF
4,银河期货,15196,-90.0,2025-08-20,sf2509,空单持仓,SF
5,申银万国,14437,395.0,2025-08-20,sf2509,空单持仓,SF
6,招商期货,8947,-24.0,2025-08-20,sf2509,空单持仓,SF
7,光大期货,18820,-434.0,2025-08-20,sf2509,空单持仓,SF
8,中粮期货,12595,315.0,2025-08-20,sf2509,空单持仓,SF
9,东证期货,18786,445.0,2025-08-20,sf2509,空单持仓,SF
10,海通期货,12585,83.0,2025-08-20,sf2509,空单持仓,SF
1,中信期货,18029,-447.0,2025-08-21,sf2509,空单持仓,SF
2,国泰君安,7752,-331.0,2025-08-21,sf2509,空单持仓,SF
3,华泰期货,10547,176.0,2025-08-21,sf2509,空单持仓,SF
4,银河期货,18479,-33.0,2025-08-21,sf2509,空单持仓,SF
5,申银万国,8932,-406.0,2025-08-21,sf2509,空单持仓,SF
6,招商期货,18127,284.0,2025-08-21,sf2509,空单持仓,SF
7,光大期货,17649,-321.0,2025-08-21,sf2509,空单持仓,SF
8,中粮期货,6258,423.0,2025-08-21,sf2509,空单持仓,SF
9,东证期货,8896,-206.0,2025-08-21,sf2509,空单持仓,SF
10,海通期货,13878,-134.0,2025-08-21,sf2509,空单持仓,SF
1,中信期货,18993,43.0,2025-08-22,sf2509,空单持仓,SF
2,国泰君安,6829,281.0,2025-08-22,sf2509,空单持仓,SF
3,华泰期货,13944,-478.0,2025-08-22,sf2509,空单持仓,SF
4,银河期货,13960,371.0,2025-08-22,sf2509,空单持仓,SF
5,申银万国,12194,-389.0,2025-08-22,sf2509,空单持仓,SF
6,招商期货,18007,112.0,2025-08-22,sf2509,空单持仓,SF
7,光大期货,17725,-419.0,2025-08-22,sf2509,空单持仓,SF
8,中粮期货,11986,-278.0,2025-08-22,sf2509,空单持仓,SF
9,东证期货,17926,-74.0,2025-08-22,sf2509,空单持仓,SF
10,海通期货,16329,61.0,2025-08-22,sf2509,空单持仓,SF
1,东证期货,25505,-61.0,20250822,SF2511,空单持仓,SF
2,中信期货,21333,-861.0,20250822,SF2511,空单持仓,SF
3,国泰君安,17271,436.0,20250822,SF2511,空单持仓,SF
4,瑞达期货,9143,476.0,20250822,SF2511,空单持仓,SF
5,浙商期货,8462,26.0,20250822,SF2511,空单持仓,SF
6,国投期货,8385,-309.0,20250822,SF2511,空单持仓,SF
7,乾坤期货,8284,997.0,20250822,SF2511,空单持仓,SF
8,广发期货,8061,117.0,20250822,SF2511,空单持仓,SF
9,中粮期货,7700,-1229.0,20250822,SF2511,空单持仓,SF
10,中信建投,7555,-46.0,20250822,SF2511,空单持仓,SF
11,申银万国,7455,-104.0,20250822,SF2511,空单持仓,SF
12,五矿期货,7249,-629.0,20250822,SF2511,空单持仓,SF
13,锦泰期货,5971,2.0,20250822,SF2511,空单持仓,SF
14,国元期货,5816,-474.0,20250822,SF2511,空单持仓,SF
15,华泰期货,5602,-109.0,20250822,SF2511,空单持仓,SF
16,中财期货,4746,-239.0,20250822,SF2511,空单持仓,SF
17,银河期货,3998,97.0,20250822,SF2511,空单持仓,SF
18,弘业期货,3956,12.0,20250822,SF2511,空单持仓,SF
19,中金财富,3911,-358.0,20250822,SF2511,空单持仓,SF
20,永安期货,3031,-52.0,20250822,SF2511,空单持仓,SF
1,东证期货,24515,-990.0,20250825,SF2511,空单持仓,SF
2,中信期货,20751,-582.0,20250825,SF2511,空单持仓,SF
3,国泰君安,18703,1432.0,20250825,SF2511,空单持仓,SF
4,瑞达期货,8846,-297.0,20250825,SF2511,空单持仓,SF
5,乾坤期货,8665,381.0,20250825,SF2511,空单持仓,SF
6,浙商期货,8470,8.0,20250825,SF2511,空单持仓,SF
7,国投期货,8195,-190.0,20250825,SF2511,空单持仓,SF
8,广发期货,8119,58.0,20250825,SF2511,空单持仓,SF
9,中粮期货,7974,274.0,20250825,SF2511,空单持仓,SF
10,中信建投,7876,321.0,20250825,SF2511,空单持仓,SF
11,申银万国,7433,-22.0,20250825,SF2511,空单持仓,SF
12,五矿期货,7098,-151.0,20250825,SF2511,空单持仓,SF
13,锦泰期货,5949,-22.0,20250825,SF2511,空单持仓,SF
14,华泰期货,5789,187.0,20250825,SF2511,空单持仓,SF
15,国元期货,5767,-49.0,20250825,SF2511,空单持仓,SF
16,弘业期货,3970,14.0,20250825,SF2511,空单持仓,SF
17,中财期货,3620,-1126.0,20250825,SF2511,空单持仓,SF
18,银河期货,3389,-609.0,20250825,SF2511,空单持仓,SF
19,中金财富,3210,-701.0,20250825,SF2511,空单持仓,SF
20,永安期货,2934,-97.0,20250825,SF2511,空单持仓,SF
1,东证期货,24306,-209.0,20250826,SF2511,空单持仓,SF
2,中信期货,20639,-112.0,20250826,SF2511,空单持仓,SF
3,国泰君安,18987,284.0,20250826,SF2511,空单持仓,SF
4,乾坤期货,9061,396.0,20250826,SF2511,空单持仓,SF
5,浙商期货,8409,-61.0,20250826,SF2511,空单持仓,SF
6,广发期货,8146,27.0,20250826,SF2511,空单持仓,SF
7,国投期货,8109,-86.0,20250826,SF2511,空单持仓,SF
8,瑞达期货,8025,-821.0,20250826,SF2511,空单持仓,SF
9,中信建投,7784,-92.0,20250826,SF2511,空单持仓,SF
10,申银万国,7354,-79.0,20250826,SF2511,空单持仓,SF
11,中粮期货,7098,-876.0,20250826,SF2511,空单持仓,SF
12,五矿期货,6803,-295.0,20250826,SF2511,空单持仓,SF
13,锦泰期货,5957,8.0,20250826,SF2511,空单持仓,SF
14,国元期货,5763,-4.0,20250826,SF2511,空单持仓,SF
15,华泰期货,5273,-516.0,20250826,SF2511,空单持仓,SF
16,弘业期货,3954,-16.0,20250826,SF2511,空单持仓,SF
17,中财期货,3808,188.0,20250826,SF2511,空单持仓,SF
18,银河期货,3384,-5.0,20250826,SF2511,空单持仓,SF
19,中金财富,2985,-225.0,20250826,SF2511,空单持仓,SF
20,永安期货,2830,-104.0,20250826,SF2511,空单持仓,SF
1,东证期货,24750,444.0,20250827,SF2511,空单持仓,SF
2,中信期货,20501,-138.0,20250827,SF2511,空单持仓,SF
3,国泰君安,19722,735.0,20250827,SF2511,空单持仓,SF
4,乾坤期货,9950,889.0,20250827,SF2511,空单持仓,SF
5,浙商期货,8700,291.0,20250827,SF2511,空单持仓,SF
6,广发期货,8147,1.0,20250827,SF2511,空单持仓,SF
7,国投期货,8132,23.0,20250827,SF2511,空单持仓,SF
8,中信建投,7842,58.0,20250827,SF2511,空单持仓,SF
9,申银万国,7501,147.0,20250827,SF2511,空单持仓,SF
10,五矿期货,7501,698.0,20250827,SF2511,空单持仓,SF
11,中粮期货,6773,-325.0,20250827,SF2511,空单持仓,SF
12,瑞达期货,6636,-1389.0,20250827,SF2511,空单持仓,SF
13,锦泰期货,5979,22.0,20250827,SF2511,空单持仓,SF
14,国元期货,5405,-358.0,20250827,SF2511,空单持仓,SF
15,华泰期货,4951,-322.0,20250827,SF2511,空单持仓,SF
