排名,会员简称,成交量,比上交易增减,date,contract,position_type,symbol
1,东证期货,35205,6263.0,2026-06-22,SF2609,成交量,SF
2,中信期货,32178,5535.0,2026-06-22,SF2609,成交量,SF
3,国泰君安,23572,4516.0,2026-06-22,SF2609,成交量,SF
4,银河期货,9240,-2215.0,2026-06-22,SF2609,成交量,SF
5,浙商期货,8284,1022.0,2026-06-22,SF2609,成交量,SF
6,中信建投,7618,-2685.0,2026-06-22,SF2609,成交量,SF
7,华泰期货,7201,1342.0,2026-06-22,SF2609,成交量,SF
8,锦泰期货,6911,535.0,2026-06-22,SF2609,成交量,SF
9,中粮期货,6753,470.0,2026-06-22,SF2609,成交量,SF
10,华闻期货,5755,1752.0,2026-06-22,SF2609,成交量,SF
11,国信期货,5307,1339.0,2026-06-22,SF2609,成交量,SF
12,方正中期,4786,1725.0,2026-06-22,SF2609,成交量,SF
13,海证期货,4750,1850.0,2026-06-22,SF2609,成交量,SF
14,广发期货,4695,636.0,2026-06-22,SF2609,成交量,SF
15,光大期货,4680,10.0,2026-06-22,SF2609,成交量,SF
16,高盛期货,4568,1761.0,2026-06-22,SF2609,成交量,SF
17,五矿期货,4478,875.0,2026-06-22,SF2609,成交量,SF
18,东吴期货,3465,1264.0,2026-06-22,SF2609,成交量,SF
19,海通期货,3254,-2874.0,2026-06-22,SF2609,成交量,SF
20,东方财富,2571,-216.0,2026-06-22,SF2609,成交量,SF
1,东证期货,32917,-2288.0,2026-06-23,SF2609,成交量,SF
2,中信期货,32543,365.0,2026-06-23,SF2609,成交量,SF
3,国泰君安,24627,1055.0,2026-06-23,SF2609,成交量,SF
4,中信建投,9395,1777.0,2026-06-23,SF2609,成交量,SF
5,银河期货,8214,-1026.0,2026-06-23,SF2609,成交量,SF
6,五矿期货,7968,3490.0,2026-06-23,SF2609,成交量,SF
7,华泰期货,6610,-591.0,2026-06-23,SF2609,成交量,SF
8,锦泰期货,5863,-1048.0,2026-06-23,SF2609,成交量,SF
9,华闻期货,5696,-59.0,2026-06-23,SF2609,成交量,SF
10,浙商期货,5098,-3186.0,2026-06-23,SF2609,成交量,SF
11,光大期货,4199,-481.0,2026-06-23,SF2609,成交量,SF
12,国投期货,3789,2132.0,2026-06-23,SF2609,成交量,SF
13,国信期货,3755,-1552.0,2026-06-23,SF2609,成交量,SF
14,永安期货,3579,1841.0,2026-06-23,SF2609,成交量,SF
15,高盛期货,3378,-1190.0,2026-06-23,SF2609,成交量,SF
16,广发期货,3081,-1614.0,2026-06-23,SF2609,成交量,SF
17,海通期货,2965,-289.0,2026-06-23,SF2609,成交量,SF
18,中金财富,2916,459.0,2026-06-23,SF2609,成交量,SF
19,兴证期货,2667,1176.0,2026-06-23,SF2609,成交量,SF
20,中粮期货,2417,-4336.0,2026-06-23,SF2609,成交量,SF
1,东证期货,41251,8334.0,2026-06-24,SF2609,成交量,SF
2,中信期货,35473,2930.0,2026-06-24,SF2609,成交量,SF
3,国泰君安,30513,5886.0,2026-06-24,SF2609,成交量,SF
4,中信建投,13826,4431.0,2026-06-24,SF2609,成交量,SF
5,银河期货,9708,1494.0,2026-06-24,SF2609,成交量,SF
6,华泰期货,8540,1930.0,2026-06-24,SF2609,成交量,SF
7,华闻期货,6379,683.0,2026-06-24,SF2609,成交量,SF
8,永安期货,6163,2584.0,2026-06-24,SF2609,成交量,SF
9,锦泰期货,5622,-241.0,2026-06-24,SF2609,成交量,SF
10,国信期货,5580,1825.0,2026-06-24,SF2609,成交量,SF
11,海通期货,4601,1636.0,2026-06-24,SF2609,成交量,SF
