排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol,成交量
1,东证期货,121003.0,4010.0,20250822,SH2601,成交量,SH,
2,国泰君安,108946.0,36342.0,20250822,SH2601,成交量,SH,
3,中信期货,105577.0,7542.0,20250822,SH2601,成交量,SH,
4,华闻期货,80978.0,16670.0,20250822,SH2601,成交量,SH,
5,海通期货,38049.0,11936.0,20250822,SH2601,成交量,SH,
6,徽商期货,32730.0,439.0,20250822,SH2601,成交量,SH,
7,中信建投,31543.0,3775.0,20250822,SH2601,成交量,SH,
8,中泰期货,21946.0,1706.0,20250822,SH2601,成交量,SH,
9,南华期货,21924.0,403.0,20250822,SH2601,成交量,SH,
10,银河期货,21477.0,-3131.0,20250822,SH2601,成交量,SH,
11,东吴期货,19665.0,-863.0,20250822,SH2601,成交量,SH,
12,东方财富,19024.0,3105.0,20250822,SH2601,成交量,SH,
13,方正中期,18626.0,3139.0,20250822,SH2601,成交量,SH,
14,广发期货,18489.0,5446.0,20250822,SH2601,成交量,SH,
15,国信期货,15871.0,1082.0,20250822,SH2601,成交量,SH,
16,民生期货,15087.0,1772.0,20250822,SH2601,成交量,SH,
17,招商期货,14542.0,2533.0,20250822,SH2601,成交量,SH,
18,创元期货,14400.0,2530.0,20250822,SH2601,成交量,SH,
19,宝城期货,14055.0,-6420.0,20250822,SH2601,成交量,SH,
20,浙商期货,13987.0,-5722.0,20250822,SH2601,成交量,SH,
1,国泰君安,108558.0,-388.0,20250825,SH2601,成交量,SH,
2,东证期货,100981.0,-20022.0,20250825,SH2601,成交量,SH,
3,中信期货,96014.0,-9563.0,20250825,SH2601,成交量,SH,
4,华闻期货,57249.0,-23729.0,20250825,SH2601,成交量,SH,
5,海通期货,33275.0,-4774.0,20250825,SH2601,成交量,SH,
6,中信建投,28843.0,-2700.0,20250825,SH2601,成交量,SH,
7,徽商期货,26814.0,-5916.0,20250825,SH2601,成交量,SH,
8,银河期货,21875.0,398.0,20250825,SH2601,成交量,SH,
9,方正中期,20946.0,2320.0,20250825,SH2601,成交量,SH,
10,南华期货,20061.0,-1863.0,20250825,SH2601,成交量,SH,
11,东吴期货,19070.0,-595.0,20250825,SH2601,成交量,SH,
12,中泰期货,18551.0,-3395.0,20250825,SH2601,成交量,SH,
13,东方财富,17360.0,-1664.0,20250825,SH2601,成交量,SH,
14,广发期货,16859.0,-1630.0,20250825,SH2601,成交量,SH,
15,宝城期货,16839.0,2784.0,20250825,SH2601,成交量,SH,
16,国信期货,16618.0,747.0,20250825,SH2601,成交量,SH,
17,华泰期货,15780.0,2322.0,20250825,SH2601,成交量,SH,
18,渤海期货,15279.0,1579.0,20250825,SH2601,成交量,SH,
19,民生期货,14963.0,-124.0,20250825,SH2601,成交量,SH,
20,招商期货,14903.0,361.0,20250825,SH2601,成交量,SH,
1,东证期货,102169.0,1188.0,20250826,SH2601,成交量,SH,
2,国泰君安,91910.0,-16648.0,20250826,SH2601,成交量,SH,
3,中信期货,86191.0,-9823.0,20250826,SH2601,成交量,SH,
4,华闻期货,67397.0,10148.0,20250826,SH2601,成交量,SH,
5,海通期货,36641.0,3366.0,20250826,SH2601,成交量,SH,
6,中信建投,30428.0,1585.0,20250826,SH2601,成交量,SH,
7,徽商期货,29419.0,2605.0,20250826,SH2601,成交量,SH,
8,银河期货,21389.0,-486.0,20250826,SH2601,成交量,SH,
9,南华期货,19080.0,-981.0,20250826,SH2601,成交量,SH,
10,东吴期货,18674.0,-396.0,20250826,SH2601,成交量,SH,
11,华泰期货,18530.0,2750.0,20250826,SH2601,成交量,SH,
12,中泰期货,18284.0,-267.0,20250826,SH2601,成交量,SH,
13,方正中期,18156.0,-2790.0,20250826,SH2601,成交量,SH,
14,国信期货,17051.0,433.0,20250826,SH2601,成交量,SH,
15,东方财富,15689.0,-1671.0,20250826,SH2601,成交量,SH,
16,宝城期货,15099.0,-1740.0,20250826,SH2601,成交量,SH,
17,民生期货,14326.0,-637.0,20250826,SH2601,成交量,SH,
18,招商期货,13981.0,-922.0,20250826,SH2601,成交量,SH,
19,申银万国,13415.0,5234.0,20250826,SH2601,成交量,SH,
20,渤海期货,12998.0,-2281.0,20250826,SH2601,成交量,SH,
1,国泰君安,116757.0,24847.0,20250827,SH2601,成交量,SH,
2,东证期货,90554.0,-11615.0,20250827,SH2601,成交量,SH,
3,中信期货,82724.0,-3467.0,20250827,SH2601,成交量,SH,
4,华闻期货,46402.0,-20995.0,20250827,SH2601,成交量,SH,
5,海通期货,32498.0,-4143.0,20250827,SH2601,成交量,SH,
6,中信建投,22590.0,-7838.0,20250827,SH2601,成交量,SH,
7,徽商期货,22296.0,-7123.0,20250827,SH2601,成交量,SH,
8,南华期货,17956.0,-1124.0,20250827,SH2601,成交量,SH,
9,银河期货,15229.0,-6160.0,20250827,SH2601,成交量,SH,
10,中泰期货,14275.0,-4009.0,20250827,SH2601,成交量,SH,
11,方正中期,14129.0,-4027.0,20250827,SH2601,成交量,SH,
12,国信期货,13800.0,-3251.0,20250827,SH2601,成交量,SH,
13,东吴期货,13127.0,-5547.0,20250827,SH2601,成交量,SH,
14,东方财富,12749.0,-2940.0,20250827,SH2601,成交量,SH,
15,浙商期货,12130.0,2327.0,20250827,SH2601,成交量,SH,
16,华泰期货,11342.0,-7188.0,20250827,SH2601,成交量,SH,
17,宝城期货,10401.0,-4698.0,20250827,SH2601,成交量,SH,
18,民生期货,10367.0,-3959.0,20250827,SH2601,成交量,SH,
19,瑞达期货,10216.0,-1701.0,20250827,SH2601,成交量,SH,
20,华西期货,10044.0,6198.0,20250827,SH2601,成交量,SH,
1,国泰君安,,-15284.0,20250828,SH2601,成交量,SH,101473.0
2,东证期货,,-10925.0,20250828,SH2601,成交量,SH,79629.0
3,中信期货,,-14439.0,20250828,SH2601,成交量,SH,68285.0
4,华闻期货,,-3802.0,20250828,SH2601,成交量,SH,42600.0
5,海通期货,,-1648.0,20250828,SH2601,成交量,SH,30850.0
6,中信建投,,-2989.0,20250828,SH2601,成交量,SH,19601.0
7,徽商期货,,-3483.0,20250828,SH2601,成交量,SH,18813.0
8,中泰期货,,2228.0,20250828,SH2601,成交量,SH,16503.0
9,银河期货,,-2065.0,20250828,SH2601,成交量,SH,13164.0
