排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,国投期货,15708,403.0,2025-08-18,SI2511,多单持仓,SI
2,中信期货,15410,-784.0,2025-08-18,SI2511,多单持仓,SI
3,宝城期货,15175,383.0,2025-08-18,SI2511,多单持仓,SI
4,东证期货,11696,-2002.0,2025-08-18,SI2511,多单持仓,SI
5,中信建投,11368,204.0,2025-08-18,SI2511,多单持仓,SI
6,广发期货,10895,763.0,2025-08-18,SI2511,多单持仓,SI
7,国泰君安期货,10883,55.0,2025-08-18,SI2511,多单持仓,SI
8,方正中期,9230,1075.0,2025-08-18,SI2511,多单持仓,SI
9,永安期货,8847,1026.0,2025-08-18,SI2511,多单持仓,SI
10,银河期货,7836,882.0,2025-08-18,SI2511,多单持仓,SI
11,创元期货,7321,1013.0,2025-08-18,SI2511,多单持仓,SI
12,华泰期货,7196,-232.0,2025-08-18,SI2511,多单持仓,SI
13,申银万国,6406,904.0,2025-08-18,SI2511,多单持仓,SI
14,徽商期货,5709,904.0,2025-08-18,SI2511,多单持仓,SI
15,东方财富期货,4914,1073.0,2025-08-18,SI2511,多单持仓,SI
16,广州期货,4879,209.0,2025-08-18,SI2511,多单持仓,SI
17,东吴期货,4787,57.0,2025-08-18,SI2511,多单持仓,SI
18,中国国际期货,4033,564.0,2025-08-18,SI2511,多单持仓,SI
19,华安期货,3712,609.0,2025-08-18,SI2511,多单持仓,SI
20,国信期货,3628,-578.0,2025-08-18,SI2511,多单持仓,SI
1,国投期货,15903,195.0,2025-08-19,SI2511,多单持仓,SI
2,中信期货,14772,-638.0,2025-08-19,SI2511,多单持仓,SI
3,宝城期货,14686,-489.0,2025-08-19,SI2511,多单持仓,SI
4,东证期货,12328,632.0,2025-08-19,SI2511,多单持仓,SI
5,国泰君安期货,12296,1413.0,2025-08-19,SI2511,多单持仓,SI
6,广发期货,11334,439.0,2025-08-19,SI2511,多单持仓,SI
7,中信建投,11172,-196.0,2025-08-19,SI2511,多单持仓,SI
8,方正中期,8735,-495.0,2025-08-19,SI2511,多单持仓,SI
9,永安期货,8703,-144.0,2025-08-19,SI2511,多单持仓,SI
10,银河期货,7847,11.0,2025-08-19,SI2511,多单持仓,SI
11,创元期货,6990,-331.0,2025-08-19,SI2511,多单持仓,SI
12,华泰期货,6688,-508.0,2025-08-19,SI2511,多单持仓,SI
13,申银万国,5489,-917.0,2025-08-19,SI2511,多单持仓,SI
14,徽商期货,4902,-807.0,2025-08-19,SI2511,多单持仓,SI
15,广州期货,4756,-123.0,2025-08-19,SI2511,多单持仓,SI
16,华安期货,4411,699.0,2025-08-19,SI2511,多单持仓,SI
17,东吴期货,4148,-639.0,2025-08-19,SI2511,多单持仓,SI
18,中国国际期货,4075,42.0,2025-08-19,SI2511,多单持仓,SI
19,东方财富期货,3673,-1241.0,2025-08-19,SI2511,多单持仓,SI
20,国信期货,3508,-120.0,2025-08-19,SI2511,多单持仓,SI
1,国投期货,15643,-260.0,2025-08-20,SI2511,多单持仓,SI
2,中信期货,15180,408.0,2025-08-20,SI2511,多单持仓,SI
3,宝城期货,14819,133.0,2025-08-20,SI2511,多单持仓,SI
4,中信建投,11505,333.0,2025-08-20,SI2511,多单持仓,SI
5,东证期货,10939,-1389.0,2025-08-20,SI2511,多单持仓,SI
6,广发期货,10505,-829.0,2025-08-20,SI2511,多单持仓,SI
7,国泰君安期货,10406,-1890.0,2025-08-20,SI2511,多单持仓,SI
8,方正中期,10168,1433.0,2025-08-20,SI2511,多单持仓,SI
9,永安期货,8844,141.0,2025-08-20,SI2511,多单持仓,SI
10,华泰期货,7857,1169.0,2025-08-20,SI2511,多单持仓,SI
11,银河期货,7800,-47.0,2025-08-20,SI2511,多单持仓,SI
12,申银万国,5551,62.0,2025-08-20,SI2511,多单持仓,SI
13,创元期货,5438,-1552.0,2025-08-20,SI2511,多单持仓,SI
14,广州期货,4994,238.0,2025-08-20,SI2511,多单持仓,SI
15,徽商期货,4689,-213.0,2025-08-20,SI2511,多单持仓,SI
16,华安期货,4499,88.0,2025-08-20,SI2511,多单持仓,SI
17,新湖期货,4478,1566.0,2025-08-20,SI2511,多单持仓,SI
18,五矿期货,4465,1191.0,2025-08-20,SI2511,多单持仓,SI
19,东吴期货,4263,115.0,2025-08-20,SI2511,多单持仓,SI
20,国信期货,3977,469.0,2025-08-20,SI2511,多单持仓,SI
1,国投期货,15125,-518.0,2025-08-21,SI2511,多单持仓,SI
2,中信期货,15002,-178.0,2025-08-21,SI2511,多单持仓,SI
3,中信建投,14654,3149.0,2025-08-21,SI2511,多单持仓,SI
4,宝城期货,13920,-899.0,2025-08-21,SI2511,多单持仓,SI
5,国泰君安期货,13581,3175.0,2025-08-21,SI2511,多单持仓,SI
6,东证期货,13505,2566.0,2025-08-21,SI2511,多单持仓,SI
7,广发期货,10385,-120.0,2025-08-21,SI2511,多单持仓,SI
