排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,中信期货,54753,263.0,2026-06-22,SM2609,多单持仓,SM
2,东证期货,54118,73.0,2026-06-22,SM2609,多单持仓,SM
3,华泰期货,41440,1303.0,2026-06-22,SM2609,多单持仓,SM
4,国泰君安,32443,-804.0,2026-06-22,SM2609,多单持仓,SM
5,银河期货,20290,316.0,2026-06-22,SM2609,多单持仓,SM
6,五矿期货,13265,-459.0,2026-06-22,SM2609,多单持仓,SM
7,国贸期货,12679,-253.0,2026-06-22,SM2609,多单持仓,SM
8,瑞达期货,11982,389.0,2026-06-22,SM2609,多单持仓,SM
9,国投期货,10863,77.0,2026-06-22,SM2609,多单持仓,SM
10,信达期货,10587,-49.0,2026-06-22,SM2609,多单持仓,SM
11,中财期货,9620,1119.0,2026-06-22,SM2609,多单持仓,SM
12,东海期货,9329,-638.0,2026-06-22,SM2609,多单持仓,SM
13,创元期货,9278,619.0,2026-06-22,SM2609,多单持仓,SM
14,一德期货,8656,120.0,2026-06-22,SM2609,多单持仓,SM
15,宏源期货,8566,-140.0,2026-06-22,SM2609,多单持仓,SM
16,永安期货,8332,1458.0,2026-06-22,SM2609,多单持仓,SM
17,弘业期货,7293,-38.0,2026-06-22,SM2609,多单持仓,SM
18,浙商期货,6553,275.0,2026-06-22,SM2609,多单持仓,SM
19,宝城期货,6255,57.0,2026-06-22,SM2609,多单持仓,SM
20,建信期货,5740,657.0,2026-06-22,SM2609,多单持仓,SM
1,中信期货,57361,2608.0,2026-06-23,SM2609,多单持仓,SM
2,东证期货,54322,204.0,2026-06-23,SM2609,多单持仓,SM
3,华泰期货,47855,6415.0,2026-06-23,SM2609,多单持仓,SM
4,国泰君安,32670,227.0,2026-06-23,SM2609,多单持仓,SM
5,银河期货,23216,2926.0,2026-06-23,SM2609,多单持仓,SM
6,五矿期货,17681,4416.0,2026-06-23,SM2609,多单持仓,SM
7,瑞达期货,13335,1353.0,2026-06-23,SM2609,多单持仓,SM
8,国贸期货,13185,506.0,2026-06-23,SM2609,多单持仓,SM
9,国投期货,12671,1808.0,2026-06-23,SM2609,多单持仓,SM
10,信达期货,10595,8.0,2026-06-23,SM2609,多单持仓,SM
11,中财期货,10567,947.0,2026-06-23,SM2609,多单持仓,SM
12,宏源期货,10318,1752.0,2026-06-23,SM2609,多单持仓,SM
13,东海期货,9716,387.0,2026-06-23,SM2609,多单持仓,SM
14,永安期货,9657,1325.0,2026-06-23,SM2609,多单持仓,SM
15,一德期货,9325,669.0,2026-06-23,SM2609,多单持仓,SM
16,创元期货,8619,-659.0,2026-06-23,SM2609,多单持仓,SM
17,弘业期货,7964,671.0,2026-06-23,SM2609,多单持仓,SM
18,宝城期货,7304,1049.0,2026-06-23,SM2609,多单持仓,SM
19,建信期货,6788,1048.0,2026-06-23,SM2609,多单持仓,SM
20,浙商期货,6630,77.0,2026-06-23,SM2609,多单持仓,SM
1,东证期货,61850,7528.0,2026-06-24,SM2609,多单持仓,SM
2,中信期货,59815,2454.0,2026-06-24,SM2609,多单持仓,SM
3,华泰期货,49186,1331.0,2026-06-24,SM2609,多单持仓,SM
4,国泰君安,34609,1939.0,2026-06-24,SM2609,多单持仓,SM
5,银河期货,24098,882.0,2026-06-24,SM2609,多单持仓,SM
6,五矿期货,19376,1695.0,2026-06-24,SM2609,多单持仓,SM
7,瑞达期货,13739,404.0,2026-06-24,SM2609,多单持仓,SM
8,永安期货,13002,3345.0,2026-06-24,SM2609,多单持仓,SM
9,国投期货,12931,260.0,2026-06-24,SM2609,多单持仓,SM
10,国贸期货,12901,-284.0,2026-06-24,SM2609,多单持仓,SM
11,中财期货,11374,807.0,2026-06-24,SM2609,多单持仓,SM
12,信达期货,10607,12.0,2026-06-24,SM2609,多单持仓,SM
13,宏源期货,10562,244.0,2026-06-24,SM2609,多单持仓,SM
14,一德期货,9745,420.0,2026-06-24,SM2609,多单持仓,SM
15,东海期货,9707,-9.0,2026-06-24,SM2609,多单持仓,SM
16,创元期货,8985,366.0,2026-06-24,SM2609,多单持仓,SM
17,弘业期货,8373,409.0,2026-06-24,SM2609,多单持仓,SM
18,宝城期货,7869,565.0,2026-06-24,SM2609,多单持仓,SM
19,浙商期货,6676,46.0,2026-06-24,SM2609,多单持仓,SM
20,建信期货,6650,-138.0,2026-06-24,SM2609,多单持仓,SM
1,东证期货,62802,952.0,2026-06-25,SM2609,多单持仓,SM
2,中信期货,58783,-1032.0,2026-06-25,SM2609,多单持仓,SM
3,华泰期货,50123,937.0,2026-06-25,SM2609,多单持仓,SM
4,国泰君安,35163,554.0,2026-06-25,SM2609,多单持仓,SM
5,银河期货,25150,1052.0,2026-06-25,SM2609,多单持仓,SM
6,五矿期货,20432,1056.0,2026-06-25,SM2609,多单持仓,SM
7,永安期货,18408,5406.0,2026-06-25,SM2609,多单持仓,SM
