排名,会员简称,成交量,比上交易增减,date,contract,position_type,symbol
1,东证期货,39126,-10458.0,2026-06-22,SM2609,成交量,SM
2,中信期货,35236,-15742.0,2026-06-22,SM2609,成交量,SM
3,国泰君安,22268,-6384.0,2026-06-22,SM2609,成交量,SM
4,华闻期货,11158,1636.0,2026-06-22,SM2609,成交量,SM
5,华泰期货,11087,-3740.0,2026-06-22,SM2609,成交量,SM
6,招商期货,8634,920.0,2026-06-22,SM2609,成交量,SM
7,永安期货,6537,-347.0,2026-06-22,SM2609,成交量,SM
8,广发期货,5891,-11925.0,2026-06-22,SM2609,成交量,SM
9,光大期货,5518,-2963.0,2026-06-22,SM2609,成交量,SM
10,中财期货,5354,2117.0,2026-06-22,SM2609,成交量,SM
11,银河期货,5231,-4896.0,2026-06-22,SM2609,成交量,SM
12,五矿期货,4758,-3438.0,2026-06-22,SM2609,成交量,SM
13,中信建投,4745,-4573.0,2026-06-22,SM2609,成交量,SM
14,国信期货,4467,-2602.0,2026-06-22,SM2609,成交量,SM
15,高盛期货,3878,-230.0,2026-06-22,SM2609,成交量,SM
16,创元期货,3539,-316.0,2026-06-22,SM2609,成交量,SM
17,中金财富,3393,-1042.0,2026-06-22,SM2609,成交量,SM
18,海通期货,3218,-4777.0,2026-06-22,SM2609,成交量,SM
19,方正中期,3143,423.0,2026-06-22,SM2609,成交量,SM
20,平安期货,2961,586.0,2026-06-22,SM2609,成交量,SM
1,东证期货,49694,10568.0,2026-06-23,SM2609,成交量,SM
2,中信期货,46064,10828.0,2026-06-23,SM2609,成交量,SM
3,国泰君安,32881,10613.0,2026-06-23,SM2609,成交量,SM
4,华泰期货,18010,6923.0,2026-06-23,SM2609,成交量,SM
5,华闻期货,13505,2347.0,2026-06-23,SM2609,成交量,SM
6,浙商期货,10562,8848.0,2026-06-23,SM2609,成交量,SM
7,招商期货,10223,1589.0,2026-06-23,SM2609,成交量,SM
8,银河期货,9869,4638.0,2026-06-23,SM2609,成交量,SM
9,中信建投,9551,4806.0,2026-06-23,SM2609,成交量,SM
10,永安期货,9325,2788.0,2026-06-23,SM2609,成交量,SM
11,五矿期货,8210,3452.0,2026-06-23,SM2609,成交量,SM
12,广发期货,7597,1706.0,2026-06-23,SM2609,成交量,SM
13,海通期货,6248,3030.0,2026-06-23,SM2609,成交量,SM
14,光大期货,6074,556.0,2026-06-23,SM2609,成交量,SM
15,创元期货,5043,1504.0,2026-06-23,SM2609,成交量,SM
16,瑞达期货,4929,3129.0,2026-06-23,SM2609,成交量,SM
17,国信期货,4523,56.0,2026-06-23,SM2609,成交量,SM
18,中财期货,4379,-975.0,2026-06-23,SM2609,成交量,SM
19,东吴期货,4324,1456.0,2026-06-23,SM2609,成交量,SM
20,国联期货,4075,2180.0,2026-06-23,SM2609,成交量,SM
1,中信期货,42139,-3925.0,2026-06-24,SM2609,成交量,SM
2,东证期货,36022,-13672.0,2026-06-24,SM2609,成交量,SM
3,国泰君安,22586,-10295.0,2026-06-24,SM2609,成交量,SM
4,华闻期货,16808,3303.0,2026-06-24,SM2609,成交量,SM
5,华泰期货,12409,-5601.0,2026-06-24,SM2609,成交量,SM
6,永安期货,8068,-1257.0,2026-06-24,SM2609,成交量,SM
7,中信建投,7962,-1589.0,2026-06-24,SM2609,成交量,SM
8,银河期货,7047,-2822.0,2026-06-24,SM2609,成交量,SM
9,广发期货,6850,-747.0,2026-06-24,SM2609,成交量,SM
10,五矿期货,6703,-1507.0,2026-06-24,SM2609,成交量,SM
11,招商期货,6460,-3763.0,2026-06-24,SM2609,成交量,SM
12,光大期货,6034,-40.0,2026-06-24,SM2609,成交量,SM
13,东吴期货,5433,1109.0,2026-06-24,SM2609,成交量,SM
14,浙商期货,4767,-5795.0,2026-06-24,SM2609,成交量,SM
15,高盛期货,4663,2928.0,2026-06-24,SM2609,成交量,SM
16,国信期货,4496,-27.0,2026-06-24,SM2609,成交量,SM
17,中金财富,4319,1402.0,2026-06-24,SM2609,成交量,SM
18,海通期货,4069,-2179.0,2026-06-24,SM2609,成交量,SM
19,创元期货,4039,-1004.0,2026-06-24,SM2609,成交量,SM
20,方正中期,3979,381.0,2026-06-24,SM2609,成交量,SM
1,中信期货,44538,2399.0,2026-06-25,SM2609,成交量,SM
2,东证期货,37734,1712.0,2026-06-25,SM2609,成交量,SM
3,国泰君安,28061,5475.0,2026-06-25,SM2609,成交量,SM
4,华闻期货,14094,-2714.0,2026-06-25,SM2609,成交量,SM
5,永安期货,13118,5050.0,2026-06-25,SM2609,成交量,SM
6,华泰期货,12855,446.0,2026-06-25,SM2609,成交量,SM
7,招商期货,9308,2848.0,2026-06-25,SM2609,成交量,SM
8,五矿期货,9153,2450.0,2026-06-25,SM2609,成交量,SM
9,中信建投,8153,191.0,2026-06-25,SM2609,成交量,SM
10,银河期货,8072,1025.0,2026-06-25,SM2609,成交量,SM
11,广发期货,7264,414.0,2026-06-25,SM2609,成交量,SM
12,光大期货,7238,1204.0,2026-06-25,SM2609,成交量,SM
13,海通期货,5295,1226.0,2026-06-25,SM2609,成交量,SM
14,浙商期货,4981,214.0,2026-06-25,SM2609,成交量,SM
15,国信期货,4661,165.0,2026-06-25,SM2609,成交量,SM
16,创元期货,4462,423.0,2026-06-25,SM2609,成交量,SM
17,中辉期货,4451,934.0,2026-06-25,SM2609,成交量,SM
18,国投期货,4444,1494.0,2026-06-25,SM2609,成交量,SM
19,中财期货,4108,2428.0,2026-06-25,SM2609,成交量,SM
20,东吴期货,3620,-1813.0,2026-06-25,SM2609,成交量,SM
1,中信期货,31891,-12647.0,2026-06-26,SM2609,成交量,SM
2,东证期货,26639,-11095.0,2026-06-26,SM2609,成交量,SM
3,国泰君安,23023,-5038.0,2026-06-26,SM2609,成交量,SM
4,华闻期货,11951,-2143.0,2026-06-26,SM2609,成交量,SM
5,华泰期货,10227,-2628.0,2026-06-26,SM2609,成交量,SM
6,永安期货,8681,-4437.0,2026-06-26,SM2609,成交量,SM
7,银河期货,8206,134.0,2026-06-26,SM2609,成交量,SM
8,招商期货,6926,-2382.0,2026-06-26,SM2609,成交量,SM
9,广发期货,6815,-449.0,2026-06-26,SM2609,成交量,SM
10,光大期货,5867,-1371.0,2026-06-26,SM2609,成交量,SM
11,五矿期货,5726,-3427.0,2026-06-26,SM2609,成交量,SM
12,中信建投,5300,-2853.0,2026-06-26,SM2609,成交量,SM
13,海通期货,5142,-153.0,2026-06-26,SM2609,成交量,SM
14,中金财富,3884,1381.0,2026-06-26,SM2609,成交量,SM
15,国信期货,3453,-1208.0,2026-06-26,SM2609,成交量,SM
16,国投期货,3086,-1358.0,2026-06-26,SM2609,成交量,SM
17,创元期货,3039,-1423.0,2026-06-26,SM2609,成交量,SM
18,锦泰期货,2938,-182.0,2026-06-26,SM2609,成交量,SM
19,国联期货,2590,-360.0,2026-06-26,SM2609,成交量,SM
20,方正中期,2488,345.0,2026-06-26,SM2609,成交量,SM
