排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,国泰君安,3049,26.0,2025-11-06,sn2512,多单持仓,SN
2,中信期货,2726,-256.0,2025-11-06,sn2512,多单持仓,SN
3,东证期货,1412,0.0,2025-11-06,sn2512,多单持仓,SN
4,永安期货,1177,19.0,2025-11-06,sn2512,多单持仓,SN
5,中辉期货,985,-34.0,2025-11-06,sn2512,多单持仓,SN
6,广发期货,863,-108.0,2025-11-06,sn2512,多单持仓,SN
7,国投期货,823,-19.0,2025-11-06,sn2512,多单持仓,SN
8,中信建投,810,-122.0,2025-11-06,sn2512,多单持仓,SN
9,平安期货,796,-170.0,2025-11-06,sn2512,多单持仓,SN
10,东亚期货,777,4.0,2025-11-06,sn2512,多单持仓,SN
11,银河期货,759,-33.0,2025-11-06,sn2512,多单持仓,SN
12,海通期货,666,-171.0,2025-11-06,sn2512,多单持仓,SN
13,瑞达期货,580,-123.0,2025-11-06,sn2512,多单持仓,SN
14,华泰期货,579,-46.0,2025-11-06,sn2512,多单持仓,SN
15,兴证期货,545,-5.0,2025-11-06,sn2512,多单持仓,SN
16,国信期货,509,-34.0,2025-11-06,sn2512,多单持仓,SN
17,中金财富,482,-66.0,2025-11-06,sn2512,多单持仓,SN
18,南华期货,478,1.0,2025-11-06,sn2512,多单持仓,SN
19,东航期货,476,1.0,2025-11-06,sn2512,多单持仓,SN
20,五矿期货,471,-8.0,2025-11-06,sn2512,多单持仓,SN
1,中信期货,2749,23.0,2025-11-07,sn2512,多单持仓,SN
2,国泰君安,2632,-417.0,2025-11-07,sn2512,多单持仓,SN
3,东证期货,1319,-93.0,2025-11-07,sn2512,多单持仓,SN
4,永安期货,1189,12.0,2025-11-07,sn2512,多单持仓,SN
5,中辉期货,989,4.0,2025-11-07,sn2512,多单持仓,SN
6,中信建投,958,148.0,2025-11-07,sn2512,多单持仓,SN
7,广发期货,827,-36.0,2025-11-07,sn2512,多单持仓,SN
8,国投期货,825,2.0,2025-11-07,sn2512,多单持仓,SN
9,平安期货,781,-15.0,2025-11-07,sn2512,多单持仓,SN
10,东亚期货,780,3.0,2025-11-07,sn2512,多单持仓,SN
11,中金财富,706,224.0,2025-11-07,sn2512,多单持仓,SN
12,银河期货,700,-59.0,2025-11-07,sn2512,多单持仓,SN
13,海通期货,575,-91.0,2025-11-07,sn2512,多单持仓,SN
14,瑞达期货,571,-9.0,2025-11-07,sn2512,多单持仓,SN
15,华泰期货,555,-24.0,2025-11-07,sn2512,多单持仓,SN
16,国信期货,543,34.0,2025-11-07,sn2512,多单持仓,SN
17,兴证期货,541,-4.0,2025-11-07,sn2512,多单持仓,SN
18,方正中期,474,33.0,2025-11-07,sn2512,多单持仓,SN
19,华闻期货,467,36.0,2025-11-07,sn2512,多单持仓,SN
20,光大期货,453,137.0,2025-11-07,sn2512,多单持仓,SN
1,国泰君安,3663,1031.0,2025-11-10,sn2512,多单持仓,SN
2,中信期货,3149,400.0,2025-11-10,sn2512,多单持仓,SN
3,东证期货,1423,104.0,2025-11-10,sn2512,多单持仓,SN
4,永安期货,1232,43.0,2025-11-10,sn2512,多单持仓,SN
5,银河期货,949,249.0,2025-11-10,sn2512,多单持仓,SN
6,华泰期货,919,364.0,2025-11-10,sn2512,多单持仓,SN
7,中金财富,886,180.0,2025-11-10,sn2512,多单持仓,SN
8,平安期货,869,88.0,2025-11-10,sn2512,多单持仓,SN
