排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,广发期货,4155,204.0,2026-06-22,sn2607,空单持仓,SN
2,国泰君安,2157,-277.0,2026-06-22,sn2607,空单持仓,SN
3,银河期货,1698,154.0,2026-06-22,sn2607,空单持仓,SN
4,中信期货,1600,86.0,2026-06-22,sn2607,空单持仓,SN
5,东证期货,1422,-334.0,2026-06-22,sn2607,空单持仓,SN
6,海证期货,907,116.0,2026-06-22,sn2607,空单持仓,SN
7,东海期货,776,2.0,2026-06-22,sn2607,空单持仓,SN
8,瑞达期货,615,44.0,2026-06-22,sn2607,空单持仓,SN
9,中粮期货,558,12.0,2026-06-22,sn2607,空单持仓,SN
10,南华期货,552,-10.0,2026-06-22,sn2607,空单持仓,SN
11,中泰期货,549,50.0,2026-06-22,sn2607,空单持仓,SN
12,光大期货,518,26.0,2026-06-22,sn2607,空单持仓,SN
13,方正中期,497,126.0,2026-06-22,sn2607,空单持仓,SN
14,国贸期货,449,92.0,2026-06-22,sn2607,空单持仓,SN
15,长江期货,421,4.0,2026-06-22,sn2607,空单持仓,SN
16,中信建投,415,-79.0,2026-06-22,sn2607,空单持仓,SN
17,创元期货,408,300.0,2026-06-22,sn2607,空单持仓,SN
18,华泰期货,408,-135.0,2026-06-22,sn2607,空单持仓,SN
19,新湖期货,406,-55.0,2026-06-22,sn2607,空单持仓,SN
20,金瑞期货,403,-13.0,2026-06-22,sn2607,空单持仓,SN
1,银河期货,2980,229.0,2026-06-23,sn2608,空单持仓,SN
2,国泰君安,2931,615.0,2026-06-23,sn2608,空单持仓,SN
3,广发期货,2538,270.0,2026-06-23,sn2608,空单持仓,SN
4,中信期货,1594,324.0,2026-06-23,sn2608,空单持仓,SN
5,东海期货,1311,147.0,2026-06-23,sn2608,空单持仓,SN
6,东证期货,1270,228.0,2026-06-23,sn2608,空单持仓,SN
7,方正中期,1042,-572.0,2026-06-23,sn2608,空单持仓,SN
8,光大期货,925,-41.0,2026-06-23,sn2608,空单持仓,SN
9,大有期货,882,-61.0,2026-06-23,sn2608,空单持仓,SN
10,南华期货,772,61.0,2026-06-23,sn2608,空单持仓,SN
11,瑞达期货,732,63.0,2026-06-23,sn2608,空单持仓,SN
12,永安期货,612,400.0,2026-06-23,sn2608,空单持仓,SN
13,中粮期货,538,-9.0,2026-06-23,sn2608,空单持仓,SN
14,金瑞期货,526,-29.0,2026-06-23,sn2608,空单持仓,SN
15,兴证期货,518,-34.0,2026-06-23,sn2608,空单持仓,SN
16,国投期货,436,79.0,2026-06-23,sn2608,空单持仓,SN
17,海通期货,373,70.0,2026-06-23,sn2608,空单持仓,SN
18,华安期货,362,-23.0,2026-06-23,sn2608,空单持仓,SN
19,正信期货,351,4.0,2026-06-23,sn2608,空单持仓,SN
20,建信期货,335,-18.0,2026-06-23,sn2608,空单持仓,SN
1,国泰君安,3945,1014.0,2026-06-24,sn2608,空单持仓,SN
